path,orig_path,width,height,mode,format
extracted_images\22动2_第1次作业_22090323-甘佩玉_5.《奥德修斯与喀耳刻》done for_其他_微信图片_20240604044937.png,extracted_images\22动2_第1次作业_22090323-甘佩玉_5.《奥德修斯与喀耳刻》done for_其他_微信图片_20240604044937.png,999,990,RGBA,png
extracted_images\22动2_第1次作业_22090323-甘佩玉_5.《奥德修斯与喀耳刻》done for_其他_服饰参考（我不画qq人的哈）.png,extracted_images\22动2_第1次作业_22090323-甘佩玉_5.《奥德修斯与喀耳刻》done for_其他_服饰参考（我不画qq人的哈）.png,834,760,RGBA,png
extracted_images\22动3_第1次作业_22090309-刘珂_mmexport1719698348078.jpg,extracted_images\22动3_第1次作业_22090309-刘珂_mmexport1719698348078.jpg,688,694,RGB,jpg
extracted_images\23动漫1班_QQ图片20250525113913.jpg,extracted_images\23动漫1班_QQ图片20250525113913.jpg,1080,1438,RGB,jpg
extracted_images\23动漫1班_注意【所有作业存放文件夹】第1次作业_22080053林梦溶补修作业_22080053林梦溶作业1.jpg,extracted_images\23动漫1班_注意【所有作业存放文件夹】第1次作业_22080053林梦溶补修作业_22080053林梦溶作业1.jpg,1764,7734,RGB,jpg
extracted_images\23动漫1班_注意【所有作业存放文件夹】第1次作业_22080053林梦溶补修作业_22080053林梦溶作业2.jpg,extracted_images\23动漫1班_注意【所有作业存放文件夹】第1次作业_22080053林梦溶补修作业_22080053林梦溶作业2.jpg,672,5943,RGB,jpg
extracted_images\23动漫1班_注意【所有作业存放文件夹】第1次作业_22080053林梦溶补修作业_22080053林梦溶作业3.jpg,extracted_images\23动漫1班_注意【所有作业存放文件夹】第1次作业_22080053林梦溶补修作业_22080053林梦溶作业3.jpg,2028,13102,RGB,jpg
extracted_images\23动漫1班_注意【所有作业存放文件夹】第1次作业_22080053林梦溶补修作业_22080053林梦溶作业4.jpg,extracted_images\23动漫1班_注意【所有作业存放文件夹】第1次作业_22080053林梦溶补修作业_22080053林梦溶作业4.jpg,944,7343,RGB,jpg
extracted_images\23动漫1班_注意【所有作业存放文件夹】第1次作业_22080053林梦溶补修作业_22080053林梦溶结课作业.png,extracted_images\23动漫1班_注意【所有作业存放文件夹】第1次作业_22080053林梦溶补修作业_22080053林梦溶结课作业.png,1226,2834,RGBA,png
extracted_images\23动漫1班_注意【所有作业存放文件夹】第1次作业_22动制1许佳钰22090211 动画分镜设计重修作业_22动制1许佳钰22090211 动画分镜设计重修作业_1.jpg,extracted_images\23动漫1班_注意【所有作业存放文件夹】第1次作业_22动制1许佳钰22090211 动画分镜设计重修作业_22动制1许佳钰22090211 动画分镜设计重修作业_1.jpg,3060,4080,RGB,jpg
