path,orig_path,width,height,mode,format
datasets\processed\wikiart_mixed\Cubism\Cubism_0000.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0000.png,614,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0001.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0001.png,511,765,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0002.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0002.png,511,630,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0003.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0003.png,690,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0004.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0004.png,687,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0005.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0005.png,1032,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0006.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0006.png,799,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0007.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0007.png,511,652,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0008.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0008.png,511,776,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0009.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0009.png,638,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0010.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0010.png,511,645,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0011.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0011.png,614,511,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0012.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0012.png,511,602,RGB,png
datasets\processed\wikiart_mixed\Cubism\Cubism_0013.png,datasets\processed\wikiart_mixed\Cubism\Cubism_0013.png,511,527,RGB,png
