Dataset,Regime,Best FID,Fastest,Best Efficiency
anime_student,D-High,278.02 (KMC_D-High),9.3min (KMC_D-High),5.94 (KMC_D-High)
anime_student,D-Medium,275.38 (KMC_D-Medium),9.3min (KMC_D-Medium),73.15 (KMC_D-Medium)
anime_student,D-Low,281.07 (KMC_D-Low),8.3min (KMC_D-Low),6.36 (KMC_D-Low)
anime_student,D-Sub-50,274.87 (Random_D-Sub-50),9.0min (KMC_D-Sub-50),0.00 (Random_D-Sub-50)
anime_student,D-Sub-25,271.28 (Random_D-Sub-25),9.2min (KMC_D-Sub-25),0.00 (Random_D-Sub-25)
wikiart_mixed,D-High,276.21 (Random_D-High),8.9min (KMC_D-High),0.00 (Random_D-High)
wikiart_mixed,D-Medium,279.61 (Random_D-Medium),8.1min (Random_D-Medium),0.00 (Random_D-Medium)
wikiart_mixed,D-Low,269.50 (Random_D-Low),8.7min (Random_D-Low),0.00 (Random_D-Low)
wikiart_mixed,D-Sub-50,280.06 (Random_D-Sub-50),9.1min (KMC_D-Sub-50),0.00 (Random_D-Sub-50)
wikiart_mixed,D-Sub-25,285.37 (KMC_D-Sub-25),8.7min (KMC_D-Sub-25),14.19 (KMC_D-Sub-25)
dreambooth_mixed,D-High,241.84 (Random_D-High),6.1min (Random_D-High),0.00 (Random_D-High)
dreambooth_mixed,D-Medium,248.04 (Random_D-Medium),6.4min (Random_D-Medium),0.00 (Random_D-Medium)
dreambooth_mixed,D-Low,261.90 (KMC_D-Low),11.0min (KMC_D-Low),5.77 (KMC_D-Low)
dreambooth_mixed,D-Sub-50,248.06 (Random_D-Sub-50),6.1min (Random_D-Sub-50),0.00 (Random_D-Sub-50)
dreambooth_mixed,D-Sub-25,246.06 (Random_D-Sub-25),8.8min (Random_D-Sub-25),0.00 (Random_D-Sub-25)
dreambooth_single,D-High,105.46 (Random_D-High),14.4min (Random_D-High),0.00 (Random_D-High)
dreambooth_single,D-Medium,121.90 (Random_D-Medium),17.5min (Random_D-Medium),0.00 (Random_D-Medium)
dreambooth_single,D-Low,142.66 (Random_D-Low),22.5min (Random_D-Low),0.00 (Random_D-Low)
dreambooth_single,D-Sub-50,95.47 (Random_D-Sub-50),14.6min (Random_D-Sub-50),0.00 (Random_D-Sub-50)
dreambooth_single,D-Sub-25,101.35 (Random_D-Sub-25),14.8min (Random_D-Sub-25),0.00 (Random_D-Sub-25)
