experiment,status,exit_code,start_time,end_time,duration_min,output_dir,image_list,steps,lr,lora_path,notes
Random_D-High,FAIL,1,2026-03-19T09:48:18.122227,2026-03-19T09:48:25.853701,0.13,kmc_lora\results_review_rerun\Random_D-High,kmc_lora\artifacts_review_rerun\splits\D-High.txt,1200,0.0001,,
KMC_D-High_P1,FAIL,1,2026-03-19T09:48:25.855237,2026-03-19T09:48:33.026937,0.12,kmc_lora\results_review_rerun\KMC_D-High\phase1,kmc_lora\artifacts_review_rerun\split_phases\D-High\phase1.txt,480,5e-05,,
KMC_D-High_P2,FAIL,1,2026-03-19T09:48:33.026937,2026-03-19T09:48:40.199532,0.12,kmc_lora\results_review_rerun\KMC_D-High\phase2,kmc_lora\artifacts_review_rerun\split_phases\D-High\phase2.txt,420,0.0001,kmc_lora\results_review_rerun\KMC_D-High\phase1\final,
KMC_D-High_P3,FAIL,1,2026-03-19T09:48:40.200531,2026-03-19T09:48:47.588161,0.12,kmc_lora\results_review_rerun\KMC_D-High\phase3,kmc_lora\artifacts_review_rerun\split_phases\D-High\phase3.txt,300,2e-05,kmc_lora\results_review_rerun\KMC_D-High\phase2\final,
Random_D-Medium,FAIL,1,2026-03-19T09:48:47.606951,2026-03-19T09:48:54.828993,0.12,kmc_lora\results_review_rerun\Random_D-Medium,kmc_lora\artifacts_review_rerun\splits\D-Medium.txt,1200,0.0001,,
KMC_D-Medium_P1,FAIL,1,2026-03-19T09:48:54.830629,2026-03-19T09:49:02.023801,0.12,kmc_lora\results_review_rerun\KMC_D-Medium\phase1,kmc_lora\artifacts_review_rerun\split_phases\D-Medium\phase1.txt,480,5e-05,,
KMC_D-Medium_P2,FAIL,1,2026-03-19T09:49:02.023801,2026-03-19T09:49:08.985658,0.12,kmc_lora\results_review_rerun\KMC_D-Medium\phase2,kmc_lora\artifacts_review_rerun\split_phases\D-Medium\phase2.txt,420,0.0001,kmc_lora\results_review_rerun\KMC_D-Medium\phase1\final,
KMC_D-Medium_P3,FAIL,1,2026-03-19T09:49:08.986167,2026-03-19T09:49:16.245396,0.12,kmc_lora\results_review_rerun\KMC_D-Medium\phase3,kmc_lora\artifacts_review_rerun\split_phases\D-Medium\phase3.txt,300,2e-05,kmc_lora\results_review_rerun\KMC_D-Medium\phase2\final,
Random_D-Low,FAIL,1,2026-03-19T09:49:16.261733,2026-03-19T09:49:23.648246,0.12,kmc_lora\results_review_rerun\Random_D-Low,kmc_lora\artifacts_review_rerun\splits\D-Low.txt,1200,0.0001,,
KMC_D-Low_P1,FAIL,1,2026-03-19T09:49:23.648246,2026-03-19T09:49:31.761665,0.14,kmc_lora\results_review_rerun\KMC_D-Low\phase1,kmc_lora\artifacts_review_rerun\split_phases\D-Low\phase1.txt,480,5e-05,,
KMC_D-Low_P2,FAIL,1,2026-03-19T09:49:31.761665,2026-03-19T09:49:39.085568,0.12,kmc_lora\results_review_rerun\KMC_D-Low\phase2,kmc_lora\artifacts_review_rerun\split_phases\D-Low\phase2.txt,420,0.0001,kmc_lora\results_review_rerun\KMC_D-Low\phase1\final,
KMC_D-Low_P3,FAIL,1,2026-03-19T09:49:39.086110,2026-03-19T09:49:46.472758,0.12,kmc_lora\results_review_rerun\KMC_D-Low\phase3,kmc_lora\artifacts_review_rerun\split_phases\D-Low\phase3.txt,300,2e-05,kmc_lora\results_review_rerun\KMC_D-Low\phase2\final,
Random_D-Sub-50,FAIL,1,2026-03-19T09:49:46.488312,2026-03-19T09:49:53.778986,0.12,kmc_lora\results_review_rerun\Random_D-Sub-50,kmc_lora\artifacts_review_rerun\splits\D-Sub-50.txt,1200,0.0001,,
KMC_D-Sub-50_P1,FAIL,1,2026-03-19T09:49:53.779969,2026-03-19T09:50:01.104528,0.12,kmc_lora\results_review_rerun\KMC_D-Sub-50\phase1,kmc_lora\artifacts_review_rerun\split_phases\D-Sub-50\phase1.txt,480,5e-05,,
KMC_D-Sub-50_P2,FAIL,1,2026-03-19T09:50:01.104528,2026-03-19T09:50:08.500685,0.12,kmc_lora\results_review_rerun\KMC_D-Sub-50\phase2,kmc_lora\artifacts_review_rerun\split_phases\D-Sub-50\phase2.txt,420,0.0001,kmc_lora\results_review_rerun\KMC_D-Sub-50\phase1\final,
KMC_D-Sub-50_P3,FAIL,1,2026-03-19T09:50:08.500685,2026-03-19T09:50:15.812421,0.12,kmc_lora\results_review_rerun\KMC_D-Sub-50\phase3,kmc_lora\artifacts_review_rerun\split_phases\D-Sub-50\phase3.txt,300,2e-05,kmc_lora\results_review_rerun\KMC_D-Sub-50\phase2\final,
