step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.004226,2.00e-05,9.3,14748
2,0,0.029769,2.00e-05,10.1,14812
3,0,0.337134,2.00e-05,10.9,14812
4,0,0.342323,2.00e-05,11.9,14812
5,0,0.009817,2.00e-05,12.9,14859
6,0,0.012553,2.00e-05,13.6,14905
7,0,0.005283,2.00e-05,14.4,14905
8,0,0.092653,2.00e-05,15.1,14905
9,1,0.367639,2.00e-05,16.0,14905
10,1,0.004914,2.00e-05,16.9,14905
11,1,0.005840,2.00e-05,17.6,14905
12,1,0.048612,2.00e-05,18.5,14905
13,1,0.278592,2.00e-05,19.3,14905
14,1,0.097860,2.00e-05,20.0,14905
15,1,0.179043,2.00e-05,20.9,14905
16,1,0.236227,2.00e-05,21.6,14905
17,2,0.081317,2.00e-05,22.4,14905
18,2,0.325753,2.00e-05,23.3,14905
19,2,0.214874,2.00e-05,24.0,14905
20,2,0.199732,2.00e-05,25.0,14905
21,2,0.354113,2.00e-05,25.7,14905
22,2,0.178085,2.00e-05,26.5,14905
23,2,0.340044,2.00e-05,27.2,14905
24,2,0.313096,2.00e-05,27.9,14905
25,3,0.275011,2.00e-05,28.8,14905
26,3,0.319857,2.00e-05,29.5,14905
27,3,0.028075,2.00e-05,30.3,14905
28,3,0.059829,2.00e-05,31.2,14905
29,3,0.062857,2.00e-05,31.9,14905
30,3,0.132870,2.00e-05,32.9,14905
31,3,0.356004,2.00e-05,33.6,14905
32,3,0.131450,2.00e-05,34.3,14905
33,4,0.004004,2.00e-05,35.2,14905
34,4,0.005871,2.00e-05,36.0,14905
35,4,0.082988,2.00e-05,37.0,14905
36,4,0.009195,2.00e-05,37.7,14905
37,4,0.188700,2.00e-05,38.5,14905
38,4,0.044778,2.00e-05,39.2,14905
39,4,0.233454,2.00e-05,40.1,14905
40,4,0.080177,2.00e-05,40.9,14905
41,5,0.067090,2.00e-05,41.6,14905
42,5,0.322267,2.00e-05,42.4,14905
43,5,0.288767,2.00e-05,43.2,14905
44,5,0.350458,2.00e-05,44.1,14905
45,5,0.372464,2.00e-05,45.0,14905
46,5,0.027021,2.00e-05,45.8,14905
47,5,0.004829,2.00e-05,46.5,14905
48,5,0.305299,2.00e-05,47.2,14905
49,6,0.044308,2.00e-05,48.0,14905
