step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.002804,1.00e-04,12.1,14748
2,0,0.039306,1.00e-04,13.1,14812
3,0,0.333496,1.00e-04,14.0,14812
4,0,0.284462,1.00e-04,15.0,14812
5,0,0.011773,1.00e-04,15.9,14859
6,0,0.011709,1.00e-04,16.7,14905
7,0,0.004835,1.00e-04,17.6,14905
8,0,0.112358,1.00e-04,18.5,14905
9,0,0.267929,1.00e-04,19.5,14905
10,0,0.009682,1.00e-04,20.3,14905
11,0,0.008268,1.00e-04,21.2,14905
12,0,0.068484,1.00e-04,22.1,14905
13,0,0.218240,1.00e-04,22.9,14905
14,0,0.080225,1.00e-04,23.9,14905
15,0,0.166325,1.00e-04,24.8,14905
16,0,0.337336,1.00e-04,25.8,14905
17,0,0.130167,1.00e-04,26.6,14905
18,0,0.321771,1.00e-04,27.5,14905
19,0,0.215045,1.00e-04,28.4,14905
20,0,0.300523,1.00e-04,29.3,14905
21,0,0.338868,1.00e-04,30.2,14905
22,0,0.165686,1.00e-04,31.1,14905
23,0,0.291759,1.00e-04,32.0,14905
24,0,0.353391,1.00e-04,32.9,14905
25,0,0.177698,1.00e-04,33.8,14905
26,0,0.338054,1.00e-04,34.8,14905
27,0,0.049581,1.00e-04,35.7,14905
28,0,0.047270,1.00e-04,36.7,14905
29,0,0.082834,1.00e-04,37.6,14905
30,0,0.205839,1.00e-04,38.5,14905
31,0,0.313033,1.00e-04,39.3,14905
32,1,0.136334,1.00e-04,40.3,14905
33,1,0.004491,1.00e-04,41.2,14905
34,1,0.011061,1.00e-04,42.2,14905
35,1,0.094652,1.00e-04,43.1,14905
36,1,0.011862,1.00e-04,43.9,14905
37,1,0.173547,1.00e-04,44.8,14905
38,1,0.049714,1.00e-04,45.7,14905
39,1,0.204996,1.00e-04,46.7,14905
40,1,0.084935,1.00e-04,47.6,14905
41,1,0.053225,1.00e-04,48.5,14905
42,1,0.212061,1.00e-04,49.4,14905
43,1,0.309365,1.00e-04,50.3,14905
44,1,0.302026,1.00e-04,51.2,14905
45,1,0.348143,1.00e-04,52.0,14905
46,1,0.025057,1.00e-04,52.9,14905
47,1,0.005192,1.00e-04,53.8,14905
48,1,0.192712,1.00e-04,54.7,14905
49,1,0.046816,1.00e-04,55.7,14905
50,1,0.080102,1.00e-04,56.6,14905
51,1,0.003345,1.00e-04,57.5,14905
52,1,0.016399,1.00e-04,58.4,14905
53,1,0.377564,1.00e-04,59.3,14905
54,1,0.512197,1.00e-04,60.3,14905
55,1,0.017406,1.00e-04,61.2,14905
56,1,0.298898,1.00e-04,62.1,14905
57,1,0.216404,1.00e-04,63.0,14905
58,1,0.004696,1.00e-04,63.8,14905
59,1,0.321242,1.00e-04,64.8,14905
60,1,0.007472,1.00e-04,65.7,14905
61,1,0.254675,1.00e-04,66.6,14905
62,1,0.112748,1.00e-04,67.5,14905
63,2,0.090156,1.00e-04,68.4,14905
64,2,0.083178,1.00e-04,69.4,14905
65,2,0.354412,1.00e-04,70.3,14905
66,2,0.036081,1.00e-04,71.3,14905
67,2,0.222385,1.00e-04,72.1,14905
68,2,0.253707,1.00e-04,73.1,14905
69,2,0.178043,1.00e-04,74.0,14905
70,2,0.067192,1.00e-04,74.9,14905
71,2,0.048280,1.00e-04,75.7,14905
72,2,0.368299,1.00e-04,76.6,14905
73,2,0.292532,1.00e-04,77.5,14905
74,2,0.193445,1.00e-04,78.4,14905
75,2,0.250773,1.00e-04,79.3,14905
76,2,0.082449,1.00e-04,80.3,14905
77,2,0.006838,1.00e-04,81.2,14905
78,2,0.167961,1.00e-04,82.1,14905
79,2,0.211582,1.00e-04,83.1,14905
80,2,0.002795,1.00e-04,84.0,14905
81,2,0.356491,1.00e-04,84.9,14905
82,2,0.290656,1.00e-04,85.7,14905
83,2,0.113759,1.00e-04,86.6,14905
84,2,0.004541,1.00e-04,87.5,14905
85,2,0.193221,1.00e-04,88.4,14905
86,2,0.020626,1.00e-04,89.4,14905
87,2,0.070210,1.00e-04,90.2,14905
88,2,0.058702,1.00e-04,91.1,14905
89,2,0.216340,1.00e-04,92.1,14905
90,2,0.049989,1.00e-04,93.0,14905
91,2,0.066252,1.00e-04,93.9,14905
92,2,0.402983,1.00e-04,94.8,14905
93,2,0.121467,1.00e-04,95.7,14905
94,3,0.041404,1.00e-04,96.7,14905
95,3,0.027974,1.00e-04,97.5,14905
96,3,0.329172,1.00e-04,98.4,14905
97,3,0.004093,1.00e-04,99.2,14905
98,3,0.017595,1.00e-04,100.2,14905
99,3,0.122632,1.00e-04,101.1,14905
100,3,0.016232,1.00e-04,102.0,14905
101,3,0.006795,1.00e-04,102.9,14905
102,3,0.020344,1.00e-04,103.7,14905
103,3,0.064567,1.00e-04,104.7,14905
104,3,0.144086,1.00e-04,105.6,14905
105,3,0.021966,1.00e-04,106.6,14905
106,3,0.219105,1.00e-04,107.5,14905
107,3,0.176073,1.00e-04,108.3,14905
108,3,0.255003,1.00e-04,109.3,14905
109,3,0.087434,1.00e-04,110.2,14905
110,3,0.308980,1.00e-04,111.0,14905
111,3,0.139556,1.00e-04,111.9,14905
112,3,0.033405,1.00e-04,112.8,14905
113,3,0.033494,1.00e-04,113.6,14905
114,3,0.102939,1.00e-04,114.6,14905
115,3,0.007238,1.00e-04,115.6,14905
116,3,0.007607,1.00e-04,116.4,14905
117,3,0.271264,1.00e-04,117.3,14905
118,3,0.252782,1.00e-04,118.2,14905
119,3,0.020514,1.00e-04,119.2,14905
120,3,0.356814,1.00e-04,120.1,14905
121,3,0.031654,1.00e-04,121.0,14905
122,3,0.054525,1.00e-04,122.0,14905
123,3,0.077158,1.00e-04,123.0,14905
124,3,0.003955,1.00e-04,123.8,14905
125,4,0.366958,1.00e-04,124.8,14905
126,4,0.393088,1.00e-04,125.7,14905
127,4,0.061280,1.00e-04,126.6,14905
128,4,0.042764,1.00e-04,127.4,14905
129,4,0.154351,1.00e-04,128.5,14905
130,4,0.133363,1.00e-04,129.3,14905
131,4,0.330022,1.00e-04,130.2,14905
132,4,0.072148,1.00e-04,131.1,14905
133,4,0.300773,1.00e-04,132.0,14905
134,4,0.335384,1.00e-04,133.1,14905
135,4,0.089679,1.00e-04,134.0,14905
136,4,0.162704,1.00e-04,134.9,14905
137,4,0.067747,1.00e-04,135.8,14905
138,4,0.201185,1.00e-04,136.7,14905
139,4,0.011295,1.00e-04,137.4,14905
140,4,0.035091,1.00e-04,138.2,14905
141,4,0.119516,1.00e-04,139.0,14905
