step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.087972,2.00e-05,8.4,14794
2,0,0.249883,2.00e-05,9.1,14905
3,0,0.011711,2.00e-05,9.8,14905
4,0,0.010316,2.00e-05,10.6,14905
5,0,0.033588,2.00e-05,11.4,14998
6,0,0.145269,2.00e-05,12.1,15091
7,0,0.365200,2.00e-05,12.8,15091
8,0,0.130032,2.00e-05,13.5,15091
9,0,0.294611,2.00e-05,14.1,15091
10,0,0.035291,2.00e-05,15.0,15091
11,0,0.351354,2.00e-05,15.6,15091
12,0,0.351710,2.00e-05,16.3,15091
13,0,0.061585,2.00e-05,17.0,15091
14,0,0.339732,2.00e-05,17.7,15091
15,0,0.038596,2.00e-05,18.5,15091
16,0,0.014124,2.00e-05,19.2,15091
17,0,0.010535,2.00e-05,19.8,15091
18,0,0.030934,2.00e-05,20.5,15091
19,0,0.369817,2.00e-05,21.2,15091
20,0,0.010095,2.00e-05,22.1,15091
21,0,0.172493,2.00e-05,22.7,15091
22,0,0.030239,2.00e-05,23.4,15091
23,0,0.213354,2.00e-05,24.1,15091
24,0,0.056011,2.00e-05,24.8,15091
25,0,0.012008,2.00e-05,25.6,15091
26,0,0.139493,2.00e-05,26.2,15091
27,0,0.154624,2.00e-05,26.9,15091
28,0,0.003951,2.00e-05,27.6,15091
29,0,0.341938,2.00e-05,28.3,15091
30,0,0.379680,2.00e-05,29.1,15091
31,0,0.003864,2.00e-05,29.7,15091
32,0,0.023223,2.00e-05,30.5,15091
33,0,0.297094,2.00e-05,31.1,15091
34,0,0.008550,2.00e-05,31.8,15091
35,0,0.053783,2.00e-05,32.6,15091
36,0,0.361113,2.00e-05,33.3,15091
37,0,0.077227,2.00e-05,34.0,15091
38,0,0.037816,2.00e-05,34.7,15091
39,0,0.216729,2.00e-05,35.4,15091
40,0,0.020139,2.00e-05,36.2,15091
41,0,0.295594,2.00e-05,36.9,15091
42,0,0.349639,2.00e-05,37.6,15091
43,0,0.363655,2.00e-05,38.2,15091
44,0,0.354743,2.00e-05,39.0,15091
45,0,0.002929,2.00e-05,39.8,15091
46,0,0.013592,2.00e-05,40.5,15091
47,0,0.017272,2.00e-05,41.2,15091
48,0,0.061504,2.00e-05,41.9,15091
49,0,0.006361,2.00e-05,42.6,15091
50,0,0.032463,2.00e-05,43.3,15091
51,0,0.012494,2.00e-05,44.1,15091
52,0,0.142986,2.00e-05,44.8,15091
53,0,0.003992,2.00e-05,45.5,15091
54,0,0.311356,2.00e-05,46.2,15091
55,0,0.377991,2.00e-05,47.0,15091
56,0,0.003183,2.00e-05,47.7,15091
57,0,0.276610,2.00e-05,48.3,15091
58,0,0.202543,2.00e-05,49.0,15091
59,0,0.125449,2.00e-05,49.7,15091
60,0,0.238078,2.00e-05,50.4,15091
61,0,0.121937,2.00e-05,51.2,15091
62,0,0.101088,2.00e-05,51.9,15091
63,0,0.177749,2.00e-05,52.5,15091
64,0,0.286986,2.00e-05,53.3,15091
65,0,0.279508,2.00e-05,54.0,15091
66,0,0.022077,2.00e-05,54.7,15091
67,0,0.364630,2.00e-05,55.4,15091
68,0,0.007733,2.00e-05,56.1,15091
69,0,0.316769,2.00e-05,56.8,15091
70,0,0.353546,2.00e-05,57.4,15091
71,0,0.241667,2.00e-05,58.2,15091
72,0,0.165764,2.00e-05,58.9,15091
73,0,0.004721,2.00e-05,59.6,15091
74,0,0.040523,2.00e-05,60.2,15091
75,0,0.016076,2.00e-05,61.1,15091
76,1,0.015074,2.00e-05,61.7,15091
77,1,0.086589,2.00e-05,62.4,15091
78,1,0.003001,2.00e-05,63.1,15091
79,1,0.040655,2.00e-05,63.8,15091
80,1,0.210517,2.00e-05,64.6,15091
81,1,0.042015,2.00e-05,65.2,15091
82,1,0.028259,2.00e-05,65.9,15091
83,1,0.004503,2.00e-05,66.6,15091
84,1,0.034118,2.00e-05,67.3,15091
85,1,0.102048,2.00e-05,68.1,15091
86,1,0.289583,2.00e-05,68.8,15091
87,1,0.006762,2.00e-05,69.4,15091
88,1,0.006924,2.00e-05,70.1,15091
89,1,0.043774,2.00e-05,70.8,15091
90,1,0.039026,2.00e-05,71.6,15091
91,1,0.332008,2.00e-05,72.3,15091
92,1,0.156351,2.00e-05,72.9,15091
93,1,0.018500,2.00e-05,73.6,15091
94,1,0.027689,2.00e-05,74.3,15091
95,1,0.003134,2.00e-05,75.0,15091
96,1,0.053902,2.00e-05,75.7,15091
97,1,0.379816,2.00e-05,76.4,15091
98,1,0.299806,2.00e-05,77.1,15091
99,1,0.114093,2.00e-05,77.8,15091
100,1,0.021219,2.00e-05,78.4,15091
101,1,0.129437,2.00e-05,79.2,15091
102,1,0.370971,2.00e-05,79.9,15091
103,1,0.017033,2.00e-05,80.6,15091
104,1,0.481322,2.00e-05,81.3,15091
105,1,0.015893,2.00e-05,82.1,15091
106,1,0.133063,2.00e-05,82.8,15091
107,1,0.347641,2.00e-05,83.4,15091
108,1,0.008923,2.00e-05,84.1,15091
109,1,0.163456,2.00e-05,84.8,15091
110,1,0.054714,2.00e-05,85.5,15091
111,1,0.172530,2.00e-05,86.3,15091
112,1,0.374091,2.00e-05,87.0,15091
113,1,0.016906,2.00e-05,87.7,15091
114,1,0.224246,2.00e-05,88.3,15091
115,1,0.157648,2.00e-05,89.1,15091
116,1,0.053341,2.00e-05,89.8,15091
117,1,0.297855,2.00e-05,90.5,15091
118,1,0.256387,2.00e-05,91.2,15091
119,1,0.010355,2.00e-05,91.9,15091
120,1,0.225117,2.00e-05,92.6,15091
121,1,0.042039,2.00e-05,93.3,15091
122,1,0.018755,2.00e-05,94.0,15091
123,1,0.244837,2.00e-05,94.7,15091
124,1,0.060535,2.00e-05,95.3,15091
125,1,0.021662,2.00e-05,96.0,15091
126,1,0.361398,2.00e-05,96.8,15091
127,1,0.041252,2.00e-05,97.5,15091
128,1,0.007551,2.00e-05,98.2,15091
129,1,0.009571,2.00e-05,98.8,15091
130,1,0.015016,2.00e-05,99.5,15091
131,1,0.325601,2.00e-05,100.3,15091
132,1,0.005401,2.00e-05,101.0,15091
133,1,0.070450,2.00e-05,101.7,15091
134,1,0.019586,2.00e-05,102.4,15091
135,1,0.033265,2.00e-05,103.2,15091
136,1,0.121277,2.00e-05,103.9,15091
137,1,0.386662,2.00e-05,104.6,15091
138,1,0.039680,2.00e-05,105.3,15091
139,1,0.030736,2.00e-05,106.0,15091
140,1,0.265789,2.00e-05,106.6,15091
141,1,0.366855,2.00e-05,107.4,15091
142,1,0.115611,2.00e-05,108.1,15091
143,1,0.345565,2.00e-05,108.8,15091
144,1,0.185546,2.00e-05,109.4,15091
145,1,0.423555,2.00e-05,110.1,15091
146,1,0.022944,2.00e-05,110.9,15091
147,1,0.386787,2.00e-05,111.6,15091
148,1,0.005335,2.00e-05,112.3,15091
149,1,0.350374,2.00e-05,113.0,15091
150,1,0.202322,2.00e-05,113.8,15091
151,2,0.002896,2.00e-05,114.6,15091
152,2,0.287363,2.00e-05,115.2,15091
153,2,0.019049,2.00e-05,115.9,15091
154,2,0.052885,2.00e-05,116.6,15091
155,2,0.301439,2.00e-05,117.3,15091
156,2,0.144424,2.00e-05,118.0,15091
157,2,0.082167,2.00e-05,118.7,15091
158,2,0.299571,2.00e-05,119.3,15091
159,2,0.276410,2.00e-05,120.0,15091
160,2,0.141721,2.00e-05,120.9,15091
161,2,0.090364,2.00e-05,121.5,15091
162,2,0.096773,2.00e-05,122.2,15091
163,2,0.018326,2.00e-05,122.9,15091
164,2,0.349930,2.00e-05,123.6,15091
165,2,0.039573,2.00e-05,124.4,15091
166,2,0.250602,2.00e-05,125.1,15091
167,2,0.294352,2.00e-05,125.8,15091
168,2,0.307414,2.00e-05,126.5,15091
169,2,0.043960,2.00e-05,127.2,15091
170,2,0.065546,2.00e-05,127.9,15091
171,2,0.296077,2.00e-05,128.6,15091
172,2,0.019004,2.00e-05,129.3,15091
173,2,0.003797,2.00e-05,130.0,15091
174,2,0.225856,2.00e-05,130.7,15091
175,2,0.314172,2.00e-05,131.3,15091
176,2,0.101304,2.00e-05,132.1,15091
177,2,0.116299,2.00e-05,132.8,15091
178,2,0.150178,2.00e-05,133.5,15091
179,2,0.322405,2.00e-05,134.2,15091
180,2,0.077176,2.00e-05,135.0,15091
181,2,0.086158,2.00e-05,135.8,15091
182,2,0.018787,2.00e-05,136.5,15091
183,2,0.061661,2.00e-05,137.2,15091
184,2,0.013670,2.00e-05,137.9,15091
185,2,0.180974,2.00e-05,138.6,15091
186,2,0.030493,2.00e-05,139.4,15091
187,2,0.087351,2.00e-05,140.1,15091
188,2,0.326081,2.00e-05,140.8,15091
189,2,0.180470,2.00e-05,141.5,15091
190,2,0.327405,2.00e-05,142.4,15091
191,2,0.331189,2.00e-05,143.1,15091
192,2,0.138677,2.00e-05,143.8,15091
193,2,0.197985,2.00e-05,144.4,15091
194,2,0.005069,2.00e-05,145.2,15091
195,2,0.267504,2.00e-05,146.0,15091
196,2,0.003448,2.00e-05,146.7,15091
197,2,0.362092,2.00e-05,147.4,15091
198,2,0.451940,2.00e-05,148.1,15091
199,2,0.155367,2.00e-05,148.9,15091
200,2,0.361170,2.00e-05,149.6,15091
