step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.328065,1.00e-04,8.4,14794
2,0,0.429580,1.00e-04,9.1,14905
3,0,0.096153,1.00e-04,9.9,14905
4,0,0.018258,1.00e-04,10.8,14905
5,0,0.020906,1.00e-04,11.4,14998
6,0,0.173511,1.00e-04,12.1,15091
7,0,0.177283,1.00e-04,12.8,15091
8,0,0.358762,1.00e-04,13.5,15091
9,0,0.056770,1.00e-04,14.3,15091
10,0,0.059832,1.00e-04,15.0,15091
11,0,0.277953,1.00e-04,15.7,15091
12,0,0.168878,1.00e-04,16.4,15091
13,0,0.326743,1.00e-04,17.1,15091
14,0,0.223098,1.00e-04,17.8,15091
15,0,0.198514,1.00e-04,18.5,15091
16,0,0.004310,1.00e-04,19.2,15091
17,0,0.378984,1.00e-04,20.0,15091
18,0,0.003758,1.00e-04,20.7,15091
19,0,0.004599,1.00e-04,21.4,15091
20,0,0.292492,1.00e-04,22.1,15091
21,0,0.024427,1.00e-04,22.8,15091
22,0,0.327928,1.00e-04,23.5,15091
23,0,0.381343,1.00e-04,24.3,15091
24,0,0.002992,1.00e-04,25.0,15091
25,0,0.058701,1.00e-04,25.8,15091
26,0,0.014400,1.00e-04,26.5,15091
27,0,0.012577,1.00e-04,27.2,15091
28,0,0.011531,1.00e-04,28.0,15091
29,0,0.289866,1.00e-04,28.7,15091
30,0,0.302396,1.00e-04,29.4,15091
31,0,0.116076,1.00e-04,30.1,15091
32,0,0.267345,1.00e-04,30.9,15091
33,0,0.007098,1.00e-04,32.4,15091
34,0,0.032823,1.00e-04,33.8,15091
35,0,0.325217,1.00e-04,34.6,15091
36,0,0.027502,1.00e-04,35.5,15091
37,0,0.043001,1.00e-04,36.1,15091
38,0,0.130781,1.00e-04,36.8,15091
39,0,0.086629,1.00e-04,37.7,15091
40,0,0.102393,1.00e-04,38.5,15091
41,0,0.010270,1.00e-04,39.3,15091
42,0,0.356613,1.00e-04,40.1,15091
43,0,0.342035,1.00e-04,40.9,15091
44,0,0.291367,1.00e-04,41.8,15091
45,0,0.265669,1.00e-04,43.0,15091
46,0,0.364205,1.00e-04,43.8,15091
47,0,0.026932,1.00e-04,44.6,15091
48,0,0.075484,1.00e-04,45.6,15091
49,0,0.033316,1.00e-04,46.5,15091
50,0,0.245228,1.00e-04,47.6,15091
51,0,0.004307,1.00e-04,48.3,15091
52,0,0.016599,1.00e-04,49.1,15091
53,0,0.098201,1.00e-04,49.7,15091
54,0,0.017834,1.00e-04,50.5,15091
55,0,0.361386,1.00e-04,51.4,15091
56,0,0.334447,1.00e-04,52.1,15091
57,0,0.011689,1.00e-04,52.8,15091
58,0,0.359088,1.00e-04,53.5,15091
59,0,0.206339,1.00e-04,54.2,15091
60,0,0.226345,1.00e-04,54.9,15091
