step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.266416,1.00e-04,3.0,8463
2,0,0.028312,1.00e-04,3.4,8482
3,0,0.080528,1.00e-04,3.9,8482
4,0,0.038608,1.00e-04,4.3,8482
5,0,0.074317,1.00e-04,4.8,8495
6,0,0.310758,1.00e-04,5.2,8508
7,0,0.115488,1.00e-04,5.5,8508
8,0,0.050589,1.00e-04,5.9,8508
9,0,0.040743,1.00e-04,6.4,8508
10,0,0.273630,1.00e-04,6.8,8508
11,0,0.127161,1.00e-04,7.2,8508
12,0,0.261369,1.00e-04,7.6,8508
13,0,0.055240,1.00e-04,7.9,8508
14,0,0.026693,1.00e-04,8.3,8508
15,0,0.029616,1.00e-04,8.7,8508
16,0,0.070084,1.00e-04,9.0,8508
17,0,0.084442,1.00e-04,9.4,8508
18,0,0.039059,1.00e-04,9.9,8508
19,0,0.083100,1.00e-04,10.2,8508
20,0,0.019144,1.00e-04,10.6,8508
21,0,0.003286,1.00e-04,10.9,8508
22,0,0.014568,1.00e-04,11.4,8508
23,0,0.023217,1.00e-04,11.8,8508
24,0,0.064270,1.00e-04,12.2,8508
25,0,0.051443,1.00e-04,12.6,8508
26,0,0.202148,1.00e-04,13.0,8508
27,0,0.007733,1.00e-04,13.3,8508
28,0,0.011048,1.00e-04,13.7,8508
29,0,0.121077,1.00e-04,14.1,8508
30,0,0.068005,1.00e-04,14.4,8508
31,0,0.014818,1.00e-04,14.8,8508
32,0,0.061606,1.00e-04,15.2,8508
33,0,0.044167,1.00e-04,15.6,8508
34,0,0.008722,1.00e-04,16.0,8508
35,0,0.094877,1.00e-04,16.4,8508
36,0,0.005840,1.00e-04,16.7,8508
37,0,0.002080,1.00e-04,17.4,8508
38,0,0.035440,1.00e-04,17.8,8508
39,0,0.019599,1.00e-04,18.1,8508
40,0,0.040530,1.00e-04,18.5,8508
41,0,0.038080,1.00e-04,18.8,8508
42,0,0.018808,1.00e-04,19.2,8508
43,0,0.034441,1.00e-04,19.6,8508
44,0,0.065749,1.00e-04,19.9,8508
45,0,0.024459,1.00e-04,20.3,8508
46,0,0.089751,1.00e-04,20.9,8508
47,0,0.076671,1.00e-04,21.3,8508
48,0,0.048281,1.00e-04,21.7,8508
49,0,0.034685,1.00e-04,22.0,8508
50,0,0.015720,1.00e-04,22.4,8508
51,0,0.017426,1.00e-04,22.9,8508
52,0,0.072547,1.00e-04,23.2,8508
53,0,0.005010,1.00e-04,23.6,8508
54,0,0.019280,1.00e-04,24.1,8508
55,0,0.036460,1.00e-04,24.5,8508
56,0,0.076844,1.00e-04,24.9,8508
57,0,0.202028,1.00e-04,25.3,8508
58,0,0.271294,1.00e-04,25.7,8508
59,0,0.084330,1.00e-04,26.1,8508
60,0,0.047597,1.00e-04,26.5,8508
61,0,0.007034,1.00e-04,26.8,8508
62,0,0.031119,1.00e-04,27.2,8508
63,0,0.067569,1.00e-04,27.5,8508
64,0,0.111786,1.00e-04,27.9,8508
65,0,0.070213,1.00e-04,28.2,8508
66,0,0.072243,1.00e-04,28.6,8508
67,0,0.138829,1.00e-04,29.0,8508
68,0,0.069910,1.00e-04,29.4,8508
69,0,0.124040,1.00e-04,29.8,8508
70,0,0.051984,1.00e-04,30.1,8508
71,0,0.035400,1.00e-04,30.5,8508
72,0,0.115835,1.00e-04,30.9,8508
73,0,0.112904,1.00e-04,31.3,8508
74,0,0.039436,1.00e-04,31.6,8508
75,0,0.039495,1.00e-04,32.0,8508
76,0,0.012815,1.00e-04,32.4,8508
77,0,0.035180,1.00e-04,32.9,8508
78,0,0.142224,1.00e-04,33.3,8508
79,0,0.016362,1.00e-04,33.6,8508
80,0,0.002761,1.00e-04,34.0,8508
81,0,0.098276,1.00e-04,34.4,8508
82,0,0.048023,1.00e-04,34.8,8508
83,0,0.062456,1.00e-04,35.2,8508
84,0,0.511271,1.00e-04,35.7,8508
85,0,0.022579,1.00e-04,36.1,8508
86,0,0.004048,1.00e-04,36.4,8508
87,0,0.012887,1.00e-04,36.9,8508
88,0,0.237465,1.00e-04,37.3,8508
89,0,0.033548,1.00e-04,37.7,8508
90,0,0.100940,1.00e-04,38.0,8508
91,0,0.018294,1.00e-04,38.3,8508
92,0,0.046207,1.00e-04,38.7,8508
93,0,0.035302,1.00e-04,39.1,8508
94,0,0.039898,1.00e-04,39.5,8508
95,0,0.011416,1.00e-04,39.9,8508
96,0,0.093401,1.00e-04,40.3,8508
97,0,0.002745,1.00e-04,40.7,8508
98,0,0.035543,1.00e-04,41.1,8508
99,0,0.092374,1.00e-04,41.5,8508
100,0,0.052582,1.00e-04,41.9,8508
101,0,0.070344,1.00e-04,42.3,8508
102,0,0.034938,1.00e-04,42.6,8508
103,0,0.199284,1.00e-04,43.0,8508
104,0,0.065703,1.00e-04,43.3,8508
105,0,0.043096,1.00e-04,43.6,8508
106,0,0.005380,1.00e-04,44.0,8508
107,0,0.081250,1.00e-04,44.3,8508
108,0,0.242158,1.00e-04,44.7,8508
109,0,0.047435,1.00e-04,45.0,8508
110,0,0.100338,1.00e-04,45.4,8508
111,0,0.159724,1.00e-04,45.8,8508
112,0,0.034050,1.00e-04,46.2,8508
113,0,0.046655,1.00e-04,46.7,8508
114,0,0.081619,1.00e-04,47.1,8508
115,0,0.009826,1.00e-04,47.5,8508
116,0,0.013522,1.00e-04,47.9,8508
117,0,0.081492,1.00e-04,48.4,8508
118,0,0.099774,1.00e-04,48.7,8508
119,0,0.016540,1.00e-04,49.2,8508
120,0,0.017485,1.00e-04,49.6,8508
121,0,0.039485,1.00e-04,50.1,8508
122,0,0.024654,1.00e-04,50.5,8508
123,0,0.260107,1.00e-04,50.9,8508
124,0,0.066660,1.00e-04,51.3,8508
125,0,0.025270,1.00e-04,51.7,8508
126,0,0.155536,1.00e-04,52.2,8508
127,0,0.080885,1.00e-04,52.6,8508
128,0,0.028961,1.00e-04,53.0,8508
129,0,0.042182,1.00e-04,53.3,8508
130,0,0.163375,1.00e-04,53.7,8508
131,0,0.052799,1.00e-04,54.1,8508
132,0,0.029275,1.00e-04,54.4,8508
133,0,0.050523,1.00e-04,54.8,8508
134,0,0.140516,1.00e-04,55.4,8508
135,0,0.023042,1.00e-04,55.8,8508
136,0,0.060556,1.00e-04,56.1,8508
137,0,0.053246,1.00e-04,56.5,8508
138,0,0.030091,1.00e-04,56.9,8508
139,0,0.097988,1.00e-04,57.3,8508
140,0,0.061610,1.00e-04,57.7,8508
141,0,0.035530,1.00e-04,58.1,8508
142,0,0.024448,1.00e-04,58.5,8508
143,0,0.033731,1.00e-04,59.0,8508
144,0,0.101560,1.00e-04,59.4,8508
145,0,0.007121,1.00e-04,59.8,8508
146,0,0.050003,1.00e-04,60.2,8508
147,0,0.006390,1.00e-04,60.8,8508
148,0,0.111466,1.00e-04,61.1,8508
149,0,0.033154,1.00e-04,61.5,8508
150,0,0.040676,1.00e-04,61.8,8508
151,0,0.083217,1.00e-04,62.2,8508
152,0,0.075945,1.00e-04,62.6,8508
153,0,0.083671,1.00e-04,63.0,8508
154,0,0.086138,1.00e-04,63.5,8508
155,0,0.150959,1.00e-04,63.9,8508
156,0,0.118316,1.00e-04,64.3,8508
157,0,0.030803,1.00e-04,64.7,8508
158,0,0.039829,1.00e-04,65.2,8508
159,0,0.313923,1.00e-04,65.7,8508
160,0,0.018752,1.00e-04,66.1,8508
161,0,0.006209,1.00e-04,66.5,8508
162,0,0.089213,1.00e-04,66.9,8508
163,0,0.256754,1.00e-04,67.8,8508
164,0,0.051317,1.00e-04,68.1,8508
165,0,0.009428,1.00e-04,68.5,8508
166,0,0.034902,1.00e-04,68.9,8508
167,0,0.053713,1.00e-04,69.2,8508
168,0,0.020896,1.00e-04,69.7,8508
169,0,0.023513,1.00e-04,70.0,8508
170,0,0.102260,1.00e-04,70.5,8508
171,0,0.023267,1.00e-04,70.9,8508
172,0,0.018225,1.00e-04,71.3,8508
173,0,0.085460,1.00e-04,71.7,8508
174,0,0.042988,1.00e-04,72.0,8508
175,0,0.172836,1.00e-04,72.4,8508
176,0,0.044503,1.00e-04,72.7,8508
177,0,0.044800,1.00e-04,73.1,8508
178,0,0.055001,1.00e-04,73.5,8508
179,0,0.011042,1.00e-04,73.9,8508
180,0,0.051088,1.00e-04,74.3,8508
181,0,0.069496,1.00e-04,74.8,8508
182,0,0.004115,1.00e-04,75.1,8508
183,0,0.023137,1.00e-04,75.6,8508
184,0,0.106729,1.00e-04,76.0,8508
185,0,0.039068,1.00e-04,76.4,8508
186,0,0.032886,1.00e-04,76.8,8508
187,0,0.104894,1.00e-04,77.1,8508
188,0,0.010809,1.00e-04,77.5,8508
