step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.279988,5.00e-05,3.0,8463
2,0,0.034536,5.00e-05,3.5,8482
3,0,0.117800,5.00e-05,3.9,8482
4,0,0.042364,5.00e-05,4.4,8482
5,0,0.184700,5.00e-05,4.7,8495
6,0,0.196214,5.00e-05,5.1,8508
7,0,0.244900,5.00e-05,5.6,8508
8,0,0.029654,5.00e-05,6.0,8508
9,0,0.059908,5.00e-05,6.5,8508
10,0,0.304831,5.00e-05,6.9,8508
11,0,0.141450,5.00e-05,7.3,8508
12,0,0.147049,5.00e-05,7.7,8508
13,0,0.030149,5.00e-05,8.6,8508
14,0,0.043928,5.00e-05,9.0,8508
15,0,0.030501,5.00e-05,9.4,8508
16,0,0.119383,5.00e-05,9.8,8508
17,0,0.105324,5.00e-05,10.2,8508
18,0,0.056728,5.00e-05,10.6,8508
19,0,0.033909,5.00e-05,10.9,8508
20,0,0.034525,5.00e-05,11.3,8508
21,0,0.005086,5.00e-05,11.7,8508
22,0,0.049231,5.00e-05,12.2,8508
23,0,0.041756,5.00e-05,12.7,8508
24,0,0.079109,5.00e-05,13.1,8508
25,0,0.062382,5.00e-05,13.5,8508
26,0,0.066826,5.00e-05,13.8,8508
27,0,0.028765,5.00e-05,14.3,8508
28,0,0.048917,5.00e-05,14.7,8508
29,0,0.218251,5.00e-05,15.1,8508
30,0,0.034447,5.00e-05,15.5,8508
31,0,0.036160,5.00e-05,15.8,8508
32,0,0.119886,5.00e-05,16.6,8508
33,0,0.142748,5.00e-05,17.1,8508
34,0,0.024211,5.00e-05,17.6,8508
35,0,0.100202,5.00e-05,17.9,8508
36,0,0.006339,5.00e-05,18.3,8508
37,0,0.002135,5.00e-05,18.7,8508
38,0,0.037301,5.00e-05,19.1,8508
39,0,0.037016,5.00e-05,19.4,8508
40,0,0.062492,5.00e-05,19.9,8508
41,0,0.093558,5.00e-05,20.3,8508
42,0,0.046499,5.00e-05,21.1,8508
43,0,0.175116,5.00e-05,21.6,8508
44,0,0.096451,5.00e-05,21.9,8508
45,0,0.047242,5.00e-05,22.3,8508
46,0,0.137902,5.00e-05,22.7,8508
47,0,0.114024,5.00e-05,23.0,8508
48,0,0.215505,5.00e-05,23.5,8508
49,0,0.100830,5.00e-05,24.0,8508
50,0,0.031350,5.00e-05,24.3,8508
51,0,0.009637,5.00e-05,24.8,8508
52,0,0.080018,5.00e-05,25.3,8508
53,0,0.005549,5.00e-05,25.7,8508
54,0,0.040626,5.00e-05,26.1,8508
55,0,0.061400,5.00e-05,26.6,8508
56,0,0.102917,5.00e-05,27.1,8508
57,0,0.105594,5.00e-05,27.6,8508
58,0,0.339127,5.00e-05,28.0,8508
59,0,0.073272,5.00e-05,28.4,8508
60,0,0.090042,5.00e-05,28.9,8508
61,0,0.013476,5.00e-05,29.3,8508
62,0,0.024506,5.00e-05,29.7,8508
63,0,0.094887,5.00e-05,30.1,8508
64,0,0.107844,5.00e-05,30.5,8508
65,0,0.043241,5.00e-05,31.0,8508
66,0,0.184066,5.00e-05,31.5,8508
67,0,0.306923,5.00e-05,31.9,8508
68,0,0.083540,5.00e-05,32.3,8508
69,0,0.211411,5.00e-05,32.8,8508
70,0,0.063104,5.00e-05,33.3,8508
71,0,0.082172,5.00e-05,33.7,8508
72,0,0.111273,5.00e-05,34.0,8508
73,0,0.162214,5.00e-05,34.5,8508
74,0,0.050076,5.00e-05,35.0,8508
75,0,0.096263,5.00e-05,35.4,8508
76,0,0.021824,5.00e-05,35.8,8508
77,0,0.051574,5.00e-05,36.2,8508
78,0,0.154108,5.00e-05,36.6,8508
79,0,0.040612,5.00e-05,37.0,8508
80,0,0.006039,5.00e-05,37.3,8508
81,0,0.060146,5.00e-05,37.7,8508
82,0,0.042374,5.00e-05,38.2,8508
83,0,0.078216,5.00e-05,38.6,8508
84,0,0.269117,5.00e-05,39.0,8508
85,0,0.033526,5.00e-05,39.4,8508
86,0,0.005991,5.00e-05,39.8,8508
87,0,0.014702,5.00e-05,40.2,8508
88,0,0.134034,5.00e-05,40.9,8508
89,0,0.068452,5.00e-05,41.2,8508
90,0,0.098814,5.00e-05,41.7,8508
91,0,0.079334,5.00e-05,42.1,8508
92,0,0.051736,5.00e-05,42.6,8508
93,0,0.049115,5.00e-05,43.0,8508
94,0,0.039366,5.00e-05,43.3,8508
95,0,0.012662,5.00e-05,43.9,8508
96,0,0.138881,5.00e-05,44.3,8508
97,0,0.002308,5.00e-05,44.8,8508
98,0,0.111120,5.00e-05,45.2,8508
99,0,0.054189,5.00e-05,45.7,8508
100,0,0.081682,5.00e-05,46.3,8508
101,0,0.068785,5.00e-05,46.7,8508
102,0,0.019292,5.00e-05,47.1,8508
103,0,0.192576,5.00e-05,47.5,8508
104,0,0.108312,5.00e-05,47.9,8508
105,0,0.077935,5.00e-05,48.3,8508
106,0,0.006753,5.00e-05,48.7,8508
107,0,0.114666,5.00e-05,49.0,8508
108,0,0.196367,5.00e-05,49.4,8508
