step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.177293,1.00e-04,14.0,8463
2,0,0.033929,1.00e-04,14.6,8482
3,0,0.057307,1.00e-04,15.2,8482
4,0,0.054685,1.00e-04,15.7,8482
5,0,0.121196,1.00e-04,16.3,8495
6,0,0.328517,1.00e-04,16.9,8508
7,0,0.119997,1.00e-04,17.4,8508
8,0,0.033823,1.00e-04,18.0,8508
9,0,0.013725,1.00e-04,18.6,8508
10,0,0.299500,1.00e-04,19.1,8508
11,0,0.143936,1.00e-04,19.7,8508
12,0,0.114432,1.00e-04,20.3,8508
13,0,0.114586,1.00e-04,20.8,8508
14,0,0.020644,1.00e-04,21.2,8508
15,0,0.033605,1.00e-04,21.5,8508
16,0,0.049457,1.00e-04,21.8,8508
17,0,0.080689,1.00e-04,22.0,8508
18,0,0.065722,1.00e-04,22.3,8508
19,0,0.068394,1.00e-04,22.6,8508
20,0,0.044609,1.00e-04,22.9,8508
21,0,0.004519,1.00e-04,23.3,8508
22,0,0.038950,1.00e-04,23.5,8508
23,0,0.035302,1.00e-04,23.9,8508
24,0,0.064918,1.00e-04,24.2,8508
25,0,0.074737,1.00e-04,24.5,8508
26,0,0.055972,1.00e-04,24.8,8508
27,0,0.020496,1.00e-04,25.1,8508
28,0,0.026397,1.00e-04,25.4,8508
29,0,0.274660,1.00e-04,25.7,8508
30,0,0.082516,1.00e-04,26.2,8508
31,0,0.041660,1.00e-04,26.7,8508
32,0,0.111147,1.00e-04,27.2,8508
33,0,0.102804,1.00e-04,27.7,8508
34,0,0.020254,1.00e-04,28.1,8508
35,0,0.046064,1.00e-04,28.6,8508
36,0,0.008633,1.00e-04,29.1,8508
37,0,0.002154,1.00e-04,29.5,8508
38,0,0.015419,1.00e-04,30.0,8508
39,0,0.026246,1.00e-04,30.5,8508
40,0,0.086745,1.00e-04,31.0,8508
41,0,0.099502,1.00e-04,31.5,8508
42,0,0.062698,1.00e-04,32.0,8508
43,0,0.341105,1.00e-04,32.4,8508
44,0,0.054017,1.00e-04,32.9,8508
45,0,0.038740,1.00e-04,33.4,8508
46,0,0.225923,1.00e-04,33.9,8508
47,0,0.078572,1.00e-04,34.4,8508
48,0,0.129844,1.00e-04,34.9,8508
49,0,0.077679,1.00e-04,35.3,8508
50,0,0.026043,1.00e-04,35.8,8508
51,0,0.021776,1.00e-04,36.3,8508
52,0,0.020659,1.00e-04,36.8,8508
53,0,0.003303,1.00e-04,37.3,8508
54,0,0.058638,1.00e-04,37.8,8508
55,0,0.039825,1.00e-04,38.4,8508
56,0,0.031116,1.00e-04,38.9,8508
57,0,0.034984,1.00e-04,39.5,8508
58,0,0.345418,1.00e-04,40.1,8508
59,0,0.021868,1.00e-04,40.6,8508
60,0,0.071791,1.00e-04,41.2,8508
61,0,0.009296,1.00e-04,41.8,8508
62,0,0.012608,1.00e-04,42.3,8508
63,0,0.103979,1.00e-04,42.9,8508
64,0,0.097782,1.00e-04,43.5,8508
65,0,0.037439,1.00e-04,44.0,8508
66,0,0.146160,1.00e-04,44.6,8508
67,0,0.249746,1.00e-04,45.2,8508
68,0,0.088239,1.00e-04,45.8,8508
69,0,0.132931,1.00e-04,46.3,8508
70,0,0.020299,1.00e-04,46.9,8508
71,0,0.035082,1.00e-04,47.4,8508
72,0,0.072995,1.00e-04,48.0,8508
73,0,0.094126,1.00e-04,48.6,8508
74,0,0.049888,1.00e-04,49.1,8508
75,0,0.087489,1.00e-04,49.7,8508
76,0,0.008512,1.00e-04,50.2,8508
77,0,0.018727,1.00e-04,50.8,8508
78,0,0.058194,1.00e-04,51.4,8508
79,0,0.042582,1.00e-04,51.9,8508
80,0,0.003070,1.00e-04,52.5,8508
81,0,0.087332,1.00e-04,53.1,8508
82,0,0.037515,1.00e-04,53.6,8508
83,0,0.024045,1.00e-04,54.2,8508
84,0,0.254961,1.00e-04,54.8,8508
85,0,0.050376,1.00e-04,55.3,8508
86,0,0.004850,1.00e-04,55.9,8508
87,0,0.012231,1.00e-04,56.5,8508
88,0,0.172840,1.00e-04,57.0,8508
89,0,0.071475,1.00e-04,57.6,8508
90,0,0.133692,1.00e-04,58.2,8508
91,0,0.060751,1.00e-04,58.7,8508
92,0,0.079712,1.00e-04,59.3,8508
93,0,0.078305,1.00e-04,59.9,8508
94,0,0.077709,1.00e-04,60.5,8508
