step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.266422,1.00e-04,3.1,8463
2,0,0.028313,1.00e-04,3.5,8482
3,0,0.080528,1.00e-04,3.9,8482
4,0,0.038607,1.00e-04,4.4,8482
5,0,0.074319,1.00e-04,4.9,8495
6,0,0.310760,1.00e-04,5.3,8508
7,0,0.115489,1.00e-04,5.6,8508
8,0,0.050589,1.00e-04,6.0,8508
9,0,0.040745,1.00e-04,6.5,8508
10,0,0.273636,1.00e-04,6.9,8508
11,0,0.127160,1.00e-04,7.3,8508
12,0,0.261370,1.00e-04,7.7,8508
13,0,0.055243,1.00e-04,8.0,8508
14,0,0.026692,1.00e-04,8.4,8508
15,0,0.029616,1.00e-04,8.8,8508
16,0,0.070079,1.00e-04,9.1,8508
17,0,0.084442,1.00e-04,9.5,8508
18,0,0.039057,1.00e-04,10.0,8508
19,0,0.083099,1.00e-04,10.3,8508
20,0,0.019144,1.00e-04,10.7,8508
21,0,0.003286,1.00e-04,11.0,8508
22,0,0.014567,1.00e-04,11.4,8508
23,0,0.023218,1.00e-04,11.9,8508
24,0,0.064271,1.00e-04,12.2,8508
25,0,0.051441,1.00e-04,12.7,8508
26,0,0.202148,1.00e-04,13.0,8508
27,0,0.007733,1.00e-04,13.4,8508
28,0,0.011045,1.00e-04,13.8,8508
29,0,0.121074,1.00e-04,14.3,8508
30,0,0.068007,1.00e-04,14.6,8508
31,0,0.014818,1.00e-04,15.0,8508
32,0,0.061606,1.00e-04,15.3,8508
33,0,0.044167,1.00e-04,15.7,8508
34,0,0.008721,1.00e-04,16.2,8508
35,0,0.094878,1.00e-04,16.5,8508
36,0,0.005840,1.00e-04,16.9,8508
37,0,0.002080,1.00e-04,17.5,8508
38,0,0.035440,1.00e-04,17.9,8508
39,0,0.019600,1.00e-04,18.3,8508
40,0,0.040527,1.00e-04,18.7,8508
41,0,0.038082,1.00e-04,19.1,8508
42,0,0.018807,1.00e-04,19.4,8508
43,0,0.034440,1.00e-04,19.8,8508
44,0,0.065748,1.00e-04,20.2,8508
45,0,0.024459,1.00e-04,20.6,8508
46,0,0.089750,1.00e-04,21.1,8508
47,0,0.076672,1.00e-04,21.6,8508
48,0,0.048282,1.00e-04,21.9,8508
49,0,0.034683,1.00e-04,22.3,8508
50,0,0.015720,1.00e-04,22.6,8508
51,0,0.017427,1.00e-04,23.1,8508
52,0,0.072548,1.00e-04,23.5,8508
53,0,0.005010,1.00e-04,23.8,8508
54,0,0.019280,1.00e-04,24.3,8508
55,0,0.036461,1.00e-04,24.8,8508
56,0,0.076844,1.00e-04,25.2,8508
57,0,0.202027,1.00e-04,25.6,8508
58,0,0.271304,1.00e-04,25.9,8508
59,0,0.084322,1.00e-04,26.3,8508
60,0,0.047595,1.00e-04,26.7,8508
61,0,0.007034,1.00e-04,27.0,8508
62,0,0.031120,1.00e-04,27.4,8508
63,0,0.067570,1.00e-04,27.8,8508
64,0,0.111791,1.00e-04,28.1,8508
65,0,0.070211,1.00e-04,28.4,8508
66,0,0.072244,1.00e-04,28.8,8508
67,0,0.138829,1.00e-04,29.2,8508
68,0,0.069909,1.00e-04,29.6,8508
69,0,0.124040,1.00e-04,30.0,8508
70,0,0.051984,1.00e-04,30.3,8508
71,0,0.035401,1.00e-04,30.7,8508
72,0,0.115833,1.00e-04,31.1,8508
73,0,0.112904,1.00e-04,31.4,8508
74,0,0.039437,1.00e-04,31.8,8508
75,0,0.039494,1.00e-04,32.2,8508
76,0,0.012815,1.00e-04,32.6,8508
77,0,0.035178,1.00e-04,33.0,8508
78,0,0.142226,1.00e-04,33.5,8508
79,0,0.016359,1.00e-04,33.8,8508
80,0,0.002761,1.00e-04,34.2,8508
81,0,0.098276,1.00e-04,34.6,8508
82,0,0.048026,1.00e-04,35.0,8508
83,0,0.062453,1.00e-04,35.5,8508
84,0,0.511268,1.00e-04,35.9,8508
85,0,0.022581,1.00e-04,36.3,8508
86,0,0.004048,1.00e-04,36.6,8508
87,0,0.012887,1.00e-04,37.1,8508
88,0,0.237464,1.00e-04,37.5,8508
89,0,0.033549,1.00e-04,37.8,8508
90,0,0.100942,1.00e-04,38.2,8508
91,0,0.018296,1.00e-04,38.6,8508
92,0,0.046207,1.00e-04,38.9,8508
93,0,0.035305,1.00e-04,39.3,8508
94,0,0.039897,1.00e-04,39.8,8508
95,0,0.011417,1.00e-04,40.1,8508
96,0,0.093402,1.00e-04,40.5,8508
97,0,0.002745,1.00e-04,40.9,8508
98,0,0.035543,1.00e-04,41.3,8508
99,0,0.092372,1.00e-04,41.8,8508
100,0,0.052581,1.00e-04,42.1,8508
101,0,0.070343,1.00e-04,42.5,8508
102,0,0.034938,1.00e-04,42.9,8508
103,0,0.199279,1.00e-04,43.2,8508
104,0,0.065704,1.00e-04,43.6,8508
105,0,0.043097,1.00e-04,44.0,8508
106,0,0.005381,1.00e-04,44.3,8508
107,0,0.081249,1.00e-04,44.6,8508
108,0,0.242167,1.00e-04,45.0,8508
109,0,0.047436,1.00e-04,45.4,8508
110,0,0.100340,1.00e-04,45.8,8508
111,0,0.159722,1.00e-04,46.2,8508
112,0,0.034049,1.00e-04,46.5,8508
113,0,0.046654,1.00e-04,47.0,8508
114,0,0.081615,1.00e-04,47.5,8508
115,0,0.009826,1.00e-04,47.8,8508
116,0,0.013523,1.00e-04,48.3,8508
117,0,0.081489,1.00e-04,48.8,8508
118,0,0.099772,1.00e-04,49.1,8508
119,0,0.016537,1.00e-04,49.6,8508
120,0,0.017485,1.00e-04,50.0,8508
121,0,0.039483,1.00e-04,50.4,8508
122,0,0.024653,1.00e-04,50.8,8508
123,0,0.260102,1.00e-04,51.3,8508
124,0,0.066663,1.00e-04,51.6,8508
125,0,0.025271,1.00e-04,52.0,8508
126,0,0.155535,1.00e-04,52.5,8508
127,0,0.080879,1.00e-04,52.9,8508
128,0,0.028960,1.00e-04,53.2,8508
129,0,0.042183,1.00e-04,53.6,8508
130,0,0.163375,1.00e-04,54.0,8508
131,0,0.052800,1.00e-04,54.3,8508
132,0,0.029273,1.00e-04,54.7,8508
133,0,0.050522,1.00e-04,55.1,8508
134,0,0.140516,1.00e-04,55.7,8508
135,0,0.023041,1.00e-04,56.1,8508
136,0,0.060552,1.00e-04,56.4,8508
137,0,0.053245,1.00e-04,56.8,8508
138,0,0.030086,1.00e-04,57.2,8508
139,0,0.097989,1.00e-04,57.6,8508
140,0,0.061613,1.00e-04,58.0,8508
141,0,0.035529,1.00e-04,58.4,8508
142,0,0.024449,1.00e-04,58.8,8508
143,0,0.033730,1.00e-04,59.4,8508
144,0,0.101565,1.00e-04,59.7,8508
145,0,0.007121,1.00e-04,60.1,8508
146,0,0.050004,1.00e-04,60.6,8508
147,0,0.006391,1.00e-04,61.2,8508
148,0,0.111463,1.00e-04,61.5,8508
