step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.296653,2.00e-05,2.9,8463
2,0,0.029950,2.00e-05,3.3,8482
3,0,0.091106,2.00e-05,3.6,8482
4,0,0.061548,2.00e-05,4.0,8482
5,1,0.038129,2.00e-05,4.4,8495
6,1,0.016364,2.00e-05,4.8,8508
7,1,0.052478,2.00e-05,5.1,8508
8,1,0.143017,2.00e-05,5.4,8508
9,2,0.045895,2.00e-05,5.8,8508
10,2,0.008905,2.00e-05,6.1,8508
11,2,0.126437,2.00e-05,6.5,8508
12,2,0.185032,2.00e-05,6.7,8508
13,3,0.057430,2.00e-05,7.1,8508
14,3,0.096826,2.00e-05,7.5,8508
15,3,0.051157,2.00e-05,7.8,8508
16,3,0.014968,2.00e-05,8.0,8508
17,4,0.057727,2.00e-05,8.4,8508
18,4,0.068763,2.00e-05,8.8,8508
19,4,0.109857,2.00e-05,9.1,8508
20,4,0.029314,2.00e-05,9.4,8508
21,5,0.024889,2.00e-05,9.8,8508
22,5,0.026676,2.00e-05,10.1,8508
23,5,0.070046,2.00e-05,10.5,8508
24,5,0.010029,2.00e-05,10.7,8508
25,6,0.063184,2.00e-05,11.1,8508
26,6,0.105426,2.00e-05,11.5,8508
27,6,0.106171,2.00e-05,11.8,8508
28,6,0.076434,2.00e-05,12.1,8508
29,7,0.035978,2.00e-05,12.5,8508
30,7,0.213289,2.00e-05,12.9,8508
31,7,0.042139,2.00e-05,13.2,8508
32,7,0.008354,2.00e-05,13.4,8508
33,8,0.067008,2.00e-05,13.9,8508
34,8,0.100330,2.00e-05,14.2,8508
35,8,0.051674,2.00e-05,14.5,8508
36,8,0.028777,2.00e-05,14.8,8508
37,9,0.020947,2.00e-05,15.2,8508
38,9,0.080511,2.00e-05,15.6,8508
39,9,0.033018,2.00e-05,16.0,8508
40,9,0.110163,2.00e-05,16.2,8508
41,10,0.017346,2.00e-05,16.6,8508
42,10,0.078430,2.00e-05,17.0,8508
43,10,0.051398,2.00e-05,17.3,8508
44,10,0.080698,2.00e-05,17.6,8508
45,11,0.195412,2.00e-05,18.0,8508
46,11,0.047315,2.00e-05,18.3,8508
47,11,0.026590,2.00e-05,18.7,8508
48,11,0.007173,2.00e-05,18.9,8508
49,12,0.171281,2.00e-05,19.4,8508
50,12,0.036571,2.00e-05,19.8,8508
51,12,0.031624,2.00e-05,20.1,8508
52,12,0.011901,2.00e-05,20.4,8508
53,13,0.060172,2.00e-05,20.8,8508
54,13,0.085111,2.00e-05,21.1,8508
55,13,0.022355,2.00e-05,21.4,8508
56,13,0.019044,2.00e-05,21.7,8508
57,14,0.065614,2.00e-05,22.1,8508
58,14,0.021953,2.00e-05,22.5,8508
59,14,0.102320,2.00e-05,22.9,8508
60,14,0.081041,2.00e-05,23.1,8508
61,15,0.015012,2.00e-05,23.5,8508
62,15,0.050558,2.00e-05,23.9,8508
63,15,0.031906,2.00e-05,24.2,8508
64,15,0.066624,2.00e-05,24.4,8508
65,16,0.113067,2.00e-05,24.8,8508
66,16,0.164721,2.00e-05,25.2,8508
67,16,0.021512,2.00e-05,25.5,8508
68,16,0.002635,2.00e-05,25.8,8508
69,17,0.067539,2.00e-05,26.2,8508
70,17,0.110882,2.00e-05,26.5,8508
71,17,0.043592,2.00e-05,26.9,8508
72,17,0.002658,2.00e-05,27.1,8508
73,18,0.061143,2.00e-05,27.5,8508
74,18,0.077264,2.00e-05,27.9,8508
75,18,0.018496,2.00e-05,28.2,8508
76,18,0.124432,2.00e-05,28.5,8508
77,19,0.026963,2.00e-05,28.9,8508
78,19,0.023516,2.00e-05,29.2,8508
79,19,0.211806,2.00e-05,29.6,8508
80,19,0.003964,2.00e-05,29.8,8508
81,20,0.019553,2.00e-05,30.2,8508
82,20,0.067742,2.00e-05,30.6,8508
83,20,0.038454,2.00e-05,30.9,8508
84,20,0.192679,2.00e-05,31.2,8508
85,21,0.032385,2.00e-05,31.6,8508
86,21,0.066339,2.00e-05,31.9,8508
87,21,0.056438,2.00e-05,32.2,8508
88,21,0.226624,2.00e-05,32.5,8508
89,22,0.078570,2.00e-05,32.9,8508
90,22,0.037179,2.00e-05,33.3,8508
91,22,0.060389,2.00e-05,33.6,8508
92,22,0.218280,2.00e-05,33.8,8508
93,23,0.033083,2.00e-05,34.3,8508
94,23,0.074263,2.00e-05,34.6,8508
95,23,0.365455,2.00e-05,35.0,8508
96,23,0.008669,2.00e-05,35.2,8508
97,24,0.048279,2.00e-05,35.6,8508
98,24,0.033412,2.00e-05,36.0,8508
99,24,0.098330,2.00e-05,36.3,8508
100,24,0.019515,2.00e-05,36.6,8508
101,25,0.128793,2.00e-05,37.0,8508
102,25,0.117776,2.00e-05,37.4,8508
103,25,0.008481,2.00e-05,37.7,8508
104,25,0.011912,2.00e-05,38.0,8508
105,26,0.159094,2.00e-05,38.4,8508
106,26,0.060613,2.00e-05,38.8,8508
107,26,0.165867,2.00e-05,39.1,8508
108,26,0.036185,2.00e-05,39.4,8508
109,27,0.126955,2.00e-05,39.8,8508
110,27,0.006551,2.00e-05,40.1,8508
111,27,0.069783,2.00e-05,40.5,8508
112,27,0.079894,2.00e-05,40.7,8508
113,28,0.087802,2.00e-05,41.1,8508
114,28,0.134887,2.00e-05,41.5,8508
115,28,0.107083,2.00e-05,41.8,8508
116,28,0.123585,2.00e-05,42.1,8508
117,29,0.145781,2.00e-05,42.5,8508
118,29,0.004618,2.00e-05,42.9,8508
119,29,0.070675,2.00e-05,43.2,8508
120,29,0.020639,2.00e-05,43.5,8508
121,30,0.080087,2.00e-05,43.9,8508
122,30,0.080632,2.00e-05,44.2,8508
123,30,0.065897,2.00e-05,44.6,8508
124,30,0.138757,2.00e-05,44.8,8508
125,31,0.006693,2.00e-05,45.2,8508
