step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.434374,2.00e-05,2.9,8463
2,0,0.037782,2.00e-05,3.3,8482
3,0,0.062539,2.00e-05,3.8,8482
4,0,0.060690,2.00e-05,4.3,8482
5,0,0.193213,2.00e-05,4.7,8495
6,0,0.087350,2.00e-05,5.0,8508
7,0,0.182900,2.00e-05,5.5,8508
8,0,0.067015,2.00e-05,5.9,8508
9,0,0.027876,2.00e-05,6.5,8508
10,0,0.375639,2.00e-05,6.9,8508
11,0,0.138506,2.00e-05,7.8,8508
12,0,0.168049,2.00e-05,8.3,8508
13,0,0.096235,2.00e-05,8.7,8508
14,0,0.046037,2.00e-05,9.1,8508
15,0,0.024641,2.00e-05,9.5,8508
16,0,0.015421,2.00e-05,10.0,8508
17,0,0.058017,2.00e-05,10.4,8508
18,0,0.086684,2.00e-05,11.4,8508
19,0,0.074555,2.00e-05,11.8,8508
20,0,0.055325,2.00e-05,12.2,8508
21,0,0.006715,2.00e-05,12.6,8508
22,0,0.023029,2.00e-05,13.0,8508
23,0,0.020099,2.00e-05,13.5,8508
24,0,0.034156,2.00e-05,13.8,8508
25,0,0.079083,2.00e-05,14.2,8508
26,0,0.085066,2.00e-05,14.6,8508
27,0,0.014900,2.00e-05,15.1,8508
28,0,0.025156,2.00e-05,15.5,8508
29,0,0.067360,2.00e-05,15.9,8508
30,0,0.035515,2.00e-05,16.4,8508
31,0,0.035565,2.00e-05,16.8,8508
32,0,0.060798,2.00e-05,17.2,8508
33,0,0.070929,2.00e-05,17.8,8508
34,0,0.033719,2.00e-05,18.1,8508
35,0,0.038639,2.00e-05,18.5,8508
36,0,0.006952,2.00e-05,18.9,8508
37,0,0.002774,2.00e-05,19.4,8508
38,0,0.037278,2.00e-05,19.8,8508
39,0,0.023338,2.00e-05,20.2,8508
40,0,0.117251,2.00e-05,20.7,8508
41,0,0.089026,2.00e-05,21.1,8508
42,0,0.046935,2.00e-05,21.5,8508
43,0,0.151847,2.00e-05,21.9,8508
44,0,0.051697,2.00e-05,22.3,8508
45,0,0.021739,2.00e-05,22.7,8508
46,0,0.068511,2.00e-05,23.1,8508
47,0,0.092577,2.00e-05,23.5,8508
48,0,0.225930,2.00e-05,24.0,8508
49,0,0.099277,2.00e-05,24.4,8508
50,0,0.015364,2.00e-05,24.9,8508
51,0,0.023859,2.00e-05,25.4,8508
52,0,0.082632,2.00e-05,25.8,8508
53,0,0.004706,2.00e-05,26.2,8508
54,0,0.072545,2.00e-05,26.6,8508
55,0,0.041438,2.00e-05,27.0,8508
56,0,0.084687,2.00e-05,27.3,8508
57,0,0.145589,2.00e-05,27.8,8508
58,0,0.182843,2.00e-05,28.2,8508
59,0,0.054840,2.00e-05,28.5,8508
60,0,0.122224,2.00e-05,28.9,8508
61,0,0.013250,2.00e-05,29.3,8508
62,0,0.031023,2.00e-05,29.7,8508
63,0,0.041784,2.00e-05,30.1,8508
64,0,0.069747,2.00e-05,30.5,8508
65,0,0.019921,2.00e-05,31.0,8508
66,0,0.089834,2.00e-05,31.4,8508
67,0,0.217747,2.00e-05,31.9,8508
68,0,0.062309,2.00e-05,32.2,8508
69,0,0.058187,2.00e-05,32.7,8508
70,0,0.053525,2.00e-05,33.1,8508
71,0,0.066897,2.00e-05,33.6,8508
72,0,0.085918,2.00e-05,34.0,8508
73,0,0.141253,2.00e-05,34.7,8508
74,0,0.057135,2.00e-05,35.1,8508
75,0,0.074595,2.00e-05,36.0,8508
76,0,0.018176,2.00e-05,36.3,8508
77,0,0.053375,2.00e-05,36.7,8508
78,0,0.111250,2.00e-05,37.1,8508
79,0,0.056163,2.00e-05,37.6,8508
80,0,0.006280,2.00e-05,37.9,8508
81,0,0.049463,2.00e-05,38.4,8508
82,0,0.084875,2.00e-05,38.7,8508
83,0,0.030780,2.00e-05,39.2,8508
84,0,0.174794,2.00e-05,39.6,8508
85,0,0.041390,2.00e-05,40.1,8508
86,0,0.004805,2.00e-05,40.5,8508
87,0,0.016338,2.00e-05,40.8,8508
88,1,0.115884,2.00e-05,41.4,8508
89,1,0.079259,2.00e-05,41.8,8508
90,1,0.090224,2.00e-05,42.2,8508
91,1,0.062371,2.00e-05,42.6,8508
92,1,0.060768,2.00e-05,43.0,8508
93,1,0.060859,2.00e-05,43.4,8508
94,1,0.064310,2.00e-05,43.9,8508
95,1,0.012106,2.00e-05,44.4,8508
96,1,0.064165,2.00e-05,44.8,8508
97,1,0.003892,2.00e-05,45.2,8508
98,1,0.071570,2.00e-05,45.6,8508
99,1,0.069697,2.00e-05,45.9,8508
100,1,0.100230,2.00e-05,46.3,8508
101,1,0.095890,2.00e-05,46.7,8508
102,1,0.025658,2.00e-05,47.2,8508
103,1,0.180675,2.00e-05,47.7,8508
104,1,0.095306,2.00e-05,48.2,8508
105,1,0.105219,2.00e-05,48.6,8508
106,1,0.009318,2.00e-05,48.9,8508
107,1,0.090457,2.00e-05,49.5,8508
108,1,0.201677,2.00e-05,49.9,8508
109,1,0.081412,2.00e-05,50.5,8508
110,1,0.069822,2.00e-05,50.9,8508
111,1,0.134951,2.00e-05,51.2,8508
112,1,0.090640,2.00e-05,51.6,8508
113,1,0.043890,2.00e-05,52.1,8508
114,1,0.068658,2.00e-05,52.4,8508
115,1,0.008285,2.00e-05,52.8,8508
116,1,0.011450,2.00e-05,53.3,8508
117,1,0.096376,2.00e-05,53.9,8508
118,1,0.115878,2.00e-05,54.3,8508
119,1,0.074192,2.00e-05,54.6,8508
120,1,0.012499,2.00e-05,55.5,8508
121,1,0.115338,2.00e-05,55.8,8508
122,1,0.023743,2.00e-05,56.5,8508
123,1,0.187391,2.00e-05,56.9,8508
124,1,0.115165,2.00e-05,57.3,8508
125,1,0.035459,2.00e-05,57.8,8508
126,1,0.184649,2.00e-05,58.2,8508
127,1,0.038373,2.00e-05,58.5,8508
128,1,0.097355,2.00e-05,59.0,8508
129,1,0.034842,2.00e-05,59.4,8508
130,1,0.067894,2.00e-05,60.2,8508
131,1,0.103072,2.00e-05,60.6,8508
132,1,0.030008,2.00e-05,61.1,8508
133,1,0.059165,2.00e-05,61.4,8508
134,1,0.026747,2.00e-05,61.9,8508
135,1,0.021678,2.00e-05,62.4,8508
136,1,0.112812,2.00e-05,62.8,8508
137,1,0.072268,2.00e-05,63.3,8508
138,1,0.054571,2.00e-05,63.7,8508
139,1,0.077223,2.00e-05,64.1,8508
140,1,0.063682,2.00e-05,64.4,8508
141,1,0.035260,2.00e-05,65.0,8508
142,1,0.076948,2.00e-05,65.4,8508
143,1,0.042896,2.00e-05,65.8,8508
144,1,0.043983,2.00e-05,66.2,8508
145,1,0.012245,2.00e-05,66.7,8508
