step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.361899,5.00e-05,3.1,8463
2,0,0.033980,5.00e-05,3.5,8482
3,0,0.077464,5.00e-05,4.1,8482
4,0,0.057211,5.00e-05,4.5,8482
5,0,0.224151,5.00e-05,4.9,8495
6,1,0.123942,5.00e-05,5.4,8495
7,1,0.316035,5.00e-05,5.8,8508
8,1,0.038914,5.00e-05,6.3,8508
9,1,0.078244,5.00e-05,6.8,8508
10,1,0.427829,5.00e-05,7.1,8508
11,2,0.171563,5.00e-05,7.7,8508
12,2,0.183929,5.00e-05,8.1,8508
13,2,0.138856,5.00e-05,8.5,8508
14,2,0.025623,5.00e-05,9.1,8508
15,2,0.026616,5.00e-05,9.4,8508
16,3,0.138422,5.00e-05,10.0,8508
17,3,0.100852,5.00e-05,10.4,8508
18,3,0.048821,5.00e-05,10.9,8508
19,3,0.047799,5.00e-05,11.3,8508
20,3,0.040641,5.00e-05,11.6,8508
21,4,0.007622,5.00e-05,12.2,8508
22,4,0.036759,5.00e-05,12.6,8508
23,4,0.030373,5.00e-05,13.2,8508
24,4,0.159412,5.00e-05,13.5,8508
25,4,0.080229,5.00e-05,13.8,8508
26,5,0.170492,5.00e-05,14.4,8508
27,5,0.019162,5.00e-05,14.9,8508
28,5,0.019906,5.00e-05,15.3,8508
29,5,0.131678,5.00e-05,15.8,8508
30,5,0.078017,5.00e-05,16.1,8508
31,6,0.034667,5.00e-05,16.6,8508
32,6,0.096663,5.00e-05,17.0,8508
33,6,0.152255,5.00e-05,17.5,8508
34,6,0.038795,5.00e-05,18.0,8508
35,6,0.067689,5.00e-05,18.3,8508
36,7,0.007184,5.00e-05,18.9,8508
37,7,0.002437,5.00e-05,19.3,8508
38,7,0.028448,5.00e-05,19.8,8508
39,7,0.053469,5.00e-05,20.3,8508
40,7,0.084285,5.00e-05,20.6,8508
41,8,0.147935,5.00e-05,21.2,8508
42,8,0.039402,5.00e-05,21.7,8508
43,8,0.102460,5.00e-05,22.0,8508
44,8,0.086464,5.00e-05,22.6,8508
45,8,0.021659,5.00e-05,22.9,8508
46,9,0.058423,5.00e-05,23.5,8508
47,9,0.111614,5.00e-05,23.9,8508
48,9,0.236895,5.00e-05,24.5,8508
49,9,0.128723,5.00e-05,24.9,8508
50,9,0.017715,5.00e-05,25.2,8508
51,10,0.020014,5.00e-05,25.8,8508
52,10,0.043422,5.00e-05,26.3,8508
53,10,0.005422,5.00e-05,26.7,8508
54,10,0.059102,5.00e-05,27.2,8508
55,10,0.035083,5.00e-05,27.5,8508
56,11,0.069195,5.00e-05,28.1,8508
57,11,0.176698,5.00e-05,28.5,8508
58,11,0.126867,5.00e-05,29.0,8508
59,11,0.153307,5.00e-05,29.5,8508
60,11,0.135878,5.00e-05,29.8,8508
61,12,0.010264,5.00e-05,30.5,8508
62,12,0.025108,5.00e-05,30.9,8508
63,12,0.229485,5.00e-05,31.3,8508
64,12,0.138067,5.00e-05,31.7,8508
65,12,0.028515,5.00e-05,32.0,8508
66,13,0.054588,5.00e-05,32.6,8508
67,13,0.296325,5.00e-05,33.1,8508
68,13,0.118183,5.00e-05,33.5,8508
69,13,0.283507,5.00e-05,34.0,8508
70,13,0.072164,5.00e-05,34.3,8508
71,14,0.081756,5.00e-05,35.0,8508
