step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.388364,1.00e-04,15.5,8463
2,0,0.022528,1.00e-04,15.8,8482
3,0,0.068166,1.00e-04,16.1,8482
4,0,0.035950,1.00e-04,16.4,8482
5,0,0.137916,1.00e-04,16.7,8495
6,0,0.181454,1.00e-04,17.0,8508
7,0,0.370577,1.00e-04,17.2,8508
8,0,0.095673,1.00e-04,17.5,8508
9,0,0.029364,1.00e-04,17.8,8508
10,0,0.258670,1.00e-04,18.1,8508
11,0,0.160572,1.00e-04,18.4,8508
12,0,0.330780,1.00e-04,18.7,8508
13,0,0.144024,1.00e-04,19.0,8508
14,0,0.022172,1.00e-04,19.3,8508
15,0,0.035458,1.00e-04,19.6,8508
16,0,0.039057,1.00e-04,19.8,8508
17,0,0.097069,1.00e-04,20.1,8508
18,0,0.083994,1.00e-04,20.4,8508
19,0,0.051939,1.00e-04,20.7,8508
20,0,0.052165,1.00e-04,21.0,8508
21,0,0.005651,1.00e-04,21.3,8508
22,0,0.030838,1.00e-04,21.6,8508
23,0,0.027193,1.00e-04,21.9,8508
24,0,0.079555,1.00e-04,22.1,8508
25,0,0.084377,1.00e-04,22.4,8508
26,0,0.173175,1.00e-04,22.9,8508
27,0,0.019573,1.00e-04,23.4,8508
28,0,0.028702,1.00e-04,24.0,8508
29,0,0.197123,1.00e-04,24.6,8508
30,0,0.134755,1.00e-04,25.1,8508
31,0,0.034397,1.00e-04,25.7,8508
32,0,0.140903,1.00e-04,26.3,8508
33,0,0.120676,1.00e-04,26.8,8508
34,0,0.037671,1.00e-04,27.4,8508
35,0,0.055795,1.00e-04,27.9,8508
36,0,0.005861,1.00e-04,28.5,8508
37,0,0.004446,1.00e-04,29.1,8508
38,0,0.036898,1.00e-04,29.6,8508
39,0,0.024207,1.00e-04,30.2,8508
40,0,0.126988,1.00e-04,30.8,8508
41,0,0.092940,1.00e-04,31.3,8508
42,0,0.065528,1.00e-04,31.9,8508
43,0,0.298655,1.00e-04,32.5,8508
44,0,0.084640,1.00e-04,33.0,8508
45,0,0.025384,1.00e-04,33.6,8508
46,0,0.077929,1.00e-04,34.1,8508
47,0,0.115718,1.00e-04,34.7,8508
48,0,0.120476,1.00e-04,35.3,8508
49,0,0.077701,1.00e-04,35.8,8508
50,0,0.026018,1.00e-04,36.4,8508
51,0,0.017286,1.00e-04,37.0,8508
52,0,0.115061,1.00e-04,37.5,8508
