step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.270828,1.00e-04,15.8,8463
2,0,0.028500,1.00e-04,16.3,8482
3,0,0.082024,1.00e-04,16.9,8482
4,0,0.039098,1.00e-04,17.5,8482
5,0,0.078815,1.00e-04,18.1,8495
6,0,0.306359,1.00e-04,18.6,8508
7,0,0.117934,1.00e-04,19.2,8508
8,0,0.051152,1.00e-04,19.8,8508
9,0,0.043058,1.00e-04,20.3,8508
10,0,0.275831,1.00e-04,20.9,8508
11,0,0.126696,1.00e-04,21.5,8508
12,0,0.264253,1.00e-04,22.0,8508
13,0,0.055544,1.00e-04,22.6,8508
14,0,0.025255,1.00e-04,23.1,8508
15,0,0.029640,1.00e-04,23.7,8508
16,0,0.070714,1.00e-04,24.3,8508
17,0,0.085255,1.00e-04,24.8,8508
18,0,0.040103,1.00e-04,25.4,8508
19,0,0.087061,1.00e-04,26.0,8508
20,0,0.019285,1.00e-04,26.5,8508
21,0,0.003453,1.00e-04,27.1,8508
22,0,0.015286,1.00e-04,27.6,8508
23,0,0.023541,1.00e-04,28.2,8508
24,0,0.067978,1.00e-04,28.8,8508
25,0,0.051780,1.00e-04,29.3,8508
26,0,0.201904,1.00e-04,29.9,8508
27,0,0.007849,1.00e-04,30.5,8508
28,0,0.009449,1.00e-04,31.1,8508
29,0,0.122789,1.00e-04,31.6,8508
30,0,0.069029,1.00e-04,32.2,8508
31,0,0.014457,1.00e-04,32.7,8508
32,0,0.062800,1.00e-04,33.3,8508
33,0,0.046456,1.00e-04,33.8,8508
34,0,0.008802,1.00e-04,34.4,8508
35,0,0.094999,1.00e-04,35.0,8508
36,0,0.005758,1.00e-04,35.5,8508
37,0,0.002086,1.00e-04,36.1,8508
38,0,0.033751,1.00e-04,36.7,8508
39,0,0.019680,1.00e-04,37.2,8508
40,0,0.036114,1.00e-04,37.8,8508
41,0,0.039624,1.00e-04,38.3,8508
42,0,0.018964,1.00e-04,38.9,8508
43,0,0.035358,1.00e-04,39.5,8508
44,0,0.071120,1.00e-04,40.0,8508
45,0,0.022519,1.00e-04,40.6,8508
46,0,0.092219,1.00e-04,41.1,8508
47,0,0.077483,1.00e-04,41.7,8508
48,0,0.055030,1.00e-04,42.3,8508
49,0,0.035623,1.00e-04,42.8,8508
50,0,0.015799,1.00e-04,43.4,8508
51,0,0.018193,1.00e-04,44.0,8508
52,0,0.074355,1.00e-04,44.5,8508
53,0,0.005015,1.00e-04,45.1,8508
54,0,0.019196,1.00e-04,45.7,8508
55,0,0.037703,1.00e-04,46.2,8508
56,0,0.077126,1.00e-04,46.8,8508
57,0,0.201794,1.00e-04,47.4,8508
58,0,0.272648,1.00e-04,47.9,8508
59,0,0.084128,1.00e-04,48.5,8508
60,0,0.047660,1.00e-04,49.1,8508
61,0,0.007073,1.00e-04,49.7,8508
62,0,0.031705,1.00e-04,50.2,8508
63,0,0.068403,1.00e-04,50.8,8508
64,0,0.112836,1.00e-04,51.4,8508
65,0,0.067188,1.00e-04,51.9,8508
66,0,0.073517,1.00e-04,52.5,8508
67,0,0.138912,1.00e-04,53.0,8508
68,0,0.070029,1.00e-04,53.6,8508
69,0,0.125145,1.00e-04,54.1,8508
70,0,0.052318,1.00e-04,54.7,8508
71,0,0.033774,1.00e-04,55.3,8508
72,0,0.115591,1.00e-04,55.9,8508
73,0,0.111541,1.00e-04,56.4,8508
74,0,0.039463,1.00e-04,56.9,8508
75,0,0.039513,1.00e-04,57.5,8508
76,0,0.012676,1.00e-04,58.1,8508
77,0,0.035318,1.00e-04,58.6,8508
78,0,0.142932,1.00e-04,59.2,8508
79,0,0.016927,1.00e-04,59.8,8508
80,0,0.002782,1.00e-04,60.3,8508
81,0,0.098330,1.00e-04,60.9,8508
82,0,0.048420,1.00e-04,61.4,8508
83,0,0.066029,1.00e-04,62.0,8508
84,0,0.516380,1.00e-04,62.6,8508
85,0,0.023342,1.00e-04,63.1,8508
86,0,0.004049,1.00e-04,63.7,8508
