step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.369031,1.00e-04,20.0,8463
2,0,0.043957,1.00e-04,23.1,8482
3,0,0.057765,1.00e-04,23.5,8482
4,0,0.018301,1.00e-04,23.9,8482
5,0,0.197140,1.00e-04,27.1,8495
6,0,0.154921,1.00e-04,29.4,8508
7,0,0.236532,1.00e-04,29.8,8508
8,0,0.067522,1.00e-04,30.2,8508
9,0,0.039597,1.00e-04,32.3,8508
10,0,0.363055,1.00e-04,32.7,8508
11,0,0.068287,1.00e-04,34.6,8508
12,0,0.234538,1.00e-04,35.0,8508
13,0,0.070578,1.00e-04,35.2,8508
14,0,0.068705,1.00e-04,35.6,8508
15,0,0.030089,1.00e-04,36.4,8508
16,0,0.075594,1.00e-04,37.0,8508
17,0,0.065577,1.00e-04,37.5,8508
18,0,0.031182,1.00e-04,38.1,8508
19,0,0.063977,1.00e-04,38.7,8508
20,0,0.028467,1.00e-04,39.3,8508
21,0,0.005239,1.00e-04,39.8,8508
22,0,0.048982,1.00e-04,40.4,8508
23,0,0.030808,1.00e-04,41.0,8508
24,0,0.105749,1.00e-04,41.5,8508
25,0,0.053747,1.00e-04,42.1,8508
26,0,0.048817,1.00e-04,42.7,8508
27,0,0.014121,1.00e-04,43.3,8508
28,0,0.018802,1.00e-04,43.8,8508
29,0,0.165302,1.00e-04,44.4,8508
30,0,0.086082,1.00e-04,45.0,8508
31,0,0.029781,1.00e-04,46.6,8508
32,0,0.108400,1.00e-04,47.0,8508
33,0,0.099725,1.00e-04,47.4,8508
34,0,0.022315,1.00e-04,49.3,8508
35,0,0.057866,1.00e-04,49.6,8508
36,0,0.005118,1.00e-04,51.8,8508
37,0,0.004716,1.00e-04,52.1,8508
38,0,0.033107,1.00e-04,54.0,8508
39,0,0.037346,1.00e-04,54.4,8508
40,0,0.100413,1.00e-04,54.7,8508
41,0,0.077298,1.00e-04,57.2,8508
42,0,0.037782,1.00e-04,57.5,8508
