step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.264250,1.00e-04,20.1,8463
2,0,0.012547,1.00e-04,20.9,8482
3,0,0.099623,1.00e-04,22.6,8482
4,0,0.035891,1.00e-04,23.1,8482
5,0,0.264369,1.00e-04,25.3,8495
6,0,0.094754,1.00e-04,25.9,8508
7,0,0.262118,1.00e-04,27.5,8508
8,0,0.082631,1.00e-04,27.8,8508
9,0,0.028961,1.00e-04,30.3,8508
10,0,0.153681,1.00e-04,30.6,8508
11,0,0.059276,1.00e-04,32.2,8508
12,0,0.330266,1.00e-04,32.6,8508
13,0,0.035437,1.00e-04,33.0,8508
14,0,0.035615,1.00e-04,34.8,8508
15,0,0.024888,1.00e-04,35.1,8508
16,0,0.029627,1.00e-04,37.4,8508
17,0,0.057685,1.00e-04,37.9,8508
18,0,0.100577,1.00e-04,38.2,8508
19,0,0.018430,1.00e-04,39.9,8508
20,0,0.063545,1.00e-04,40.3,8508
21,0,0.005123,1.00e-04,42.2,8508
22,0,0.036908,1.00e-04,42.5,8508
23,0,0.063773,1.00e-04,42.9,8508
24,0,0.124893,1.00e-04,44.5,8508
25,0,0.090531,1.00e-04,44.8,8508
26,0,0.125251,1.00e-04,47.1,8508
27,0,0.026160,1.00e-04,47.4,8508
28,0,0.031652,1.00e-04,49.4,8508
29,0,0.251388,1.00e-04,49.7,8508
30,0,0.101361,1.00e-04,50.1,8508
31,0,0.030488,1.00e-04,51.8,8508
32,0,0.060598,1.00e-04,52.1,8508
33,0,0.039571,1.00e-04,54.3,8508
34,0,0.022862,1.00e-04,54.6,8508
35,0,0.083367,1.00e-04,56.9,8508
36,0,0.005236,1.00e-04,57.2,8508
37,0,0.003146,1.00e-04,59.1,8508
38,0,0.031001,1.00e-04,59.4,8508
39,0,0.090198,1.00e-04,61.6,8508
40,0,0.075315,1.00e-04,62.1,8508
41,0,0.076157,1.00e-04,65.7,8508
42,0,0.041456,1.00e-04,66.0,8508
43,0,0.113183,1.00e-04,68.8,8508
44,0,0.153888,1.00e-04,69.1,8508
45,0,0.019917,1.00e-04,71.0,8508
46,0,0.193870,1.00e-04,71.4,8508
47,0,0.069322,1.00e-04,75.0,8508
48,0,0.093032,1.00e-04,75.3,8508
49,0,0.078994,1.00e-04,77.1,8508
50,0,0.015261,1.00e-04,77.5,8508
51,0,0.014608,1.00e-04,77.8,8508
52,0,0.072185,1.00e-04,79.8,8508
53,0,0.003018,1.00e-04,80.3,8508
54,0,0.077759,1.00e-04,82.4,8508
55,0,0.100904,1.00e-04,82.9,8508
56,0,0.038554,1.00e-04,84.6,8508
57,0,0.082599,1.00e-04,85.0,8508
58,0,0.108375,1.00e-04,86.6,8508
59,0,0.057466,1.00e-04,86.9,8508
60,0,0.070841,1.00e-04,87.4,8508
61,0,0.008787,1.00e-04,87.9,8508
62,0,0.015091,1.00e-04,88.5,8508
63,0,0.071954,1.00e-04,89.9,8508
64,0,0.167631,1.00e-04,91.0,8508
65,0,0.046156,1.00e-04,92.1,8508
66,0,0.066029,1.00e-04,93.6,8508
67,0,0.236200,1.00e-04,94.1,8508
68,0,0.095470,1.00e-04,95.4,8508
69,0,0.220060,1.00e-04,97.7,8508
70,0,0.077706,1.00e-04,98.2,8508
71,0,0.056355,1.00e-04,101.5,8508
72,0,0.035417,1.00e-04,102.1,8508
73,0,0.091588,1.00e-04,104.2,8508
74,0,0.022990,1.00e-04,104.8,8508
75,0,0.045525,1.00e-04,106.6,8508
76,0,0.012962,1.00e-04,107.0,8508
77,0,0.033375,1.00e-04,110.4,8508
78,0,0.035405,1.00e-04,110.9,8508
79,0,0.012896,1.00e-04,113.6,8508
80,0,0.003830,1.00e-04,114.2,8508
81,0,0.053894,1.00e-04,117.5,8508
82,0,0.102016,1.00e-04,118.0,8508
83,0,0.015562,1.00e-04,121.1,8508
84,0,0.163595,1.00e-04,121.6,8508
85,0,0.081788,1.00e-04,124.2,8508
86,0,0.004087,1.00e-04,124.6,8508
87,0,0.018631,1.00e-04,126.6,8508
88,0,0.131639,1.00e-04,127.1,8508
89,0,0.031316,1.00e-04,130.2,8508
90,0,0.059040,1.00e-04,130.8,8508
91,0,0.092260,1.00e-04,133.4,8508
92,0,0.044865,1.00e-04,137.5,8508
93,0,0.048123,1.00e-04,138.2,8508
94,0,0.032846,1.00e-04,141.8,8508
95,0,0.018024,1.00e-04,142.5,8508
96,0,0.081898,1.00e-04,145.2,8508
97,0,0.005720,1.00e-04,148.5,8508
98,0,0.072865,1.00e-04,149.3,8508
99,0,0.070800,1.00e-04,152.4,8508
100,0,0.082504,1.00e-04,155.7,8508
101,0,0.174565,1.00e-04,156.3,8508
102,0,0.017507,1.00e-04,160.2,8508
103,0,0.216377,1.00e-04,160.8,8508
104,0,0.162799,1.00e-04,164.6,8508
105,0,0.106273,1.00e-04,165.1,8508
106,0,0.007234,1.00e-04,168.3,8508
107,0,0.031044,1.00e-04,171.4,8508
108,0,0.201969,1.00e-04,172.0,8508
109,0,0.084818,1.00e-04,175.2,8508
110,0,0.063533,1.00e-04,175.7,8508
111,0,0.106778,1.00e-04,178.9,8508
112,0,0.024320,1.00e-04,179.4,8508
113,0,0.024432,1.00e-04,183.3,8508
114,0,0.031947,1.00e-04,183.9,8508
115,0,0.005531,1.00e-04,186.4,8508
116,0,0.013750,1.00e-04,187.0,8508
117,0,0.113329,1.00e-04,189.9,8508
118,0,0.065725,1.00e-04,190.5,8508
119,0,0.107889,1.00e-04,193.4,8508
120,0,0.016406,1.00e-04,197.4,8508
121,0,0.051779,1.00e-04,198.0,8508
122,0,0.011598,1.00e-04,201.1,8508
123,0,0.156340,1.00e-04,201.7,8508
124,0,0.172281,1.00e-04,204.3,8508
125,0,0.122628,1.00e-04,207.8,8508
126,0,0.058261,1.00e-04,208.4,8508
127,0,0.072500,1.00e-04,211.9,8508
128,0,0.079269,1.00e-04,212.4,8508
129,0,0.051723,1.00e-04,216.3,8508
130,0,0.083249,1.00e-04,216.9,8508
131,0,0.064223,1.00e-04,219.2,8508
132,0,0.022049,1.00e-04,223.2,8508
133,0,0.052402,1.00e-04,223.9,8508
134,0,0.076598,1.00e-04,227.8,8508
135,0,0.037207,1.00e-04,231.3,8508
136,0,0.092212,1.00e-04,231.9,8508
137,0,0.060714,1.00e-04,235.3,8508
138,0,0.029809,1.00e-04,235.8,8508
139,0,0.028756,1.00e-04,238.4,8508
140,0,0.116857,1.00e-04,239.0,8508
141,0,0.097042,1.00e-04,241.8,8508
142,0,0.095447,1.00e-04,245.3,8508
143,0,0.075582,1.00e-04,245.8,8508
144,0,0.026490,1.00e-04,248.9,8508
145,0,0.017433,1.00e-04,249.7,8508
146,0,0.024998,1.00e-04,253.0,8508
147,0,0.017368,1.00e-04,255.9,8508
148,0,0.091843,1.00e-04,256.6,8508
149,0,0.088751,1.00e-04,259.4,8508
150,0,0.103299,1.00e-04,260.0,8508
151,0,0.164565,1.00e-04,263.4,8508
152,0,0.087350,1.00e-04,266.5,8508
153,0,0.088347,1.00e-04,267.1,8508
154,0,0.086677,1.00e-04,270.3,8508
155,0,0.067133,1.00e-04,273.5,8508
156,0,0.022706,1.00e-04,274.1,8508
157,0,0.025905,1.00e-04,278.0,8508
158,0,0.029195,1.00e-04,278.5,8508
159,0,0.093973,1.00e-04,281.7,8508
160,0,0.024436,1.00e-04,282.4,8508
161,0,0.006522,1.00e-04,286.1,8508
162,0,0.078482,1.00e-04,289.3,8508
163,0,0.298652,1.00e-04,289.9,8508
164,0,0.047878,1.00e-04,291.5,8508
165,0,0.008985,1.00e-04,291.8,8508
166,0,0.070063,1.00e-04,292.1,8508
167,0,0.043327,1.00e-04,292.7,8508
168,0,0.030191,1.00e-04,293.2,8508
169,0,0.055705,1.00e-04,294.7,8508
170,0,0.149700,1.00e-04,295.3,8508
171,0,0.016301,1.00e-04,296.1,8508
172,0,0.022190,1.00e-04,296.7,8508
173,0,0.047090,1.00e-04,297.3,8508
174,0,0.031546,1.00e-04,297.9,8508
175,0,0.281197,1.00e-04,298.5,8508
176,0,0.019770,1.00e-04,299.1,8508
177,0,0.043691,1.00e-04,300.3,8508
178,0,0.091237,1.00e-04,301.3,8508
179,0,0.006358,1.00e-04,302.4,8508
180,0,0.048089,1.00e-04,303.5,8508
181,0,0.075403,1.00e-04,304.6,8508
182,0,0.002716,1.00e-04,305.6,8508
183,0,0.040617,1.00e-04,306.7,8508
184,0,0.089832,1.00e-04,307.8,8508
185,0,0.060151,1.00e-04,308.9,8508
186,0,0.102647,1.00e-04,310.0,8508
187,0,0.367275,1.00e-04,311.1,8508
188,0,0.012672,1.00e-04,311.8,8508
189,0,0.025427,1.00e-04,313.3,8508
190,0,0.021758,1.00e-04,314.7,8508
191,0,0.089609,1.00e-04,315.3,8508
192,0,0.017958,1.00e-04,316.9,8508
193,0,0.021211,1.00e-04,318.3,8508
194,0,0.067997,1.00e-04,319.0,8508
195,0,0.003393,1.00e-04,320.3,8508
196,0,0.067897,1.00e-04,320.8,8508
197,0,0.163845,1.00e-04,322.1,8508
198,0,0.058986,1.00e-04,322.5,8508
199,0,0.082327,1.00e-04,323.9,8508
200,0,0.116285,1.00e-04,324.2,8508
201,0,0.070446,1.00e-04,349.4,8508
202,0,0.096101,1.00e-04,350.0,8512
203,0,0.044164,1.00e-04,351.4,8512
204,0,0.378020,1.00e-04,352.0,8512
205,0,0.376223,1.00e-04,353.2,8512
206,0,0.085214,1.00e-04,353.6,8512
207,0,0.021246,1.00e-04,355.1,8512
208,0,0.026679,1.00e-04,355.5,8512
209,0,0.025554,1.00e-04,356.8,8512
