step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.399182,1.00e-04,11.5,8463
2,0,0.006361,1.00e-04,12.0,8482
3,0,0.095164,1.00e-04,12.6,8482
4,0,0.022114,1.00e-04,13.2,8482
5,0,0.145546,1.00e-04,16.1,8495
6,0,0.159986,1.00e-04,16.8,8508
7,0,0.127534,1.00e-04,20.4,8508
8,0,0.032832,1.00e-04,21.0,8508
9,0,0.100574,1.00e-04,23.5,8508
10,0,0.464959,1.00e-04,24.1,8508
11,0,0.090150,1.00e-04,26.4,8508
12,0,0.131502,1.00e-04,29.3,8508
13,0,0.071432,1.00e-04,30.0,8508
14,0,0.029237,1.00e-04,33.0,8508
15,0,0.020797,1.00e-04,33.6,8508
16,0,0.100650,1.00e-04,36.6,8508
17,0,0.090177,1.00e-04,37.2,8508
18,0,0.070378,1.00e-04,40.9,8508
19,0,0.041741,1.00e-04,44.6,8508
20,0,0.029848,1.00e-04,45.1,8508
21,0,0.005234,1.00e-04,47.2,8508
22,0,0.025291,1.00e-04,47.8,8508
23,0,0.049321,1.00e-04,50.5,8508
24,0,0.131009,1.00e-04,51.2,8508
25,0,0.104166,1.00e-04,55.3,8508
26,1,0.047758,1.00e-04,62.3,8508
27,1,0.011830,1.00e-04,62.8,8508
28,1,0.018155,1.00e-04,63.3,8508
29,1,0.237081,1.00e-04,63.6,8508
30,1,0.116831,1.00e-04,66.6,8508
31,1,0.029537,1.00e-04,70.0,8508
32,1,0.068453,1.00e-04,70.6,8508
33,1,0.060704,1.00e-04,73.1,8508
34,1,0.028665,1.00e-04,73.8,8508
35,1,0.040613,1.00e-04,77.6,8508
36,1,0.006249,1.00e-04,80.5,8508
37,1,0.003919,1.00e-04,81.2,8508
38,1,0.008579,1.00e-04,84.4,8508
39,1,0.026959,1.00e-04,84.9,8508
40,1,0.084486,1.00e-04,87.1,8508
41,1,0.084799,1.00e-04,87.7,8508
42,1,0.030722,1.00e-04,90.2,8508
43,1,0.313542,1.00e-04,90.9,8508
44,1,0.110597,1.00e-04,93.8,8508
45,1,0.022843,1.00e-04,96.8,8508
46,1,0.114764,1.00e-04,97.3,8508
47,1,0.084272,1.00e-04,99.8,8508
48,1,0.190886,1.00e-04,100.3,8508
49,1,0.110148,1.00e-04,100.8,8508
50,1,0.015371,1.00e-04,102.7,8508
51,2,0.014449,1.00e-04,109.6,8508
52,2,0.022696,1.00e-04,110.1,8508
53,2,0.003193,1.00e-04,113.7,8508
54,2,0.043034,1.00e-04,114.3,8508
55,2,0.110652,1.00e-04,117.0,8508
56,2,0.078125,1.00e-04,120.4,8508
57,2,0.054880,1.00e-04,121.0,8508
58,2,0.232360,1.00e-04,124.3,8508
59,2,0.097129,1.00e-04,124.8,8508
60,2,0.154363,1.00e-04,127.3,8508
61,2,0.006742,1.00e-04,127.9,8508
62,2,0.015547,1.00e-04,130.4,8508
63,2,0.116152,1.00e-04,131.1,8508
64,2,0.081335,1.00e-04,134.3,8508
65,2,0.075025,1.00e-04,134.8,8508
66,2,0.041424,1.00e-04,138.0,8508
67,2,0.087821,1.00e-04,141.0,8508
68,2,0.026924,1.00e-04,141.6,8508
69,2,0.118928,1.00e-04,144.3,8508
70,2,0.118637,1.00e-04,144.9,8508
71,2,0.060967,1.00e-04,148.0,8508
72,2,0.039138,1.00e-04,148.5,8508
73,2,0.043584,1.00e-04,151.8,8508
74,2,0.040048,1.00e-04,152.3,8508
75,2,0.110981,1.00e-04,156.1,8508
76,3,0.007446,1.00e-04,163.0,8508
77,3,0.060822,1.00e-04,166.8,8508
78,3,0.180855,1.00e-04,167.4,8508
79,3,0.014878,1.00e-04,169.9,8508
80,3,0.004952,1.00e-04,170.5,8508
81,3,0.096836,1.00e-04,174.0,8508
82,3,0.100317,1.00e-04,174.5,8508
83,3,0.125948,1.00e-04,176.3,8508
84,3,0.103125,1.00e-04,176.7,8508
85,3,0.063217,1.00e-04,179.2,8508
86,3,0.005637,1.00e-04,180.0,8508
87,3,0.007928,1.00e-04,183.5,8508
88,3,0.059779,1.00e-04,187.4,8508
89,3,0.042044,1.00e-04,188.1,8508
90,3,0.102555,1.00e-04,191.2,8508
91,3,0.042287,1.00e-04,194.3,8508
92,3,0.101477,1.00e-04,195.0,8508
93,3,0.022947,1.00e-04,198.1,8508
94,3,0.050044,1.00e-04,202.0,8508
95,3,0.011826,1.00e-04,203.0,8508
96,3,0.035780,1.00e-04,203.6,8508
97,3,0.004203,1.00e-04,204.1,8508
98,3,0.057031,1.00e-04,204.6,8508
99,3,0.038870,1.00e-04,204.9,8508
100,3,0.073773,1.00e-04,208.4,8508
101,4,0.061504,1.00e-04,215.0,8508
102,4,0.041092,1.00e-04,215.5,8508
103,4,0.087814,1.00e-04,218.0,8508
104,4,0.065585,1.00e-04,221.4,8508
105,4,0.102525,1.00e-04,222.0,8508
106,4,0.009991,1.00e-04,225.9,8508
107,4,0.043203,1.00e-04,226.4,8508
108,4,0.181469,1.00e-04,228.8,8508
109,4,0.162531,1.00e-04,232.6,8508
110,4,0.027248,1.00e-04,233.2,8508
111,4,0.063867,1.00e-04,236.4,8508
112,4,0.049481,1.00e-04,237.0,8508
113,4,0.033787,1.00e-04,238.6,8508
114,4,0.048873,1.00e-04,239.2,8508
115,4,0.006550,1.00e-04,239.7,8508
116,4,0.010911,1.00e-04,240.3,8508
117,4,0.033152,1.00e-04,240.9,8508
118,4,0.157408,1.00e-04,241.4,8508
119,4,0.051588,1.00e-04,242.0,8508
120,4,0.009785,1.00e-04,242.6,8508
121,4,0.146109,1.00e-04,243.0,8508
122,4,0.047689,1.00e-04,243.3,8508
123,4,0.113742,1.00e-04,246.8,8508
124,4,0.143423,1.00e-04,249.7,8508
125,4,0.125605,1.00e-04,253.0,8508
126,5,0.055858,1.00e-04,259.6,8508
127,5,0.125839,1.00e-04,260.1,8508
128,5,0.038954,1.00e-04,262.8,8508
129,5,0.050140,1.00e-04,266.6,8508
130,5,0.074327,1.00e-04,267.3,8508
131,5,0.057186,1.00e-04,269.9,8508
132,5,0.024225,1.00e-04,270.4,8508
133,5,0.055280,1.00e-04,272.9,8508
134,5,0.114069,1.00e-04,273.4,8508
135,5,0.028041,1.00e-04,275.7,8508
136,5,0.090802,1.00e-04,276.3,8508
137,5,0.059742,1.00e-04,276.8,8508
138,5,0.057778,1.00e-04,277.4,8508
139,5,0.054508,1.00e-04,278.0,8508
140,5,0.097237,1.00e-04,278.5,8508
141,5,0.032780,1.00e-04,279.1,8508
142,5,0.049731,1.00e-04,279.5,8508
143,5,0.015441,1.00e-04,279.8,8508
144,5,0.010558,1.00e-04,282.6,8508
145,5,0.022196,1.00e-04,286.1,8508
146,5,0.015085,1.00e-04,286.8,8508
147,5,0.017535,1.00e-04,289.8,8508
148,5,0.075640,1.00e-04,292.9,8508
149,5,0.107869,1.00e-04,293.5,8508
150,5,0.123875,1.00e-04,296.2,8508
151,6,0.024871,1.00e-04,302.9,8508
152,6,0.171732,1.00e-04,306.7,8508
153,6,0.115220,1.00e-04,307.2,8508
154,6,0.109603,1.00e-04,309.9,8508
155,6,0.203131,1.00e-04,310.4,8508
156,6,0.070291,1.00e-04,313.5,8508
157,6,0.057362,1.00e-04,313.9,8508
158,6,0.022377,1.00e-04,314.2,8508
159,6,0.045331,1.00e-04,315.8,8508
160,6,0.017765,1.00e-04,316.1,8508
161,6,0.007822,1.00e-04,316.4,8508
162,6,0.066241,1.00e-04,317.5,8508
163,6,0.237547,1.00e-04,317.8,8508
164,6,0.074240,1.00e-04,318.1,8508
165,6,0.011109,1.00e-04,319.5,8508
166,6,0.053948,1.00e-04,319.8,8508
167,6,0.044338,1.00e-04,321.3,8508
