step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.361899,5.00e-05,3.0,8463
2,0,0.033980,5.00e-05,3.5,8482
3,0,0.077420,5.00e-05,4.1,8495
4,0,0.057209,5.00e-05,4.5,8508
5,0,0.224103,5.00e-05,4.8,8508
6,1,0.123906,5.00e-05,5.3,8508
7,1,0.316013,5.00e-05,5.7,8508
8,1,0.038895,5.00e-05,6.3,8508
9,1,0.078207,5.00e-05,6.7,8508
10,1,0.427737,5.00e-05,7.0,8508
11,2,0.171505,5.00e-05,7.6,8508
12,2,0.183848,5.00e-05,8.1,8508
13,2,0.138813,5.00e-05,8.4,8508
14,2,0.025598,5.00e-05,9.0,8508
15,2,0.026581,5.00e-05,9.3,8508
16,3,0.138405,5.00e-05,9.9,8508
17,3,0.100795,5.00e-05,10.3,8508
18,3,0.048730,5.00e-05,10.9,8508
19,3,0.047746,5.00e-05,11.3,8508
20,3,0.040614,5.00e-05,11.6,8508
21,4,0.007621,5.00e-05,12.2,8508
22,4,0.036747,5.00e-05,12.6,8508
23,4,0.030366,5.00e-05,13.2,8508
24,4,0.159406,5.00e-05,13.5,8508
