step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.297746,1.00e-04,2.9,8463
2,0,0.015667,1.00e-04,3.4,8482
3,0,0.038063,1.00e-04,3.8,8495
4,0,0.042260,1.00e-04,4.2,8508
5,0,0.100964,1.00e-04,4.6,8508
6,0,0.129565,1.00e-04,5.1,8508
7,0,0.321104,1.00e-04,5.5,8508
8,0,0.042977,1.00e-04,5.9,8508
9,0,0.058719,1.00e-04,6.3,8508
10,0,0.312415,1.00e-04,6.7,8508
11,0,0.105817,1.00e-04,7.0,8508
12,0,0.062649,1.00e-04,7.4,8508
13,0,0.041417,1.00e-04,7.8,8508
14,1,0.091831,1.00e-04,8.3,8508
15,1,0.126755,1.00e-04,8.7,8508
16,1,0.035983,1.00e-04,9.3,8508
17,1,0.019367,1.00e-04,9.7,8508
18,1,0.075863,1.00e-04,10.0,8508
19,1,0.071846,1.00e-04,10.5,8508
20,1,0.075014,1.00e-04,10.9,8508
21,1,0.004757,1.00e-04,11.3,8508
22,1,0.062139,1.00e-04,11.7,8508
23,1,0.088526,1.00e-04,12.0,8508
24,1,0.013540,1.00e-04,12.4,8508
25,1,0.016332,1.00e-04,12.7,8508
26,1,0.019163,1.00e-04,13.0,8508
27,2,0.015619,1.00e-04,13.5,8508
28,2,0.024173,1.00e-04,14.0,8508
29,2,0.047797,1.00e-04,14.4,8508
30,2,0.133931,1.00e-04,14.7,8508
31,2,0.116542,1.00e-04,15.1,8508
32,2,0.008041,1.00e-04,15.5,8508
33,2,0.036701,1.00e-04,15.9,8508
34,2,0.039170,1.00e-04,16.3,8508
35,2,0.053502,1.00e-04,16.7,8508
36,2,0.081392,1.00e-04,17.1,8508
37,2,0.101356,1.00e-04,17.6,8508
38,2,0.047354,1.00e-04,17.9,8508
39,2,0.002546,1.00e-04,18.2,8508
40,3,0.155923,1.00e-04,18.6,8508
41,3,0.026379,1.00e-04,19.1,8508
42,3,0.065517,1.00e-04,19.5,8508
43,3,0.118269,1.00e-04,19.9,8508
44,3,0.008114,1.00e-04,20.4,8508
45,3,0.060610,1.00e-04,20.7,8508
46,3,0.037384,1.00e-04,21.1,8508
47,3,0.061557,1.00e-04,21.5,8508
48,3,0.331656,1.00e-04,22.0,8508
49,3,0.155423,1.00e-04,22.4,8508
50,3,0.008482,1.00e-04,22.8,8508
51,3,0.014642,1.00e-04,23.1,8508
52,3,0.022994,1.00e-04,23.4,8508
53,4,0.267950,1.00e-04,23.9,8508
54,4,0.079797,1.00e-04,24.3,8508
55,4,0.240129,1.00e-04,24.8,8508
56,4,0.042928,1.00e-04,25.1,8508
57,4,0.006912,1.00e-04,25.5,8508
58,4,0.114171,1.00e-04,25.8,8508
59,4,0.079596,1.00e-04,26.3,8508
60,4,0.015341,1.00e-04,26.7,8508
