step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.193437,2.00e-05,15.3,8463
2,0,0.020411,2.00e-05,15.6,8482
3,0,0.031802,2.00e-05,15.8,8482
4,0,0.014553,2.00e-05,16.1,8482
5,0,0.156067,2.00e-05,16.4,8495
6,0,0.049874,2.00e-05,16.7,8508
7,0,0.237716,2.00e-05,17.0,8508
8,0,0.041534,2.00e-05,17.3,8508
9,0,0.022061,2.00e-05,17.6,8508
10,0,0.224519,2.00e-05,17.8,8508
11,0,0.089431,2.00e-05,18.1,8508
12,0,0.079644,2.00e-05,18.4,8508
13,0,0.101303,2.00e-05,18.7,8508
14,0,0.015394,2.00e-05,19.0,8508
15,0,0.040428,2.00e-05,19.3,8508
16,0,0.028206,2.00e-05,19.5,8508
17,0,0.067048,2.00e-05,19.8,8508
18,0,0.032780,2.00e-05,20.1,8508
19,0,0.019702,2.00e-05,20.4,8508
20,0,0.031170,2.00e-05,20.7,8508
21,0,0.005479,2.00e-05,21.0,8508
22,0,0.031283,2.00e-05,21.2,8508
23,0,0.017191,2.00e-05,21.5,8508
24,0,0.148036,2.00e-05,21.8,8508
25,0,0.085523,2.00e-05,22.1,8508
26,0,0.097426,2.00e-05,22.4,8508
27,0,0.011674,2.00e-05,22.7,8508
28,0,0.015048,2.00e-05,22.9,8508
29,0,0.160636,2.00e-05,23.2,8508
30,0,0.020738,2.00e-05,23.5,8508
31,0,0.018092,2.00e-05,23.8,8508
32,0,0.070003,2.00e-05,24.1,8508
33,0,0.064379,2.00e-05,24.4,8508
34,0,0.044093,2.00e-05,24.7,8508
35,0,0.037182,2.00e-05,25.0,8508
36,0,0.002615,2.00e-05,25.3,8508
37,0,0.002808,2.00e-05,25.6,8508
38,0,0.042231,2.00e-05,25.8,8508
39,0,0.017974,2.00e-05,26.1,8508
40,0,0.161418,2.00e-05,26.4,8508
41,0,0.027810,2.00e-05,26.7,8508
42,0,0.057832,2.00e-05,27.0,8508
43,0,0.203722,2.00e-05,27.3,8508
44,0,0.177495,2.00e-05,27.6,8508
45,0,0.020015,2.00e-05,27.9,8508
46,0,0.102392,2.00e-05,28.2,8508
47,0,0.024993,2.00e-05,28.5,8508
48,0,0.184893,2.00e-05,28.8,8508
49,0,0.104513,2.00e-05,29.1,8508
50,0,0.008460,2.00e-05,29.3,8508
51,0,0.010804,2.00e-05,29.6,8508
52,0,0.071801,2.00e-05,29.9,8508
53,0,0.002119,2.00e-05,30.2,8508
54,0,0.085863,2.00e-05,30.5,8508
55,0,0.066903,2.00e-05,30.8,8508
56,0,0.035751,2.00e-05,31.0,8508
57,0,0.022670,2.00e-05,31.3,8508
58,0,0.119193,2.00e-05,31.6,8508
59,0,0.120985,2.00e-05,31.9,8508
60,0,0.089512,2.00e-05,32.2,8508
61,0,0.007359,2.00e-05,32.5,8508
62,0,0.025899,2.00e-05,32.7,8508
63,0,0.123525,2.00e-05,33.0,8508
64,0,0.053293,2.00e-05,33.3,8508
65,0,0.028363,2.00e-05,33.6,8508
66,0,0.130435,2.00e-05,33.9,8508
67,0,0.153014,2.00e-05,34.2,8508
68,0,0.022643,2.00e-05,34.5,8508
69,0,0.069387,2.00e-05,34.8,8508
70,0,0.028297,2.00e-05,35.0,8508
71,0,0.070935,2.00e-05,35.3,8508
72,0,0.152695,2.00e-05,35.6,8508
73,0,0.177875,2.00e-05,35.9,8508
74,0,0.025813,2.00e-05,36.2,8508
75,0,0.044629,2.00e-05,36.5,8508
76,0,0.009055,2.00e-05,36.8,8508
77,0,0.029495,2.00e-05,37.0,8508
78,0,0.168137,2.00e-05,37.3,8508
79,0,0.020384,2.00e-05,37.6,8508
80,0,0.005355,2.00e-05,37.9,8508
81,0,0.097295,2.00e-05,38.2,8508
82,0,0.026668,2.00e-05,38.5,8508
83,0,0.080738,2.00e-05,38.8,8508
84,0,0.310103,2.00e-05,39.2,8508
85,0,0.023170,2.00e-05,39.6,8508
86,0,0.004890,2.00e-05,40.2,8508
87,0,0.006038,2.00e-05,41.3,8508
88,1,0.041415,2.00e-05,52.7,8508
89,1,0.030869,2.00e-05,53.3,8508
90,1,0.026134,2.00e-05,53.8,8508
91,1,0.021546,2.00e-05,54.4,8508
92,1,0.067820,2.00e-05,55.0,8508
93,1,0.033937,2.00e-05,55.5,8508
94,1,0.024205,2.00e-05,56.1,8508
95,1,0.007199,2.00e-05,56.7,8508
96,1,0.122474,2.00e-05,57.2,8508
97,1,0.003946,2.00e-05,57.8,8508
98,1,0.022717,2.00e-05,58.4,8508
99,1,0.043634,2.00e-05,58.9,8508
100,1,0.108619,2.00e-05,59.5,8508
101,1,0.113763,2.00e-05,60.1,8508
102,1,0.019621,2.00e-05,60.6,8508
103,1,0.064902,2.00e-05,61.2,8508
104,1,0.051560,2.00e-05,61.8,8508
105,1,0.091221,2.00e-05,62.3,8508
106,1,0.002784,2.00e-05,62.9,8508
107,1,0.117690,2.00e-05,63.5,8508
108,1,0.343527,2.00e-05,64.0,8508
109,1,0.031702,2.00e-05,64.6,8508
110,1,0.045719,2.00e-05,65.2,8508
111,1,0.074761,2.00e-05,65.7,8508
112,1,0.013948,2.00e-05,66.3,8508
113,1,0.031054,2.00e-05,66.8,8508
114,1,0.045307,2.00e-05,67.4,8508
115,1,0.009902,2.00e-05,68.0,8508
116,1,0.010139,2.00e-05,68.5,8508
117,1,0.037151,2.00e-05,69.1,8508
118,1,0.016258,2.00e-05,69.7,8508
119,1,0.029586,2.00e-05,70.3,8508
120,1,0.014208,2.00e-05,70.8,8508
121,1,0.093904,2.00e-05,71.4,8508
122,1,0.026869,2.00e-05,71.9,8508
123,1,0.331969,2.00e-05,72.5,8508
124,1,0.141472,2.00e-05,73.1,8508
125,1,0.043711,2.00e-05,73.6,8508
126,1,0.062349,2.00e-05,74.2,8508
127,1,0.060734,2.00e-05,74.8,8508
128,1,0.028826,2.00e-05,75.3,8508
129,1,0.011540,2.00e-05,75.9,8508
130,1,0.200705,2.00e-05,76.5,8508
131,1,0.156316,2.00e-05,77.0,8508
132,1,0.016160,2.00e-05,77.6,8508
133,1,0.028341,2.00e-05,78.2,8508
134,1,0.093818,2.00e-05,78.7,8508
135,1,0.018796,2.00e-05,79.3,8508
136,1,0.093579,2.00e-05,79.8,8508
137,1,0.086076,2.00e-05,80.4,8508
138,1,0.013673,2.00e-05,81.0,8508
139,1,0.024105,2.00e-05,81.6,8508
140,1,0.133302,2.00e-05,82.1,8508
141,1,0.038260,2.00e-05,82.7,8508
142,1,0.085297,2.00e-05,83.2,8508
143,1,0.035762,2.00e-05,83.8,8508
144,1,0.040175,2.00e-05,84.4,8508
145,1,0.022683,2.00e-05,84.9,8508
146,1,0.074934,2.00e-05,85.5,8508
147,1,0.030321,2.00e-05,86.1,8508
148,1,0.078992,2.00e-05,86.6,8508
149,1,0.034577,2.00e-05,87.2,8508
150,1,0.047867,2.00e-05,87.8,8508
151,1,0.107470,2.00e-05,88.3,8508
152,1,0.089075,2.00e-05,88.9,8508
153,1,0.027339,2.00e-05,89.5,8508
154,1,0.053663,2.00e-05,90.0,8508
155,1,0.128737,2.00e-05,90.6,8508
156,1,0.054465,2.00e-05,91.2,8508
157,1,0.041206,2.00e-05,91.7,8508
158,1,0.017515,2.00e-05,92.3,8508
159,1,0.206135,2.00e-05,92.9,8508
160,1,0.017379,2.00e-05,93.4,8508
161,1,0.007637,2.00e-05,94.0,8508
162,1,0.036157,2.00e-05,94.5,8508
163,1,0.349762,2.00e-05,95.1,8508
164,1,0.013556,2.00e-05,95.7,8508
165,1,0.004961,2.00e-05,96.2,8508
166,1,0.036639,2.00e-05,96.8,8508
167,1,0.073063,2.00e-05,97.4,8508
168,1,0.029260,2.00e-05,97.9,8508
169,1,0.051430,2.00e-05,98.5,8508
170,1,0.072112,2.00e-05,99.1,8508
171,1,0.009933,2.00e-05,99.6,8508
172,1,0.022745,2.00e-05,100.2,8508
173,1,0.072337,2.00e-05,100.8,8508
174,1,0.016787,2.00e-05,102.0,8508
175,2,0.135431,2.00e-05,112.9,8508
176,2,0.096964,2.00e-05,113.2,8508
177,2,0.043834,2.00e-05,113.5,8508
178,2,0.060404,2.00e-05,113.8,8508
179,2,0.009366,2.00e-05,114.1,8508
180,2,0.009106,2.00e-05,114.3,8508
181,2,0.236828,2.00e-05,114.6,8508
182,2,0.004899,2.00e-05,114.9,8508
183,2,0.028596,2.00e-05,115.4,8508
184,2,0.083679,2.00e-05,115.9,8508
185,2,0.019781,2.00e-05,116.5,8508
186,2,0.127576,2.00e-05,117.1,8508
187,2,0.216944,2.00e-05,117.6,8508
188,2,0.046071,2.00e-05,118.2,8508
189,2,0.057598,2.00e-05,118.7,8508
190,2,0.020071,2.00e-05,119.3,8508
191,2,0.092362,2.00e-05,119.9,8508
192,2,0.002788,2.00e-05,120.4,8508
193,2,0.025923,2.00e-05,121.0,8508
194,2,0.110892,2.00e-05,121.5,8508
195,2,0.003960,2.00e-05,122.1,8508
196,2,0.070140,2.00e-05,122.7,8508
197,2,0.041539,2.00e-05,123.2,8508
198,2,0.021829,2.00e-05,123.8,8508
199,2,0.018907,2.00e-05,124.4,8508
200,2,0.055020,2.00e-05,124.9,8508
201,2,0.161900,2.00e-05,142.7,8508
202,2,0.043704,2.00e-05,143.0,8512
203,2,0.031738,2.00e-05,143.3,8512
204,2,0.181125,2.00e-05,143.6,8512
205,2,0.369942,2.00e-05,143.9,8512
