step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.273587,5.00e-05,16.0,8463
2,0,0.033806,5.00e-05,16.6,8482
3,0,0.118086,5.00e-05,17.2,8482
4,0,0.042830,5.00e-05,17.8,8482
5,0,0.185359,5.00e-05,18.3,8495
6,0,0.198568,5.00e-05,18.9,8508
7,0,0.243973,5.00e-05,19.5,8508
8,0,0.029404,5.00e-05,20.0,8508
9,0,0.059819,5.00e-05,20.6,8508
10,0,0.302894,5.00e-05,21.2,8508
11,0,0.141475,5.00e-05,21.7,8508
12,0,0.146455,5.00e-05,22.3,8508
13,0,0.030147,5.00e-05,22.9,8508
14,0,0.045398,5.00e-05,23.4,8508
15,0,0.030493,5.00e-05,24.0,8508
16,0,0.119395,5.00e-05,24.6,8508
17,0,0.108367,5.00e-05,25.1,8508
18,0,0.056498,5.00e-05,25.7,8508
19,0,0.033900,5.00e-05,26.2,8508
20,0,0.034512,5.00e-05,26.8,8508
21,0,0.005133,5.00e-05,27.4,8508
22,0,0.047558,5.00e-05,27.9,8508
23,0,0.040194,5.00e-05,28.5,8508
24,0,0.080258,5.00e-05,29.1,8508
25,0,0.062408,5.00e-05,29.6,8508
26,0,0.066866,5.00e-05,30.2,8508
27,0,0.028760,5.00e-05,30.8,8508
28,0,0.048340,5.00e-05,31.3,8508
29,0,0.218187,5.00e-05,31.9,8508
30,0,0.036844,5.00e-05,32.5,8508
31,0,0.034037,5.00e-05,33.0,8508
32,0,0.119292,5.00e-05,33.6,8508
33,0,0.143681,5.00e-05,34.2,8508
34,0,0.024195,5.00e-05,34.7,8508
35,0,0.100124,5.00e-05,35.3,8508
36,0,0.006874,5.00e-05,35.8,8508
37,0,0.002123,5.00e-05,36.4,8508
38,0,0.038311,5.00e-05,37.0,8508
39,0,0.036977,5.00e-05,37.5,8508
40,0,0.064555,5.00e-05,38.1,8508
41,0,0.094239,5.00e-05,38.7,8508
42,0,0.045701,5.00e-05,39.2,8508
43,0,0.176806,5.00e-05,39.8,8508
44,0,0.095322,5.00e-05,40.4,8508
45,0,0.047989,5.00e-05,40.9,8508
46,0,0.137849,5.00e-05,41.5,8508
47,0,0.111756,5.00e-05,42.1,8508
48,0,0.214404,5.00e-05,42.6,8508
49,0,0.102521,5.00e-05,43.2,8508
50,0,0.031367,5.00e-05,43.8,8508
51,0,0.009500,5.00e-05,44.3,8508
52,0,0.080601,5.00e-05,44.9,8508
53,0,0.005548,5.00e-05,45.5,8508
54,0,0.038037,5.00e-05,45.8,8508
55,0,0.061860,5.00e-05,46.1,8508
56,0,0.103713,5.00e-05,46.4,8508
57,0,0.104948,5.00e-05,46.7,8508
58,0,0.340859,5.00e-05,47.0,8508
59,0,0.073799,5.00e-05,47.2,8508
60,0,0.090138,5.00e-05,47.6,8508
61,0,0.013624,5.00e-05,47.9,8508
62,0,0.025033,5.00e-05,48.2,8508
63,0,0.094926,5.00e-05,48.5,8508
64,0,0.107798,5.00e-05,48.8,8508
65,0,0.040537,5.00e-05,49.1,8508
66,0,0.184019,5.00e-05,49.4,8508
67,0,0.311249,5.00e-05,49.7,8508
68,0,0.083827,5.00e-05,50.0,8508
69,0,0.211488,5.00e-05,50.3,8508
70,0,0.062996,5.00e-05,50.6,8508
71,0,0.080830,5.00e-05,51.1,8508
72,0,0.111272,5.00e-05,51.6,8508
73,0,0.164147,5.00e-05,52.1,8508
74,0,0.050069,5.00e-05,52.6,8508
75,0,0.096270,5.00e-05,53.1,8508
76,0,0.022189,5.00e-05,53.6,8508
77,0,0.051581,5.00e-05,54.1,8508
78,0,0.154114,5.00e-05,54.5,8508
79,0,0.039888,5.00e-05,55.0,8508
80,0,0.006032,5.00e-05,55.4,8508
81,0,0.060904,5.00e-05,55.9,8508
82,0,0.042348,5.00e-05,56.4,8508
83,0,0.079274,5.00e-05,56.9,8508
84,0,0.273814,5.00e-05,57.4,8508
85,0,0.033197,5.00e-05,57.9,8508
86,0,0.005991,5.00e-05,58.3,8508
87,0,0.014610,5.00e-05,58.8,8508
88,0,0.133328,5.00e-05,59.3,8508
89,0,0.068304,5.00e-05,59.8,8508
90,0,0.098623,5.00e-05,60.3,8508
91,0,0.080602,5.00e-05,60.7,8508
92,0,0.051997,5.00e-05,61.2,8508
93,0,0.049435,5.00e-05,61.7,8508
94,0,0.038314,5.00e-05,62.2,8508
95,0,0.012636,5.00e-05,62.7,8508
96,0,0.141756,5.00e-05,63.3,8508
97,0,0.002310,5.00e-05,63.9,8508
98,0,0.111081,5.00e-05,64.4,8508
99,0,0.054220,5.00e-05,65.0,8508
100,0,0.084629,5.00e-05,65.6,8508
101,0,0.067900,5.00e-05,66.1,8508
102,0,0.019356,5.00e-05,66.7,8508
103,0,0.192604,5.00e-05,67.3,8508
104,0,0.108391,5.00e-05,67.9,8508
105,0,0.077885,5.00e-05,68.4,8508
106,0,0.006820,5.00e-05,69.0,8508
107,0,0.110262,5.00e-05,69.6,8508
108,0,0.192867,5.00e-05,70.1,8508
109,0,0.068000,5.00e-05,70.7,8508
110,0,0.061323,5.00e-05,71.3,8508
111,0,0.142293,5.00e-05,71.5,8508
112,0,0.076984,5.00e-05,71.8,8508
113,0,0.040852,5.00e-05,72.4,8508
114,0,0.063229,5.00e-05,72.7,8508
115,0,0.006526,5.00e-05,73.0,8508
116,0,0.012618,5.00e-05,73.3,8508
117,0,0.142195,5.00e-05,73.5,8508
118,0,0.053345,5.00e-05,73.8,8508
119,0,0.081519,5.00e-05,74.1,8508
120,0,0.009533,5.00e-05,74.4,8508
121,0,0.072894,5.00e-05,74.7,8508
122,0,0.041680,5.00e-05,75.0,8508
123,0,0.287418,5.00e-05,75.3,8508
124,0,0.173146,5.00e-05,75.5,8508
125,0,0.022354,5.00e-05,75.8,8508
126,0,0.093966,5.00e-05,76.1,8508
127,0,0.172488,5.00e-05,76.4,8508
128,0,0.093892,5.00e-05,76.7,8508
129,0,0.024814,5.00e-05,77.0,8508
130,0,0.129421,5.00e-05,77.3,8508
131,0,0.112767,5.00e-05,77.5,8508
132,0,0.036462,5.00e-05,77.8,8508
133,0,0.068967,5.00e-05,78.1,8508
134,0,0.136646,5.00e-05,78.4,8508
135,0,0.030037,5.00e-05,78.7,8508
136,0,0.083973,5.00e-05,79.0,8508
137,0,0.095563,5.00e-05,79.3,8508
138,0,0.047719,5.00e-05,79.5,8508
139,0,0.041070,5.00e-05,80.4,8508
140,1,0.096461,5.00e-05,92.0,8508
141,1,0.076899,5.00e-05,92.5,8508
142,1,0.097292,5.00e-05,93.1,8508
143,1,0.046670,5.00e-05,93.7,8508
144,1,0.055446,5.00e-05,94.2,8508
145,1,0.014117,5.00e-05,94.8,8508
146,1,0.068389,5.00e-05,95.3,8508
147,1,0.020308,5.00e-05,95.9,8508
148,1,0.096013,5.00e-05,96.4,8508
149,1,0.044105,5.00e-05,97.0,8508
150,1,0.032587,5.00e-05,97.6,8508
151,1,0.058951,5.00e-05,98.2,8508
152,1,0.153591,5.00e-05,98.7,8508
153,1,0.034536,5.00e-05,99.3,8508
154,1,0.026529,5.00e-05,99.8,8508
155,1,0.167013,5.00e-05,100.4,8508
156,1,0.032343,5.00e-05,101.0,8508
157,1,0.082747,5.00e-05,101.6,8508
158,1,0.040387,5.00e-05,102.1,8508
159,1,0.227174,5.00e-05,102.7,8508
160,1,0.034171,5.00e-05,103.2,8508
161,1,0.007439,5.00e-05,103.8,8508
162,1,0.048320,5.00e-05,104.3,8508
163,1,0.390067,5.00e-05,104.9,8508
164,1,0.062415,5.00e-05,105.5,8508
165,1,0.019985,5.00e-05,106.1,8508
166,1,0.079454,5.00e-05,106.6,8508
167,1,0.041628,5.00e-05,107.2,8508
168,1,0.061264,5.00e-05,107.7,8508
169,1,0.061279,5.00e-05,108.3,8508
170,1,0.086111,5.00e-05,108.8,8508
171,1,0.026339,5.00e-05,109.4,8508
172,1,0.033580,5.00e-05,110.0,8508
173,1,0.119208,5.00e-05,110.5,8508
174,1,0.026263,5.00e-05,111.1,8508
175,1,0.169990,5.00e-05,111.4,8508
176,1,0.056995,5.00e-05,111.7,8508
177,1,0.048231,5.00e-05,112.0,8508
178,1,0.102193,5.00e-05,112.2,8508
179,1,0.008747,5.00e-05,112.5,8508
180,1,0.039305,5.00e-05,112.8,8508
181,1,0.108548,5.00e-05,113.1,8508
182,1,0.002728,5.00e-05,113.4,8508
183,1,0.035337,5.00e-05,113.7,8508
184,1,0.094928,5.00e-05,113.9,8508
185,1,0.108371,5.00e-05,114.2,8508
186,1,0.106950,5.00e-05,114.5,8508
187,1,0.259527,5.00e-05,114.8,8508
188,1,0.077321,5.00e-05,115.1,8508
189,1,0.037499,5.00e-05,115.4,8508
190,1,0.022914,5.00e-05,115.7,8508
191,1,0.086500,5.00e-05,116.0,8508
192,1,0.028666,5.00e-05,116.2,8508
193,1,0.040324,5.00e-05,116.5,8508
194,1,0.135325,5.00e-05,116.8,8508
195,1,0.003061,5.00e-05,117.1,8508
196,1,0.076622,5.00e-05,117.4,8508
197,1,0.148429,5.00e-05,117.7,8508
198,1,0.043357,5.00e-05,117.9,8508
199,1,0.070857,5.00e-05,118.2,8508
200,1,0.062256,5.00e-05,118.5,8508
201,1,0.077513,5.00e-05,129.0,8508
202,1,0.078321,5.00e-05,129.3,8512
203,1,0.036775,5.00e-05,129.6,8512
204,1,0.422753,5.00e-05,129.9,8512
205,1,0.453750,5.00e-05,130.2,8512
206,1,0.067738,5.00e-05,130.5,8512
207,1,0.104281,5.00e-05,130.8,8512
208,1,0.046900,5.00e-05,131.0,8512
209,1,0.017782,5.00e-05,131.3,8512
210,1,0.058265,5.00e-05,131.6,8512
211,1,0.076115,5.00e-05,131.9,8512
212,1,0.007852,5.00e-05,132.2,8512
213,1,0.064509,5.00e-05,132.5,8512
214,1,0.075527,5.00e-05,132.8,8512
215,1,0.024302,5.00e-05,133.1,8512
216,1,0.079356,5.00e-05,133.3,8512
217,1,0.197454,5.00e-05,133.6,8512
218,1,0.120236,5.00e-05,133.9,8512
219,1,0.031434,5.00e-05,134.2,8512
220,1,0.160426,5.00e-05,134.5,8512
221,1,0.084920,5.00e-05,134.8,8512
222,1,0.114559,5.00e-05,135.1,8512
223,1,0.129731,5.00e-05,135.3,8512
224,1,0.029216,5.00e-05,135.6,8512
225,1,0.061558,5.00e-05,135.9,8512
226,1,0.006397,5.00e-05,136.2,8512
227,1,0.098638,5.00e-05,136.5,8512
228,1,0.031740,5.00e-05,136.8,8512
229,1,0.006088,5.00e-05,137.1,8512
230,1,0.018484,5.00e-05,137.4,8512
231,1,0.111036,5.00e-05,137.6,8512
232,1,0.295817,5.00e-05,137.9,8512
233,1,0.168802,5.00e-05,138.2,8512
234,1,0.061975,5.00e-05,138.6,8512
235,1,0.152854,5.00e-05,138.9,8512
236,1,0.045743,5.00e-05,139.3,8512
237,1,0.052941,5.00e-05,139.8,8512
238,1,0.093747,5.00e-05,140.3,8512
239,1,0.073475,5.00e-05,140.9,8512
240,1,0.069258,5.00e-05,141.4,8512
241,1,0.105926,5.00e-05,141.9,8512
242,1,0.164750,5.00e-05,142.5,8512
243,1,0.160237,5.00e-05,143.1,8512
244,1,0.237387,5.00e-05,143.6,8512
245,1,0.043168,5.00e-05,144.2,8512
246,1,0.080509,5.00e-05,144.8,8512
247,1,0.109847,5.00e-05,145.3,8512
248,1,0.062233,5.00e-05,145.9,8512
249,1,0.157443,5.00e-05,146.5,8512
250,1,0.070755,5.00e-05,147.0,8512
251,1,0.005104,5.00e-05,147.6,8512
252,1,0.048786,5.00e-05,148.2,8512
253,1,0.055274,5.00e-05,148.7,8512
254,1,0.131935,5.00e-05,149.3,8512
255,1,0.083461,5.00e-05,149.9,8512
256,1,0.056289,5.00e-05,150.4,8512
257,1,0.023151,5.00e-05,151.0,8512
258,1,0.040762,5.00e-05,151.6,8512
259,1,0.095064,5.00e-05,152.1,8512
260,1,0.108236,5.00e-05,152.7,8512
261,1,0.018247,5.00e-05,153.3,8512
262,1,0.016895,5.00e-05,153.8,8512
263,1,0.086262,5.00e-05,154.4,8512
264,1,0.085743,5.00e-05,154.9,8512
265,1,0.046238,5.00e-05,155.5,8512
266,1,0.142205,5.00e-05,156.1,8512
267,1,0.035747,5.00e-05,156.7,8512
268,1,0.044710,5.00e-05,157.2,8512
269,1,0.168368,5.00e-05,157.8,8512
270,1,0.046247,5.00e-05,158.3,8512
271,1,0.010458,5.00e-05,158.9,8512
272,1,0.106881,5.00e-05,159.5,8512
273,1,0.062744,5.00e-05,160.0,8512
274,1,0.105495,5.00e-05,160.6,8512
275,1,0.072592,5.00e-05,161.2,8512
276,1,0.138810,5.00e-05,161.8,8512
277,1,0.085664,5.00e-05,162.3,8512
278,1,0.154446,5.00e-05,163.5,8512
279,2,0.071409,5.00e-05,174.7,8512
280,2,0.064466,5.00e-05,175.3,8512
281,2,0.143346,5.00e-05,175.9,8512
282,2,0.014902,5.00e-05,176.4,8512
283,2,0.078856,5.00e-05,176.9,8512
284,2,0.034210,5.00e-05,177.1,8512
285,2,0.137116,5.00e-05,177.5,8512
286,2,0.154844,5.00e-05,178.0,8512
287,2,0.193641,5.00e-05,178.3,8512
288,2,0.104646,5.00e-05,178.6,8512
289,2,0.208750,5.00e-05,178.9,8512
290,2,0.082604,5.00e-05,179.2,8512
291,2,0.049985,5.00e-05,179.4,8512
292,2,0.093091,5.00e-05,179.7,8512
293,2,0.020514,5.00e-05,180.0,8512
294,2,0.105055,5.00e-05,180.3,8512
295,2,0.087804,5.00e-05,180.6,8512
296,2,0.031107,5.00e-05,180.9,8512
297,2,0.017716,5.00e-05,181.2,8512
298,2,0.033386,5.00e-05,181.5,8512
299,2,0.121714,5.00e-05,181.8,8512
300,2,0.129785,5.00e-05,182.0,8512
301,2,0.056392,5.00e-05,182.3,8512
302,2,0.053830,5.00e-05,182.6,8512
303,2,0.082327,5.00e-05,182.9,8512
304,2,0.075469,5.00e-05,183.2,8512
305,2,0.017246,5.00e-05,183.5,8512
306,2,0.022894,5.00e-05,183.8,8512
307,2,0.185328,5.00e-05,184.1,8512
308,2,0.077271,5.00e-05,184.3,8512
309,2,0.073948,5.00e-05,184.6,8512
310,2,0.075282,5.00e-05,184.9,8512
311,2,0.149617,5.00e-05,185.2,8512
312,2,0.034224,5.00e-05,185.5,8512
313,2,0.066288,5.00e-05,185.8,8512
314,2,0.066836,5.00e-05,186.1,8512
315,2,0.026117,5.00e-05,186.4,8512
316,2,0.039990,5.00e-05,186.7,8512
317,2,0.026649,5.00e-05,187.0,8512
318,2,0.057744,5.00e-05,187.3,8512
319,2,0.053663,5.00e-05,187.6,8512
320,2,0.090279,5.00e-05,187.8,8512
321,2,0.082513,5.00e-05,188.1,8512
322,2,0.013539,5.00e-05,188.4,8512
323,2,0.068350,5.00e-05,188.7,8512
324,2,0.008429,5.00e-05,189.3,8512
325,2,0.067829,5.00e-05,189.9,8512
326,2,0.035033,5.00e-05,190.4,8512
327,2,0.310470,5.00e-05,191.0,8512
328,2,0.225133,5.00e-05,191.5,8512
329,2,0.074344,5.00e-05,192.1,8512
330,2,0.046307,5.00e-05,192.7,8512
331,2,0.080493,5.00e-05,193.2,8512
332,2,0.029193,5.00e-05,193.8,8512
333,2,0.093999,5.00e-05,194.4,8512
334,2,0.151153,5.00e-05,194.9,8512
335,2,0.141907,5.00e-05,195.5,8512
336,2,0.102710,5.00e-05,196.1,8512
337,2,0.026916,5.00e-05,196.6,8512
338,2,0.085691,5.00e-05,197.2,8512
339,2,0.015821,5.00e-05,197.7,8512
