step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.223009,1.00e-04,14.9,8463
2,0,0.039599,1.00e-04,15.5,8482
3,0,0.089053,1.00e-04,16.0,8482
4,0,0.019616,1.00e-04,16.6,8482
5,0,0.229147,1.00e-04,17.2,8495
6,0,0.090115,1.00e-04,17.7,8508
7,0,0.105712,1.00e-04,18.3,8508
8,0,0.056619,1.00e-04,18.9,8508
9,0,0.042988,1.00e-04,19.4,8508
10,0,0.184826,1.00e-04,20.0,8508
11,0,0.055465,1.00e-04,20.6,8508
12,0,0.084494,1.00e-04,21.2,8508
13,0,0.042770,1.00e-04,21.7,8508
14,0,0.026276,1.00e-04,22.3,8508
15,0,0.029186,1.00e-04,22.6,8508
16,0,0.069894,1.00e-04,22.9,8508
17,0,0.048340,1.00e-04,23.2,8508
18,0,0.052177,1.00e-04,23.5,8508
19,0,0.089724,1.00e-04,23.8,8508
20,0,0.011291,1.00e-04,24.1,8508
21,0,0.003786,1.00e-04,24.3,8508
22,0,0.049850,1.00e-04,24.7,8508
23,0,0.018799,1.00e-04,25.0,8508
24,0,0.037593,1.00e-04,25.3,8508
25,0,0.059365,1.00e-04,25.6,8508
26,0,0.130765,1.00e-04,25.9,8508
27,0,0.020633,1.00e-04,26.2,8508
28,0,0.011676,1.00e-04,26.5,8508
29,0,0.107732,1.00e-04,26.8,8508
30,0,0.040502,1.00e-04,27.1,8508
31,0,0.029224,1.00e-04,27.5,8508
32,0,0.089597,1.00e-04,27.8,8508
33,0,0.150955,1.00e-04,28.3,8508
34,0,0.023660,1.00e-04,28.8,8508
35,0,0.022886,1.00e-04,29.3,8508
36,0,0.005013,1.00e-04,29.8,8508
37,0,0.004043,1.00e-04,30.2,8508
38,0,0.041242,1.00e-04,30.7,8508
39,0,0.036130,1.00e-04,31.2,8508
40,0,0.038120,1.00e-04,31.6,8508
41,0,0.027917,1.00e-04,32.1,8508
42,0,0.010886,1.00e-04,32.6,8508
43,0,0.094549,1.00e-04,33.0,8508
44,0,0.045548,1.00e-04,33.5,8508
45,0,0.017316,1.00e-04,34.0,8508
46,0,0.054490,1.00e-04,34.5,8508
47,0,0.057902,1.00e-04,35.0,8508
48,0,0.179228,1.00e-04,35.5,8508
49,0,0.061582,1.00e-04,35.9,8508
50,0,0.021827,1.00e-04,36.4,8508
51,0,0.015965,1.00e-04,36.9,8508
52,0,0.029213,1.00e-04,37.4,8508
53,0,0.003012,1.00e-04,37.9,8508
54,0,0.039408,1.00e-04,38.4,8508
55,0,0.109122,1.00e-04,38.9,8508
56,0,0.060252,1.00e-04,39.3,8508
57,0,0.074540,1.00e-04,39.9,8508
58,0,0.112216,1.00e-04,40.4,8508
59,0,0.060784,1.00e-04,41.0,8508
60,0,0.181837,1.00e-04,41.6,8508
61,0,0.005833,1.00e-04,42.1,8508
62,0,0.011626,1.00e-04,42.7,8508
63,0,0.067508,1.00e-04,43.3,8508
64,0,0.039682,1.00e-04,43.8,8508
65,0,0.048994,1.00e-04,44.4,8508
