step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.193437,2.00e-05,15.0,8463
2,0,0.020411,2.00e-05,16.0,8482
3,0,0.031802,2.00e-05,17.1,8482
4,0,0.014553,2.00e-05,18.2,8482
5,0,0.156061,2.00e-05,19.2,8495
6,0,0.049873,2.00e-05,20.2,8508
7,0,0.237719,2.00e-05,21.2,8508
8,0,0.041535,2.00e-05,22.2,8508
9,0,0.022062,2.00e-05,23.3,8508
10,0,0.224518,2.00e-05,24.3,8508
11,0,0.089434,2.00e-05,25.3,8508
12,0,0.079649,2.00e-05,26.4,8508
13,0,0.101304,2.00e-05,27.5,8508
14,0,0.015394,2.00e-05,28.4,8508
15,0,0.040429,2.00e-05,29.4,8508
16,0,0.028208,2.00e-05,30.5,8508
17,0,0.067048,2.00e-05,31.6,8508
18,0,0.032780,2.00e-05,32.6,8508
19,0,0.019702,2.00e-05,33.6,8508
20,0,0.031171,2.00e-05,34.6,8508
21,0,0.005479,2.00e-05,35.7,8508
22,0,0.031284,2.00e-05,36.6,8508
23,0,0.017191,2.00e-05,37.2,8508
24,0,0.148033,2.00e-05,37.8,8508
25,0,0.085523,2.00e-05,38.3,8508
26,0,0.097428,2.00e-05,38.8,8508
27,0,0.011674,2.00e-05,39.3,8508
28,0,0.015046,2.00e-05,39.7,8508
29,0,0.160631,2.00e-05,40.2,8508
30,0,0.020738,2.00e-05,40.7,8508
31,0,0.018092,2.00e-05,41.2,8508
32,0,0.070007,2.00e-05,41.7,8508
33,0,0.064381,2.00e-05,42.2,8508
34,0,0.044094,2.00e-05,42.6,8508
35,0,0.037183,2.00e-05,43.1,8508
36,0,0.002615,2.00e-05,43.6,8508
37,0,0.002807,2.00e-05,44.1,8508
38,0,0.042232,2.00e-05,44.6,8508
39,0,0.017973,2.00e-05,45.0,8508
40,0,0.161417,2.00e-05,45.5,8508
41,0,0.027811,2.00e-05,46.0,8508
42,0,0.057830,2.00e-05,46.5,8508
43,0,0.203723,2.00e-05,47.0,8508
44,0,0.177497,2.00e-05,47.5,8508
45,0,0.020015,2.00e-05,47.9,8508
46,0,0.102393,2.00e-05,48.4,8508
47,0,0.024989,2.00e-05,48.9,8508
48,0,0.184895,2.00e-05,49.4,8508
49,0,0.104513,2.00e-05,49.9,8508
50,0,0.008460,2.00e-05,50.4,8508
51,0,0.010804,2.00e-05,50.9,8508
52,0,0.071800,2.00e-05,51.4,8508
53,0,0.002119,2.00e-05,51.7,8508
54,0,0.085861,2.00e-05,52.0,8508
55,0,0.066902,2.00e-05,52.3,8508
56,0,0.035750,2.00e-05,52.6,8508
57,0,0.022672,2.00e-05,52.9,8508
58,0,0.119197,2.00e-05,53.2,8508
59,0,0.120982,2.00e-05,53.5,8508
60,0,0.089505,2.00e-05,53.8,8508
61,0,0.007359,2.00e-05,54.1,8508
62,0,0.025899,2.00e-05,54.4,8508
63,0,0.123520,2.00e-05,54.7,8508
64,0,0.053292,2.00e-05,55.0,8508
65,0,0.028364,2.00e-05,55.3,8508
66,0,0.130437,2.00e-05,55.5,8508
67,0,0.153015,2.00e-05,55.8,8508
68,0,0.022643,2.00e-05,56.1,8508
