step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.223009,1.00e-04,16.1,8463
2,0,0.039599,1.00e-04,16.7,8482
3,0,0.089053,1.00e-04,17.1,8482
4,0,0.019616,1.00e-04,18.6,8482
5,0,0.229143,1.00e-04,19.0,8495
6,0,0.090115,1.00e-04,20.4,8508
7,0,0.105714,1.00e-04,20.8,8508
8,0,0.056619,1.00e-04,22.0,8508
9,0,0.042987,1.00e-04,22.3,8508
10,0,0.184831,1.00e-04,22.7,8508
11,0,0.055466,1.00e-04,23.2,8508
12,0,0.084497,1.00e-04,23.7,8508
13,0,0.042767,1.00e-04,24.8,8508
14,0,0.026276,1.00e-04,25.3,8508
15,0,0.029187,1.00e-04,25.8,8508
16,0,0.069893,1.00e-04,26.3,8508
17,0,0.048341,1.00e-04,26.9,8508
18,0,0.052177,1.00e-04,27.4,8508
19,0,0.089730,1.00e-04,27.9,8508
20,0,0.011292,1.00e-04,28.4,8508
21,0,0.003786,1.00e-04,29.8,8508
22,0,0.049849,1.00e-04,30.7,8508
23,0,0.018802,1.00e-04,31.6,8508
24,0,0.037590,1.00e-04,32.4,8508
25,0,0.059366,1.00e-04,33.0,8508
26,0,0.130764,1.00e-04,34.3,8508
27,0,0.020634,1.00e-04,34.9,8508
28,0,0.011675,1.00e-04,36.4,8508
29,0,0.107725,1.00e-04,37.7,8508
30,0,0.040505,1.00e-04,38.2,8508
31,0,0.029225,1.00e-04,38.6,8508
32,0,0.089599,1.00e-04,40.1,8508
33,0,0.150953,1.00e-04,40.4,8508
34,0,0.023660,1.00e-04,41.7,8508
35,0,0.022885,1.00e-04,42.1,8508
36,0,0.005014,1.00e-04,43.5,8508
37,0,0.004043,1.00e-04,43.9,8508
38,0,0.041241,1.00e-04,44.3,8508
39,0,0.036130,1.00e-04,45.6,8508
40,0,0.038118,1.00e-04,46.0,8508
41,0,0.027918,1.00e-04,47.4,8508
42,0,0.010885,1.00e-04,47.8,8508
43,0,0.094547,1.00e-04,49.3,8508
44,0,0.045546,1.00e-04,49.6,8508
45,0,0.017316,1.00e-04,50.9,8508
46,0,0.054491,1.00e-04,51.4,8508
47,0,0.057905,1.00e-04,52.7,8508
