step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.223009,1.00e-04,15.2,8463
2,0,0.039599,1.00e-04,15.8,8482
3,0,0.089053,1.00e-04,16.3,8482
4,0,0.019616,1.00e-04,17.0,8482
5,0,0.229143,1.00e-04,17.5,8495
6,0,0.090115,1.00e-04,18.1,8508
7,0,0.105714,1.00e-04,18.7,8508
8,0,0.056620,1.00e-04,19.3,8508
9,0,0.042990,1.00e-04,19.8,8508
10,0,0.184832,1.00e-04,20.4,8508
11,0,0.055464,1.00e-04,20.7,8508
12,0,0.084498,1.00e-04,20.9,8508
13,0,0.042773,1.00e-04,21.4,8508
14,0,0.026276,1.00e-04,21.7,8508
15,0,0.029186,1.00e-04,22.0,8508
16,0,0.069892,1.00e-04,22.3,8508
17,0,0.048341,1.00e-04,22.6,8508
18,0,0.052178,1.00e-04,22.8,8508
19,0,0.089716,1.00e-04,23.1,8508
20,0,0.011290,1.00e-04,23.4,8508
21,0,0.003786,1.00e-04,23.7,8508
22,0,0.049848,1.00e-04,24.0,8508
23,0,0.018801,1.00e-04,24.3,8508
24,0,0.037591,1.00e-04,24.5,8508
25,0,0.059366,1.00e-04,24.8,8508
26,0,0.130765,1.00e-04,25.1,8508
27,0,0.020634,1.00e-04,25.4,8508
28,0,0.011676,1.00e-04,25.7,8508
29,0,0.107726,1.00e-04,26.0,8508
30,0,0.040505,1.00e-04,26.3,8508
31,0,0.029224,1.00e-04,26.6,8508
32,0,0.089594,1.00e-04,26.9,8508
33,0,0.150954,1.00e-04,27.1,8508
34,0,0.023660,1.00e-04,27.4,8508
35,0,0.022885,1.00e-04,27.7,8508
36,0,0.005013,1.00e-04,28.0,8508
37,0,0.004043,1.00e-04,28.3,8508
38,0,0.041241,1.00e-04,28.6,8508
39,0,0.036130,1.00e-04,28.8,8508
40,0,0.038117,1.00e-04,29.1,8508
41,0,0.027918,1.00e-04,29.4,8508
42,0,0.010886,1.00e-04,29.7,8508
43,0,0.094551,1.00e-04,30.0,8508
44,0,0.045545,1.00e-04,30.3,8508
45,0,0.017317,1.00e-04,30.5,8508
46,0,0.054492,1.00e-04,30.8,8508
47,0,0.057905,1.00e-04,31.1,8508
48,0,0.179231,1.00e-04,31.4,8508
49,0,0.061582,1.00e-04,31.7,8508
50,0,0.021827,1.00e-04,32.2,8508
51,0,0.015966,1.00e-04,32.8,8508
52,0,0.029212,1.00e-04,33.4,8508
53,0,0.003012,1.00e-04,33.9,8508
54,0,0.039407,1.00e-04,34.5,8508
55,0,0.109123,1.00e-04,35.1,8508
56,0,0.060249,1.00e-04,35.7,8508
57,0,0.074536,1.00e-04,36.2,8508
58,0,0.112223,1.00e-04,36.8,8508
59,0,0.060782,1.00e-04,37.3,8508
60,0,0.181835,1.00e-04,37.9,8508
61,0,0.005833,1.00e-04,38.5,8508
62,0,0.011625,1.00e-04,39.0,8508
63,0,0.067505,1.00e-04,39.6,8508
64,0,0.039681,1.00e-04,40.2,8508
65,0,0.048995,1.00e-04,40.7,8508
66,0,0.095613,1.00e-04,41.3,8508
67,0,0.158194,1.00e-04,41.9,8508
68,0,0.068149,1.00e-04,42.4,8508
69,0,0.069123,1.00e-04,43.0,8508
70,0,0.078060,1.00e-04,43.6,8508
71,0,0.075730,1.00e-04,44.1,8508
72,0,0.040429,1.00e-04,44.7,8508
73,0,0.054795,1.00e-04,45.2,8508
74,0,0.025066,1.00e-04,45.8,8508
75,0,0.024565,1.00e-04,46.4,8508
76,0,0.014769,1.00e-04,46.9,8508
77,0,0.036569,1.00e-04,47.5,8508
78,0,0.079513,1.00e-04,48.1,8508
79,0,0.059786,1.00e-04,48.6,8508
80,0,0.006368,1.00e-04,49.2,8508
81,0,0.035660,1.00e-04,49.7,8508
82,0,0.022340,1.00e-04,50.3,8508
83,0,0.074138,1.00e-04,50.9,8508
84,0,0.097203,1.00e-04,51.2,8508
85,0,0.047097,1.00e-04,51.5,8508
86,0,0.006430,1.00e-04,51.7,8508
87,0,0.006891,1.00e-04,52.0,8508
88,0,0.116614,1.00e-04,52.3,8508
89,0,0.084467,1.00e-04,52.6,8508
90,0,0.079460,1.00e-04,52.9,8508
91,0,0.012850,1.00e-04,53.2,8508
92,0,0.043827,1.00e-04,53.5,8508
93,0,0.027776,1.00e-04,53.8,8508
94,0,0.079712,1.00e-04,54.1,8508
95,0,0.011203,1.00e-04,54.4,8508
96,0,0.124124,1.00e-04,54.8,8508
97,0,0.004266,1.00e-04,55.1,8508
98,0,0.034155,1.00e-04,55.4,8508
99,0,0.047565,1.00e-04,55.7,8508
100,0,0.115229,1.00e-04,56.2,8508
101,0,0.077250,1.00e-04,56.7,8508
102,0,0.008606,1.00e-04,57.2,8508
103,0,0.048226,1.00e-04,57.7,8508
104,0,0.039310,1.00e-04,58.2,8508
105,0,0.293435,1.00e-04,58.7,8508
106,0,0.005553,1.00e-04,59.2,8508
107,0,0.040816,1.00e-04,59.6,8508
108,0,0.260875,1.00e-04,60.0,8508
109,0,0.077125,1.00e-04,60.5,8508
110,0,0.083086,1.00e-04,61.0,8508
111,0,0.082689,1.00e-04,61.5,8508
112,0,0.109718,1.00e-04,62.0,8508
113,0,0.023833,1.00e-04,62.5,8508
114,0,0.044020,1.00e-04,63.0,8508
115,0,0.009279,1.00e-04,63.4,8508
116,0,0.019870,1.00e-04,63.9,8508
117,0,0.053236,1.00e-04,64.4,8508
118,0,0.054975,1.00e-04,64.9,8508
119,0,0.133950,1.00e-04,65.4,8508
120,0,0.009242,1.00e-04,65.9,8508
121,0,0.099583,1.00e-04,66.4,8508
122,0,0.014157,1.00e-04,67.4,8508
123,1,0.039071,1.00e-04,78.3,8508
124,1,0.095528,1.00e-04,78.6,8508
125,1,0.028322,1.00e-04,78.9,8508
126,1,0.089260,1.00e-04,79.2,8508
127,1,0.347646,1.00e-04,79.5,8508
128,1,0.024820,1.00e-04,79.8,8508
129,1,0.230029,1.00e-04,80.0,8508
130,1,0.016709,1.00e-04,80.3,8508
131,1,0.043250,1.00e-04,80.6,8508
132,1,0.061246,1.00e-04,80.9,8508
133,1,0.052724,1.00e-04,81.2,8508
134,1,0.030140,1.00e-04,81.4,8508
135,1,0.011310,1.00e-04,81.7,8508
136,1,0.045872,1.00e-04,82.0,8508
137,1,0.058352,1.00e-04,82.3,8508
138,1,0.013882,1.00e-04,82.6,8508
139,1,0.033334,1.00e-04,82.9,8508
140,1,0.041790,1.00e-04,83.1,8508
141,1,0.010778,1.00e-04,83.4,8508
142,1,0.053891,1.00e-04,83.7,8508
143,1,0.011482,1.00e-04,84.0,8508
144,1,0.015520,1.00e-04,84.3,8508
145,1,0.061263,1.00e-04,84.5,8508
146,1,0.255520,1.00e-04,84.8,8508
147,1,0.045735,1.00e-04,85.1,8508
148,1,0.027077,1.00e-04,85.4,8508
149,1,0.100284,1.00e-04,85.7,8508
150,1,0.120079,1.00e-04,86.0,8508
151,1,0.076333,1.00e-04,86.3,8508
152,1,0.271124,1.00e-04,86.6,8508
153,1,0.049189,1.00e-04,86.8,8508
154,1,0.345766,1.00e-04,87.1,8508
155,1,0.094073,1.00e-04,87.4,8508
156,1,0.056859,1.00e-04,87.7,8508
157,1,0.081638,1.00e-04,88.0,8508
