step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.510138,2.00e-05,7.5,7220
2,0,0.812233,2.00e-05,7.7,7236
3,0,0.487514,2.00e-05,7.8,7236
4,0,0.167837,2.00e-05,8.1,7236
5,0,0.110777,2.00e-05,8.3,7242
6,0,0.063705,2.00e-05,8.4,7249
7,0,0.171659,2.00e-05,8.6,7249
8,0,0.198722,2.00e-05,8.8,7249
9,0,0.567807,2.00e-05,9.5,7249
10,1,0.069914,2.00e-05,15.0,7249
11,1,0.014589,2.00e-05,15.2,7249
12,1,0.272800,2.00e-05,15.4,7249
13,1,0.025675,2.00e-05,15.5,7249
14,1,0.006357,2.00e-05,15.7,7249
15,1,0.088554,2.00e-05,15.9,7249
16,1,0.482852,2.00e-05,16.1,7249
17,1,0.009267,2.00e-05,16.2,7249
18,1,0.015211,2.00e-05,17.0,7249
19,2,0.156558,2.00e-05,22.4,7249
20,2,0.064430,2.00e-05,22.6,7249
21,2,0.059409,2.00e-05,22.8,7249
22,2,0.194139,2.00e-05,23.0,7249
23,2,0.485348,2.00e-05,23.1,7249
24,2,0.007707,2.00e-05,23.3,7249
25,2,0.277999,2.00e-05,23.5,7249
26,2,0.004134,2.00e-05,23.6,7249
27,2,0.015518,2.00e-05,24.4,7249
28,3,0.055501,2.00e-05,29.8,7249
29,3,0.334035,2.00e-05,30.0,7249
30,3,0.174435,2.00e-05,30.2,7249
31,3,0.222609,2.00e-05,30.3,7249
32,3,0.179024,2.00e-05,30.5,7249
33,3,0.428315,2.00e-05,30.7,7249
34,3,0.182654,2.00e-05,30.9,7249
35,3,0.538410,2.00e-05,31.0,7249
36,3,0.239493,2.00e-05,31.8,7249
37,4,0.162762,2.00e-05,37.2,7249
38,4,0.003628,2.00e-05,37.4,7249
39,4,0.108565,2.00e-05,37.5,7249
40,4,0.002823,2.00e-05,37.7,7249
41,4,0.496361,2.00e-05,37.9,7249
42,4,0.058049,2.00e-05,38.0,7249
43,4,0.272895,2.00e-05,38.2,7249
44,4,0.211927,2.00e-05,38.4,7249
45,4,0.023662,2.00e-05,39.2,7249
46,5,0.046652,2.00e-05,44.6,7249
47,5,0.019029,2.00e-05,44.8,7249
48,5,0.088803,2.00e-05,45.0,7249
49,5,0.008578,2.00e-05,45.1,7249
50,5,0.409012,2.00e-05,45.3,7249
51,5,0.032205,2.00e-05,45.5,7249
52,5,0.022078,2.00e-05,45.7,7249
53,5,0.074218,2.00e-05,45.8,7249
54,5,0.056868,2.00e-05,46.6,7249
55,6,0.162673,2.00e-05,52.0,7249
56,6,0.045371,2.00e-05,52.2,7249
57,6,0.250583,2.00e-05,52.4,7249
58,6,0.052264,2.00e-05,52.5,7249
59,6,0.025860,2.00e-05,52.7,7249
60,6,0.102692,2.00e-05,52.9,7249
61,6,0.130519,2.00e-05,53.0,7249
62,6,0.164989,2.00e-05,53.2,7249
63,6,0.010506,2.00e-05,53.9,7249
64,7,0.129088,2.00e-05,59.4,7249
65,7,0.007900,2.00e-05,59.6,7249
66,7,0.235171,2.00e-05,59.8,7249
67,7,0.262446,2.00e-05,59.9,7249
68,7,0.339653,2.00e-05,60.1,7249
69,7,0.053469,2.00e-05,60.3,7249
70,7,0.015131,2.00e-05,60.4,7249
71,7,0.360504,2.00e-05,60.6,7249
72,7,0.020231,2.00e-05,61.4,7249
73,8,0.184556,2.00e-05,66.8,7249
74,8,0.022286,2.00e-05,67.0,7249
75,8,0.010299,2.00e-05,67.2,7249
76,8,0.071760,2.00e-05,67.3,7249
77,8,0.187928,2.00e-05,67.5,7249
78,8,0.518176,2.00e-05,67.7,7249
79,8,0.524699,2.00e-05,67.8,7249
80,8,0.048310,2.00e-05,68.0,7249
81,8,0.020512,2.00e-05,68.8,7249
82,9,0.077098,2.00e-05,74.2,7249
83,9,0.224863,2.00e-05,74.4,7249
84,9,0.397106,2.00e-05,74.5,7249
85,9,0.027039,2.00e-05,74.7,7249
86,9,0.035503,2.00e-05,74.9,7249
87,9,0.040567,2.00e-05,75.0,7249
88,9,0.006150,2.00e-05,75.2,7249
89,9,0.275411,2.00e-05,75.4,7249
90,9,0.401604,2.00e-05,76.1,7249
91,10,0.354241,2.00e-05,81.6,7249
92,10,0.018860,2.00e-05,81.8,7249
93,10,0.099614,2.00e-05,82.0,7249
94,10,0.013153,2.00e-05,82.1,7249
95,10,0.178743,2.00e-05,82.3,7249
96,10,0.220779,2.00e-05,82.5,7249
97,10,0.019559,2.00e-05,82.7,7249
98,10,0.037876,2.00e-05,82.9,7249
99,10,0.109393,2.00e-05,83.6,7249
100,11,0.230703,2.00e-05,89.0,7249
101,11,0.043871,2.00e-05,100.0,7748
102,11,0.060260,2.00e-05,100.1,7748
103,11,0.252840,2.00e-05,100.3,7748
