step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.704461,1.00e-04,7.4,7220
2,0,0.735592,1.00e-04,7.5,7236
3,0,0.385026,1.00e-04,7.7,7236
4,0,0.251296,1.00e-04,7.9,7236
5,0,0.067862,1.00e-04,8.1,7242
6,0,0.076882,1.00e-04,8.3,7249
7,0,0.190517,1.00e-04,8.4,7249
8,0,0.181711,1.00e-04,8.6,7249
9,0,0.567746,1.00e-04,8.8,7249
10,0,0.142790,1.00e-04,9.0,7249
11,0,0.015302,1.00e-04,9.2,7249
12,0,0.268928,1.00e-04,9.3,7249
13,0,0.021598,1.00e-04,9.5,7249
14,0,0.003389,1.00e-04,9.7,7249
15,0,0.112655,1.00e-04,9.9,7249
16,0,0.685850,1.00e-04,10.1,7249
17,0,0.010245,1.00e-04,10.2,7249
18,0,0.019292,1.00e-04,10.4,7249
19,0,0.187152,1.00e-04,10.6,7249
20,0,0.077751,1.00e-04,10.8,7249
21,0,0.052102,1.00e-04,10.9,7249
22,0,0.290778,1.00e-04,11.1,7249
23,0,0.485543,1.00e-04,11.3,7249
24,0,0.005318,1.00e-04,11.5,7249
25,0,0.179265,1.00e-04,11.6,7249
26,0,0.005547,1.00e-04,11.8,7249
27,0,0.016430,1.00e-04,12.0,7249
28,0,0.073581,1.00e-04,12.2,7249
29,0,0.379190,1.00e-04,12.3,7249
30,0,0.282856,1.00e-04,12.5,7249
31,0,0.167817,1.00e-04,13.3,7249
32,1,0.249124,1.00e-04,18.9,7249
33,1,0.396136,1.00e-04,19.1,7249
34,1,0.250423,1.00e-04,19.3,7249
35,1,0.522322,1.00e-04,19.5,7249
36,1,0.238489,1.00e-04,19.6,7249
37,1,0.168515,1.00e-04,19.8,7249
38,1,0.003862,1.00e-04,20.0,7249
39,1,0.229472,1.00e-04,20.1,7249
40,1,0.002421,1.00e-04,20.3,7249
41,1,0.437214,1.00e-04,20.5,7249
42,1,0.056165,1.00e-04,20.7,7249
43,1,0.271129,1.00e-04,20.8,7249
44,1,0.143741,1.00e-04,21.0,7249
45,1,0.026637,1.00e-04,21.2,7249
46,1,0.084620,1.00e-04,21.4,7249
47,1,0.015448,1.00e-04,21.6,7249
48,1,0.105427,1.00e-04,21.8,7249
49,1,0.008295,1.00e-04,22.0,7249
50,1,0.442989,1.00e-04,22.1,7249
51,1,0.030670,1.00e-04,22.3,7249
52,1,0.014533,1.00e-04,22.5,7249
53,1,0.080709,1.00e-04,22.6,7249
54,1,0.132567,1.00e-04,22.8,7249
55,1,0.287204,1.00e-04,23.0,7249
56,1,0.069381,1.00e-04,23.2,7249
57,1,0.178549,1.00e-04,23.4,7249
58,1,0.076965,1.00e-04,23.6,7249
59,1,0.022108,1.00e-04,23.7,7249
60,1,0.106194,1.00e-04,23.9,7249
61,1,0.108250,1.00e-04,24.1,7249
62,1,0.151025,1.00e-04,24.9,7249
63,2,0.008697,1.00e-04,30.4,7249
64,2,0.098328,1.00e-04,30.5,7249
65,2,0.009569,1.00e-04,30.7,7249
66,2,0.380938,1.00e-04,30.9,7249
67,2,0.261557,1.00e-04,31.1,7249
68,2,0.637978,1.00e-04,31.2,7249
69,2,0.058087,1.00e-04,31.4,7249
70,2,0.017673,1.00e-04,31.6,7249
71,2,0.494198,1.00e-04,31.8,7249
72,2,0.018231,1.00e-04,32.0,7249
73,2,0.212230,1.00e-04,32.1,7249
74,2,0.018085,1.00e-04,32.4,7249
75,2,0.014408,1.00e-04,32.5,7249
76,2,0.115080,1.00e-04,32.7,7249
77,2,0.275267,1.00e-04,32.9,7249
78,2,0.637517,1.00e-04,33.0,7249
79,2,0.389290,1.00e-04,33.2,7249
80,2,0.065138,1.00e-04,33.4,7249
81,2,0.015261,1.00e-04,33.6,7249
82,2,0.083633,1.00e-04,33.8,7249
83,2,0.409635,1.00e-04,33.9,7249
84,2,0.570964,1.00e-04,34.1,7249
85,2,0.016601,1.00e-04,34.3,7249
86,2,0.033456,1.00e-04,34.5,7249
87,2,0.062076,1.00e-04,34.6,7249
88,2,0.006091,1.00e-04,34.8,7249
89,2,0.293728,1.00e-04,35.0,7249
90,2,0.347656,1.00e-04,35.2,7249
91,2,0.545097,1.00e-04,35.3,7249
92,2,0.020743,1.00e-04,35.5,7249
93,2,0.056737,1.00e-04,36.3,7249
94,3,0.016495,1.00e-04,41.7,7249
95,3,0.160249,1.00e-04,41.9,7249
96,3,0.210586,1.00e-04,42.1,7249
97,3,0.018043,1.00e-04,42.3,7249
98,3,0.040358,1.00e-04,42.5,7249
99,3,0.173343,1.00e-04,42.6,7249
100,3,0.297017,1.00e-04,42.8,7249
101,3,0.052909,1.00e-04,53.0,7748
102,3,0.084860,1.00e-04,53.2,7748
103,3,0.137408,1.00e-04,53.3,7748
104,3,0.116848,1.00e-04,53.5,7748
105,3,0.007821,1.00e-04,53.7,7748
106,3,0.049218,1.00e-04,53.9,7748
107,3,0.686536,1.00e-04,54.0,7748
108,3,0.119694,1.00e-04,54.2,7748
109,3,0.023998,1.00e-04,54.4,7748
110,3,0.266891,1.00e-04,54.6,7748
111,3,0.141249,1.00e-04,54.7,7748
112,3,0.025935,1.00e-04,54.9,7748
113,3,0.037758,1.00e-04,55.1,7748
114,3,0.033320,1.00e-04,55.3,7748
115,3,0.304399,1.00e-04,55.5,7748
116,3,0.095676,1.00e-04,55.7,7748
117,3,0.023547,1.00e-04,55.9,7748
118,3,0.195843,1.00e-04,56.0,7748
119,3,0.050801,1.00e-04,56.2,7748
120,3,0.011903,1.00e-04,56.4,7748
121,3,0.439917,1.00e-04,56.6,7748
122,3,0.433965,1.00e-04,56.7,7748
123,3,0.499708,1.00e-04,56.9,7748
124,3,0.006864,1.00e-04,57.7,7748
125,4,0.030430,1.00e-04,63.2,7748
126,4,0.187706,1.00e-04,63.3,7748
127,4,0.001783,1.00e-04,63.5,7748
128,4,0.008262,1.00e-04,63.7,7748
129,4,0.096371,1.00e-04,63.9,7748
130,4,0.005771,1.00e-04,64.1,7748
131,4,0.017956,1.00e-04,64.2,7748
132,4,0.092673,1.00e-04,64.4,7748
133,4,0.024823,1.00e-04,64.6,7748
134,4,0.034806,1.00e-04,64.8,7748
135,4,0.014697,1.00e-04,64.9,7748
136,4,0.011273,1.00e-04,65.1,7748
137,4,0.423879,1.00e-04,65.3,7748
138,4,0.113452,1.00e-04,65.5,7748
139,4,0.175321,1.00e-04,65.7,7748
140,4,0.427197,1.00e-04,65.9,7748
141,4,0.163535,1.00e-04,66.1,7748
142,4,0.100524,1.00e-04,66.2,7748
143,4,0.009144,1.00e-04,66.4,7748
144,4,0.216795,1.00e-04,66.6,7748
145,4,0.003629,1.00e-04,66.8,7748
146,4,0.046651,1.00e-04,67.0,7748
147,4,0.101567,1.00e-04,67.1,7748
148,4,0.061380,1.00e-04,67.3,7748
149,4,0.087107,1.00e-04,67.5,7748
150,4,0.134554,1.00e-04,67.7,7748
151,4,0.314150,1.00e-04,67.9,7748
152,4,0.051089,1.00e-04,68.0,7748
153,4,0.557293,1.00e-04,68.2,7748
154,4,0.003196,1.00e-04,68.4,7748
155,4,0.037239,1.00e-04,69.1,7748
156,5,0.035819,1.00e-04,74.8,7748
157,5,0.015326,1.00e-04,74.9,7748
158,5,0.033959,1.00e-04,75.1,7748
159,5,0.054751,1.00e-04,75.3,7748
