step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.695017,5.00e-05,7.5,7220
2,0,0.806676,5.00e-05,7.7,7236
3,0,0.551645,5.00e-05,7.9,7236
4,0,0.377597,5.00e-05,8.1,7236
5,0,0.094327,5.00e-05,8.3,7242
6,0,0.067680,5.00e-05,8.5,7249
7,0,0.296533,5.00e-05,8.7,7249
8,0,0.251056,5.00e-05,8.9,7249
9,0,0.533932,5.00e-05,9.0,7249
10,0,0.157283,5.00e-05,9.2,7249
11,0,0.023654,5.00e-05,9.4,7249
12,0,0.346951,5.00e-05,10.1,7249
13,1,0.026085,5.00e-05,15.6,7249
14,1,0.005153,5.00e-05,15.8,7249
15,1,0.118505,5.00e-05,16.0,7249
16,1,0.617854,5.00e-05,16.1,7249
17,1,0.007754,5.00e-05,16.3,7249
18,1,0.015871,5.00e-05,16.5,7249
19,1,0.198074,5.00e-05,16.7,7249
20,1,0.061504,5.00e-05,16.9,7249
21,1,0.083449,5.00e-05,17.0,7249
22,1,0.384048,5.00e-05,17.2,7249
23,1,0.579193,5.00e-05,17.4,7249
24,1,0.006014,5.00e-05,18.1,7249
25,2,0.399558,5.00e-05,23.6,7249
26,2,0.004895,5.00e-05,23.8,7249
27,2,0.019275,5.00e-05,24.0,7249
28,2,0.058424,5.00e-05,24.1,7249
29,2,0.561047,5.00e-05,24.3,7249
30,2,0.389060,5.00e-05,24.5,7249
31,2,0.272437,5.00e-05,24.7,7249
32,2,0.140944,5.00e-05,24.9,7249
33,2,0.600710,5.00e-05,25.0,7249
34,2,0.166850,5.00e-05,25.2,7249
35,2,0.641356,5.00e-05,25.4,7249
36,2,0.289139,5.00e-05,26.1,7249
37,3,0.279229,5.00e-05,31.6,7249
38,3,0.004362,5.00e-05,31.8,7249
39,3,0.188768,5.00e-05,31.9,7249
40,3,0.002099,5.00e-05,32.1,7249
41,3,0.378408,5.00e-05,32.3,7249
42,3,0.062763,5.00e-05,32.5,7249
43,3,0.352445,5.00e-05,32.6,7249
44,3,0.271516,5.00e-05,32.8,7249
45,3,0.028497,5.00e-05,33.0,7249
46,3,0.098022,5.00e-05,33.2,7249
47,3,0.022525,5.00e-05,33.3,7249
48,3,0.105961,5.00e-05,34.1,7249
49,4,0.007330,5.00e-05,39.6,7249
50,4,0.557800,5.00e-05,39.7,7249
51,4,0.030173,5.00e-05,39.9,7249
52,4,0.029309,5.00e-05,40.1,7249
53,4,0.071659,5.00e-05,40.3,7249
54,4,0.131485,5.00e-05,40.5,7249
55,4,0.311044,5.00e-05,40.7,7249
56,4,0.055141,5.00e-05,40.9,7249
57,4,0.343002,5.00e-05,41.0,7249
58,4,0.109295,5.00e-05,41.2,7249
59,4,0.029560,5.00e-05,41.4,7249
60,4,0.162059,5.00e-05,42.2,7249
61,5,0.180659,5.00e-05,47.6,7249
62,5,0.240319,5.00e-05,47.7,7249
63,5,0.010616,5.00e-05,48.0,7249
64,5,0.162661,5.00e-05,48.1,7249
65,5,0.009234,5.00e-05,48.3,7249
66,5,0.423745,5.00e-05,48.5,7249
67,5,0.381413,5.00e-05,48.7,7249
68,5,0.430145,5.00e-05,48.9,7249
69,5,0.085980,5.00e-05,49.1,7249
70,5,0.016881,5.00e-05,49.2,7249
71,5,0.576981,5.00e-05,49.4,7249
72,5,0.021519,5.00e-05,50.1,7249
73,6,0.285708,5.00e-05,55.6,7249
74,6,0.020569,5.00e-05,55.8,7249
75,6,0.015851,5.00e-05,56.0,7249
76,6,0.078423,5.00e-05,56.2,7249
77,6,0.288466,5.00e-05,56.3,7249
78,6,0.564940,5.00e-05,56.5,7249
79,6,0.486399,5.00e-05,56.7,7249
80,6,0.066183,5.00e-05,56.9,7249
81,6,0.028717,5.00e-05,57.0,7249
82,6,0.067727,5.00e-05,57.2,7249
83,6,0.432812,5.00e-05,57.4,7249
84,6,0.488799,5.00e-05,58.1,7249
85,7,0.034872,5.00e-05,63.6,7249
86,7,0.041054,5.00e-05,63.8,7249
87,7,0.072777,5.00e-05,63.9,7249
88,7,0.006137,5.00e-05,64.1,7249
89,7,0.375695,5.00e-05,64.3,7249
90,7,0.532804,5.00e-05,64.5,7249
91,7,0.459723,5.00e-05,64.6,7249
92,7,0.024601,5.00e-05,64.8,7249
93,7,0.078561,5.00e-05,65.0,7249
94,7,0.018076,5.00e-05,65.2,7249
