step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.473749,1.00e-04,7.1,7220
2,0,0.472409,1.00e-04,7.3,7236
3,0,0.247993,1.00e-04,7.5,7236
4,0,0.230484,1.00e-04,7.7,7236
5,0,0.111308,1.00e-04,7.8,7242
6,0,0.079094,1.00e-04,8.0,7249
7,0,0.204237,1.00e-04,8.2,7249
8,0,0.156719,1.00e-04,8.4,7249
9,0,0.471423,1.00e-04,8.5,7249
10,0,0.142828,1.00e-04,9.3,7249
11,1,0.020918,1.00e-04,14.6,7249
12,1,0.267967,1.00e-04,14.8,7249
13,1,0.016010,1.00e-04,15.0,7249
14,1,0.002791,1.00e-04,15.2,7249
15,1,0.088144,1.00e-04,15.4,7249
16,1,0.462705,1.00e-04,15.5,7249
17,1,0.009178,1.00e-04,15.7,7249
18,1,0.016229,1.00e-04,15.9,7249
19,1,0.080954,1.00e-04,16.1,7249
20,1,0.080401,1.00e-04,16.8,7249
21,2,0.066494,1.00e-04,22.2,7249
22,2,0.302745,1.00e-04,22.4,7249
23,2,0.677001,1.00e-04,22.6,7249
24,2,0.003826,1.00e-04,22.8,7249
25,2,0.317759,1.00e-04,22.9,7249
26,2,0.005940,1.00e-04,23.1,7249
27,2,0.010014,1.00e-04,23.3,7249
28,2,0.052348,1.00e-04,23.5,7249
29,2,0.277126,1.00e-04,23.6,7249
30,2,0.210079,1.00e-04,24.4,7249
31,3,0.291452,1.00e-04,29.8,7249
32,3,0.175255,1.00e-04,30.0,7249
33,3,0.315230,1.00e-04,30.2,7249
34,3,0.226809,1.00e-04,30.3,7249
35,3,0.518073,1.00e-04,30.5,7249
36,3,0.134423,1.00e-04,30.7,7249
37,3,0.177309,1.00e-04,30.8,7249
38,3,0.004125,1.00e-04,31.0,7249
39,3,0.141231,1.00e-04,31.2,7249
40,3,0.001723,1.00e-04,31.9,7249
41,4,0.401030,1.00e-04,37.2,7249
42,4,0.056515,1.00e-04,37.4,7249
43,4,0.258522,1.00e-04,37.6,7249
44,4,0.172777,1.00e-04,37.8,7249
45,4,0.016849,1.00e-04,37.9,7249
46,4,0.038522,1.00e-04,38.1,7249
47,4,0.026825,1.00e-04,38.3,7249
48,4,0.093634,1.00e-04,38.4,7249
49,4,0.008760,1.00e-04,38.6,7249
50,4,0.229244,1.00e-04,39.3,7249
51,5,0.020339,1.00e-04,44.6,7249
52,5,0.023522,1.00e-04,44.8,7249
53,5,0.064272,1.00e-04,45.0,7249
54,5,0.113417,1.00e-04,45.1,7249
55,5,0.189272,1.00e-04,45.3,7249
56,5,0.054152,1.00e-04,45.5,7249
57,5,0.156607,1.00e-04,45.6,7249
58,5,0.092063,1.00e-04,45.8,7249
59,5,0.023848,1.00e-04,46.0,7249
60,5,0.067170,1.00e-04,46.7,7249
61,6,0.143664,1.00e-04,52.0,7249
62,6,0.198127,1.00e-04,52.2,7249
63,6,0.010747,1.00e-04,52.4,7249
64,6,0.091036,1.00e-04,52.6,7249
65,6,0.005907,1.00e-04,52.8,7249
66,6,0.304882,1.00e-04,52.9,7249
67,6,0.396973,1.00e-04,53.1,7249
68,6,0.295623,1.00e-04,53.3,7249
69,6,0.058717,1.00e-04,53.5,7249
70,6,0.015759,1.00e-04,54.2,7249
71,7,0.237955,1.00e-04,59.6,7249
72,7,0.022399,1.00e-04,59.8,7249
73,7,0.174828,1.00e-04,60.0,7249
74,7,0.018379,1.00e-04,60.1,7249
75,7,0.008396,1.00e-04,60.3,7249
76,7,0.044368,1.00e-04,60.5,7249
77,7,0.175753,1.00e-04,60.6,7249
78,7,0.482933,1.00e-04,60.8,7249
79,7,0.387619,1.00e-04,61.0,7249
80,7,0.068960,1.00e-04,61.7,7249
81,8,0.014161,1.00e-04,67.2,7249
82,8,0.045463,1.00e-04,67.4,7249
83,8,0.252777,1.00e-04,67.5,7249
84,8,0.366104,1.00e-04,67.7,7249
85,8,0.027201,1.00e-04,67.9,7249
86,8,0.043264,1.00e-04,68.1,7249
87,8,0.035656,1.00e-04,68.2,7249
88,8,0.006356,1.00e-04,68.4,7249
89,8,0.267728,1.00e-04,68.6,7249
90,8,0.609791,1.00e-04,69.3,7249
91,9,0.429432,1.00e-04,74.8,7249
92,9,0.014037,1.00e-04,75.0,7249
93,9,0.055794,1.00e-04,75.1,7249
94,9,0.016189,1.00e-04,75.3,7249
95,9,0.159182,1.00e-04,75.5,7249
96,9,0.239467,1.00e-04,75.7,7249
97,9,0.019377,1.00e-04,75.8,7249
98,9,0.036604,1.00e-04,76.0,7249
99,9,0.070971,1.00e-04,76.2,7249
100,9,0.354795,1.00e-04,76.9,7249
101,10,0.052394,1.00e-04,92.8,7742
102,10,0.074835,1.00e-04,93.0,7742
103,10,0.251741,1.00e-04,93.2,7742
104,10,0.137047,1.00e-04,93.4,7742
105,10,0.009860,1.00e-04,93.5,7742
106,10,0.025313,1.00e-04,93.7,7742
107,10,0.586398,1.00e-04,93.9,7742
108,10,0.058565,1.00e-04,94.1,7742
109,10,0.024922,1.00e-04,94.3,7742
110,10,0.299721,1.00e-04,95.0,7742
111,11,0.140563,1.00e-04,100.4,7742
112,11,0.027681,1.00e-04,100.6,7742
113,11,0.031990,1.00e-04,100.7,7742
114,11,0.034213,1.00e-04,100.9,7742
115,11,0.163385,1.00e-04,101.1,7742
116,11,0.153429,1.00e-04,101.3,7742
117,11,0.036020,1.00e-04,101.4,7742
118,11,0.096112,1.00e-04,101.6,7742
119,11,0.042102,1.00e-04,101.8,7742
120,11,0.011630,1.00e-04,102.5,7742
