step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.473749,1.00e-04,7.5,7220
2,0,0.472409,1.00e-04,7.7,7236
3,0,0.247993,1.00e-04,7.8,7236
4,0,0.230484,1.00e-04,8.1,7236
5,0,0.111310,1.00e-04,8.2,7242
6,0,0.079096,1.00e-04,8.4,7249
7,0,0.204232,1.00e-04,8.6,7249
8,0,0.156718,1.00e-04,8.8,7249
9,0,0.471427,1.00e-04,9.0,7249
10,0,0.142828,1.00e-04,9.7,7249
11,1,0.020918,1.00e-04,15.2,7249
12,1,0.267963,1.00e-04,15.4,7249
13,1,0.016010,1.00e-04,15.6,7249
14,1,0.002791,1.00e-04,15.7,7249
15,1,0.088147,1.00e-04,15.9,7249
16,1,0.462704,1.00e-04,16.1,7249
17,1,0.009179,1.00e-04,16.3,7249
18,1,0.016229,1.00e-04,16.5,7249
19,1,0.080951,1.00e-04,16.6,7249
20,1,0.080403,1.00e-04,17.4,7249
21,2,0.066491,1.00e-04,22.8,7249
22,2,0.302752,1.00e-04,23.0,7249
23,2,0.676998,1.00e-04,23.2,7249
24,2,0.003826,1.00e-04,23.3,7249
25,2,0.317757,1.00e-04,23.5,7249
26,2,0.005941,1.00e-04,23.7,7249
27,2,0.010015,1.00e-04,23.9,7249
28,2,0.052350,1.00e-04,24.0,7249
29,2,0.277131,1.00e-04,24.2,7249
30,2,0.210083,1.00e-04,24.9,7249
31,3,0.291453,1.00e-04,30.4,7249
32,3,0.175252,1.00e-04,30.6,7249
33,3,0.315228,1.00e-04,30.7,7249
34,3,0.226808,1.00e-04,30.9,7249
35,3,0.518094,1.00e-04,31.1,7249
36,3,0.134421,1.00e-04,31.3,7249
37,3,0.177304,1.00e-04,31.4,7249
38,3,0.004125,1.00e-04,31.6,7249
39,3,0.141230,1.00e-04,31.8,7249
40,3,0.001723,1.00e-04,32.5,7249
41,4,0.401034,1.00e-04,37.8,7249
42,4,0.056511,1.00e-04,38.0,7249
43,4,0.258518,1.00e-04,38.1,7249
44,4,0.172783,1.00e-04,38.3,7249
45,4,0.016849,1.00e-04,38.5,7249
46,4,0.038522,1.00e-04,38.7,7249
47,4,0.026825,1.00e-04,38.8,7249
48,4,0.093635,1.00e-04,39.0,7249
49,4,0.008760,1.00e-04,39.2,7249
50,4,0.229236,1.00e-04,39.9,7249
51,5,0.020339,1.00e-04,45.4,7249
52,5,0.023522,1.00e-04,45.6,7249
53,5,0.064272,1.00e-04,45.7,7249
54,5,0.113419,1.00e-04,45.9,7249
55,5,0.189273,1.00e-04,46.1,7249
56,5,0.054153,1.00e-04,46.3,7249
57,5,0.156606,1.00e-04,46.4,7249
58,5,0.092075,1.00e-04,46.6,7249
59,5,0.023847,1.00e-04,46.8,7249
60,5,0.067169,1.00e-04,47.5,7249
61,6,0.143663,1.00e-04,53.0,7249
62,6,0.198131,1.00e-04,53.2,7249
63,6,0.010747,1.00e-04,53.3,7249
64,6,0.091036,1.00e-04,53.5,7249
65,6,0.005907,1.00e-04,53.7,7249
