step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.510138,2.00e-05,7.2,7220
2,0,0.812233,2.00e-05,7.4,7236
3,0,0.487514,2.00e-05,7.6,7236
4,0,0.167837,2.00e-05,7.8,7236
5,0,0.110774,2.00e-05,8.0,7242
6,0,0.063709,2.00e-05,8.1,7249
7,0,0.171662,2.00e-05,8.3,7249
8,0,0.198723,2.00e-05,8.5,7249
9,0,0.567800,2.00e-05,9.2,7249
10,1,0.069915,2.00e-05,14.6,7249
11,1,0.014588,2.00e-05,14.8,7249
12,1,0.272795,2.00e-05,15.0,7249
13,1,0.025676,2.00e-05,15.1,7249
14,1,0.006357,2.00e-05,15.3,7249
15,1,0.088550,2.00e-05,15.5,7249
16,1,0.482861,2.00e-05,15.7,7249
17,1,0.009267,2.00e-05,15.9,7249
18,1,0.015210,2.00e-05,16.6,7249
19,2,0.156559,2.00e-05,22.0,7249
20,2,0.064431,2.00e-05,22.2,7249
21,2,0.059410,2.00e-05,22.4,7249
22,2,0.194138,2.00e-05,22.6,7249
23,2,0.485349,2.00e-05,22.7,7249
24,2,0.007708,2.00e-05,22.9,7249
25,2,0.278000,2.00e-05,23.1,7249
26,2,0.004134,2.00e-05,23.3,7249
27,2,0.015518,2.00e-05,24.0,7249
28,3,0.055501,2.00e-05,29.4,7249
29,3,0.334033,2.00e-05,29.6,7249
30,3,0.174434,2.00e-05,29.8,7249
31,3,0.222614,2.00e-05,30.0,7249
32,3,0.179023,2.00e-05,30.2,7249
33,3,0.428315,2.00e-05,30.3,7249
34,3,0.182656,2.00e-05,30.5,7249
35,3,0.538409,2.00e-05,30.7,7249
36,3,0.239488,2.00e-05,31.5,7249
37,4,0.162759,2.00e-05,36.8,7249
38,4,0.003628,2.00e-05,37.0,7249
39,4,0.108566,2.00e-05,37.2,7249
40,4,0.002823,2.00e-05,37.4,7249
41,4,0.496355,2.00e-05,37.5,7249
42,4,0.058051,2.00e-05,37.7,7249
43,4,0.272902,2.00e-05,37.9,7249
44,4,0.211929,2.00e-05,38.1,7249
45,4,0.023662,2.00e-05,38.8,7249
46,5,0.046653,2.00e-05,44.2,7249
47,5,0.019030,2.00e-05,44.4,7249
48,5,0.088805,2.00e-05,44.6,7249
49,5,0.008578,2.00e-05,44.8,7249
50,5,0.409009,2.00e-05,44.9,7249
51,5,0.032205,2.00e-05,45.1,7249
52,5,0.022078,2.00e-05,45.3,7249
53,5,0.074218,2.00e-05,45.5,7249
54,5,0.056871,2.00e-05,46.2,7249
55,6,0.162674,2.00e-05,51.6,7249
56,6,0.045368,2.00e-05,51.8,7249
57,6,0.250585,2.00e-05,52.0,7249
58,6,0.052266,2.00e-05,52.1,7249
59,6,0.025860,2.00e-05,52.3,7249
60,6,0.102691,2.00e-05,52.5,7249
61,6,0.130516,2.00e-05,52.7,7249
62,6,0.164995,2.00e-05,52.8,7249
63,6,0.010506,2.00e-05,53.6,7249
64,7,0.129088,2.00e-05,59.2,7249
65,7,0.007900,2.00e-05,59.4,7249
66,7,0.235175,2.00e-05,59.6,7249
67,7,0.262458,2.00e-05,59.7,7249
68,7,0.339650,2.00e-05,59.9,7249
69,7,0.053468,2.00e-05,60.1,7249
70,7,0.015132,2.00e-05,60.2,7249
71,7,0.360501,2.00e-05,60.4,7249
72,7,0.020232,2.00e-05,61.2,7249
73,8,0.184555,2.00e-05,66.6,7249
74,8,0.022286,2.00e-05,66.8,7249
75,8,0.010300,2.00e-05,67.0,7249
76,8,0.071761,2.00e-05,67.1,7249
77,8,0.187926,2.00e-05,67.3,7249
78,8,0.518186,2.00e-05,67.5,7249
79,8,0.524696,2.00e-05,67.7,7249
80,8,0.048311,2.00e-05,67.8,7249
81,8,0.020513,2.00e-05,68.6,7249
82,9,0.077099,2.00e-05,74.0,7249
83,9,0.224867,2.00e-05,74.2,7249
84,9,0.397116,2.00e-05,74.4,7249
85,9,0.027039,2.00e-05,74.6,7249
86,9,0.035503,2.00e-05,74.7,7249
87,9,0.040568,2.00e-05,74.9,7249
88,9,0.006151,2.00e-05,75.1,7249
89,9,0.275408,2.00e-05,75.3,7249
90,9,0.401604,2.00e-05,76.0,7249
91,10,0.354241,2.00e-05,81.4,7249
92,10,0.018860,2.00e-05,81.6,7249
93,10,0.099618,2.00e-05,81.8,7249
94,10,0.013153,2.00e-05,82.0,7249
95,10,0.178744,2.00e-05,82.1,7249
96,10,0.220777,2.00e-05,82.3,7249
97,10,0.019558,2.00e-05,82.5,7249
