step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.800643,1.00e-04,7.4,7220
2,0,0.825340,1.00e-04,7.6,7236
3,0,0.443327,1.00e-04,7.8,7236
4,0,0.298394,1.00e-04,8.0,7236
5,0,0.147870,1.00e-04,8.2,7242
6,0,0.095979,1.00e-04,8.4,7249
7,0,0.295510,1.00e-04,8.5,7249
8,0,0.253898,1.00e-04,8.7,7249
9,0,0.631461,1.00e-04,9.5,7249
10,1,0.140436,1.00e-04,15.0,7249
11,1,0.020385,1.00e-04,15.1,7249
12,1,0.347155,1.00e-04,15.3,7249
13,1,0.028254,1.00e-04,15.5,7249
14,1,0.004982,1.00e-04,15.7,7249
15,1,0.114509,1.00e-04,15.8,7249
16,1,0.698516,1.00e-04,16.0,7249
17,1,0.008471,1.00e-04,16.2,7249
18,1,0.017972,1.00e-04,16.9,7249
19,2,0.214310,1.00e-04,22.5,7249
20,2,0.078069,1.00e-04,22.7,7249
21,2,0.086960,1.00e-04,22.9,7249
22,2,0.388905,1.00e-04,23.1,7249
23,2,0.686542,1.00e-04,23.3,7249
24,2,0.005837,1.00e-04,23.4,7249
25,2,0.349149,1.00e-04,23.6,7249
26,2,0.004919,1.00e-04,23.8,7249
27,2,0.017283,1.00e-04,24.5,7249
28,3,0.066605,1.00e-04,30.1,7249
29,3,0.607728,1.00e-04,30.3,7249
30,3,0.308903,1.00e-04,30.5,7249
31,3,0.290099,1.00e-04,30.7,7249
32,3,0.162698,1.00e-04,30.8,7249
33,3,0.641280,1.00e-04,31.0,7249
34,3,0.295191,1.00e-04,31.2,7249
35,3,0.658194,1.00e-04,31.4,7249
36,3,0.298119,1.00e-04,32.1,7249
37,4,0.272247,1.00e-04,37.7,7249
38,4,0.003577,1.00e-04,37.9,7249
39,4,0.212028,1.00e-04,38.1,7249
40,4,0.001995,1.00e-04,38.3,7249
41,4,0.438185,1.00e-04,38.4,7249
42,4,0.065060,1.00e-04,38.6,7249
43,4,0.329441,1.00e-04,38.8,7249
44,4,0.280600,1.00e-04,38.9,7249
45,4,0.031840,1.00e-04,39.7,7249
46,5,0.084243,1.00e-04,45.1,7249
47,5,0.029851,1.00e-04,45.3,7249
48,5,0.103117,1.00e-04,45.5,7249
49,5,0.008039,1.00e-04,45.7,7249
50,5,0.475888,1.00e-04,45.9,7249
51,5,0.035942,1.00e-04,46.0,7249
52,5,0.024212,1.00e-04,46.2,7249
53,5,0.103600,1.00e-04,46.4,7249
54,5,0.104360,1.00e-04,47.1,7249
55,6,0.344939,1.00e-04,52.7,7249
56,6,0.068989,1.00e-04,52.9,7249
57,6,0.409200,1.00e-04,53.1,7249
58,6,0.099866,1.00e-04,53.2,7249
59,6,0.026451,1.00e-04,53.4,7249
60,6,0.129101,1.00e-04,53.6,7249
61,6,0.163093,1.00e-04,53.7,7249
62,6,0.220869,1.00e-04,53.9,7249
63,6,0.009575,1.00e-04,54.7,7249
64,7,0.218830,1.00e-04,60.1,7249
65,7,0.009710,1.00e-04,60.3,7249
66,7,0.376841,1.00e-04,60.5,7249
67,7,0.341222,1.00e-04,60.7,7249
68,7,0.618192,1.00e-04,60.9,7249
69,7,0.064198,1.00e-04,61.1,7249
70,7,0.017631,1.00e-04,61.2,7249
71,7,0.565969,1.00e-04,61.4,7249
72,7,0.021662,1.00e-04,62.2,7249
73,8,0.229375,1.00e-04,67.7,7249
74,8,0.020767,1.00e-04,67.9,7249
75,8,0.013243,1.00e-04,68.1,7249
76,8,0.093511,1.00e-04,68.3,7249
77,8,0.348204,1.00e-04,68.4,7249
78,8,0.472478,1.00e-04,68.6,7249
79,8,0.581228,1.00e-04,68.8,7249
80,8,0.090166,1.00e-04,69.0,7249
81,8,0.029651,1.00e-04,69.7,7249
82,9,0.102610,1.00e-04,75.1,7249
83,9,0.361686,1.00e-04,75.3,7249
