step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.758159,1.00e-04,7.3,7220
2,0,0.707729,1.00e-04,7.4,7236
3,0,0.514948,1.00e-04,7.6,7236
4,0,0.321098,1.00e-04,7.8,7236
5,0,0.114441,1.00e-04,8.0,7242
6,0,0.100855,1.00e-04,8.2,7249
7,0,0.264395,1.00e-04,8.3,7249
8,0,0.156853,1.00e-04,8.5,7249
9,0,0.577015,1.00e-04,8.7,7249
10,0,0.110661,1.00e-04,8.9,7249
11,0,0.020670,1.00e-04,9.1,7249
12,0,0.153316,1.00e-04,9.3,7249
13,0,0.024772,1.00e-04,9.4,7249
14,0,0.003381,1.00e-04,9.6,7249
15,0,0.061151,1.00e-04,9.8,7249
16,0,0.422989,1.00e-04,10.0,7249
17,0,0.011371,1.00e-04,10.1,7249
18,0,0.016497,1.00e-04,10.3,7249
19,0,0.143351,1.00e-04,10.5,7249
20,0,0.048124,1.00e-04,10.6,7249
21,0,0.057196,1.00e-04,10.8,7249
22,0,0.224543,1.00e-04,11.0,7249
23,0,0.640522,1.00e-04,11.2,7249
24,0,0.005061,1.00e-04,11.4,7249
25,0,0.316967,1.00e-04,11.6,7249
26,0,0.005295,1.00e-04,11.7,7249
27,0,0.016718,1.00e-04,11.9,7249
28,0,0.056477,1.00e-04,12.1,7249
29,0,0.636696,1.00e-04,12.3,7249
30,0,0.396487,1.00e-04,12.5,7249
31,0,0.191726,1.00e-04,13.2,7249
32,1,0.103303,1.00e-04,18.6,7249
33,1,0.642497,1.00e-04,18.7,7249
34,1,0.227952,1.00e-04,18.9,7249
35,1,0.680677,1.00e-04,19.1,7249
36,1,0.298687,1.00e-04,19.2,7249
37,1,0.267001,1.00e-04,19.4,7249
38,1,0.004492,1.00e-04,19.6,7249
39,1,0.140835,1.00e-04,19.8,7249
40,1,0.002402,1.00e-04,19.9,7249
41,1,0.403472,1.00e-04,20.1,7249
42,1,0.065551,1.00e-04,20.3,7249
