step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.633643,1.00e-04,7.3,7220
2,0,0.806676,1.00e-04,7.4,7236
3,0,0.382608,1.00e-04,7.6,7236
4,0,0.207279,1.00e-04,7.8,7236
5,0,0.134496,1.00e-04,8.0,7242
6,0,0.107601,1.00e-04,8.7,7249
7,1,0.279946,1.00e-04,14.0,7249
8,1,0.169939,1.00e-04,14.1,7249
9,1,0.400579,1.00e-04,14.3,7249
10,1,0.114741,1.00e-04,14.5,7249
11,1,0.023999,1.00e-04,14.7,7249
12,1,0.215175,1.00e-04,15.4,7249
13,2,0.022275,1.00e-04,20.7,7249
14,2,0.005050,1.00e-04,20.9,7249
15,2,0.076282,1.00e-04,21.1,7249
16,2,0.609842,1.00e-04,21.3,7249
17,2,0.010217,1.00e-04,21.4,7249
18,2,0.013626,1.00e-04,22.2,7249
19,3,0.225338,1.00e-04,27.5,7249
20,3,0.060235,1.00e-04,27.7,7249
21,3,0.053165,1.00e-04,27.9,7249
22,3,0.373016,1.00e-04,28.1,7249
23,3,0.536574,1.00e-04,28.3,7249
24,3,0.004881,1.00e-04,28.9,7249
25,4,0.368735,1.00e-04,34.2,7249
26,4,0.005356,1.00e-04,34.3,7249
27,4,0.015820,1.00e-04,34.5,7249
28,4,0.053305,1.00e-04,34.7,7249
29,4,0.406013,1.00e-04,34.9,7249
30,4,0.368298,1.00e-04,35.6,7249
31,5,0.154497,1.00e-04,40.8,7249
32,5,0.139135,1.00e-04,41.0,7249
33,5,0.505149,1.00e-04,41.1,7249
34,5,0.264094,1.00e-04,41.3,7249
35,5,0.637314,1.00e-04,41.5,7249
36,5,0.201538,1.00e-04,42.2,7249
37,6,0.269905,1.00e-04,47.5,7249
38,6,0.004195,1.00e-04,47.7,7249
39,6,0.205149,1.00e-04,47.9,7249
40,6,0.002513,1.00e-04,48.0,7249
41,6,0.401186,1.00e-04,48.2,7249
42,6,0.045223,1.00e-04,48.9,7249
43,7,0.226848,1.00e-04,54.3,7249
44,7,0.170662,1.00e-04,54.5,7249
45,7,0.020987,1.00e-04,54.7,7249
46,7,0.097854,1.00e-04,54.8,7249
47,7,0.028994,1.00e-04,55.0,7249
48,7,0.092561,1.00e-04,55.7,7249
49,8,0.008358,1.00e-04,61.0,7249
50,8,0.490030,1.00e-04,61.1,7249
51,8,0.043492,1.00e-04,61.3,7249
52,8,0.022041,1.00e-04,61.5,7249
53,8,0.062992,1.00e-04,61.7,7249
54,8,0.081363,1.00e-04,62.4,7249
55,9,0.270195,1.00e-04,67.8,7249
56,9,0.043065,1.00e-04,67.9,7249
57,9,0.231127,1.00e-04,68.1,7249
58,9,0.124792,1.00e-04,68.3,7249
59,9,0.020323,1.00e-04,68.4,7249
60,9,0.164686,1.00e-04,69.2,7249
61,10,0.109550,1.00e-04,74.5,7249
62,10,0.134418,1.00e-04,74.7,7249
63,10,0.012181,1.00e-04,74.9,7249
64,10,0.113323,1.00e-04,75.1,7249
65,10,0.009882,1.00e-04,75.2,7249
66,10,0.359379,1.00e-04,75.9,7249
67,11,0.360873,1.00e-04,81.3,7249
68,11,0.507587,1.00e-04,81.5,7249
69,11,0.052384,1.00e-04,81.6,7249
70,11,0.013596,1.00e-04,81.8,7249
71,11,0.508686,1.00e-04,82.0,7249
72,11,0.017614,1.00e-04,82.7,7249
73,12,0.141462,1.00e-04,88.0,7249
74,12,0.021736,1.00e-04,88.2,7249
75,12,0.012968,1.00e-04,88.3,7249
76,12,0.083589,1.00e-04,88.5,7249
77,12,0.323865,1.00e-04,88.7,7249
78,12,0.394534,1.00e-04,89.4,7249
79,13,0.516657,1.00e-04,94.7,7249
80,13,0.060964,1.00e-04,94.9,7249
81,13,0.024062,1.00e-04,95.1,7249
82,13,0.066527,1.00e-04,95.3,7249
83,13,0.265485,1.00e-04,95.5,7249
84,13,0.507401,1.00e-04,96.2,7249
85,14,0.022113,1.00e-04,101.5,7249
86,14,0.031564,1.00e-04,101.7,7249
87,14,0.055079,1.00e-04,101.9,7249
88,14,0.007015,1.00e-04,102.0,7249
89,14,0.389027,1.00e-04,102.2,7249
90,14,0.456501,1.00e-04,102.9,7249
91,15,0.377730,1.00e-04,108.3,7249
92,15,0.020589,1.00e-04,108.5,7249
93,15,0.079026,1.00e-04,108.7,7249
94,15,0.023846,1.00e-04,108.8,7249
95,15,0.194295,1.00e-04,109.0,7249
96,15,0.295347,1.00e-04,109.7,7249
97,16,0.022589,1.00e-04,115.1,7249
98,16,0.061393,1.00e-04,115.3,7249
99,16,0.089902,1.00e-04,115.5,7249
100,16,0.262978,1.00e-04,115.6,7249
101,16,0.048751,1.00e-04,126.7,7742
102,16,0.055591,1.00e-04,127.5,7742
103,17,0.185180,1.00e-04,132.7,7742
104,17,0.085114,1.00e-04,132.9,7742
105,17,0.008161,1.00e-04,133.1,7742
106,17,0.051765,1.00e-04,133.3,7742
107,17,0.610096,1.00e-04,133.4,7742
108,17,0.136758,1.00e-04,134.1,7742
109,18,0.024996,1.00e-04,139.3,7742
110,18,0.564844,1.00e-04,139.5,7742
111,18,0.259184,1.00e-04,139.7,7742
112,18,0.030637,1.00e-04,139.9,7742
113,18,0.031963,1.00e-04,140.0,7742
114,18,0.025230,1.00e-04,140.7,7742
115,19,0.232956,1.00e-04,146.1,7742
116,19,0.214355,1.00e-04,146.3,7742
117,19,0.029869,1.00e-04,146.4,7742
118,19,0.181597,1.00e-04,146.6,7742
119,19,0.042758,1.00e-04,146.8,7742
120,19,0.013952,1.00e-04,147.5,7742
121,20,0.454645,1.00e-04,152.7,7742
122,20,0.351521,1.00e-04,152.9,7742
123,20,0.464284,1.00e-04,153.1,7742
124,20,0.006887,1.00e-04,153.2,7742
125,20,0.022852,1.00e-04,153.4,7742
126,20,0.151226,1.00e-04,154.1,7742
127,21,0.002780,1.00e-04,159.5,7742
128,21,0.006895,1.00e-04,159.7,7742
129,21,0.133480,1.00e-04,159.9,7742
130,21,0.005017,1.00e-04,160.1,7742
131,21,0.022102,1.00e-04,160.2,7742
132,21,0.083317,1.00e-04,161.0,7742
133,22,0.020208,1.00e-04,166.3,7742
134,22,0.039434,1.00e-04,166.5,7742
135,22,0.022028,1.00e-04,166.7,7742
136,22,0.011179,1.00e-04,166.8,7742
137,22,0.334007,1.00e-04,167.0,7742
138,22,0.097243,1.00e-04,167.7,7742
139,23,0.178397,1.00e-04,173.1,7742
140,23,0.402601,1.00e-04,173.3,7742
141,23,0.117174,1.00e-04,173.5,7742
142,23,0.116353,1.00e-04,173.6,7742
143,23,0.017191,1.00e-04,173.8,7742
144,23,0.172936,1.00e-04,174.5,7742
145,24,0.003513,1.00e-04,179.7,7742
146,24,0.048607,1.00e-04,179.9,7742
147,24,0.120056,1.00e-04,180.1,7742
148,24,0.096982,1.00e-04,180.2,7742
149,24,0.048138,1.00e-04,180.4,7742
150,24,0.122560,1.00e-04,181.1,7742
151,25,0.341709,1.00e-04,186.5,7742
152,25,0.059735,1.00e-04,186.7,7742
153,25,0.561498,1.00e-04,186.8,7742
154,25,0.003005,1.00e-04,187.0,7742
155,25,0.049748,1.00e-04,187.2,7742
156,25,0.031603,1.00e-04,187.9,7742
157,26,0.016889,1.00e-04,193.3,7742
158,26,0.044192,1.00e-04,193.5,7742
159,26,0.046510,1.00e-04,193.7,7742
160,26,0.012371,1.00e-04,193.9,7742
161,26,0.062663,1.00e-04,194.0,7742
162,26,0.073592,1.00e-04,194.8,7742
163,27,0.131435,1.00e-04,200.1,7742
164,27,0.607790,1.00e-04,200.3,7742
165,27,0.027080,1.00e-04,200.4,7742
166,27,0.029557,1.00e-04,200.6,7742
167,27,0.032666,1.00e-04,200.8,7742
168,27,0.183135,1.00e-04,201.5,7742
169,28,0.151200,1.00e-04,206.9,7742
170,28,0.637199,1.00e-04,207.1,7742
171,28,0.175759,1.00e-04,207.2,7742
172,28,0.246061,1.00e-04,207.4,7742
173,28,0.003344,1.00e-04,207.6,7742
174,28,0.138727,1.00e-04,208.3,7742
175,29,0.026660,1.00e-04,213.7,7742
176,29,0.296903,1.00e-04,213.9,7742
177,29,0.195476,1.00e-04,214.0,7742
178,29,0.003896,1.00e-04,214.2,7742
179,29,0.277763,1.00e-04,214.4,7742
180,29,0.130223,1.00e-04,215.1,7742
181,30,0.171308,1.00e-04,220.3,7742
182,30,0.139016,1.00e-04,220.5,7742
183,30,0.243594,1.00e-04,220.6,7742
184,30,0.452434,1.00e-04,220.8,7742
185,30,0.187414,1.00e-04,221.0,7742
186,30,0.233077,1.00e-04,221.7,7742
187,31,0.042771,1.00e-04,227.1,7742
188,31,0.108994,1.00e-04,227.2,7742
189,31,0.086964,1.00e-04,227.4,7742
190,31,0.076241,1.00e-04,227.6,7742
191,31,0.010334,1.00e-04,227.7,7742
192,31,0.235225,1.00e-04,228.5,7742
193,32,0.011588,1.00e-04,233.7,7742
194,32,0.004681,1.00e-04,233.9,7742
195,32,0.029555,1.00e-04,234.1,7742
196,32,0.241898,1.00e-04,234.2,7742
197,32,0.125834,1.00e-04,234.4,7742
198,32,0.094512,1.00e-04,235.1,7742
199,33,0.130567,1.00e-04,240.5,7742
200,33,0.040325,1.00e-04,240.7,7742
201,33,0.317459,1.00e-04,249.3,7748
202,33,0.368702,1.00e-04,249.4,7748
203,33,0.005019,1.00e-04,249.6,7748
204,33,0.004701,1.00e-04,250.3,7748
205,34,0.008325,1.00e-04,255.7,7748
206,34,0.413339,1.00e-04,255.9,7748
207,34,0.402238,1.00e-04,256.0,7748
208,34,0.029151,1.00e-04,256.2,7748
209,34,0.112654,1.00e-04,256.4,7748
210,34,0.186945,1.00e-04,257.1,7748
211,35,0.093998,1.00e-04,262.3,7748
212,35,0.232924,1.00e-04,262.5,7748
213,35,0.025023,1.00e-04,262.6,7748
214,35,0.008481,1.00e-04,262.8,7748
215,35,0.018552,1.00e-04,263.0,7748
216,35,0.010239,1.00e-04,263.7,7748
217,36,0.274710,1.00e-04,269.0,7748
218,36,0.528760,1.00e-04,269.2,7748
219,36,0.189353,1.00e-04,269.4,7748
220,36,0.058288,1.00e-04,269.6,7748
221,36,0.052679,1.00e-04,269.8,7748
222,36,0.005314,1.00e-04,270.5,7748
223,37,0.023462,1.00e-04,275.9,7748
224,37,0.015906,1.00e-04,276.1,7748
225,37,0.079796,1.00e-04,276.2,7748
226,37,0.027619,1.00e-04,276.4,7748
227,37,0.216599,1.00e-04,276.6,7748
228,37,0.024839,1.00e-04,277.3,7748
229,38,0.100699,1.00e-04,282.7,7748
230,38,0.311785,1.00e-04,282.8,7748
231,38,0.578756,1.00e-04,283.0,7748
232,38,0.005081,1.00e-04,283.2,7748
233,38,0.011432,1.00e-04,283.4,7748
234,38,0.258842,1.00e-04,284.1,7748
235,39,0.521284,1.00e-04,289.5,7748
236,39,0.031085,1.00e-04,289.6,7748
237,39,0.251685,1.00e-04,289.8,7748
238,39,0.463403,1.00e-04,290.0,7748
239,39,0.226649,1.00e-04,290.2,7748
240,39,0.221924,1.00e-04,290.9,7748
241,40,0.461977,1.00e-04,296.3,7748
242,40,0.012704,1.00e-04,296.4,7748
243,40,0.158494,1.00e-04,296.6,7748
244,40,0.070177,1.00e-04,296.8,7748
245,40,0.003345,1.00e-04,297.0,7748
246,40,0.019288,1.00e-04,297.7,7748
247,41,0.654568,1.00e-04,303.1,7748
248,41,0.130852,1.00e-04,303.2,7748
249,41,0.074431,1.00e-04,303.4,7748
250,41,0.157037,1.00e-04,303.6,7748
251,41,0.005087,1.00e-04,303.8,7748
252,41,0.258702,1.00e-04,304.5,7748
253,42,0.148358,1.00e-04,309.9,7748
254,42,0.011111,1.00e-04,310.1,7748
255,42,0.003483,1.00e-04,310.2,7748
256,42,0.648659,1.00e-04,310.4,7748
257,42,0.299227,1.00e-04,310.6,7748
258,42,0.042479,1.00e-04,311.3,7748
