step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.766791,1.00e-04,7.2,7220
2,0,0.720840,1.00e-04,7.3,7236
3,0,0.446376,1.00e-04,7.5,7236
4,0,0.241859,1.00e-04,7.7,7236
5,0,0.092266,1.00e-04,7.9,7242
6,0,0.078288,1.00e-04,8.1,7249
7,0,0.158697,1.00e-04,8.2,7249
8,0,0.282201,1.00e-04,8.4,7249
9,0,0.282838,1.00e-04,8.6,7249
10,0,0.091887,1.00e-04,8.8,7249
11,0,0.014117,1.00e-04,8.9,7249
12,0,0.183217,1.00e-04,9.1,7249
13,0,0.025051,1.00e-04,9.3,7249
14,0,0.005335,1.00e-04,9.5,7249
15,0,0.103073,1.00e-04,9.6,7249
16,0,0.612882,1.00e-04,9.8,7249
17,0,0.011425,1.00e-04,10.0,7249
18,0,0.017488,1.00e-04,10.2,7249
19,0,0.215872,1.00e-04,10.3,7249
20,0,0.065139,1.00e-04,10.5,7249
21,0,0.070816,1.00e-04,10.7,7249
22,0,0.355656,1.00e-04,10.9,7249
23,0,0.676891,1.00e-04,11.0,7249
24,0,0.006238,1.00e-04,11.2,7249
25,0,0.297113,1.00e-04,11.4,7249
26,0,0.003419,1.00e-04,11.6,7249
27,0,0.018065,1.00e-04,11.8,7249
28,0,0.080883,1.00e-04,12.5,7249
29,1,0.496625,1.00e-04,18.0,7249
30,1,0.175693,1.00e-04,18.2,7249
31,1,0.200124,1.00e-04,18.4,7249
32,1,0.146106,1.00e-04,18.6,7249
33,1,0.429198,1.00e-04,18.7,7249
34,1,0.181119,1.00e-04,18.9,7249
35,1,0.720082,1.00e-04,19.1,7249
36,1,0.359925,1.00e-04,19.2,7249
37,1,0.187775,1.00e-04,19.4,7249
38,1,0.004207,1.00e-04,19.6,7249
39,1,0.163895,1.00e-04,19.8,7249
40,1,0.002650,1.00e-04,19.9,7249
41,1,0.575445,1.00e-04,20.1,7249
42,1,0.056874,1.00e-04,20.3,7249
43,1,0.303093,1.00e-04,20.5,7249
44,1,0.139315,1.00e-04,20.6,7249
45,1,0.022346,1.00e-04,20.8,7249
46,1,0.051534,1.00e-04,21.0,7249
47,1,0.026893,1.00e-04,21.2,7249
48,1,0.113617,1.00e-04,21.3,7249
49,1,0.006053,1.00e-04,21.5,7249
50,1,0.479559,1.00e-04,21.7,7249
51,1,0.038770,1.00e-04,21.9,7249
52,1,0.022336,1.00e-04,22.1,7249
53,1,0.111232,1.00e-04,22.2,7249
54,1,0.060735,1.00e-04,22.4,7249
55,1,0.289974,1.00e-04,22.6,7249
56,1,0.066241,1.00e-04,23.3,7249
57,2,0.250021,1.00e-04,28.8,7249
58,2,0.057204,1.00e-04,29.0,7249
59,2,0.029967,1.00e-04,29.2,7249
60,2,0.094900,1.00e-04,29.3,7249
61,2,0.187144,1.00e-04,29.5,7249
62,2,0.239848,1.00e-04,29.7,7249
63,2,0.008854,1.00e-04,29.9,7249
64,2,0.163886,1.00e-04,30.0,7249
65,2,0.006371,1.00e-04,30.2,7249
66,2,0.476980,1.00e-04,30.4,7249
67,2,0.332981,1.00e-04,30.6,7249
68,2,0.435843,1.00e-04,30.7,7249
69,2,0.058854,1.00e-04,30.9,7249
70,2,0.016012,1.00e-04,31.1,7249
71,2,0.435175,1.00e-04,31.3,7249
72,2,0.014464,1.00e-04,31.5,7249
73,2,0.186177,1.00e-04,31.6,7249
74,2,0.010852,1.00e-04,31.8,7249
75,2,0.017186,1.00e-04,32.0,7249
76,2,0.093679,1.00e-04,32.2,7249
77,2,0.260025,1.00e-04,32.3,7249
78,2,0.593502,1.00e-04,32.5,7249
79,2,0.605090,1.00e-04,32.7,7249
80,2,0.066630,1.00e-04,32.9,7249
81,2,0.023769,1.00e-04,33.1,7249
82,2,0.083580,1.00e-04,33.2,7249
83,2,0.318099,1.00e-04,33.4,7249
84,2,0.363907,1.00e-04,34.1,7249
85,3,0.028610,1.00e-04,39.6,7249
86,3,0.033291,1.00e-04,39.8,7249
87,3,0.071634,1.00e-04,40.0,7249
88,3,0.006215,1.00e-04,40.2,7249
89,3,0.187906,1.00e-04,40.3,7249
90,3,0.541851,1.00e-04,40.5,7249
91,3,0.412949,1.00e-04,40.7,7249
92,3,0.021779,1.00e-04,40.9,7249
93,3,0.051533,1.00e-04,41.0,7249
94,3,0.023455,1.00e-04,41.2,7249
95,3,0.231975,1.00e-04,41.4,7249
96,3,0.326800,1.00e-04,41.6,7249
97,3,0.020603,1.00e-04,41.7,7249
98,3,0.046494,1.00e-04,41.9,7249
99,3,0.109671,1.00e-04,42.1,7249
100,3,0.233715,1.00e-04,42.3,7249
101,3,0.051961,1.00e-04,52.3,7742
102,3,0.040834,1.00e-04,52.4,7742
103,3,0.289938,1.00e-04,52.6,7742
104,3,0.098008,1.00e-04,52.8,7742
105,3,0.007261,1.00e-04,53.0,7742
106,3,0.045771,1.00e-04,53.1,7742
107,3,0.716692,1.00e-04,53.3,7742
108,3,0.054147,1.00e-04,53.5,7742
109,3,0.031518,1.00e-04,53.7,7742
110,3,0.547232,1.00e-04,53.9,7742
111,3,0.331701,1.00e-04,54.0,7742
112,3,0.028054,1.00e-04,54.8,7742
113,4,0.045748,1.00e-04,60.2,7742
114,4,0.021844,1.00e-04,60.4,7742
115,4,0.417317,1.00e-04,60.6,7742
116,4,0.155182,1.00e-04,60.7,7742
117,4,0.038890,1.00e-04,60.9,7742
118,4,0.176123,1.00e-04,61.1,7742
119,4,0.047316,1.00e-04,61.3,7742
120,4,0.010035,1.00e-04,61.5,7742
121,4,0.494661,1.00e-04,61.6,7742
122,4,0.333317,1.00e-04,61.8,7742
123,4,0.298999,1.00e-04,62.0,7742
124,4,0.008104,1.00e-04,62.2,7742
125,4,0.014098,1.00e-04,62.3,7742
126,4,0.288286,1.00e-04,62.5,7742
127,4,0.002310,1.00e-04,62.7,7742
128,4,0.007416,1.00e-04,62.9,7742
129,4,0.174280,1.00e-04,63.1,7742
130,4,0.005317,1.00e-04,63.2,7742
131,4,0.025377,1.00e-04,63.4,7742
132,4,0.037052,1.00e-04,63.6,7742
133,4,0.015133,1.00e-04,63.8,7742
134,4,0.034398,1.00e-04,63.9,7742
135,4,0.016424,1.00e-04,64.1,7742
136,4,0.013258,1.00e-04,64.3,7742
137,4,0.363267,1.00e-04,64.5,7742
138,4,0.118551,1.00e-04,64.7,7742
139,4,0.243122,1.00e-04,64.8,7742
140,4,0.428934,1.00e-04,65.6,7742
141,5,0.144446,1.00e-04,71.2,7742
142,5,0.088843,1.00e-04,71.4,7742
143,5,0.014623,1.00e-04,71.6,7742
144,5,0.118146,1.00e-04,71.7,7742
145,5,0.003618,1.00e-04,71.9,7742
146,5,0.063871,1.00e-04,72.1,7742
147,5,0.115691,1.00e-04,72.2,7742
148,5,0.042746,1.00e-04,72.4,7742
149,5,0.063644,1.00e-04,72.6,7742
150,5,0.186641,1.00e-04,72.8,7742
151,5,0.270207,1.00e-04,72.9,7742
152,5,0.061746,1.00e-04,73.1,7742
153,5,0.779774,1.00e-04,73.3,7742
154,5,0.003102,1.00e-04,73.5,7742
155,5,0.079283,1.00e-04,73.6,7742
156,5,0.028194,1.00e-04,73.8,7742
157,5,0.016530,1.00e-04,74.0,7742
158,5,0.028534,1.00e-04,74.2,7742
159,5,0.082592,1.00e-04,74.4,7742
160,5,0.010365,1.00e-04,74.5,7742
161,5,0.105926,1.00e-04,74.7,7742
162,5,0.074113,1.00e-04,74.9,7742
163,5,0.113436,1.00e-04,75.1,7742
164,5,0.532758,1.00e-04,75.2,7742
165,5,0.033147,1.00e-04,75.4,7742
166,5,0.021078,1.00e-04,75.6,7742
167,5,0.035374,1.00e-04,75.8,7742
168,5,0.160946,1.00e-04,76.5,7742
169,6,0.136103,1.00e-04,82.0,7742
170,6,0.577812,1.00e-04,82.2,7742
171,6,0.336067,1.00e-04,82.4,7742
172,6,0.223011,1.00e-04,82.5,7742
173,6,0.003090,1.00e-04,82.7,7742
174,6,0.152932,1.00e-04,82.9,7742
175,6,0.025734,1.00e-04,83.1,7742
176,6,0.211587,1.00e-04,83.2,7742
177,6,0.372314,1.00e-04,83.4,7742
178,6,0.003602,1.00e-04,83.6,7742
179,6,0.140373,1.00e-04,83.8,7742
180,6,0.167710,1.00e-04,84.0,7742
181,6,0.092389,1.00e-04,84.1,7742
182,6,0.079609,1.00e-04,84.3,7742
183,6,0.202081,1.00e-04,84.5,7742
184,6,0.584939,1.00e-04,84.7,7742
185,6,0.133788,1.00e-04,84.8,7742
186,6,0.219557,1.00e-04,85.0,7742
187,6,0.040020,1.00e-04,85.2,7742
188,6,0.078532,1.00e-04,85.4,7742
189,6,0.120332,1.00e-04,85.5,7742
190,6,0.079366,1.00e-04,85.7,7742
191,6,0.011955,1.00e-04,85.9,7742
192,6,0.265063,1.00e-04,86.1,7742
193,6,0.013152,1.00e-04,86.3,7742
194,6,0.004343,1.00e-04,86.4,7742
195,6,0.039987,1.00e-04,86.6,7742
196,6,0.263816,1.00e-04,87.4,7742
197,7,0.145458,1.00e-04,92.8,7742
198,7,0.100193,1.00e-04,93.0,7742
199,7,0.078199,1.00e-04,93.1,7742
200,7,0.020233,1.00e-04,93.3,7742
201,7,0.352296,1.00e-04,102.4,7742
202,7,0.362844,1.00e-04,102.6,7742
203,7,0.004867,1.00e-04,102.8,7742
204,7,0.004744,1.00e-04,102.9,7742
205,7,0.013202,1.00e-04,103.1,7742
206,7,0.525080,1.00e-04,103.3,7742
207,7,0.266853,1.00e-04,103.5,7742
208,7,0.030881,1.00e-04,103.6,7742
209,7,0.090974,1.00e-04,103.8,7742
210,7,0.108662,1.00e-04,104.0,7742
211,7,0.154728,1.00e-04,104.2,7742
212,7,0.386244,1.00e-04,104.4,7742
213,7,0.016512,1.00e-04,104.5,7742
214,7,0.005056,1.00e-04,104.7,7742
215,7,0.018623,1.00e-04,104.9,7742
216,7,0.012865,1.00e-04,105.1,7742
217,7,0.336774,1.00e-04,105.2,7742
218,7,0.674711,1.00e-04,105.4,7742
219,7,0.322116,1.00e-04,105.6,7742
220,7,0.024522,1.00e-04,105.8,7742
221,7,0.069569,1.00e-04,105.9,7742
222,7,0.005219,1.00e-04,106.1,7742
223,7,0.024193,1.00e-04,106.3,7742
224,7,0.016159,1.00e-04,107.0,7742
225,8,0.090593,1.00e-04,112.6,7742
226,8,0.017123,1.00e-04,112.8,7742
227,8,0.150824,1.00e-04,112.9,7742
228,8,0.029350,1.00e-04,113.1,7742
229,8,0.077533,1.00e-04,113.3,7742
230,8,0.260795,1.00e-04,113.5,7742
231,8,0.328563,1.00e-04,113.6,7742
232,8,0.004643,1.00e-04,113.8,7742
233,8,0.012441,1.00e-04,114.0,7742
234,8,0.324441,1.00e-04,114.2,7742
235,8,0.244040,1.00e-04,114.3,7742
236,8,0.022573,1.00e-04,114.5,7742
237,8,0.361364,1.00e-04,114.7,7742
238,8,0.616596,1.00e-04,114.9,7742
239,8,0.379824,1.00e-04,115.1,7742
240,8,0.312443,1.00e-04,115.2,7742
241,8,0.514616,1.00e-04,115.4,7742
242,8,0.018221,1.00e-04,115.6,7742
243,8,0.187421,1.00e-04,115.8,7742
244,8,0.079532,1.00e-04,116.0,7742
245,8,0.003212,1.00e-04,116.1,7742
246,8,0.020698,1.00e-04,116.3,7742
247,8,0.801694,1.00e-04,116.5,7742
248,8,0.142633,1.00e-04,116.7,7742
249,8,0.068902,1.00e-04,116.8,7742
250,8,0.171746,1.00e-04,117.0,7742
251,8,0.005823,1.00e-04,117.2,7742
252,8,0.229500,1.00e-04,118.0,7742
253,9,0.117154,1.00e-04,123.8,7742
254,9,0.011724,1.00e-04,124.0,7742
255,9,0.003881,1.00e-04,124.1,7742
256,9,0.344155,1.00e-04,124.3,7742
257,9,0.262908,1.00e-04,124.5,7742
258,9,0.046229,1.00e-04,124.7,7742
259,9,0.228892,1.00e-04,124.9,7742
260,9,0.287313,1.00e-04,125.0,7742
261,9,0.108230,1.00e-04,125.2,7742
262,9,0.194256,1.00e-04,125.4,7742
263,9,0.061558,1.00e-04,125.6,7742
264,9,0.437693,1.00e-04,125.8,7742
265,9,0.522590,1.00e-04,125.9,7742
266,9,0.178567,1.00e-04,126.1,7742
267,9,0.079732,1.00e-04,126.3,7742
268,9,0.010548,1.00e-04,126.5,7742
269,9,0.012652,1.00e-04,126.6,7742
270,9,0.021117,1.00e-04,126.8,7742
271,9,0.655045,1.00e-04,127.0,7742
272,9,0.354352,1.00e-04,127.2,7742
273,9,0.082903,1.00e-04,127.4,7742
274,9,0.096213,1.00e-04,127.5,7742
275,9,0.018898,1.00e-04,127.7,7742
276,9,0.002369,1.00e-04,127.9,7742
277,9,0.285529,1.00e-04,128.1,7742
278,9,0.075703,1.00e-04,128.3,7742
279,9,0.003707,1.00e-04,128.4,7742
280,9,0.016554,1.00e-04,129.2,7742
281,10,0.188916,1.00e-04,134.6,7742
282,10,0.003748,1.00e-04,134.8,7742
283,10,0.125208,1.00e-04,135.0,7742
284,10,0.152414,1.00e-04,135.1,7742
285,10,0.263166,1.00e-04,135.3,7742
286,10,0.003546,1.00e-04,135.5,7742
287,10,0.009906,1.00e-04,135.7,7742
288,10,0.011429,1.00e-04,135.8,7742
289,10,0.080332,1.00e-04,136.0,7742
290,10,0.156860,1.00e-04,136.2,7742
291,10,0.003213,1.00e-04,136.4,7742
292,10,0.149399,1.00e-04,136.6,7742
293,10,0.052062,1.00e-04,136.8,7742
294,10,0.287342,1.00e-04,136.9,7742
295,10,0.021207,1.00e-04,137.1,7742
296,10,0.003008,1.00e-04,137.3,7742
297,10,0.424608,1.00e-04,137.5,7742
298,10,0.074044,1.00e-04,137.6,7742
299,10,0.001862,1.00e-04,137.8,7742
300,10,0.095964,1.00e-04,138.0,7742
301,10,0.404061,1.00e-04,146.8,7742
302,10,0.168855,1.00e-04,146.9,7742
303,10,0.053875,1.00e-04,147.1,7742
304,10,0.002126,1.00e-04,147.3,7742
305,10,0.010363,1.00e-04,147.5,7742
306,10,0.772979,1.00e-04,147.6,7742
307,10,0.003998,1.00e-04,147.8,7742
308,10,0.284131,1.00e-04,148.6,7742
309,11,0.015784,1.00e-04,154.2,7742
310,11,0.063609,1.00e-04,154.4,7742
311,11,0.046314,1.00e-04,154.5,7742
312,11,0.011079,1.00e-04,154.7,7742
313,11,0.002615,1.00e-04,154.9,7742
314,11,0.214065,1.00e-04,155.1,7742
315,11,0.002582,1.00e-04,155.2,7742
316,11,0.466160,1.00e-04,155.4,7742
317,11,0.002543,1.00e-04,155.6,7742
318,11,0.364237,1.00e-04,155.8,7742
319,11,0.621079,1.00e-04,155.9,7742
320,11,0.031567,1.00e-04,156.1,7742
321,11,0.310336,1.00e-04,156.3,7742
322,11,0.093717,1.00e-04,156.5,7742
323,11,0.011340,1.00e-04,156.7,7742
324,11,0.019285,1.00e-04,156.8,7742
325,11,0.486050,1.00e-04,157.0,7742
326,11,0.213959,1.00e-04,157.2,7742
327,11,0.263245,1.00e-04,157.4,7742
328,11,0.177718,1.00e-04,157.5,7742
329,11,0.081822,1.00e-04,157.7,7742
330,11,0.038783,1.00e-04,157.9,7742
331,11,0.028261,1.00e-04,158.1,7742
332,11,0.194122,1.00e-04,158.2,7742
333,11,0.184058,1.00e-04,158.4,7742
334,11,0.082646,1.00e-04,158.6,7742
335,11,0.041939,1.00e-04,158.8,7742
336,11,0.044541,1.00e-04,159.5,7742
337,12,0.042980,1.00e-04,165.2,7742
338,12,0.253111,1.00e-04,165.3,7742
339,12,0.013458,1.00e-04,165.5,7742
340,12,0.192605,1.00e-04,165.7,7742
341,12,0.094129,1.00e-04,165.9,7742
342,12,0.162708,1.00e-04,166.0,7742
343,12,0.080833,1.00e-04,166.2,7742
344,12,0.040445,1.00e-04,166.4,7742
345,12,0.195655,1.00e-04,166.6,7742
346,12,0.131105,1.00e-04,166.7,7742
347,12,0.231892,1.00e-04,166.9,7742
348,12,0.047159,1.00e-04,167.1,7742
349,12,0.267926,1.00e-04,167.3,7742
350,12,0.006175,1.00e-04,167.4,7742
351,12,0.368539,1.00e-04,167.6,7742
352,12,0.017702,1.00e-04,167.8,7742
353,12,0.005855,1.00e-04,168.0,7742
354,12,0.415204,1.00e-04,168.2,7742
355,12,0.313641,1.00e-04,168.3,7742
356,12,0.009140,1.00e-04,168.5,7742
357,12,0.091060,1.00e-04,168.7,7742
358,12,0.354386,1.00e-04,168.9,7742
359,12,0.114339,1.00e-04,169.1,7742
360,12,0.022708,1.00e-04,169.2,7742
361,12,0.014244,1.00e-04,169.4,7742
362,12,0.240243,1.00e-04,169.6,7742
363,12,0.011048,1.00e-04,169.7,7742
364,12,0.104875,1.00e-04,170.5,7742
365,13,0.183164,1.00e-04,176.0,7742
366,13,0.370903,1.00e-04,176.2,7742
367,13,0.561098,1.00e-04,176.3,7742
368,13,0.080645,1.00e-04,176.5,7742
369,13,0.059484,1.00e-04,176.7,7742
370,13,0.057337,1.00e-04,176.9,7742
371,13,0.015911,1.00e-04,177.0,7742
372,13,0.692592,1.00e-04,177.2,7742
373,13,0.122578,1.00e-04,177.4,7742
374,13,0.151007,1.00e-04,177.6,7742
375,13,0.202505,1.00e-04,177.8,7742
376,13,0.038736,1.00e-04,177.9,7742
377,13,0.003216,1.00e-04,178.1,7742
378,13,0.034082,1.00e-04,178.3,7742
379,13,0.025370,1.00e-04,178.5,7742
380,13,0.037566,1.00e-04,178.7,7742
381,13,0.226313,1.00e-04,178.8,7742
382,13,0.476658,1.00e-04,179.0,7742
383,13,0.222453,1.00e-04,179.2,7742
384,13,0.050027,1.00e-04,179.3,7742
385,13,0.700321,1.00e-04,179.5,7742
386,13,0.010985,1.00e-04,179.7,7742
387,13,0.132676,1.00e-04,179.9,7742
388,13,0.478503,1.00e-04,180.1,7742
389,13,0.091233,1.00e-04,180.2,7742
