step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.835236,1.00e-04,7.4,7220
2,0,0.729188,1.00e-04,7.5,7236
3,0,0.512496,1.00e-04,7.7,7236
4,0,0.353371,1.00e-04,7.9,7236
5,0,0.066220,1.00e-04,8.1,7242
6,0,0.096023,1.00e-04,8.3,7249
7,0,0.243320,1.00e-04,8.4,7249
8,0,0.170474,1.00e-04,8.6,7249
9,0,0.519472,1.00e-04,8.8,7249
10,0,0.091930,1.00e-04,9.0,7249
11,0,0.017641,1.00e-04,9.1,7249
12,0,0.378988,1.00e-04,9.3,7249
13,0,0.025885,1.00e-04,9.5,7249
14,0,0.004855,1.00e-04,9.6,7249
15,0,0.071724,1.00e-04,10.4,7249
16,1,0.685520,1.00e-04,15.8,7249
17,1,0.008430,1.00e-04,16.0,7249
18,1,0.015476,1.00e-04,16.2,7249
19,1,0.160725,1.00e-04,16.4,7249
20,1,0.060897,1.00e-04,16.5,7249
21,1,0.060738,1.00e-04,16.7,7249
22,1,0.357977,1.00e-04,16.9,7249
23,1,0.474245,1.00e-04,17.1,7249
24,1,0.005553,1.00e-04,17.3,7249
25,1,0.269177,1.00e-04,17.4,7249
26,1,0.004132,1.00e-04,17.6,7249
27,1,0.010926,1.00e-04,17.8,7249
28,1,0.074373,1.00e-04,18.0,7249
29,1,0.602015,1.00e-04,18.2,7249
30,1,0.367756,1.00e-04,18.9,7249
31,2,0.245285,1.00e-04,24.4,7249
32,2,0.195751,1.00e-04,24.6,7249
33,2,0.396178,1.00e-04,24.8,7249
34,2,0.293089,1.00e-04,25.0,7249
35,2,0.543547,1.00e-04,25.1,7249
36,2,0.282165,1.00e-04,25.3,7249
37,2,0.176090,1.00e-04,25.5,7249
38,2,0.003963,1.00e-04,25.7,7249
39,2,0.150988,1.00e-04,25.8,7249
40,2,0.002168,1.00e-04,26.0,7249
41,2,0.601337,1.00e-04,26.2,7249
42,2,0.049347,1.00e-04,26.4,7249
43,2,0.181180,1.00e-04,26.5,7249
44,2,0.174422,1.00e-04,26.7,7249
45,2,0.027654,1.00e-04,27.4,7249
46,3,0.099904,1.00e-04,33.0,7249
47,3,0.021122,1.00e-04,33.2,7249
48,3,0.068020,1.00e-04,33.4,7249
49,3,0.009648,1.00e-04,33.6,7249
50,3,0.528215,1.00e-04,33.7,7249
51,3,0.038556,1.00e-04,33.9,7249
52,3,0.017054,1.00e-04,34.1,7249
53,3,0.095278,1.00e-04,34.3,7249
54,3,0.070635,1.00e-04,34.4,7249
55,3,0.199622,1.00e-04,34.6,7249
56,3,0.053903,1.00e-04,34.8,7249
57,3,0.352323,1.00e-04,34.9,7249
58,3,0.087592,1.00e-04,35.1,7249
59,3,0.023403,1.00e-04,35.3,7249
60,3,0.124551,1.00e-04,36.1,7249
61,4,0.091612,1.00e-04,41.6,7249
62,4,0.248999,1.00e-04,41.8,7249
63,4,0.010835,1.00e-04,42.0,7249
64,4,0.124667,1.00e-04,42.2,7249
65,4,0.007916,1.00e-04,42.3,7249
66,4,0.480309,1.00e-04,42.5,7249
67,4,0.176983,1.00e-04,42.7,7249
68,4,0.510504,1.00e-04,42.9,7249
69,4,0.065218,1.00e-04,43.0,7249
70,4,0.016249,1.00e-04,43.2,7249
71,4,0.348006,1.00e-04,43.4,7249
72,4,0.020505,1.00e-04,43.5,7249
73,4,0.237923,1.00e-04,43.7,7249
74,4,0.014396,1.00e-04,43.9,7249
75,4,0.017244,1.00e-04,44.6,7249
76,5,0.112626,1.00e-04,50.2,7249
77,5,0.226775,1.00e-04,50.4,7249
78,5,0.636457,1.00e-04,50.6,7249
79,5,0.403033,1.00e-04,50.7,7249
80,5,0.104071,1.00e-04,50.9,7249
81,5,0.021255,1.00e-04,51.1,7249
82,5,0.104683,1.00e-04,51.3,7249
83,5,0.385921,1.00e-04,51.5,7249
84,5,0.503217,1.00e-04,51.6,7249
85,5,0.017708,1.00e-04,51.8,7249
86,5,0.034274,1.00e-04,52.0,7249
87,5,0.063472,1.00e-04,52.2,7249
88,5,0.006326,1.00e-04,52.3,7249
89,5,0.245567,1.00e-04,52.5,7249
90,5,0.308612,1.00e-04,53.2,7249
91,6,0.485273,1.00e-04,58.6,7249
92,6,0.018909,1.00e-04,58.8,7249
93,6,0.117540,1.00e-04,59.0,7249
94,6,0.024169,1.00e-04,59.2,7249
95,6,0.141591,1.00e-04,59.3,7249
96,6,0.243652,1.00e-04,59.5,7249
97,6,0.013512,1.00e-04,59.7,7249
98,6,0.043851,1.00e-04,59.9,7249
99,6,0.140493,1.00e-04,60.0,7249
100,6,0.218256,1.00e-04,60.2,7249
101,6,0.054117,1.00e-04,70.3,7748
102,6,0.044247,1.00e-04,70.5,7748
103,6,0.229832,1.00e-04,70.7,7748
104,6,0.137607,1.00e-04,70.8,7748
105,6,0.010020,1.00e-04,71.6,7748
106,7,0.036134,1.00e-04,77.0,7748
107,7,0.663339,1.00e-04,77.2,7748
108,7,0.119527,1.00e-04,77.4,7748
109,7,0.036345,1.00e-04,77.5,7748
110,7,0.547982,1.00e-04,77.7,7748
111,7,0.342682,1.00e-04,77.9,7748
112,7,0.019384,1.00e-04,78.1,7748
113,7,0.034469,1.00e-04,78.3,7748
114,7,0.035307,1.00e-04,78.5,7748
115,7,0.195534,1.00e-04,78.6,7748
116,7,0.184455,1.00e-04,78.8,7748
117,7,0.046673,1.00e-04,79.0,7748
118,7,0.148250,1.00e-04,79.2,7748
119,7,0.060722,1.00e-04,79.3,7748
120,7,0.013666,1.00e-04,80.1,7748
121,8,0.316889,1.00e-04,85.4,7748
122,8,0.305263,1.00e-04,85.6,7748
123,8,0.346088,1.00e-04,85.8,7748
124,8,0.007138,1.00e-04,86.0,7748
125,8,0.022261,1.00e-04,86.1,7748
126,8,0.289795,1.00e-04,86.3,7748
127,8,0.002877,1.00e-04,86.5,7748
128,8,0.007488,1.00e-04,86.7,7748
129,8,0.133920,1.00e-04,86.8,7748
130,8,0.006978,1.00e-04,87.0,7748
131,8,0.029647,1.00e-04,87.2,7748
132,8,0.076834,1.00e-04,87.4,7748
133,8,0.015636,1.00e-04,87.5,7748
134,8,0.027582,1.00e-04,87.7,7748
135,8,0.013605,1.00e-04,88.4,7748
136,9,0.011726,1.00e-04,94.0,7748
137,9,0.353297,1.00e-04,94.2,7748
138,9,0.169253,1.00e-04,94.4,7748
139,9,0.154713,1.00e-04,94.5,7748
140,9,0.492447,1.00e-04,94.7,7748
141,9,0.098325,1.00e-04,94.9,7748
142,9,0.081460,1.00e-04,95.1,7748
143,9,0.014565,1.00e-04,95.2,7748
144,9,0.305833,1.00e-04,95.4,7748
145,9,0.004098,1.00e-04,95.6,7748
146,9,0.043096,1.00e-04,95.8,7748
147,9,0.089005,1.00e-04,95.9,7748
148,9,0.058241,1.00e-04,96.1,7748
149,9,0.037237,1.00e-04,96.3,7748
150,9,0.177436,1.00e-04,97.1,7748
151,10,0.172105,1.00e-04,102.4,7748
152,10,0.039862,1.00e-04,102.6,7748
153,10,0.746205,1.00e-04,102.8,7748
154,10,0.002698,1.00e-04,103.0,7748
155,10,0.057282,1.00e-04,103.1,7748
156,10,0.035885,1.00e-04,103.3,7748
157,10,0.016413,1.00e-04,103.5,7748
158,10,0.028956,1.00e-04,103.7,7748
159,10,0.073019,1.00e-04,103.8,7748
160,10,0.013903,1.00e-04,104.0,7748
161,10,0.069257,1.00e-04,104.2,7748
162,10,0.093492,1.00e-04,104.4,7748
163,10,0.276449,1.00e-04,104.5,7748
164,10,0.565715,1.00e-04,104.7,7748
165,10,0.030784,1.00e-04,105.5,7748
166,11,0.027361,1.00e-04,111.0,7748
167,11,0.048046,1.00e-04,111.2,7748
168,11,0.185522,1.00e-04,111.4,7748
169,11,0.098328,1.00e-04,111.5,7748
170,11,0.642064,1.00e-04,111.7,7748
171,11,0.301118,1.00e-04,111.9,7748
172,11,0.173569,1.00e-04,112.1,7748
173,11,0.002730,1.00e-04,112.2,7748
174,11,0.168779,1.00e-04,112.4,7748
175,11,0.034408,1.00e-04,112.6,7748
176,11,0.216284,1.00e-04,112.8,7748
177,11,0.295442,1.00e-04,113.0,7748
178,11,0.002854,1.00e-04,113.1,7748
179,11,0.237637,1.00e-04,113.3,7748
180,11,0.258173,1.00e-04,114.0,7748
181,12,0.191188,1.00e-04,119.4,7748
182,12,0.069212,1.00e-04,119.6,7748
183,12,0.422099,1.00e-04,119.8,7748
184,12,0.693542,1.00e-04,119.9,7748
185,12,0.215021,1.00e-04,120.1,7748
186,12,0.167982,1.00e-04,120.3,7748
187,12,0.042514,1.00e-04,120.4,7748
188,12,0.072447,1.00e-04,120.6,7748
189,12,0.106887,1.00e-04,120.8,7748
190,12,0.081342,1.00e-04,121.0,7748
191,12,0.011078,1.00e-04,121.1,7748
192,12,0.170301,1.00e-04,121.3,7748
193,12,0.011225,1.00e-04,121.5,7748
194,12,0.003974,1.00e-04,121.7,7748
195,12,0.049164,1.00e-04,122.4,7748
196,13,0.242800,1.00e-04,128.0,7748
197,13,0.141882,1.00e-04,128.2,7748
198,13,0.099626,1.00e-04,128.4,7748
199,13,0.114704,1.00e-04,128.6,7748
200,13,0.042461,1.00e-04,128.7,7748
201,13,0.386572,1.00e-04,137.2,7748
202,13,0.341127,1.00e-04,137.4,7748
203,13,0.005601,1.00e-04,137.6,7748
204,13,0.004691,1.00e-04,137.8,7748
205,13,0.010974,1.00e-04,137.9,7748
206,13,0.444517,1.00e-04,138.1,7748
207,13,0.213305,1.00e-04,138.3,7748
208,13,0.032754,1.00e-04,138.5,7748
209,13,0.101808,1.00e-04,138.6,7748
210,13,0.189550,1.00e-04,139.4,7748
211,14,0.149734,1.00e-04,144.8,7748
212,14,0.190680,1.00e-04,145.0,7748
213,14,0.020071,1.00e-04,145.1,7748
214,14,0.007504,1.00e-04,145.3,7748
215,14,0.020342,1.00e-04,145.5,7748
216,14,0.013506,1.00e-04,145.7,7748
217,14,0.269098,1.00e-04,145.8,7748
218,14,0.537325,1.00e-04,146.0,7748
219,14,0.164991,1.00e-04,146.2,7748
220,14,0.049054,1.00e-04,146.4,7748
221,14,0.069491,1.00e-04,146.5,7748
222,14,0.004882,1.00e-04,146.7,7748
223,14,0.020942,1.00e-04,146.9,7748
224,14,0.019091,1.00e-04,147.1,7748
225,14,0.088236,1.00e-04,147.8,7748
226,15,0.027925,1.00e-04,153.2,7748
227,15,0.121724,1.00e-04,153.4,7748
228,15,0.020836,1.00e-04,153.5,7748
229,15,0.111792,1.00e-04,153.7,7748
230,15,0.228705,1.00e-04,153.9,7748
231,15,0.585559,1.00e-04,154.1,7748
232,15,0.006609,1.00e-04,154.2,7748
233,15,0.013287,1.00e-04,154.4,7748
234,15,0.316692,1.00e-04,154.6,7748
235,15,0.514229,1.00e-04,154.8,7748
236,15,0.019573,1.00e-04,155.0,7748
237,15,0.384401,1.00e-04,155.2,7748
238,15,0.627750,1.00e-04,155.3,7748
239,15,0.375243,1.00e-04,155.5,7748
240,15,0.314257,1.00e-04,156.3,7748
241,16,0.461043,1.00e-04,161.8,7748
242,16,0.010784,1.00e-04,162.0,7748
243,16,0.186952,1.00e-04,162.1,7748
244,16,0.114259,1.00e-04,162.3,7748
245,16,0.003363,1.00e-04,162.5,7748
246,16,0.016960,1.00e-04,162.7,7748
247,16,0.696370,1.00e-04,162.8,7748
248,16,0.171524,1.00e-04,163.0,7748
249,16,0.081184,1.00e-04,163.2,7748
250,16,0.113721,1.00e-04,163.4,7748
251,16,0.005326,1.00e-04,163.6,7748
252,16,0.117777,1.00e-04,163.7,7748
253,16,0.285696,1.00e-04,163.9,7748
254,16,0.013723,1.00e-04,164.1,7748
255,16,0.003673,1.00e-04,164.8,7748
256,17,0.611634,1.00e-04,170.2,7748
257,17,0.269754,1.00e-04,170.4,7748
258,17,0.064641,1.00e-04,170.6,7748
259,17,0.455840,1.00e-04,170.7,7748
260,17,0.146267,1.00e-04,170.9,7748
261,17,0.098330,1.00e-04,171.1,7748
262,17,0.103481,1.00e-04,171.2,7748
263,17,0.037507,1.00e-04,171.4,7748
264,17,0.439641,1.00e-04,171.6,7748
265,17,0.529255,1.00e-04,171.8,7748
266,17,0.177935,1.00e-04,171.9,7748
267,17,0.121101,1.00e-04,172.1,7748
268,17,0.009797,1.00e-04,172.3,7748
269,17,0.014102,1.00e-04,172.5,7748
270,17,0.016953,1.00e-04,173.2,7748
271,18,0.620094,1.00e-04,178.6,7748
272,18,0.157497,1.00e-04,178.8,7748
273,18,0.055993,1.00e-04,179.0,7748
274,18,0.124908,1.00e-04,179.1,7748
275,18,0.034824,1.00e-04,179.3,7748
276,18,0.002846,1.00e-04,179.5,7748
277,18,0.374357,1.00e-04,179.6,7748
278,18,0.052390,1.00e-04,179.8,7748
279,18,0.003723,1.00e-04,180.0,7748
280,18,0.020220,1.00e-04,180.1,7748
281,18,0.100297,1.00e-04,180.3,7748
282,18,0.003336,1.00e-04,180.5,7748
283,18,0.124466,1.00e-04,180.7,7748
284,18,0.085543,1.00e-04,180.9,7748
285,18,0.406306,1.00e-04,181.6,7748
286,19,0.003834,1.00e-04,187.2,7748
287,19,0.010672,1.00e-04,187.3,7748
288,19,0.013035,1.00e-04,187.5,7748
289,19,0.119762,1.00e-04,187.7,7748
290,19,0.150076,1.00e-04,187.9,7748
291,19,0.003551,1.00e-04,188.0,7748
292,19,0.371438,1.00e-04,188.2,7748
293,19,0.070676,1.00e-04,188.4,7748
294,19,0.431206,1.00e-04,188.5,7748
295,19,0.017665,1.00e-04,188.7,7748
296,19,0.003101,1.00e-04,188.9,7748
297,19,0.451132,1.00e-04,189.1,7748
298,19,0.034630,1.00e-04,189.2,7748
299,19,0.002640,1.00e-04,189.4,7748
300,19,0.099410,1.00e-04,190.1,7748
301,20,0.437860,1.00e-04,204.0,7748
302,20,0.424178,1.00e-04,204.2,7748
303,20,0.071968,1.00e-04,204.4,7748
304,20,0.002848,1.00e-04,204.6,7748
305,20,0.010087,1.00e-04,204.7,7748
306,20,0.867782,1.00e-04,204.9,7748
307,20,0.004727,1.00e-04,205.1,7748
308,20,0.295598,1.00e-04,205.3,7748
309,20,0.017787,1.00e-04,205.4,7748
310,20,0.041012,1.00e-04,205.6,7748
311,20,0.049993,1.00e-04,205.8,7748
312,20,0.011157,1.00e-04,206.0,7748
313,20,0.002492,1.00e-04,206.1,7748
314,20,0.202091,1.00e-04,206.3,7748
315,20,0.001921,1.00e-04,207.1,7748
316,21,0.361887,1.00e-04,212.6,7748
317,21,0.002805,1.00e-04,212.7,7748
318,21,0.360884,1.00e-04,212.9,7748
319,21,0.688252,1.00e-04,213.1,7748
320,21,0.037866,1.00e-04,213.3,7748
321,21,0.415149,1.00e-04,213.4,7748
322,21,0.067924,1.00e-04,213.6,7748
323,21,0.013507,1.00e-04,213.8,7748
324,21,0.032784,1.00e-04,214.0,7748
325,21,0.490283,1.00e-04,214.1,7748
326,21,0.307615,1.00e-04,214.3,7748
327,21,0.106663,1.00e-04,214.5,7748
328,21,0.405599,1.00e-04,214.6,7748
329,21,0.054412,1.00e-04,214.8,7748
330,21,0.020488,1.00e-04,215.6,7748
331,22,0.014409,1.00e-04,221.2,7748
332,22,0.240495,1.00e-04,221.4,7748
333,22,0.352171,1.00e-04,221.5,7748
334,22,0.078185,1.00e-04,221.7,7748
335,22,0.033322,1.00e-04,221.9,7748
336,22,0.039853,1.00e-04,222.1,7748
337,22,0.049343,1.00e-04,222.2,7748
338,22,0.247678,1.00e-04,222.4,7748
339,22,0.010813,1.00e-04,222.6,7748
340,22,0.171523,1.00e-04,222.7,7748
341,22,0.160092,1.00e-04,222.9,7748
342,22,0.140852,1.00e-04,223.1,7748
343,22,0.095509,1.00e-04,223.3,7748
344,22,0.060410,1.00e-04,223.5,7748
345,22,0.133156,1.00e-04,224.2,7748
346,23,0.115046,1.00e-04,229.8,7748
347,23,0.135032,1.00e-04,229.9,7748
348,23,0.048085,1.00e-04,230.1,7748
349,23,0.309260,1.00e-04,230.3,7748
350,23,0.007628,1.00e-04,230.5,7748
351,23,0.498769,1.00e-04,230.6,7748
352,23,0.016270,1.00e-04,230.8,7748
353,23,0.006017,1.00e-04,231.0,7748
354,23,0.415076,1.00e-04,231.1,7748
355,23,0.336953,1.00e-04,231.3,7748
356,23,0.006878,1.00e-04,231.5,7748
357,23,0.070003,1.00e-04,231.7,7748
358,23,0.437410,1.00e-04,231.8,7748
359,23,0.094449,1.00e-04,232.0,7748
360,23,0.049540,1.00e-04,232.7,7748
361,24,0.013191,1.00e-04,238.4,7748
362,24,0.402398,1.00e-04,238.5,7748
363,24,0.010669,1.00e-04,238.7,7748
364,24,0.061018,1.00e-04,238.9,7748
365,24,0.469785,1.00e-04,239.1,7748
366,24,0.502949,1.00e-04,239.2,7748
367,24,0.514302,1.00e-04,239.4,7748
368,24,0.070953,1.00e-04,239.6,7748
369,24,0.112288,1.00e-04,239.8,7748
370,24,0.048289,1.00e-04,239.9,7748
371,24,0.018909,1.00e-04,240.1,7748
372,24,0.373391,1.00e-04,240.3,7748
373,24,0.121371,1.00e-04,240.5,7748
374,24,0.128243,1.00e-04,240.6,7748
375,24,0.146863,1.00e-04,241.4,7748
376,25,0.039732,1.00e-04,247.0,7748
377,25,0.003219,1.00e-04,247.1,7748
378,25,0.079181,1.00e-04,247.3,7748
379,25,0.017709,1.00e-04,247.5,7748
380,25,0.042442,1.00e-04,247.6,7748
381,25,0.332826,1.00e-04,247.8,7748
382,25,0.649089,1.00e-04,248.0,7748
383,25,0.366698,1.00e-04,248.2,7748
384,25,0.023204,1.00e-04,248.3,7748
385,25,0.618293,1.00e-04,248.5,7748
386,25,0.009756,1.00e-04,248.7,7748
387,25,0.102354,1.00e-04,248.9,7748
388,25,0.368000,1.00e-04,249.1,7748
389,25,0.077200,1.00e-04,249.2,7748
390,25,0.004913,1.00e-04,250.0,7748
391,26,0.250923,1.00e-04,255.4,7748
392,26,0.315555,1.00e-04,255.5,7748
393,26,0.024079,1.00e-04,255.7,7748
394,26,0.002479,1.00e-04,255.9,7748
395,26,0.169679,1.00e-04,256.1,7748
396,26,0.244960,1.00e-04,256.2,7748
397,26,0.039891,1.00e-04,256.4,7748
398,26,0.096056,1.00e-04,256.6,7748
399,26,0.003235,1.00e-04,256.8,7748
400,26,0.428353,1.00e-04,256.9,7748
401,26,0.132960,1.00e-04,265.4,7748
402,26,0.003528,1.00e-04,265.6,7748
403,26,0.046575,1.00e-04,265.7,7748
404,26,0.069868,1.00e-04,265.9,7748
405,26,0.446514,1.00e-04,266.6,7748
406,27,0.131712,1.00e-04,272.2,7748
407,27,0.308856,1.00e-04,272.3,7748
408,27,0.158134,1.00e-04,272.5,7748
409,27,0.345430,1.00e-04,272.7,7748
410,27,0.010710,1.00e-04,272.9,7748
411,27,0.094869,1.00e-04,273.0,7748
412,27,0.007621,1.00e-04,273.2,7748
413,27,0.097614,1.00e-04,273.4,7748
414,27,0.648516,1.00e-04,273.6,7748
415,27,0.229183,1.00e-04,273.7,7748
416,27,0.031804,1.00e-04,273.9,7748
417,27,0.014968,1.00e-04,274.1,7748
418,27,0.002398,1.00e-04,274.3,7748
419,27,0.005117,1.00e-04,274.4,7748
420,27,0.204678,1.00e-04,275.2,7748
421,28,0.411227,1.00e-04,280.8,7748
422,28,0.005496,1.00e-04,280.9,7748
423,28,0.505266,1.00e-04,281.1,7748
424,28,0.338086,1.00e-04,281.3,7748
425,28,0.174006,1.00e-04,281.4,7748
426,28,0.119207,1.00e-04,281.6,7748
427,28,0.003724,1.00e-04,281.8,7748
428,28,0.012598,1.00e-04,282.0,7748
429,28,0.050448,1.00e-04,282.1,7748
430,28,0.050850,1.00e-04,282.3,7748
431,28,0.002771,1.00e-04,282.5,7748
432,28,0.149608,1.00e-04,282.7,7748
433,28,0.024775,1.00e-04,282.8,7748
434,28,0.030910,1.00e-04,283.0,7748
435,28,0.030994,1.00e-04,283.7,7748
436,29,0.023404,1.00e-04,289.4,7748
437,29,0.217076,1.00e-04,289.5,7748
438,29,0.098779,1.00e-04,289.7,7748
439,29,0.003479,1.00e-04,289.9,7748
440,29,0.076931,1.00e-04,290.1,7748
441,29,0.210150,1.00e-04,290.2,7748
442,29,0.252817,1.00e-04,290.4,7748
443,29,0.534771,1.00e-04,290.6,7748
444,29,0.094437,1.00e-04,290.8,7748
445,29,0.156844,1.00e-04,290.9,7748
446,29,0.013236,1.00e-04,291.1,7748
447,29,0.104257,1.00e-04,291.3,7748
448,29,0.218774,1.00e-04,291.5,7748
449,29,0.394597,1.00e-04,291.6,7748
450,29,0.044362,1.00e-04,292.4,7748
451,30,0.004147,1.00e-04,297.9,7748
452,30,0.143057,1.00e-04,298.1,7748
453,30,0.273343,1.00e-04,298.3,7748
454,30,0.162014,1.00e-04,298.5,7748
455,30,0.506512,1.00e-04,298.7,7748
456,30,0.244848,1.00e-04,298.8,7748
457,30,0.329745,1.00e-04,299.0,7748
458,30,0.133810,1.00e-04,299.2,7748
459,30,0.115640,1.00e-04,299.4,7748
460,30,0.004220,1.00e-04,299.5,7748
461,30,0.017024,1.00e-04,299.7,7748
462,30,0.020264,1.00e-04,299.9,7748
463,30,0.011492,1.00e-04,300.1,7748
464,30,0.216111,1.00e-04,300.2,7748
465,30,0.045881,1.00e-04,301.0,7748
466,31,0.004187,1.00e-04,306.6,7748
467,31,0.147976,1.00e-04,306.8,7748
468,31,0.004116,1.00e-04,306.9,7748
