experiment,status,exit_code,start_time,end_time,duration_min,output_dir,image_list,steps,lr,lora_path,notes
Random_D-High,ok,0,2026-03-17T21:51:41.629548,2026-03-17T21:58:05.628025,6.40,kmc_lora\results\dreambooth_mixed\Random_D-High,kmc_lora\artifacts\dreambooth_mixed\splits\D-High.txt,800,0.0001,,
KMC_D-High_P1,ok,0,2026-03-17T21:58:05.630025,2026-03-17T22:02:21.339667,4.26,kmc_lora\results\dreambooth_mixed\KMC_D-High\phase1,kmc_lora\artifacts\dreambooth_mixed\phases\phase1.txt,320,5e-05,,
KMC_D-High_P2,ok,0,2026-03-17T22:02:21.340623,2026-03-17T22:06:28.791235,4.12,kmc_lora\results\dreambooth_mixed\KMC_D-High\phase2,kmc_lora\artifacts\dreambooth_mixed\phases\phase2.txt,280,0.0001,kmc_lora\results\dreambooth_mixed\KMC_D-High\phase1\final,
KMC_D-High_P3,ok,0,2026-03-17T22:06:28.793235,2026-03-17T22:09:53.989524,3.42,kmc_lora\results\dreambooth_mixed\KMC_D-High\phase3,kmc_lora\artifacts\dreambooth_mixed\phases\phase3.txt,200,2e-05,kmc_lora\results\dreambooth_mixed\KMC_D-High\phase2\final,
Random_D-Medium,ok,0,2026-03-17T22:09:53.992523,2026-03-17T22:16:32.639022,6.64,kmc_lora\results\dreambooth_mixed\Random_D-Medium,kmc_lora\artifacts\dreambooth_mixed\splits\D-Medium.txt,800,0.0001,,
KMC_D-Medium_P1,ok,0,2026-03-17T22:16:32.640023,2026-03-17T22:20:53.590058,4.35,kmc_lora\results\dreambooth_mixed\KMC_D-Medium\phase1,kmc_lora\artifacts\dreambooth_mixed\phases\phase1.txt,320,5e-05,,
KMC_D-Medium_P2,ok,0,2026-03-17T22:20:53.591057,2026-03-17T22:25:01.261652,4.13,kmc_lora\results\dreambooth_mixed\KMC_D-Medium\phase2,kmc_lora\artifacts\dreambooth_mixed\phases\phase2.txt,280,0.0001,kmc_lora\results\dreambooth_mixed\KMC_D-Medium\phase1\final,
KMC_D-Medium_P3,ok,0,2026-03-17T22:25:01.261652,2026-03-17T22:28:23.833772,3.38,kmc_lora\results\dreambooth_mixed\KMC_D-Medium\phase3,kmc_lora\artifacts\dreambooth_mixed\phases\phase3.txt,200,2e-05,kmc_lora\results\dreambooth_mixed\KMC_D-Medium\phase2\final,
Random_D-Low,ok,0,2026-03-17T22:28:23.834847,2026-03-17T22:45:00.178303,16.61,kmc_lora\results\dreambooth_mixed\Random_D-Low,kmc_lora\artifacts\dreambooth_mixed\splits\D-Low.txt,800,0.0001,,
KMC_D-Low_P1,ok,0,2026-03-17T22:45:00.180304,2026-03-17T22:49:19.090222,4.32,kmc_lora\results\dreambooth_mixed\KMC_D-Low\phase1,kmc_lora\artifacts\dreambooth_mixed\phases\phase1.txt,320,5e-05,,
KMC_D-Low_P2,ok,0,2026-03-17T22:49:19.091223,2026-03-17T22:53:26.909793,4.13,kmc_lora\results\dreambooth_mixed\KMC_D-Low\phase2,kmc_lora\artifacts\dreambooth_mixed\phases\phase2.txt,280,0.0001,kmc_lora\results\dreambooth_mixed\KMC_D-Low\phase1\final,
KMC_D-Low_P3,ok,0,2026-03-17T22:53:26.910793,2026-03-17T22:56:47.489645,3.34,kmc_lora\results\dreambooth_mixed\KMC_D-Low\phase3,kmc_lora\artifacts\dreambooth_mixed\phases\phase3.txt,200,2e-05,kmc_lora\results\dreambooth_mixed\KMC_D-Low\phase2\final,
Random_D-Sub-50,ok,0,2026-03-17T22:56:47.491645,2026-03-17T23:03:10.126219,6.38,kmc_lora\results\dreambooth_mixed\Random_D-Sub-50,kmc_lora\artifacts\dreambooth_mixed\splits\D-Sub-50.txt,800,0.0001,,
