step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.731728,2.00e-05,7.9,7214
2,0,0.801092,2.00e-05,8.7,7227
3,1,0.464392,2.00e-05,14.2,7230
4,1,0.251010,2.00e-05,15.0,7233
5,2,0.107151,2.00e-05,20.8,7233
6,2,0.068103,2.00e-05,21.6,7233
7,3,0.191365,2.00e-05,27.2,7233
8,3,0.196993,2.00e-05,28.0,7233
9,4,0.516714,2.00e-05,33.6,7233
10,4,0.094670,2.00e-05,34.4,7233
11,5,0.018223,2.00e-05,40.2,7233
12,5,0.271602,2.00e-05,41.0,7233
13,6,0.023370,2.00e-05,46.6,7233
14,6,0.004899,2.00e-05,47.4,7233
15,7,0.090749,2.00e-05,53.0,7233
16,7,0.572489,2.00e-05,53.8,7233
17,8,0.009231,2.00e-05,59.4,7233
18,8,0.013522,2.00e-05,60.1,7233
19,9,0.138845,2.00e-05,65.8,7233
20,9,0.064155,2.00e-05,66.6,7233
21,10,0.062359,2.00e-05,72.2,7233
22,10,0.280268,2.00e-05,73.0,7233
23,11,0.539346,2.00e-05,78.7,7233
24,11,0.005169,2.00e-05,79.5,7233
25,12,0.278191,2.00e-05,85.2,7233
26,12,0.005497,2.00e-05,85.9,7233
27,13,0.014279,2.00e-05,91.6,7233
28,13,0.055497,2.00e-05,92.4,7233
29,14,0.501783,2.00e-05,98.2,7233
30,14,0.266119,2.00e-05,99.0,7233
31,15,0.191778,2.00e-05,104.6,7233
32,15,0.161129,2.00e-05,105.3,7233
33,16,0.503919,2.00e-05,111.0,7233
34,16,0.190003,2.00e-05,111.8,7233
35,17,0.577160,2.00e-05,117.6,7233
36,17,0.237495,2.00e-05,118.4,7233
37,18,0.176859,2.00e-05,124.2,7233
38,18,0.004113,2.00e-05,125.0,7233
39,19,0.143394,2.00e-05,130.6,7233
40,19,0.002194,2.00e-05,131.4,7233
41,20,0.453165,2.00e-05,137.0,7233
42,20,0.048489,2.00e-05,137.7,7233
43,21,0.261928,2.00e-05,143.5,7233
44,21,0.213529,2.00e-05,144.4,7233
45,22,0.023960,2.00e-05,150.1,7233
46,22,0.062151,2.00e-05,150.9,7233
47,23,0.020732,2.00e-05,156.7,7233
48,23,0.075336,2.00e-05,157.5,7233
49,24,0.007905,2.00e-05,163.3,7233
50,24,0.417864,2.00e-05,164.2,7233
51,25,0.029531,2.00e-05,169.8,7233
52,25,0.021322,2.00e-05,170.6,7233
53,26,0.067262,2.00e-05,176.4,7233
54,26,0.091121,2.00e-05,177.1,7233
55,27,0.247105,2.00e-05,183.0,7233
56,27,0.049164,2.00e-05,183.7,7233
57,28,0.280462,2.00e-05,189.5,7233
58,28,0.085902,2.00e-05,190.3,7233
59,29,0.022414,2.00e-05,196.0,7233
60,29,0.101357,2.00e-05,196.7,7233
61,30,0.120015,2.00e-05,202.3,7233
62,30,0.164471,2.00e-05,203.1,7233
63,31,0.010284,2.00e-05,208.7,7233
64,31,0.142114,2.00e-05,209.5,7233
65,32,0.008508,2.00e-05,215.3,7233
66,32,0.340729,2.00e-05,216.1,7233
67,33,0.270299,2.00e-05,221.9,7233
68,33,0.521199,2.00e-05,222.8,7233
69,34,0.054137,2.00e-05,228.9,7233
70,34,0.014179,2.00e-05,229.7,7233
71,35,0.427459,2.00e-05,235.7,7233
72,35,0.018723,2.00e-05,236.5,7233
73,36,0.182091,2.00e-05,242.1,7233
