step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.653080,5.00e-05,7.9,7214
2,0,0.728522,5.00e-05,8.7,7227
3,1,0.398703,5.00e-05,14.4,7230
4,1,0.230149,5.00e-05,15.2,7233
5,2,0.099979,5.00e-05,21.0,7233
6,2,0.063909,5.00e-05,21.7,7233
7,3,0.172342,5.00e-05,27.4,7233
8,3,0.180130,5.00e-05,28.2,7233
9,4,0.433805,5.00e-05,34.0,7233
10,4,0.088538,5.00e-05,34.8,7233
11,5,0.016096,5.00e-05,40.6,7233
12,5,0.249308,5.00e-05,41.3,7233
13,6,0.020140,5.00e-05,47.0,7233
14,6,0.003912,5.00e-05,47.8,7233
15,7,0.084072,5.00e-05,53.4,7233
16,7,0.479794,5.00e-05,54.1,7233
17,8,0.008087,5.00e-05,59.8,7233
18,8,0.011594,5.00e-05,60.5,7233
19,9,0.129419,5.00e-05,66.4,7233
20,9,0.057651,5.00e-05,67.1,7233
21,10,0.059372,5.00e-05,73.0,7233
22,10,0.244747,5.00e-05,73.8,7233
23,11,0.479404,5.00e-05,79.4,7233
24,11,0.004782,5.00e-05,80.2,7233
25,12,0.239243,5.00e-05,86.2,7233
26,12,0.004913,5.00e-05,87.0,7233
27,13,0.013193,5.00e-05,92.8,7233
28,13,0.048897,5.00e-05,93.5,7233
29,14,0.445871,5.00e-05,99.2,7233
30,14,0.231497,5.00e-05,100.0,7233
31,15,0.173876,5.00e-05,105.8,7233
32,15,0.142832,5.00e-05,106.5,7233
33,16,0.436973,5.00e-05,112.2,7233
34,16,0.175320,5.00e-05,113.0,7233
35,17,0.513978,5.00e-05,118.8,7233
36,17,0.215712,5.00e-05,119.5,7233
37,18,0.158678,5.00e-05,125.1,7233
38,18,0.003302,5.00e-05,125.9,7233
39,19,0.132980,5.00e-05,131.6,7233
40,19,0.002180,5.00e-05,132.3,7233
41,20,0.396411,5.00e-05,138.2,7233
42,20,0.044013,5.00e-05,139.0,7233
43,21,0.232620,5.00e-05,144.6,7233
44,21,0.201187,5.00e-05,145.3,7233
45,22,0.022129,5.00e-05,151.1,7233
46,22,0.055803,5.00e-05,151.9,7233
47,23,0.019156,5.00e-05,157.7,7233
48,23,0.067888,5.00e-05,158.5,7233
49,24,0.006949,5.00e-05,164.1,7233
50,24,0.354164,5.00e-05,164.9,7233
51,25,0.026718,5.00e-05,170.8,7233
52,25,0.019227,5.00e-05,171.5,7233
53,26,0.060323,5.00e-05,177.2,7233
54,26,0.085260,5.00e-05,177.9,7233
55,27,0.211657,5.00e-05,183.5,7233
56,27,0.041451,5.00e-05,184.3,7233
57,28,0.244738,5.00e-05,190.1,7233
58,28,0.078925,5.00e-05,190.9,7233
59,29,0.019303,5.00e-05,196.7,7233
60,29,0.091478,5.00e-05,197.5,7233
61,30,0.109032,5.00e-05,203.1,7233
62,30,0.147269,5.00e-05,203.9,7233
63,31,0.008447,5.00e-05,209.5,7233
64,31,0.127343,5.00e-05,210.4,7233
65,32,0.006371,5.00e-05,215.9,7233
66,32,0.297764,5.00e-05,216.7,7233
67,33,0.235942,5.00e-05,222.5,7233
68,33,0.444503,5.00e-05,223.3,7233
69,34,0.049345,5.00e-05,228.9,7233
70,34,0.012829,5.00e-05,229.7,7233
71,35,0.364932,5.00e-05,235.3,7233
72,35,0.015982,5.00e-05,236.1,7233
73,36,0.162501,5.00e-05,241.9,7233
74,36,0.014596,5.00e-05,242.7,7233
75,37,0.011151,5.00e-05,248.3,7233
76,37,0.061531,5.00e-05,249.1,7233
77,38,0.205876,5.00e-05,254.9,7233
78,38,0.420467,5.00e-05,255.7,7233
79,39,0.381666,5.00e-05,261.3,7233
80,39,0.058622,5.00e-05,262.0,7233
81,40,0.018293,5.00e-05,267.7,7233
82,40,0.067817,5.00e-05,268.5,7233
83,41,0.282664,5.00e-05,274.3,7233
84,41,0.370257,5.00e-05,275.1,7233
85,42,0.021434,5.00e-05,280.9,7233
86,42,0.031215,5.00e-05,281.7,7233
87,43,0.047523,5.00e-05,287.5,7233
88,43,0.005361,5.00e-05,288.3,7233
89,44,0.266031,5.00e-05,294.1,7233
90,44,0.393452,5.00e-05,294.9,7233
91,45,0.418568,5.00e-05,300.7,7233
92,45,0.017591,5.00e-05,301.5,7233
93,46,0.076091,5.00e-05,307.3,7233
94,46,0.014100,5.00e-05,308.1,7233
95,47,0.139506,5.00e-05,313.9,7233
96,47,0.190278,5.00e-05,314.7,7233
97,48,0.014825,5.00e-05,320.3,7233
98,48,0.035727,5.00e-05,321.1,7233
99,49,0.095057,5.00e-05,326.9,7233
100,49,0.206922,5.00e-05,327.7,7233
101,50,0.049654,5.00e-05,344.9,7733
102,50,0.054380,5.00e-05,345.7,7733
103,51,0.203577,5.00e-05,351.5,7733
104,51,0.080610,5.00e-05,352.3,7733
105,52,0.006788,5.00e-05,358.1,7733
106,52,0.032416,5.00e-05,358.8,7733
107,53,0.567597,5.00e-05,364.5,7733
108,53,0.077289,5.00e-05,365.3,7733
109,54,0.022361,5.00e-05,370.9,7733
110,54,0.411100,5.00e-05,371.7,7733
111,55,0.198788,5.00e-05,377.7,7733
112,55,0.020023,5.00e-05,378.5,7733
113,56,0.031342,5.00e-05,384.1,7733
114,56,0.023881,5.00e-05,384.9,7733
115,57,0.245879,5.00e-05,390.7,7733
116,57,0.134754,5.00e-05,391.5,7733
117,58,0.026594,5.00e-05,397.3,7733
118,58,0.137558,5.00e-05,398.1,7733
119,59,0.036166,5.00e-05,403.7,7733
120,59,0.008229,5.00e-05,404.5,7733
121,60,0.329461,5.00e-05,410.3,7733
122,60,0.287780,5.00e-05,411.0,7733
123,61,0.312182,5.00e-05,416.7,7733
124,61,0.006872,5.00e-05,417.5,7733
125,62,0.019013,5.00e-05,423.3,7733
126,62,0.162913,5.00e-05,424.0,7733
127,63,0.002473,5.00e-05,430.1,7733
128,63,0.006345,5.00e-05,430.9,7733
129,64,0.097236,5.00e-05,436.7,7733
130,64,0.004941,5.00e-05,437.4,7733
131,65,0.019974,5.00e-05,443.0,7733
132,65,0.052016,5.00e-05,443.8,7733
133,66,0.015011,5.00e-05,449.3,7733
134,66,0.022693,5.00e-05,450.0,7733
135,67,0.015232,5.00e-05,455.7,7733
136,67,0.009858,5.00e-05,456.4,7733
137,68,0.365095,5.00e-05,462.3,7733
138,68,0.094218,5.00e-05,463.0,7733
139,69,0.131920,5.00e-05,468.7,7733
140,69,0.437804,5.00e-05,469.5,7733
141,70,0.129036,5.00e-05,475.3,7733
142,70,0.061978,5.00e-05,476.1,7733
143,71,0.011940,5.00e-05,481.9,7733
