step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.760609,1.00e-04,8.1,7214
2,0,0.801092,1.00e-04,8.3,7227
3,0,0.390306,1.00e-04,8.5,7230
4,0,0.254132,1.00e-04,8.7,7233
5,0,0.099767,1.00e-04,9.5,7233
6,1,0.067814,1.00e-04,15.4,7233
7,1,0.191168,1.00e-04,15.6,7233
8,1,0.221773,1.00e-04,15.7,7233
9,1,0.430598,1.00e-04,15.9,7233
10,1,0.090021,1.00e-04,16.7,7233
11,2,0.019329,1.00e-04,22.4,7233
12,2,0.250328,1.00e-04,22.5,7233
13,2,0.021859,1.00e-04,22.7,7233
14,2,0.003930,1.00e-04,22.9,7233
15,2,0.095983,1.00e-04,23.7,7233
16,3,0.488894,1.00e-04,29.4,7233
17,3,0.008444,1.00e-04,29.5,7233
18,3,0.015399,1.00e-04,29.7,7233
19,3,0.129398,1.00e-04,29.9,7233
20,3,0.064033,1.00e-04,30.6,7233
21,4,0.057921,1.00e-04,36.6,7233
22,4,0.287378,1.00e-04,36.7,7233
23,4,0.541257,1.00e-04,36.9,7233
24,4,0.005433,1.00e-04,37.1,7233
25,4,0.240944,1.00e-04,37.9,7233
26,5,0.004955,1.00e-04,43.6,7233
27,5,0.014114,1.00e-04,43.7,7233
28,5,0.053040,1.00e-04,43.9,7233
29,5,0.446265,1.00e-04,44.1,7233
30,5,0.292934,1.00e-04,45.0,7233
31,6,0.169754,1.00e-04,50.8,7233
32,6,0.143847,1.00e-04,51.0,7233
33,6,0.536925,1.00e-04,51.1,7233
34,6,0.192811,1.00e-04,51.3,7233
35,6,0.595032,1.00e-04,52.1,7233
36,7,0.212166,1.00e-04,57.9,7233
37,7,0.174010,1.00e-04,58.1,7233
38,7,0.004043,1.00e-04,58.3,7233
39,7,0.132676,1.00e-04,58.5,7233
40,7,0.002293,1.00e-04,59.2,7233
41,8,0.449622,1.00e-04,65.0,7233
42,8,0.044892,1.00e-04,65.1,7233
43,8,0.238479,1.00e-04,65.3,7233
44,8,0.216998,1.00e-04,65.5,7233
45,8,0.023914,1.00e-04,66.2,7233
46,9,0.059892,1.00e-04,72.1,7233
47,9,0.020512,1.00e-04,72.3,7233
48,9,0.066241,1.00e-04,72.5,7233
49,9,0.007560,1.00e-04,72.7,7233
50,9,0.355292,1.00e-04,73.4,7233
51,10,0.026470,1.00e-04,79.2,7233
52,10,0.019429,1.00e-04,79.3,7233
53,10,0.071670,1.00e-04,79.5,7233
54,10,0.089539,1.00e-04,79.7,7233
55,10,0.215218,1.00e-04,80.5,7233
56,11,0.046813,1.00e-04,86.3,7233
57,11,0.302219,1.00e-04,86.5,7233
58,11,0.083254,1.00e-04,86.7,7233
59,11,0.020350,1.00e-04,86.9,7233
60,11,0.091279,1.00e-04,87.6,7233
61,12,0.109188,1.00e-04,93.2,7233
62,12,0.176046,1.00e-04,93.3,7233
63,12,0.008681,1.00e-04,93.5,7233
64,12,0.141118,1.00e-04,93.7,7233
65,12,0.007995,1.00e-04,94.4,7233
66,13,0.351713,1.00e-04,100.2,7233
67,13,0.237868,1.00e-04,100.3,7233
68,13,0.538355,1.00e-04,100.5,7233
69,13,0.053977,1.00e-04,100.7,7233
70,13,0.012178,1.00e-04,101.5,7233
71,14,0.372308,1.00e-04,107.2,7233
72,14,0.018385,1.00e-04,107.3,7233
73,14,0.179924,1.00e-04,107.5,7233
74,14,0.017638,1.00e-04,107.7,7233
75,14,0.010936,1.00e-04,108.5,7233
76,15,0.064678,1.00e-04,114.3,7233
77,15,0.245660,1.00e-04,114.5,7233
