step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.760609,1.00e-04,8.3,7214
2,1,0.807117,1.00e-04,14.3,7230
3,2,0.484898,1.00e-04,20.3,7230
4,3,0.277813,1.00e-04,26.3,7230
5,4,0.117790,1.00e-04,32.3,7230
6,5,0.070818,1.00e-04,38.3,7230
7,6,0.202069,1.00e-04,44.5,7230
8,7,0.210807,1.00e-04,50.7,7230
9,8,0.526130,1.00e-04,56.8,7230
10,9,0.103926,1.00e-04,62.9,7230
11,10,0.018317,1.00e-04,69.1,7230
12,11,0.303410,1.00e-04,75.1,7230
13,12,0.022561,1.00e-04,81.1,7230
14,13,0.004964,1.00e-04,87.1,7230
15,14,0.095231,1.00e-04,93.1,7230
16,15,0.581135,1.00e-04,99.1,7230
17,16,0.008640,1.00e-04,105.2,7230
18,17,0.015025,1.00e-04,111.2,7230
19,18,0.147818,1.00e-04,117.2,7230
20,19,0.064943,1.00e-04,123.3,7230
21,20,0.060389,1.00e-04,129.2,7230
22,21,0.301964,1.00e-04,135.2,7230
23,22,0.562421,1.00e-04,141.2,7230
24,23,0.005297,1.00e-04,147.4,7230
25,24,0.302326,1.00e-04,153.5,7230
26,25,0.005229,1.00e-04,159.5,7230
27,26,0.014334,1.00e-04,165.4,7230
28,27,0.056299,1.00e-04,171.4,7230
29,28,0.511819,1.00e-04,177.4,7230
30,29,0.286891,1.00e-04,183.4,7230
31,30,0.204925,1.00e-04,189.4,7230
32,31,0.168574,1.00e-04,195.4,7230
33,32,0.529945,1.00e-04,201.6,7230
34,33,0.205163,1.00e-04,207.8,7230
35,34,0.607757,1.00e-04,213.8,7230
36,35,0.252719,1.00e-04,219.8,7230
37,36,0.186793,1.00e-04,225.8,7230
38,37,0.003836,1.00e-04,231.8,7230
39,38,0.150741,1.00e-04,238.0,7230
40,39,0.002363,1.00e-04,244.0,7230
41,40,0.479922,1.00e-04,250.0,7230
42,41,0.048160,1.00e-04,256.2,7230
43,42,0.268599,1.00e-04,262.5,7230
44,43,0.226044,1.00e-04,268.6,7230
45,44,0.023222,1.00e-04,274.6,7230
46,45,0.060608,1.00e-04,280.6,7230
47,46,0.020443,1.00e-04,286.8,7230
48,47,0.074355,1.00e-04,292.8,7230
49,48,0.006866,1.00e-04,298.8,7230
50,49,0.431450,1.00e-04,304.8,7230
51,50,0.028078,1.00e-04,310.8,7230
52,51,0.018798,1.00e-04,317.0,7230
53,52,0.068693,1.00e-04,323.0,7230
54,53,0.092502,1.00e-04,329.0,7230
55,54,0.252936,1.00e-04,335.0,7230
56,55,0.045715,1.00e-04,341.0,7230
57,56,0.283011,1.00e-04,347.0,7230
58,57,0.086303,1.00e-04,353.2,7230
59,58,0.021953,1.00e-04,359.4,7230
60,59,0.102808,1.00e-04,365.4,7230
61,60,0.125149,1.00e-04,371.4,7230
62,61,0.169336,1.00e-04,377.4,7230
63,62,0.008872,1.00e-04,383.4,7230
64,63,0.140693,1.00e-04,389.4,7230
65,64,0.008285,1.00e-04,395.4,7230
66,65,0.361458,1.00e-04,401.4,7230
67,66,0.274574,1.00e-04,407.6,7230
68,67,0.520530,1.00e-04,413.5,7230
69,68,0.052815,1.00e-04,419.5,7230
70,69,0.013609,1.00e-04,425.5,7230
71,70,0.439470,1.00e-04,431.5,7230
72,71,0.015943,1.00e-04,437.5,7230
73,72,0.182217,1.00e-04,443.7,7230
74,73,0.015405,1.00e-04,449.7,7230
75,74,0.011266,1.00e-04,455.7,7230
76,75,0.068028,1.00e-04,461.8,7230
77,76,0.233385,1.00e-04,467.8,7230
78,77,0.495543,1.00e-04,473.7,7230
79,78,0.471869,1.00e-04,479.7,7230
80,79,0.060314,1.00e-04,485.7,7230
81,80,0.019181,1.00e-04,491.7,7230
82,81,0.074815,1.00e-04,497.8,7230
83,82,0.332745,1.00e-04,503.9,7230
84,83,0.425866,1.00e-04,509.9,7230
85,84,0.022672,1.00e-04,515.9,7230
86,85,0.030738,1.00e-04,521.9,7230
87,86,0.050167,1.00e-04,527.9,7230
88,87,0.005624,1.00e-04,533.9,7230
89,88,0.298239,1.00e-04,539.9,7230
90,89,0.463912,1.00e-04,545.9,7230
91,90,0.466990,1.00e-04,551.9,7230
92,91,0.016796,1.00e-04,557.9,7230
93,92,0.080147,1.00e-04,563.9,7230
94,93,0.015338,1.00e-04,569.9,7230
95,94,0.162157,1.00e-04,575.9,7230
96,95,0.221348,1.00e-04,581.9,7230
97,96,0.015265,1.00e-04,587.9,7230
98,97,0.036720,1.00e-04,594.1,7230
99,98,0.105737,1.00e-04,600.1,7230
100,99,0.242102,1.00e-04,606.1,7230
101,100,0.052095,1.00e-04,622.9,7733
102,101,0.056034,1.00e-04,628.9,7733
103,102,0.230458,1.00e-04,634.9,7733
104,103,0.091986,1.00e-04,640.9,7733
105,104,0.007007,1.00e-04,646.9,7733
106,105,0.034419,1.00e-04,652.9,7733
107,106,0.643199,1.00e-04,658.9,7733
108,107,0.081672,1.00e-04,664.9,7733
109,108,0.023096,1.00e-04,670.9,7733
110,109,0.482709,1.00e-04,676.9,7733
111,110,0.225520,1.00e-04,683.0,7733
112,111,0.018927,1.00e-04,689.1,7733
113,112,0.029781,1.00e-04,695.3,7733
114,113,0.024808,1.00e-04,701.3,7733
115,114,0.294430,1.00e-04,707.3,7733
116,115,0.146958,1.00e-04,713.3,7733
117,116,0.027999,1.00e-04,719.3,7733
