step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.653080,5.00e-05,7.6,7214
2,0,0.728522,5.00e-05,8.5,7227
3,1,0.398704,5.00e-05,14.1,7230
4,1,0.230144,5.00e-05,14.9,7233
5,2,0.099981,5.00e-05,20.5,7233
6,2,0.063910,5.00e-05,21.3,7233
7,3,0.172346,5.00e-05,27.0,7233
8,3,0.180131,5.00e-05,27.8,7233
9,4,0.433801,5.00e-05,33.7,7233
10,4,0.088541,5.00e-05,34.5,7233
11,5,0.016097,5.00e-05,40.5,7233
12,5,0.249310,5.00e-05,41.3,7233
13,6,0.020140,5.00e-05,46.9,7233
14,6,0.003912,5.00e-05,47.7,7233
15,7,0.084076,5.00e-05,53.1,7233
16,7,0.479789,5.00e-05,53.9,7233
17,8,0.008086,5.00e-05,59.5,7233
18,8,0.011594,5.00e-05,60.3,7233
19,9,0.129425,5.00e-05,65.7,7233
20,9,0.057649,5.00e-05,66.5,7233
21,10,0.059380,5.00e-05,71.9,7233
22,10,0.244751,5.00e-05,72.7,7233
23,11,0.479408,5.00e-05,78.1,7233
24,11,0.004781,5.00e-05,78.9,7233
25,12,0.239242,5.00e-05,84.3,7233
26,12,0.004913,5.00e-05,85.1,7233
27,13,0.013193,5.00e-05,90.5,7233
28,13,0.048897,5.00e-05,91.3,7233
29,14,0.445870,5.00e-05,96.9,7233
30,14,0.231504,5.00e-05,97.7,7233
31,15,0.173874,5.00e-05,103.2,7233
32,15,0.142831,5.00e-05,103.9,7233
33,16,0.436980,5.00e-05,109.3,7233
34,16,0.175322,5.00e-05,110.1,7233
35,17,0.513988,5.00e-05,115.5,7233
36,17,0.215714,5.00e-05,116.3,7233
37,18,0.158681,5.00e-05,121.7,7233
38,18,0.003302,5.00e-05,122.5,7233
39,19,0.132981,5.00e-05,127.9,7233
40,19,0.002180,5.00e-05,128.7,7233
41,20,0.396421,5.00e-05,134.3,7233
42,20,0.044012,5.00e-05,135.0,7233
43,21,0.232616,5.00e-05,140.5,7233
44,21,0.201182,5.00e-05,141.3,7233
45,22,0.022121,5.00e-05,146.7,7233
46,22,0.055801,5.00e-05,147.4,7233
47,23,0.019155,5.00e-05,153.1,7233
48,23,0.067887,5.00e-05,153.9,7233
49,24,0.006950,5.00e-05,159.5,7233
50,24,0.354161,5.00e-05,160.4,7233
51,25,0.026718,5.00e-05,166.3,7233
52,25,0.019227,5.00e-05,167.0,7233
53,26,0.060320,5.00e-05,172.7,7233
54,26,0.085268,5.00e-05,173.4,7233
55,27,0.211661,5.00e-05,178.9,7233
