step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.653080,5.00e-05,7.6,7214
2,0,0.728522,5.00e-05,8.4,7227
3,1,0.398695,5.00e-05,13.9,7230
4,1,0.230139,5.00e-05,14.7,7233
5,2,0.099982,5.00e-05,20.3,7233
6,2,0.063910,5.00e-05,21.1,7233
7,3,0.172344,5.00e-05,26.7,7233
8,3,0.180128,5.00e-05,27.4,7233
9,4,0.433798,5.00e-05,32.9,7233
10,4,0.088540,5.00e-05,33.7,7233
11,5,0.016097,5.00e-05,39.1,7233
12,5,0.249311,5.00e-05,39.8,7233
13,6,0.020140,5.00e-05,45.5,7233
14,6,0.003912,5.00e-05,46.3,7233
15,7,0.084073,5.00e-05,51.7,7233
16,7,0.479782,5.00e-05,52.5,7233
17,8,0.008086,5.00e-05,58.1,7233
18,8,0.011594,5.00e-05,58.9,7233
19,9,0.129425,5.00e-05,64.3,7233
20,9,0.057648,5.00e-05,65.1,7233
21,10,0.059366,5.00e-05,70.5,7233
22,10,0.244751,5.00e-05,71.2,7233
23,11,0.479417,5.00e-05,76.7,7233
24,11,0.004782,5.00e-05,77.5,7233
25,12,0.239238,5.00e-05,83.1,7233
26,12,0.004913,5.00e-05,83.8,7233
27,13,0.013193,5.00e-05,89.3,7233
28,13,0.048895,5.00e-05,90.1,7233
29,14,0.445866,5.00e-05,95.7,7233
30,14,0.231508,5.00e-05,96.4,7233
31,15,0.173876,5.00e-05,101.9,7233
32,15,0.142830,5.00e-05,102.6,7233
33,16,0.436975,5.00e-05,108.1,7233
34,16,0.175323,5.00e-05,108.8,7233
35,17,0.513981,5.00e-05,114.3,7233
36,17,0.215711,5.00e-05,115.0,7233
37,18,0.158676,5.00e-05,120.5,7233
38,18,0.003302,5.00e-05,121.2,7233
39,19,0.132980,5.00e-05,126.7,7233
40,19,0.002180,5.00e-05,127.4,7233
41,20,0.396415,5.00e-05,132.9,7233
42,20,0.044012,5.00e-05,133.6,7233
43,21,0.232614,5.00e-05,139.1,7233
44,21,0.201191,5.00e-05,139.8,7233
45,22,0.022128,5.00e-05,145.3,7233
46,22,0.055801,5.00e-05,146.0,7233
47,23,0.019154,5.00e-05,151.5,7233
48,23,0.067888,5.00e-05,152.2,7233
49,24,0.006949,5.00e-05,157.7,7233
50,24,0.354168,5.00e-05,158.4,7233
51,25,0.026719,5.00e-05,163.9,7233
52,25,0.019226,5.00e-05,164.6,7233
53,26,0.060324,5.00e-05,170.3,7233
54,26,0.085266,5.00e-05,171.0,7233
55,27,0.211654,5.00e-05,176.5,7233
56,27,0.041451,5.00e-05,177.2,7233
57,28,0.244739,5.00e-05,182.7,7233
58,28,0.078925,5.00e-05,183.4,7233
59,29,0.019306,5.00e-05,188.9,7233
60,29,0.091478,5.00e-05,189.6,7233
61,30,0.109028,5.00e-05,195.1,7233
62,30,0.147274,5.00e-05,195.8,7233
63,31,0.008447,5.00e-05,201.2,7233
64,31,0.127341,5.00e-05,202.0,7233
65,32,0.006371,5.00e-05,207.7,7233
66,32,0.297766,5.00e-05,208.4,7233
67,33,0.235941,5.00e-05,213.9,7233
68,33,0.444502,5.00e-05,214.6,7233
69,34,0.049346,5.00e-05,220.1,7233
70,34,0.012829,5.00e-05,220.8,7233
71,35,0.364936,5.00e-05,226.3,7233
72,35,0.015982,5.00e-05,227.0,7233
73,36,0.162496,5.00e-05,232.4,7233
74,36,0.014597,5.00e-05,233.2,7233
75,37,0.011150,5.00e-05,238.6,7233
76,37,0.061535,5.00e-05,239.4,7233
77,38,0.205881,5.00e-05,244.8,7233
78,38,0.420453,5.00e-05,245.6,7233
79,39,0.381674,5.00e-05,251.0,7233
80,39,0.058622,5.00e-05,251.8,7233
81,40,0.018294,5.00e-05,257.3,7233
82,40,0.067816,5.00e-05,258.0,7233
83,41,0.282658,5.00e-05,263.4,7233
84,41,0.370252,5.00e-05,264.2,7233
85,42,0.021435,5.00e-05,269.6,7233
86,42,0.031218,5.00e-05,270.4,7233
87,43,0.047527,5.00e-05,275.9,7233
88,43,0.005360,5.00e-05,276.6,7233
89,44,0.266036,5.00e-05,282.2,7233
90,44,0.393455,5.00e-05,283.0,7233
91,45,0.418570,5.00e-05,288.4,7233
