step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.760609,1.00e-04,8.2,7214
2,1,0.807110,1.00e-04,14.5,7230
3,2,0.484891,1.00e-04,20.7,7230
4,3,0.277812,1.00e-04,26.9,7230
5,4,0.117791,1.00e-04,33.0,7230
6,5,0.070814,1.00e-04,39.3,7230
7,6,0.202072,1.00e-04,45.5,7230
8,7,0.210812,1.00e-04,51.7,7230
9,8,0.526116,1.00e-04,57.9,7230
10,9,0.103925,1.00e-04,64.3,7230
11,10,0.018317,1.00e-04,70.5,7230
12,11,0.303412,1.00e-04,76.7,7230
13,12,0.022560,1.00e-04,82.8,7230
14,13,0.004964,1.00e-04,88.9,7230
15,14,0.095228,1.00e-04,95.2,7230
16,15,0.581123,1.00e-04,101.6,7230
17,16,0.008640,1.00e-04,107.7,7230
18,17,0.015025,1.00e-04,113.9,7230
19,18,0.147819,1.00e-04,120.0,7230
20,19,0.064942,1.00e-04,126.3,7230
21,20,0.060392,1.00e-04,132.5,7230
22,21,0.301972,1.00e-04,138.6,7230
23,22,0.562422,1.00e-04,144.8,7230
24,23,0.005297,1.00e-04,151.0,7230
25,24,0.302324,1.00e-04,157.2,7230
26,25,0.005229,1.00e-04,163.4,7230
27,26,0.014335,1.00e-04,169.6,7230
28,27,0.056302,1.00e-04,175.8,7230
29,28,0.511813,1.00e-04,181.8,7230
30,29,0.286903,1.00e-04,188.0,7230
31,30,0.204928,1.00e-04,194.2,7230
32,31,0.168574,1.00e-04,200.4,7230
33,32,0.529944,1.00e-04,206.6,7230
34,33,0.205164,1.00e-04,212.6,7230
35,34,0.607755,1.00e-04,218.6,7230
36,35,0.252718,1.00e-04,224.6,7230
37,36,0.186794,1.00e-04,230.8,7230
38,37,0.003836,1.00e-04,236.8,7230
39,38,0.150741,1.00e-04,243.0,7230
40,39,0.002363,1.00e-04,249.2,7230
41,40,0.479936,1.00e-04,255.4,7230
42,41,0.048160,1.00e-04,261.6,7230
43,42,0.268598,1.00e-04,267.8,7230
44,43,0.226037,1.00e-04,274.0,7230
45,44,0.023226,1.00e-04,280.2,7230
46,45,0.060609,1.00e-04,286.2,7230
47,46,0.020444,1.00e-04,292.4,7230
48,47,0.074358,1.00e-04,298.4,7230
49,48,0.006865,1.00e-04,304.6,7230
50,49,0.431441,1.00e-04,310.8,7230
51,50,0.028075,1.00e-04,317.0,7230
52,51,0.018797,1.00e-04,323.2,7230
53,52,0.068693,1.00e-04,329.4,7230
54,53,0.092502,1.00e-04,335.4,7230
55,54,0.252939,1.00e-04,341.6,7230
56,55,0.045719,1.00e-04,347.8,7230
57,56,0.283004,1.00e-04,354.0,7230
58,57,0.086302,1.00e-04,360.0,7230
59,58,0.021955,1.00e-04,366.2,7230
60,59,0.102809,1.00e-04,372.4,7230
61,60,0.125151,1.00e-04,378.4,7230
62,61,0.169339,1.00e-04,384.4,7230
63,62,0.008871,1.00e-04,390.4,7230
64,63,0.140686,1.00e-04,396.4,7230
65,64,0.008282,1.00e-04,402.5,7230
66,65,0.361467,1.00e-04,408.8,7230
67,66,0.274558,1.00e-04,415.0,7230
68,67,0.520539,1.00e-04,421.1,7230
69,68,0.052816,1.00e-04,427.4,7230
70,69,0.013613,1.00e-04,433.5,7230
71,70,0.439473,1.00e-04,439.7,7230
72,71,0.015945,1.00e-04,446.0,7230
73,72,0.182208,1.00e-04,452.3,7230
74,73,0.015413,1.00e-04,458.5,7230
75,74,0.011269,1.00e-04,464.7,7230
76,75,0.068031,1.00e-04,470.9,7230
77,76,0.233373,1.00e-04,476.9,7230
78,77,0.495556,1.00e-04,483.1,7230
79,78,0.471890,1.00e-04,489.2,7230
80,79,0.060323,1.00e-04,495.3,7230
81,80,0.019181,1.00e-04,501.6,7230
82,81,0.074814,1.00e-04,507.7,7230
83,82,0.332743,1.00e-04,513.9,7230
84,83,0.425883,1.00e-04,520.3,7230
85,84,0.022674,1.00e-04,526.5,7230
86,85,0.030737,1.00e-04,532.7,7230
87,86,0.050163,1.00e-04,538.9,7230
88,87,0.005624,1.00e-04,545.1,7230
89,88,0.298214,1.00e-04,551.3,7230
90,89,0.463899,1.00e-04,557.5,7230
91,90,0.466997,1.00e-04,563.7,7230
92,91,0.016801,1.00e-04,569.9,7230
93,92,0.080136,1.00e-04,576.1,7230
94,93,0.015341,1.00e-04,582.3,7230
95,94,0.162149,1.00e-04,588.5,7230
96,95,0.221344,1.00e-04,594.7,7230
97,96,0.015263,1.00e-04,600.9,7230
98,97,0.036720,1.00e-04,607.1,7230
99,98,0.105747,1.00e-04,613.3,7230
100,99,0.242084,1.00e-04,619.7,7230
101,100,0.052097,1.00e-04,637.1,7733
102,101,0.056037,1.00e-04,643.3,7733
103,102,0.230463,1.00e-04,649.5,7733
104,103,0.091992,1.00e-04,655.5,7733
105,104,0.007006,1.00e-04,661.7,7733
106,105,0.034416,1.00e-04,667.7,7733
107,106,0.643202,1.00e-04,673.9,7733
108,107,0.081665,1.00e-04,680.1,7733
109,108,0.023092,1.00e-04,686.2,7733
110,109,0.482712,1.00e-04,692.5,7733
111,110,0.225519,1.00e-04,698.7,7733
112,111,0.018925,1.00e-04,704.9,7733
113,112,0.029776,1.00e-04,711.1,7733
114,113,0.024804,1.00e-04,717.3,7733
115,114,0.294445,1.00e-04,723.4,7733
116,115,0.146967,1.00e-04,729.7,7733
117,116,0.027992,1.00e-04,735.9,7733
118,117,0.151400,1.00e-04,742.3,7733
119,118,0.040753,1.00e-04,748.3,7733
120,119,0.008842,1.00e-04,754.5,7733
121,120,0.370431,1.00e-04,760.7,7733
122,121,0.329021,1.00e-04,766.7,7733
123,122,0.365892,1.00e-04,772.9,7733
124,123,0.005907,1.00e-04,779.1,7733
125,124,0.019006,1.00e-04,785.2,7733
126,125,0.181957,1.00e-04,791.3,7733
127,126,0.002074,1.00e-04,797.5,7733
128,127,0.005839,1.00e-04,803.7,7733
129,128,0.101131,1.00e-04,809.8,7733
130,129,0.004948,1.00e-04,816.0,7733
131,130,0.020616,1.00e-04,822.4,7733
132,131,0.054200,1.00e-04,828.4,7733
133,132,0.016676,1.00e-04,834.6,7733
134,133,0.023871,1.00e-04,840.8,7733
135,134,0.014811,1.00e-04,847.0,7733
136,135,0.008201,1.00e-04,853.2,7733
137,136,0.408939,1.00e-04,859.4,7733
138,137,0.102540,1.00e-04,865.6,7733
139,138,0.146498,1.00e-04,871.8,7733
140,139,0.488583,1.00e-04,878.0,7733
141,140,0.141575,1.00e-04,884.2,7733
142,141,0.062509,1.00e-04,890.4,7733
143,142,0.011581,1.00e-04,896.6,7733
144,143,0.201047,1.00e-04,902.6,7733
145,144,0.003062,1.00e-04,909.0,7733
146,145,0.036128,1.00e-04,915.2,7733
147,146,0.076353,1.00e-04,921.4,7733
148,147,0.054589,1.00e-04,927.4,7733
149,148,0.047970,1.00e-04,933.6,7733
150,149,0.131626,1.00e-04,939.8,7733
151,150,0.237754,1.00e-04,946.0,7733
152,151,0.036426,1.00e-04,952.4,7733
153,152,0.663935,1.00e-04,958.6,7733
154,153,0.002826,1.00e-04,964.6,7733
155,154,0.051171,1.00e-04,970.8,7733
156,155,0.022863,1.00e-04,977.0,7733
157,156,0.010132,1.00e-04,983.2,7733
158,157,0.026105,1.00e-04,989.4,7733
159,158,0.045914,1.00e-04,995.6,7733
160,159,0.009306,1.00e-04,1002.0,7733
161,160,0.064086,1.00e-04,1008.0,7733
162,161,0.053260,1.00e-04,1014.2,7733
163,162,0.171868,1.00e-04,1020.3,7733
164,163,0.542640,1.00e-04,1026.4,7733
165,164,0.022390,1.00e-04,1032.6,7733
166,165,0.018587,1.00e-04,1038.8,7733
167,166,0.031721,1.00e-04,1044.9,7733
168,167,0.150795,1.00e-04,1051.2,7733
169,168,0.095685,1.00e-04,1057.4,7733
170,169,0.574472,1.00e-04,1063.6,7733
171,170,0.231350,1.00e-04,1069.8,7733
172,171,0.200710,1.00e-04,1075.9,7733
173,172,0.002481,1.00e-04,1082.1,7733
174,173,0.154300,1.00e-04,1088.1,7733
175,174,0.023306,1.00e-04,1094.4,7733
176,175,0.207993,1.00e-04,1100.6,7733
177,176,0.230922,1.00e-04,1106.7,7733
178,177,0.002724,1.00e-04,1113.2,7733
179,178,0.232572,1.00e-04,1120.0,7733
180,179,0.157025,1.00e-04,1126.8,7733
181,180,0.133812,1.00e-04,1133.1,7733
182,181,0.086263,1.00e-04,1139.5,7733
183,182,0.306451,1.00e-04,1145.9,7733
184,183,0.538652,1.00e-04,1152.3,7733
185,184,0.213816,1.00e-04,1158.7,7733
186,185,0.133931,1.00e-04,1165.1,7733
187,186,0.024861,1.00e-04,1171.3,7733
188,187,0.065509,1.00e-04,1177.7,7733
189,188,0.088759,1.00e-04,1184.1,7733
190,189,0.072526,1.00e-04,1190.5,7733
191,190,0.007872,1.00e-04,1196.9,7733
192,191,0.194334,1.00e-04,1203.3,7733
193,192,0.009503,1.00e-04,1209.7,7733
194,193,0.002944,1.00e-04,1216.1,7733
195,194,0.028503,1.00e-04,1222.5,7733
196,195,0.159799,1.00e-04,1228.9,7733
197,196,0.137766,1.00e-04,1235.3,7733
198,197,0.069473,1.00e-04,1241.7,7733
199,198,0.069329,1.00e-04,1248.1,7733
200,199,0.023610,1.00e-04,1254.7,7733
201,200,0.354448,1.00e-04,1269.7,7733
202,201,0.339229,1.00e-04,1275.9,7733
203,202,0.004366,1.00e-04,1282.5,7733
204,203,0.003874,1.00e-04,1288.9,7733
205,204,0.007466,1.00e-04,1295.3,7733
206,205,0.487248,1.00e-04,1301.7,7733
207,206,0.291872,1.00e-04,1308.3,7733
208,207,0.022272,1.00e-04,1314.7,7733
209,208,0.136009,1.00e-04,1321.1,7733
210,209,0.107450,1.00e-04,1327.5,7733
