step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.760609,1.00e-04,7.6,7214
2,0,0.727153,1.00e-04,7.8,7227
3,0,0.464460,1.00e-04,7.9,7230
4,0,0.226075,1.00e-04,8.1,7233
5,0,0.109402,1.00e-04,8.9,7233
6,1,0.064665,1.00e-04,14.4,7233
7,1,0.174518,1.00e-04,14.6,7233
8,1,0.221420,1.00e-04,14.8,7233
9,1,0.519378,1.00e-04,15.0,7233
10,1,0.094532,1.00e-04,15.7,7233
11,2,0.015935,1.00e-04,21.2,7233
12,2,0.278743,1.00e-04,21.4,7233
13,2,0.020284,1.00e-04,21.6,7233
14,2,0.004880,1.00e-04,21.7,7233
15,2,0.095469,1.00e-04,22.5,7233
16,3,0.553991,1.00e-04,27.8,7233
17,3,0.007369,1.00e-04,28.0,7233
18,3,0.015240,1.00e-04,28.2,7233
19,3,0.141813,1.00e-04,28.4,7233
20,3,0.057078,1.00e-04,29.1,7233
21,4,0.060590,1.00e-04,34.6,7233
22,4,0.246622,1.00e-04,34.8,7233
23,4,0.482512,1.00e-04,35.0,7233
24,4,0.005400,1.00e-04,35.1,7233
25,4,0.285869,1.00e-04,35.9,7233
26,5,0.005550,1.00e-04,41.6,7233
27,5,0.012972,1.00e-04,41.8,7233
28,5,0.048873,1.00e-04,42.0,7233
29,5,0.493949,1.00e-04,42.1,7233
30,5,0.292687,1.00e-04,42.9,7233
31,6,0.189853,1.00e-04,48.2,7233
32,6,0.158592,1.00e-04,48.4,7233
33,6,0.537484,1.00e-04,48.6,7233
34,6,0.175501,1.00e-04,48.8,7233
35,6,0.507419,1.00e-04,49.5,7233
36,7,0.235509,1.00e-04,55.0,7233
37,7,0.159718,1.00e-04,55.2,7233
38,7,0.003175,1.00e-04,55.3,7233
39,7,0.146590,1.00e-04,55.5,7233
40,7,0.002291,1.00e-04,56.3,7233
41,8,0.398876,1.00e-04,61.6,7233
42,8,0.047622,1.00e-04,61.8,7233
43,8,0.260596,1.00e-04,62.0,7233
44,8,0.190516,1.00e-04,62.2,7233
45,8,0.024126,1.00e-04,62.9,7233
46,9,0.057850,1.00e-04,68.4,7233
47,9,0.018640,1.00e-04,68.6,7233
48,9,0.073688,1.00e-04,68.8,7233
49,9,0.007434,1.00e-04,68.9,7233
50,9,0.430751,1.00e-04,69.7,7233
51,10,0.029761,1.00e-04,75.0,7233
52,10,0.018087,1.00e-04,75.2,7233
53,10,0.072293,1.00e-04,75.4,7233
54,10,0.087628,1.00e-04,75.6,7233
55,10,0.242975,1.00e-04,76.3,7233
56,11,0.040932,1.00e-04,81.8,7233
57,11,0.301711,1.00e-04,82.0,7233
58,11,0.084603,1.00e-04,82.1,7233
59,11,0.018956,1.00e-04,82.3,7233
60,11,0.099806,1.00e-04,83.1,7233
61,12,0.121222,1.00e-04,88.6,7233
62,12,0.175390,1.00e-04,88.8,7233
63,12,0.010990,1.00e-04,89.0,7233
64,12,0.125775,1.00e-04,89.1,7233
65,12,0.007196,1.00e-04,89.9,7233
66,13,0.299390,1.00e-04,95.4,7233
67,13,0.255935,1.00e-04,95.6,7233
68,13,0.537289,1.00e-04,95.7,7233
69,13,0.048046,1.00e-04,95.9,7233
70,13,0.012562,1.00e-04,96.7,7233
71,14,0.424122,1.00e-04,102.2,7233
72,14,0.017975,1.00e-04,102.4,7233
73,14,0.159806,1.00e-04,102.6,7233
74,14,0.015197,1.00e-04,102.7,7233
75,14,0.012860,1.00e-04,103.5,7233
76,15,0.069576,1.00e-04,109.0,7233
77,15,0.245491,1.00e-04,109.2,7233
78,15,0.422683,1.00e-04,109.3,7233
79,15,0.400200,1.00e-04,109.5,7233
80,15,0.058393,1.00e-04,110.3,7233
81,16,0.022064,1.00e-04,115.6,7233
82,16,0.067568,1.00e-04,115.8,7233
83,16,0.291001,1.00e-04,116.0,7233
84,16,0.455828,1.00e-04,116.1,7233
85,16,0.022752,1.00e-04,116.9,7233
86,17,0.030615,1.00e-04,122.4,7233
87,17,0.053485,1.00e-04,122.6,7233
88,17,0.005731,1.00e-04,122.8,7233
89,17,0.284569,1.00e-04,122.9,7233
90,17,0.471191,1.00e-04,123.7,7233
91,18,0.489784,1.00e-04,129.2,7233
92,18,0.018037,1.00e-04,129.4,7233
93,18,0.076350,1.00e-04,129.5,7233
94,18,0.015407,1.00e-04,129.7,7233
95,18,0.155200,1.00e-04,130.5,7233
96,19,0.215488,1.00e-04,135.8,7233
97,19,0.017073,1.00e-04,136.0,7233
98,19,0.036692,1.00e-04,136.1,7233
99,19,0.109589,1.00e-04,136.3,7233
100,19,0.206313,1.00e-04,137.1,7233
101,20,0.048105,1.00e-04,153.6,7733
102,20,0.062026,1.00e-04,153.8,7733
103,20,0.227431,1.00e-04,154.0,7733
104,20,0.084634,1.00e-04,154.2,7733
105,20,0.007962,1.00e-04,154.9,7733
106,21,0.033893,1.00e-04,160.4,7733
107,21,0.661851,1.00e-04,160.6,7733
108,21,0.081901,1.00e-04,160.7,7733
109,21,0.024596,1.00e-04,160.9,7733
110,21,0.417203,1.00e-04,161.6,7733
111,22,0.225814,1.00e-04,167.2,7733
112,22,0.021455,1.00e-04,167.4,7733
113,22,0.033151,1.00e-04,167.5,7733
114,22,0.024016,1.00e-04,167.7,7733
115,22,0.251622,1.00e-04,168.4,7733
116,23,0.151199,1.00e-04,173.8,7733
117,23,0.030624,1.00e-04,174.0,7733
118,23,0.150637,1.00e-04,174.1,7733
119,23,0.037293,1.00e-04,174.3,7733
120,23,0.008423,1.00e-04,175.1,7733
121,24,0.370735,1.00e-04,180.6,7733
122,24,0.299092,1.00e-04,180.8,7733
123,24,0.398712,1.00e-04,180.9,7733
124,24,0.007646,1.00e-04,181.1,7733
125,24,0.018669,1.00e-04,181.8,7733
126,25,0.179984,1.00e-04,187.2,7733
127,25,0.002245,1.00e-04,187.4,7733
128,25,0.007621,1.00e-04,187.5,7733
129,25,0.109469,1.00e-04,187.7,7733
130,25,0.004864,1.00e-04,188.5,7733
131,26,0.022378,1.00e-04,194.0,7733
132,26,0.053481,1.00e-04,194.2,7733
133,26,0.017938,1.00e-04,194.3,7733
134,26,0.025731,1.00e-04,194.5,7733
135,26,0.014722,1.00e-04,195.3,7733
136,27,0.010552,1.00e-04,200.8,7733
137,27,0.352369,1.00e-04,201.0,7733
138,27,0.098523,1.00e-04,201.1,7733
139,27,0.158909,1.00e-04,201.3,7733
140,27,0.487177,1.00e-04,202.1,7733
141,28,0.133009,1.00e-04,207.6,7733
142,28,0.066845,1.00e-04,207.7,7733
143,28,0.013324,1.00e-04,207.9,7733
144,28,0.207753,1.00e-04,208.1,7733
145,28,0.003247,1.00e-04,208.9,7733
146,29,0.040541,1.00e-04,214.2,7733
147,29,0.074090,1.00e-04,214.4,7733
148,29,0.054913,1.00e-04,214.5,7733
149,29,0.051517,1.00e-04,214.7,7733
150,29,0.145628,1.00e-04,215.4,7733
151,30,0.235473,1.00e-04,221.0,7733
152,30,0.039162,1.00e-04,221.1,7733
153,30,0.586487,1.00e-04,221.3,7733
154,30,0.002986,1.00e-04,221.5,7733
155,30,0.056839,1.00e-04,222.2,7733
156,31,0.023437,1.00e-04,227.8,7733
157,31,0.013509,1.00e-04,227.9,7733
158,31,0.028835,1.00e-04,228.1,7733
159,31,0.046075,1.00e-04,228.3,7733
160,31,0.011428,1.00e-04,229.0,7733
161,32,0.066106,1.00e-04,234.4,7733
162,32,0.059465,1.00e-04,234.5,7733
163,32,0.171613,1.00e-04,234.7,7733
164,32,0.564049,1.00e-04,234.9,7733
165,32,0.022380,1.00e-04,235.6,7733
166,33,0.020933,1.00e-04,241.1,7733
167,33,0.033306,1.00e-04,241.3,7733
168,33,0.138309,1.00e-04,241.5,7733
169,33,0.103976,1.00e-04,241.7,7733
170,33,0.603032,1.00e-04,242.4,7733
171,34,0.253903,1.00e-04,248.0,7733
172,34,0.191541,1.00e-04,248.1,7733
173,34,0.003430,1.00e-04,248.3,7733
174,34,0.161359,1.00e-04,248.5,7733
175,34,0.023159,1.00e-04,249.2,7733
176,35,0.229477,1.00e-04,254.6,7733
177,35,0.206647,1.00e-04,254.7,7733
178,35,0.002802,1.00e-04,254.9,7733
179,35,0.249961,1.00e-04,255.1,7733
180,35,0.162244,1.00e-04,255.9,7733
181,36,0.141620,1.00e-04,261.4,7733
182,36,0.096937,1.00e-04,261.5,7733
183,36,0.278964,1.00e-04,261.7,7733
184,36,0.538860,1.00e-04,261.9,7733
185,36,0.200337,1.00e-04,262.6,7733
186,37,0.151303,1.00e-04,268.2,7733
187,37,0.027306,1.00e-04,268.3,7733
188,37,0.066943,1.00e-04,268.5,7733
189,37,0.081921,1.00e-04,268.7,7733
190,37,0.076771,1.00e-04,269.5,7733
191,38,0.008569,1.00e-04,275.0,7733
192,38,0.217642,1.00e-04,275.1,7733
193,38,0.010194,1.00e-04,275.3,7733
194,38,0.003794,1.00e-04,275.5,7733
195,38,0.030534,1.00e-04,276.2,7733
196,39,0.168203,1.00e-04,281.7,7733
197,39,0.130997,1.00e-04,281.9,7733
198,39,0.071520,1.00e-04,282.1,7733
199,39,0.074776,1.00e-04,282.3,7733
200,39,0.027496,1.00e-04,283.0,7733
201,40,0.313032,1.00e-04,297.2,7733
202,40,0.351828,1.00e-04,297.4,7733
203,40,0.005252,1.00e-04,297.5,7733
204,40,0.005218,1.00e-04,297.7,7733
205,40,0.008330,1.00e-04,298.5,7733
206,41,0.495305,1.00e-04,303.9,7733
207,41,0.267551,1.00e-04,304.1,7733
208,41,0.023790,1.00e-04,304.3,7733
209,41,0.140102,1.00e-04,304.5,7733
210,41,0.123080,1.00e-04,305.2,7733
211,42,0.107261,1.00e-04,310.7,7733
212,42,0.272974,1.00e-04,310.9,7733
213,42,0.016298,1.00e-04,311.1,7733
214,42,0.007782,1.00e-04,311.3,7733
215,42,0.011411,1.00e-04,312.0,7733
216,43,0.009073,1.00e-04,317.4,7733
217,43,0.360388,1.00e-04,317.6,7733
218,43,0.623065,1.00e-04,317.7,7733
219,43,0.237472,1.00e-04,317.9,7733
220,43,0.033591,1.00e-04,318.7,7733
221,44,0.038974,1.00e-04,324.1,7733
222,44,0.004652,1.00e-04,324.3,7733
223,44,0.017570,1.00e-04,324.5,7733
224,44,0.014662,1.00e-04,324.7,7733
225,44,0.084443,1.00e-04,325.4,7733
226,45,0.022598,1.00e-04,330.9,7733
227,45,0.145801,1.00e-04,331.1,7733
