step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.653080,1.00e-04,7.6,7214
2,0,0.785121,1.00e-04,7.8,7227
3,0,0.398881,1.00e-04,8.5,7230
4,1,0.225533,1.00e-04,14.1,7230
5,1,0.102925,1.00e-04,14.2,7233
6,1,0.068189,1.00e-04,15.0,7233
7,2,0.169147,1.00e-04,20.6,7233
8,2,0.196221,1.00e-04,20.8,7233
9,2,0.434276,1.00e-04,21.6,7233
10,3,0.094750,1.00e-04,27.2,7233
11,3,0.016595,1.00e-04,27.4,7233
12,3,0.248711,1.00e-04,28.2,7233
13,4,0.020107,1.00e-04,33.7,7233
14,4,0.004142,1.00e-04,33.9,7233
15,4,0.090283,1.00e-04,34.6,7233
16,5,0.545932,1.00e-04,40.0,7233
17,5,0.007642,1.00e-04,40.2,7233
18,5,0.013435,1.00e-04,41.0,7233
19,6,0.140959,1.00e-04,46.6,7233
20,6,0.056508,1.00e-04,46.8,7233
21,6,0.056823,1.00e-04,47.5,7233
22,7,0.280058,1.00e-04,53.1,7233
23,7,0.481359,1.00e-04,53.2,7233
24,7,0.004945,1.00e-04,54.0,7233
25,8,0.272887,1.00e-04,59.4,7233
26,8,0.004962,1.00e-04,59.6,7233
27,8,0.012885,1.00e-04,60.4,7233
28,9,0.054151,1.00e-04,65.8,7233
29,9,0.445988,1.00e-04,66.0,7233
30,9,0.240472,1.00e-04,66.8,7233
31,10,0.174159,1.00e-04,72.4,7233
32,10,0.142679,1.00e-04,72.6,7233
33,10,0.505712,1.00e-04,73.4,7233
34,11,0.177745,1.00e-04,79.0,7233
35,11,0.576184,1.00e-04,79.2,7233
36,11,0.209344,1.00e-04,79.9,7233
37,12,0.158153,1.00e-04,85.4,7233
38,12,0.004047,1.00e-04,85.6,7233
39,12,0.132148,1.00e-04,86.3,7233
40,13,0.002121,1.00e-04,91.8,7233
41,13,0.396391,1.00e-04,92.0,7233
42,13,0.048391,1.00e-04,92.7,7233
43,14,0.235123,1.00e-04,98.2,7233
44,14,0.206536,1.00e-04,98.4,7233
45,14,0.021618,1.00e-04,99.1,7233
46,15,0.055582,1.00e-04,104.6,7233
47,15,0.022109,1.00e-04,104.8,7233
48,15,0.065356,1.00e-04,105.5,7233
49,16,0.008523,1.00e-04,111.0,7233
50,16,0.357184,1.00e-04,111.2,7233
51,16,0.026914,1.00e-04,111.9,7233
52,17,0.017854,1.00e-04,117.4,7233
53,17,0.067196,1.00e-04,117.6,7233
54,17,0.085511,1.00e-04,118.3,7233
55,18,0.210986,1.00e-04,123.8,7233
56,18,0.047519,1.00e-04,124.0,7233
57,18,0.243814,1.00e-04,124.7,7233
58,19,0.078623,1.00e-04,130.2,7233
59,19,0.018254,1.00e-04,130.4,7233
60,19,0.103328,1.00e-04,131.2,7233
61,20,0.108130,1.00e-04,136.8,7233
62,20,0.145316,1.00e-04,137.0,7233
63,20,0.011048,1.00e-04,137.7,7233
64,21,0.141405,1.00e-04,143.4,7233
65,21,0.006862,1.00e-04,143.6,7233
66,21,0.290083,1.00e-04,144.3,7233
67,22,0.266600,1.00e-04,149.8,7233
