step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.760609,1.00e-04,7.5,7214
2,0,0.727153,1.00e-04,7.7,7227
3,0,0.398851,1.00e-04,7.9,7230
4,0,0.254278,1.00e-04,8.7,7233
5,1,0.099669,1.00e-04,14.2,7233
6,1,0.068019,1.00e-04,14.3,7233
7,1,0.202677,1.00e-04,14.5,7233
8,1,0.179400,1.00e-04,15.3,7233
9,2,0.434845,1.00e-04,20.8,7233
10,2,0.098448,1.00e-04,20.9,7233
11,2,0.019206,1.00e-04,21.1,7233
12,2,0.249127,1.00e-04,21.9,7233
13,3,0.021779,1.00e-04,27.4,7233
14,3,0.004151,1.00e-04,27.5,7233
15,3,0.097873,1.00e-04,27.7,7233
16,3,0.547597,1.00e-04,28.4,7233
17,4,0.009235,1.00e-04,33.8,7233
18,4,0.012392,1.00e-04,34.0,7233
19,4,0.129513,1.00e-04,34.1,7233
20,4,0.068313,1.00e-04,34.9,7233
21,5,0.058691,1.00e-04,40.4,7233
22,5,0.248104,1.00e-04,40.5,7233
23,5,0.575764,1.00e-04,40.7,7233
24,5,0.005577,1.00e-04,41.4,7233
25,6,0.240168,1.00e-04,47.0,7233
26,6,0.005839,1.00e-04,47.2,7233
27,6,0.014834,1.00e-04,47.3,7233
28,6,0.050912,1.00e-04,48.1,7233
29,7,0.522550,1.00e-04,53.5,7233
30,7,0.267411,1.00e-04,53.7,7233
31,7,0.169155,1.00e-04,53.9,7233
32,7,0.147996,1.00e-04,54.7,7233
33,8,0.434562,1.00e-04,60.2,7233
34,8,0.192213,1.00e-04,60.3,7233
35,8,0.611238,1.00e-04,60.5,7233
36,8,0.216272,1.00e-04,61.2,7233
37,9,0.158018,1.00e-04,66.7,7233
38,9,0.004043,1.00e-04,66.9,7233
39,9,0.159049,1.00e-04,67.1,7233
40,9,0.002160,1.00e-04,67.9,7233
41,10,0.405975,1.00e-04,73.4,7233
42,10,0.049372,1.00e-04,73.6,7233
43,10,0.229491,1.00e-04,73.7,7233
44,10,0.234467,1.00e-04,74.5,7233
45,11,0.023700,1.00e-04,80.0,7233
46,11,0.056886,1.00e-04,80.1,7233
47,11,0.020880,1.00e-04,80.3,7233
48,11,0.074883,1.00e-04,81.0,7233
49,12,0.007111,1.00e-04,86.5,7233
50,12,0.444704,1.00e-04,86.7,7233
51,12,0.025952,1.00e-04,86.9,7233
52,12,0.020060,1.00e-04,87.6,7233
53,13,0.067035,1.00e-04,93.1,7233
54,13,0.091185,1.00e-04,93.3,7233
55,13,0.213022,1.00e-04,93.5,7233
56,13,0.040761,1.00e-04,94.3,7233
57,14,0.244398,1.00e-04,99.7,7233
58,14,0.087176,1.00e-04,99.9,7233
59,14,0.019742,1.00e-04,100.1,7233
60,14,0.103032,1.00e-04,100.9,7233
61,15,0.110204,1.00e-04,106.4,7233
62,15,0.145591,1.00e-04,106.5,7233
63,15,0.009977,1.00e-04,106.7,7233
64,15,0.148851,1.00e-04,107.5,7233
65,16,0.008203,1.00e-04,112.9,7233
66,16,0.301310,1.00e-04,113.1,7233
67,16,0.227450,1.00e-04,113.3,7233
68,16,0.524097,1.00e-04,114.0,7233
69,17,0.056283,1.00e-04,119.5,7233
70,17,0.012979,1.00e-04,119.7,7233
71,17,0.371076,1.00e-04,119.9,7233
72,17,0.018953,1.00e-04,120.6,7233
73,18,0.180816,1.00e-04,126.1,7233
74,18,0.016963,1.00e-04,126.3,7233
75,18,0.011037,1.00e-04,126.5,7233
76,18,0.061106,1.00e-04,127.2,7233
77,19,0.245342,1.00e-04,132.5,7233
78,19,0.422734,1.00e-04,132.7,7233
79,19,0.441694,1.00e-04,132.9,7233
80,19,0.058458,1.00e-04,133.7,7233
81,20,0.019596,1.00e-04,139.3,7233
82,20,0.068220,1.00e-04,139.5,7233
83,20,0.353846,1.00e-04,139.7,7233
84,20,0.417429,1.00e-04,140.4,7233
85,21,0.021496,1.00e-04,145.9,7233
86,21,0.033429,1.00e-04,146.1,7233
87,21,0.051235,1.00e-04,146.3,7233
88,21,0.005437,1.00e-04,147.0,7233
89,22,0.248822,1.00e-04,152.5,7233
90,22,0.405276,1.00e-04,152.7,7233
91,22,0.467321,1.00e-04,152.9,7233
92,22,0.017806,1.00e-04,153.6,7233
93,23,0.089145,1.00e-04,159.1,7233
94,23,0.014112,1.00e-04,159.3,7233
95,23,0.138929,1.00e-04,159.5,7233
96,23,0.233339,1.00e-04,160.2,7233
97,24,0.018481,1.00e-04,165.7,7233
98,24,0.035571,1.00e-04,165.9,7233
99,24,0.108637,1.00e-04,166.1,7233
100,24,0.204302,1.00e-04,166.8,7233
101,25,0.049042,1.00e-04,183.1,7733
102,25,0.062170,1.00e-04,183.3,7733
103,25,0.202999,1.00e-04,183.5,7733
104,25,0.090946,1.00e-04,184.3,7733
105,26,0.008100,1.00e-04,189.7,7733
106,26,0.038347,1.00e-04,189.9,7733
107,26,0.576804,1.00e-04,190.1,7733
108,26,0.074665,1.00e-04,190.8,7733
109,27,0.025965,1.00e-04,196.3,7733
110,27,0.413482,1.00e-04,196.5,7733
111,27,0.243306,1.00e-04,196.7,7733
112,27,0.019673,1.00e-04,197.4,7733
113,28,0.033446,1.00e-04,202.9,7733
114,28,0.026135,1.00e-04,203.1,7733
115,28,0.256764,1.00e-04,203.3,7733
116,28,0.131152,1.00e-04,204.0,7733
117,29,0.028693,1.00e-04,209.5,7733
118,29,0.151858,1.00e-04,209.7,7733
119,29,0.037148,1.00e-04,209.9,7733
120,29,0.009730,1.00e-04,210.6,7733
121,30,0.369677,1.00e-04,216.1,7733
122,30,0.350855,1.00e-04,216.3,7733
123,30,0.316975,1.00e-04,216.5,7733
124,30,0.006709,1.00e-04,217.2,7733
125,31,0.019635,1.00e-04,222.7,7733
126,31,0.197360,1.00e-04,222.9,7733
127,31,0.002980,1.00e-04,223.0,7733
128,31,0.006492,1.00e-04,223.8,7733
129,32,0.098962,1.00e-04,229.3,7733
130,32,0.005799,1.00e-04,229.5,7733
131,32,0.023539,1.00e-04,229.7,7733
132,32,0.052309,1.00e-04,230.4,7733
133,33,0.020528,1.00e-04,235.9,7733
134,33,0.023103,1.00e-04,236.1,7733
135,33,0.014701,1.00e-04,236.3,7733
136,33,0.009214,1.00e-04,237.0,7733
137,34,0.351056,1.00e-04,242.5,7733
138,34,0.095088,1.00e-04,242.7,7733
139,34,0.155583,1.00e-04,242.8,7733
140,34,0.516545,1.00e-04,243.6,7733
141,35,0.144891,1.00e-04,249.1,7733
142,35,0.062809,1.00e-04,249.3,7733
143,35,0.013443,1.00e-04,249.5,7733
144,35,0.178212,1.00e-04,250.2,7733
145,36,0.003802,1.00e-04,255.9,7733
146,36,0.036493,1.00e-04,256.1,7733
147,36,0.083291,1.00e-04,256.2,7733
148,36,0.060830,1.00e-04,257.0,7733
149,37,0.051339,1.00e-04,262.5,7733
150,37,0.143679,1.00e-04,262.7,7733
151,37,0.222372,1.00e-04,262.8,7733
152,37,0.036127,1.00e-04,263.6,7733
153,38,0.690515,1.00e-04,269.1,7733
154,38,0.002982,1.00e-04,269.3,7733
155,38,0.048877,1.00e-04,269.5,7733
156,38,0.025794,1.00e-04,270.2,7733
157,39,0.012588,1.00e-04,275.7,7733
158,39,0.028809,1.00e-04,275.9,7733
159,39,0.045298,1.00e-04,276.0,7733
160,39,0.010457,1.00e-04,276.8,7733
161,40,0.059903,1.00e-04,282.3,7733
162,40,0.058905,1.00e-04,282.5,7733
163,40,0.185063,1.00e-04,282.6,7733
164,40,0.484465,1.00e-04,283.4,7733
165,41,0.026244,1.00e-04,288.9,7733
166,41,0.021600,1.00e-04,289.1,7733
167,41,0.033204,1.00e-04,289.2,7733
168,41,0.140389,1.00e-04,290.0,7733
169,42,0.091626,1.00e-04,295.5,7733
170,42,0.568440,1.00e-04,295.7,7733
171,42,0.254924,1.00e-04,295.8,7733
172,42,0.180691,1.00e-04,296.6,7733
173,43,0.002803,1.00e-04,302.1,7733
174,43,0.169254,1.00e-04,302.3,7733
175,43,0.024039,1.00e-04,302.4,7733
176,43,0.210015,1.00e-04,303.2,7733
177,44,0.237015,1.00e-04,308.7,7733
178,44,0.003069,1.00e-04,308.9,7733
179,44,0.226345,1.00e-04,309.0,7733
180,44,0.174718,1.00e-04,309.8,7733
181,45,0.129652,1.00e-04,315.3,7733
182,45,0.096670,1.00e-04,315.5,7733
183,45,0.305766,1.00e-04,315.6,7733
184,45,0.480971,1.00e-04,316.4,7733
185,46,0.216741,1.00e-04,321.9,7733
186,46,0.126054,1.00e-04,322.1,7733
187,46,0.023265,1.00e-04,322.2,7733
188,46,0.076162,1.00e-04,323.0,7733
189,47,0.085963,1.00e-04,328.5,7733
190,47,0.073094,1.00e-04,328.7,7733
191,47,0.009642,1.00e-04,328.8,7733
192,47,0.217207,1.00e-04,329.6,7733
193,48,0.009792,1.00e-04,335.1,7733
194,48,0.003943,1.00e-04,335.3,7733
195,48,0.032852,1.00e-04,335.5,7733
196,48,0.143756,1.00e-04,336.2,7733
197,49,0.144851,1.00e-04,341.7,7733
198,49,0.079461,1.00e-04,341.8,7733
199,49,0.071593,1.00e-04,342.0,7733
200,49,0.023959,1.00e-04,342.8,7733
201,50,0.311406,1.00e-04,357.1,7733
202,50,0.375567,1.00e-04,357.3,7733
203,50,0.004116,1.00e-04,357.4,7733
204,50,0.005324,1.00e-04,358.2,7733
205,51,0.008460,1.00e-04,363.7,7733
206,51,0.426458,1.00e-04,363.8,7733
207,51,0.266196,1.00e-04,364.0,7733
208,51,0.025247,1.00e-04,364.8,7733
209,52,0.139910,1.00e-04,370.3,7733
210,52,0.103725,1.00e-04,370.5,7733
211,52,0.104768,1.00e-04,370.6,7733
212,52,0.289628,1.00e-04,371.4,7733
213,53,0.016168,1.00e-04,376.9,7733
214,53,0.006491,1.00e-04,377.1,7733
215,53,0.011627,1.00e-04,377.2,7733
216,53,0.009992,1.00e-04,378.0,7733
217,54,0.318588,1.00e-04,383.5,7733
218,54,0.540451,1.00e-04,383.6,7733
219,54,0.267116,1.00e-04,383.8,7733
220,54,0.033073,1.00e-04,384.6,7733
221,55,0.043483,1.00e-04,390.1,7733
222,55,0.004847,1.00e-04,390.2,7733
223,55,0.015624,1.00e-04,390.4,7733
224,55,0.014015,1.00e-04,391.2,7733
225,56,0.083794,1.00e-04,396.7,7733
226,56,0.019454,1.00e-04,396.9,7733
227,56,0.132579,1.00e-04,397.0,7733
228,56,0.027470,1.00e-04,397.8,7733
229,57,0.112221,1.00e-04,403.3,7733
230,57,0.300733,1.00e-04,403.4,7733
231,57,0.427914,1.00e-04,403.6,7733
232,57,0.003920,1.00e-04,404.4,7733
233,58,0.009397,1.00e-04,409.9,7733
234,58,0.333870,1.00e-04,410.0,7733
235,58,0.418981,1.00e-04,410.2,7733
236,58,0.021776,1.00e-04,410.9,7733
237,59,0.335069,1.00e-04,416.5,7733
238,59,0.398284,1.00e-04,416.6,7733
239,59,0.253111,1.00e-04,416.8,7733
240,59,0.251125,1.00e-04,417.6,7733
241,60,0.321563,1.00e-04,423.0,7733
242,60,0.012332,1.00e-04,423.2,7733
243,60,0.190349,1.00e-04,423.4,7733
244,60,0.067269,1.00e-04,424.1,7733
245,61,0.002828,1.00e-04,429.6,7733
246,61,0.017472,1.00e-04,429.8,7733
247,61,0.675301,1.00e-04,430.0,7733
248,61,0.102882,1.00e-04,430.8,7733
249,62,0.069787,1.00e-04,436.3,7733
250,62,0.110021,1.00e-04,436.4,7733
251,62,0.003798,1.00e-04,436.6,7733
252,62,0.163717,1.00e-04,437.3,7733
253,63,0.172469,1.00e-04,443.1,7733
254,63,0.012152,1.00e-04,443.2,7733
255,63,0.002943,1.00e-04,443.4,7733
256,63,0.613509,1.00e-04,444.2,7733
257,64,0.238333,1.00e-04,449.6,7733
258,64,0.039405,1.00e-04,449.8,7733
259,64,0.345306,1.00e-04,450.0,7733
260,64,0.194572,1.00e-04,450.8,7733
261,65,0.058643,1.00e-04,456.2,7733
262,65,0.127342,1.00e-04,456.4,7733
263,65,0.037282,1.00e-04,456.6,7733
264,65,0.289783,1.00e-04,457.3,7733
265,66,0.537157,1.00e-04,462.8,7733
266,66,0.166180,1.00e-04,463.0,7733
267,66,0.075600,1.00e-04,463.2,7733
268,66,0.009517,1.00e-04,463.9,7733
269,67,0.012368,1.00e-04,469.4,7733
270,67,0.013825,1.00e-04,469.6,7733
271,67,0.594982,1.00e-04,469.8,7733
272,67,0.241808,1.00e-04,470.5,7733
273,68,0.048775,1.00e-04,476.0,7733
274,68,0.096694,1.00e-04,476.2,7733
275,68,0.025795,1.00e-04,476.4,7733
276,68,0.002337,1.00e-04,477.1,7733
277,69,0.379146,1.00e-04,482.6,7733
278,69,0.047566,1.00e-04,482.8,7733
279,69,0.003819,1.00e-04,483.0,7733
280,69,0.013407,1.00e-04,483.7,7733
281,70,0.133455,1.00e-04,489.2,7733
282,70,0.003153,1.00e-04,489.4,7733
283,70,0.074527,1.00e-04,489.6,7733
284,70,0.090172,1.00e-04,490.4,7733
285,71,0.249937,1.00e-04,495.8,7733
286,71,0.003592,1.00e-04,496.0,7733
287,71,0.006100,1.00e-04,496.2,7733
288,71,0.010102,1.00e-04,496.9,7733
289,72,0.112671,1.00e-04,502.4,7733
290,72,0.167056,1.00e-04,502.6,7733
291,72,0.003297,1.00e-04,502.8,7733
292,72,0.221804,1.00e-04,503.5,7733
293,73,0.047601,1.00e-04,509.0,7733
294,73,0.245603,1.00e-04,509.2,7733
295,73,0.020660,1.00e-04,509.4,7733
296,73,0.002393,1.00e-04,510.1,7733
297,74,0.299784,1.00e-04,515.6,7733
298,74,0.048794,1.00e-04,515.8,7733
299,74,0.002426,1.00e-04,516.0,7733
300,74,0.065483,1.00e-04,516.7,7733
301,75,0.411273,1.00e-04,531.0,7733
302,75,0.270223,1.00e-04,531.2,7733
303,75,0.050824,1.00e-04,531.4,7733
304,75,0.002097,1.00e-04,532.1,7733
305,76,0.009787,1.00e-04,537.8,7733
306,76,0.853047,1.00e-04,538.0,7733
307,76,0.003809,1.00e-04,538.2,7733
308,76,0.257404,1.00e-04,538.9,7733
309,77,0.012280,1.00e-04,544.6,7733
310,77,0.063330,1.00e-04,544.8,7733
311,77,0.038979,1.00e-04,544.9,7733
312,77,0.009109,1.00e-04,545.7,7733
313,78,0.002288,1.00e-04,551.2,7733
314,78,0.176996,1.00e-04,551.4,7733
315,78,0.002328,1.00e-04,551.5,7733
316,78,0.330614,1.00e-04,552.3,7733
317,79,0.002832,1.00e-04,557.8,7733
318,79,0.297506,1.00e-04,558.0,7733
319,79,0.536826,1.00e-04,558.2,7733
320,79,0.025290,1.00e-04,558.9,7733
321,80,0.279761,1.00e-04,564.4,7733
322,80,0.058980,1.00e-04,564.6,7733
323,80,0.013267,1.00e-04,564.8,7733
324,80,0.023371,1.00e-04,565.6,7733
325,81,0.361239,1.00e-04,571.0,7733
326,81,0.249727,1.00e-04,571.2,7733
327,81,0.136160,1.00e-04,571.4,7733
328,81,0.259223,1.00e-04,572.1,7733
329,82,0.054185,1.00e-04,577.6,7733
330,82,0.024965,1.00e-04,577.8,7733
331,82,0.018138,1.00e-04,577.9,7733
332,82,0.211372,1.00e-04,578.7,7733
333,83,0.193410,1.00e-04,584.2,7733
334,83,0.068478,1.00e-04,584.4,7733
335,83,0.030069,1.00e-04,584.6,7733
336,83,0.027184,1.00e-04,585.3,7733
337,84,0.028158,1.00e-04,590.8,7733
338,84,0.255060,1.00e-04,591.0,7733
339,84,0.013707,1.00e-04,591.1,7733
340,84,0.103644,1.00e-04,591.9,7733
