step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.660807,1.00e-04,7.5,7214
2,0,0.785121,1.00e-04,7.7,7227
3,0,0.464112,1.00e-04,7.8,7230
4,0,0.277806,1.00e-04,8.0,7233
5,0,0.106951,1.00e-04,8.8,7233
6,1,0.071264,1.00e-04,14.3,7233
7,1,0.185401,1.00e-04,14.5,7233
8,1,0.186568,1.00e-04,14.7,7233
9,1,0.519428,1.00e-04,14.9,7233
10,1,0.088192,1.00e-04,15.6,7233
11,2,0.018844,1.00e-04,21.2,7233
12,2,0.279047,1.00e-04,21.3,7233
13,2,0.023282,1.00e-04,21.5,7233
14,2,0.004142,1.00e-04,21.7,7233
15,2,0.085748,1.00e-04,22.5,7233
16,3,0.490212,1.00e-04,28.0,7233
17,3,0.008570,1.00e-04,28.1,7233
18,3,0.012390,1.00e-04,28.3,7233
19,3,0.142320,1.00e-04,28.5,7233
20,3,0.066390,1.00e-04,29.3,7233
21,4,0.057284,1.00e-04,34.9,7233
22,4,0.279654,1.00e-04,35.1,7233
23,4,0.569197,1.00e-04,35.3,7233
24,4,0.004796,1.00e-04,35.5,7233
25,4,0.285187,1.00e-04,36.2,7233
26,5,0.005550,1.00e-04,41.9,7233
27,5,0.015206,1.00e-04,42.1,7233
28,5,0.055080,1.00e-04,42.3,7233
29,5,0.425129,1.00e-04,42.4,7233
30,5,0.242825,1.00e-04,43.2,7233
31,6,0.189340,1.00e-04,48.9,7233
32,6,0.144177,1.00e-04,49.1,7233
33,6,0.445111,1.00e-04,49.3,7233
34,6,0.211794,1.00e-04,49.4,7233
35,6,0.579610,1.00e-04,50.2,7233
36,7,0.213400,1.00e-04,55.7,7233
37,7,0.173007,1.00e-04,55.9,7233
38,7,0.003946,1.00e-04,56.1,7233
39,7,0.147081,1.00e-04,56.2,7233
40,7,0.002166,1.00e-04,57.0,7233
41,8,0.493177,1.00e-04,62.7,7233
42,8,0.047757,1.00e-04,62.9,7233
43,8,0.232154,1.00e-04,63.1,7233
44,8,0.208558,1.00e-04,63.3,7233
45,8,0.021007,1.00e-04,64.1,7233
46,9,0.063720,1.00e-04,69.7,7233
47,9,0.020956,1.00e-04,69.9,7233
48,9,0.068123,1.00e-04,70.1,7233
49,9,0.007510,1.00e-04,70.3,7233
50,9,0.430896,1.00e-04,71.0,7233
51,10,0.027474,1.00e-04,76.5,7233
52,10,0.019630,1.00e-04,76.7,7233
53,10,0.062883,1.00e-04,76.9,7233
54,10,0.091236,1.00e-04,77.1,7233
55,10,0.243708,1.00e-04,77.8,7233
56,11,0.047482,1.00e-04,83.5,7233
57,11,0.247260,1.00e-04,83.7,7233
58,11,0.078615,1.00e-04,83.9,7233
59,11,0.022372,1.00e-04,84.1,7233
60,11,0.099482,1.00e-04,84.8,7233
61,12,0.121649,1.00e-04,90.5,7233
62,12,0.153820,1.00e-04,90.7,7233
63,12,0.009608,1.00e-04,90.9,7233
64,12,0.151078,1.00e-04,91.1,7233
65,12,0.008888,1.00e-04,91.8,7233
66,13,0.339097,1.00e-04,97.5,7233
67,13,0.230648,1.00e-04,97.7,7233
68,13,0.453117,1.00e-04,97.9,7233
69,13,0.055966,1.00e-04,98.0,7233
70,13,0.012634,1.00e-04,98.8,7233
71,14,0.367550,1.00e-04,104.5,7233
72,14,0.016026,1.00e-04,104.7,7233
73,14,0.179508,1.00e-04,104.9,7233
74,14,0.016535,1.00e-04,105.0,7233
75,14,0.012637,1.00e-04,105.8,7233
76,15,0.061816,1.00e-04,111.5,7233
77,15,0.200600,1.00e-04,111.7,7233
78,15,0.473272,1.00e-04,111.9,7233
79,15,0.479798,1.00e-04,112.1,7233
80,15,0.058783,1.00e-04,112.9,7233
81,16,0.019552,1.00e-04,118.5,7233
82,16,0.074855,1.00e-04,118.7,7233
83,16,0.355820,1.00e-04,118.9,7233
84,16,0.375484,1.00e-04,119.0,7233
85,16,0.022714,1.00e-04,119.8,7233
86,17,0.033270,1.00e-04,125.3,7233
87,17,0.048733,1.00e-04,125.5,7233
88,17,0.006127,1.00e-04,125.7,7233
89,17,0.257387,1.00e-04,125.8,7233
90,17,0.469790,1.00e-04,126.6,7233
91,18,0.418476,1.00e-04,132.1,7233
92,18,0.017799,1.00e-04,132.3,7233
93,18,0.084507,1.00e-04,132.5,7233
94,18,0.017556,1.00e-04,132.6,7233
95,18,0.140753,1.00e-04,133.4,7233
96,19,0.215127,1.00e-04,138.9,7233
97,19,0.014998,1.00e-04,139.1,7233
98,19,0.039886,1.00e-04,139.3,7233
99,19,0.098990,1.00e-04,139.4,7233
100,19,0.232194,1.00e-04,140.2,7233
101,20,0.056500,1.00e-04,157.1,7733
102,20,0.054828,1.00e-04,157.3,7733
103,20,0.227645,1.00e-04,157.5,7733
104,20,0.096135,1.00e-04,157.6,7733
105,20,0.006973,1.00e-04,158.4,7733
106,21,0.038215,1.00e-04,164.1,7733
107,21,0.660190,1.00e-04,164.3,7733
108,21,0.075182,1.00e-04,164.5,7733
109,21,0.022623,1.00e-04,164.7,7733
110,21,0.516297,1.00e-04,165.4,7733
111,22,0.225101,1.00e-04,171.1,7733
112,22,0.018946,1.00e-04,171.3,7733
113,22,0.030855,1.00e-04,171.4,7733
114,22,0.026956,1.00e-04,171.6,7733
115,22,0.272082,1.00e-04,172.4,7733
116,23,0.150846,1.00e-04,178.1,7733
117,23,0.026695,1.00e-04,178.3,7733
118,23,0.137689,1.00e-04,178.5,7733
119,23,0.044512,1.00e-04,178.6,7733
120,23,0.011002,1.00e-04,179.4,7733
121,24,0.370808,1.00e-04,185.1,7733
122,24,0.351772,1.00e-04,185.3,7733
123,24,0.326496,1.00e-04,185.5,7733
124,24,0.007034,1.00e-04,185.6,7733
125,24,0.021914,1.00e-04,186.4,7733
126,25,0.178739,1.00e-04,191.9,7733
127,25,0.002335,1.00e-04,192.1,7733
128,25,0.006358,1.00e-04,192.2,7733
129,25,0.100775,1.00e-04,192.4,7733
130,25,0.005774,1.00e-04,193.2,7733
131,26,0.022030,1.00e-04,198.7,7733
132,26,0.054195,1.00e-04,198.9,7733
133,26,0.016316,1.00e-04,199.1,7733
134,26,0.023003,1.00e-04,199.2,7733
135,26,0.016173,1.00e-04,200.0,7733
136,27,0.010706,1.00e-04,205.7,7733
137,27,0.404275,1.00e-04,205.9,7733
138,27,0.111275,1.00e-04,206.0,7733
139,27,0.134291,1.00e-04,206.2,7733
140,27,0.425012,1.00e-04,207.0,7733
141,28,0.152267,1.00e-04,212.7,7733
142,28,0.067314,1.00e-04,212.9,7733
143,28,0.012664,1.00e-04,213.0,7733
144,28,0.180479,1.00e-04,213.2,7733
145,28,0.003786,1.00e-04,214.0,7733
146,29,0.037171,1.00e-04,219.5,7733
147,29,0.080798,1.00e-04,219.7,7733
148,29,0.060578,1.00e-04,219.9,7733
149,29,0.050923,1.00e-04,220.0,7733
150,29,0.124864,1.00e-04,220.8,7733
151,30,0.215516,1.00e-04,226.3,7733
152,30,0.039529,1.00e-04,226.5,7733
153,30,0.656513,1.00e-04,226.7,7733
154,30,0.003095,1.00e-04,226.8,7733
155,30,0.051111,1.00e-04,227.6,7733
156,31,0.026779,1.00e-04,233.3,7733
157,31,0.013462,1.00e-04,233.5,7733
158,31,0.025586,1.00e-04,233.7,7733
159,31,0.052493,1.00e-04,233.8,7733
160,31,0.010859,1.00e-04,234.6,7733
161,32,0.071579,1.00e-04,240.3,7733
162,32,0.052415,1.00e-04,240.4,7733
163,32,0.171639,1.00e-04,240.6,7733
164,32,0.485180,1.00e-04,240.8,7733
165,32,0.026437,1.00e-04,241.6,7733
166,33,0.021434,1.00e-04,247.1,7733
167,33,0.034710,1.00e-04,247.3,7733
168,33,0.154240,1.00e-04,247.4,7733
169,33,0.091045,1.00e-04,247.6,7733
170,33,0.508829,1.00e-04,248.4,7733
171,34,0.213061,1.00e-04,253.9,7733
172,34,0.222016,1.00e-04,254.1,7733
173,34,0.002817,1.00e-04,254.2,7733
174,34,0.160664,1.00e-04,254.4,7733
175,34,0.025204,1.00e-04,255.2,7733
176,35,0.198493,1.00e-04,260.9,7733
177,35,0.238079,1.00e-04,261.0,7733
178,35,0.002979,1.00e-04,261.2,7733
179,35,0.249645,1.00e-04,261.4,7733
180,35,0.152059,1.00e-04,262.2,7733
181,36,0.141364,1.00e-04,268.1,7733
182,36,0.080266,1.00e-04,268.3,7733
183,36,0.341498,1.00e-04,268.4,7733
184,36,0.483736,1.00e-04,268.6,7733
185,36,0.217532,1.00e-04,269.4,7733
186,37,0.128022,1.00e-04,274.9,7733
187,37,0.023300,1.00e-04,275.1,7733
188,37,0.076608,1.00e-04,275.2,7733
189,37,0.092094,1.00e-04,275.4,7733
190,37,0.075916,1.00e-04,276.2,7733
191,38,0.008197,1.00e-04,281.9,7733
192,38,0.181401,1.00e-04,282.0,7733
193,38,0.010943,1.00e-04,282.2,7733
194,38,0.004015,1.00e-04,282.4,7733
195,38,0.030986,1.00e-04,283.1,7733
196,39,0.145755,1.00e-04,288.9,7733
197,39,0.146779,1.00e-04,289.0,7733
198,39,0.079834,1.00e-04,289.2,7733
199,39,0.075297,1.00e-04,289.4,7733
200,39,0.025813,1.00e-04,290.1,7733
201,40,0.358578,1.00e-04,304.7,7733
202,40,0.351653,1.00e-04,304.8,7733
203,40,0.004117,1.00e-04,305.0,7733
204,40,0.004836,1.00e-04,305.2,7733
205,40,0.008823,1.00e-04,306.0,7733
206,41,0.495543,1.00e-04,311.6,7733
207,41,0.338347,1.00e-04,311.8,7733
208,41,0.024686,1.00e-04,312.0,7733
209,41,0.124737,1.00e-04,312.2,7733
210,41,0.103258,1.00e-04,312.9,7733
211,42,0.117059,1.00e-04,318.6,7733
212,42,0.272802,1.00e-04,318.8,7733
213,42,0.015052,1.00e-04,319.0,7733
214,42,0.006424,1.00e-04,319.2,7733
215,42,0.014036,1.00e-04,320.0,7733
216,43,0.009495,1.00e-04,325.6,7733
217,43,0.290593,1.00e-04,325.8,7733
218,43,0.622161,1.00e-04,326.0,7733
219,43,0.215227,1.00e-04,326.1,7733
220,43,0.036754,1.00e-04,326.9,7733
221,44,0.042912,1.00e-04,332.5,7733
222,44,0.004570,1.00e-04,332.6,7733
223,44,0.015088,1.00e-04,332.8,7733
224,44,0.013110,1.00e-04,333.0,7733
225,44,0.094361,1.00e-04,333.7,7733
226,45,0.019384,1.00e-04,339.3,7733
227,45,0.129459,1.00e-04,339.4,7733
228,45,0.026062,1.00e-04,339.6,7733
229,45,0.124937,1.00e-04,339.8,7733
230,45,0.271655,1.00e-04,340.6,7733
231,46,0.439582,1.00e-04,346.0,7733
232,46,0.004360,1.00e-04,346.2,7733
233,46,0.011475,1.00e-04,346.4,7733
234,46,0.274414,1.00e-04,346.6,7733
235,46,0.452146,1.00e-04,347.4,7733
236,47,0.022693,1.00e-04,353.0,7733
237,47,0.284620,1.00e-04,353.2,7733
238,47,0.456386,1.00e-04,353.4,7733
239,47,0.260624,1.00e-04,353.6,7733
240,47,0.247072,1.00e-04,354.3,7733
241,48,0.330239,1.00e-04,360.0,7733
242,48,0.011742,1.00e-04,360.2,7733
243,48,0.194057,1.00e-04,360.4,7733
244,48,0.066485,1.00e-04,360.5,7733
245,48,0.002605,1.00e-04,361.3,7733
246,49,0.014668,1.00e-04,366.8,7733
247,49,0.755022,1.00e-04,367.0,7733
248,49,0.094904,1.00e-04,367.2,7733
249,49,0.077569,1.00e-04,367.4,7733
250,49,0.113157,1.00e-04,368.1,7733
251,50,0.004693,1.00e-04,373.6,7733
252,50,0.166402,1.00e-04,373.8,7733
253,50,0.188570,1.00e-04,374.0,7733
254,50,0.008808,1.00e-04,374.2,7733
255,50,0.003327,1.00e-04,374.9,7733
256,51,0.625139,1.00e-04,380.4,7733
257,51,0.215756,1.00e-04,380.6,7733
258,51,0.040472,1.00e-04,380.8,7733
259,51,0.299278,1.00e-04,381.0,7733
260,51,0.220729,1.00e-04,381.8,7733
261,52,0.057780,1.00e-04,387.4,7733
262,52,0.137560,1.00e-04,387.6,7733
263,52,0.034861,1.00e-04,387.8,7733
264,52,0.321351,1.00e-04,387.9,7733
265,52,0.619213,1.00e-04,388.7,7733
266,53,0.167454,1.00e-04,394.2,7733
267,53,0.062785,1.00e-04,394.4,7733
268,53,0.009284,1.00e-04,394.6,7733
269,53,0.010972,1.00e-04,394.8,7733
270,53,0.013582,1.00e-04,395.5,7733
271,54,0.650712,1.00e-04,401.0,7733
272,54,0.243844,1.00e-04,401.2,7733
273,54,0.053619,1.00e-04,401.4,7733
274,54,0.090416,1.00e-04,401.6,7733
275,54,0.025759,1.00e-04,402.3,7733
276,55,0.002236,1.00e-04,408.0,7733
277,55,0.363179,1.00e-04,408.2,7733
278,55,0.055694,1.00e-04,408.4,7733
279,55,0.003645,1.00e-04,408.6,7733
280,55,0.012407,1.00e-04,409.4,7733
281,56,0.160426,1.00e-04,415.0,7733
282,56,0.003319,1.00e-04,415.2,7733
283,56,0.081204,1.00e-04,415.4,7733
284,56,0.083252,1.00e-04,415.5,7733
285,56,0.260311,1.00e-04,416.3,7733
286,57,0.003399,1.00e-04,422.0,7733
287,57,0.007437,1.00e-04,422.2,7733
288,57,0.009797,1.00e-04,422.4,7733
289,57,0.126511,1.00e-04,422.5,7733
290,57,0.143152,1.00e-04,423.3,7733
291,58,0.003150,1.00e-04,428.8,7733
292,58,0.224571,1.00e-04,429.0,7733
293,58,0.043708,1.00e-04,429.2,7733
294,58,0.277599,1.00e-04,429.3,7733
295,58,0.022274,1.00e-04,430.1,7733
296,59,0.002967,1.00e-04,435.8,7733
297,59,0.299169,1.00e-04,436.0,7733
298,59,0.046799,1.00e-04,436.2,7733
299,59,0.002515,1.00e-04,436.3,7733
300,59,0.071108,1.00e-04,437.1,7733
301,60,0.416424,1.00e-04,451.6,7733
302,60,0.310470,1.00e-04,451.8,7733
303,60,0.048364,1.00e-04,452.0,7733
304,60,0.002763,1.00e-04,452.2,7733
305,60,0.008616,1.00e-04,453.0,7733
306,61,0.786942,1.00e-04,458.4,7733
307,61,0.003720,1.00e-04,458.6,7733
308,61,0.291019,1.00e-04,458.8,7733
309,61,0.012660,1.00e-04,459.0,7733
310,61,0.056080,1.00e-04,459.7,7733
311,62,0.039621,1.00e-04,465.4,7733
312,62,0.010423,1.00e-04,465.6,7733
313,62,0.002361,1.00e-04,465.8,7733
314,62,0.195648,1.00e-04,466.0,7733
315,62,0.001945,1.00e-04,466.8,7733
316,63,0.319030,1.00e-04,472.4,7733
317,63,0.002740,1.00e-04,472.6,7733
318,63,0.348397,1.00e-04,472.8,7733
319,63,0.544792,1.00e-04,472.9,7733
320,63,0.024792,1.00e-04,473.7,7733
321,64,0.272871,1.00e-04,479.4,7733
322,64,0.052201,1.00e-04,479.6,7733
323,64,0.013100,1.00e-04,479.7,7733
324,64,0.026502,1.00e-04,479.9,7733
325,64,0.414846,1.00e-04,480.7,7733
326,65,0.208169,1.00e-04,486.2,7733
327,65,0.158371,1.00e-04,486.4,7733
328,65,0.234088,1.00e-04,486.6,7733
329,65,0.055816,1.00e-04,486.7,7733
330,65,0.027571,1.00e-04,487.5,7733
331,66,0.022952,1.00e-04,493.0,7733
332,66,0.213833,1.00e-04,493.2,7733
