experiment,status,exit_code,start_time,end_time,duration_min,output_dir,image_list,steps,lr,lora_path,notes
Random_D-High,ok,0,2026-03-18T00:23:07.130545,2026-03-18T00:37:49.505342,14.71,kmc_lora\results\dreambooth_single\Random_D-High,kmc_lora\artifacts\dreambooth_single\splits\D-High.txt,600,0.0001,,
KMC_D-High_P1,ok,0,2026-03-18T00:37:49.507342,2026-03-18T00:50:51.823912,13.04,kmc_lora\results\dreambooth_single\KMC_D-High\phase1,kmc_lora\artifacts\dreambooth_single\phases\phase1.txt,240,5e-05,,
KMC_D-High_P2,ok,0,2026-03-18T00:50:51.824912,2026-03-18T01:12:37.963627,21.77,kmc_lora\results\dreambooth_single\KMC_D-High\phase2,kmc_lora\artifacts\dreambooth_single\phases\phase2.txt,210,0.0001,kmc_lora\results\dreambooth_single\KMC_D-High\phase1\final,
KMC_D-High_P3,ok,0,2026-03-18T01:12:37.965627,2026-03-18T01:20:52.510119,8.24,kmc_lora\results\dreambooth_single\KMC_D-High\phase3,kmc_lora\artifacts\dreambooth_single\phases\phase3.txt,150,2e-05,kmc_lora\results\dreambooth_single\KMC_D-High\phase2\final,
Random_D-Medium,ok,0,2026-03-18T01:20:52.510119,2026-03-18T01:38:34.620232,17.70,kmc_lora\results\dreambooth_single\Random_D-Medium,kmc_lora\artifacts\dreambooth_single\splits\D-Medium.txt,600,0.0001,,
KMC_D-Medium_P1,ok,0,2026-03-18T01:38:34.620232,2026-03-18T01:51:38.361195,13.06,kmc_lora\results\dreambooth_single\KMC_D-Medium\phase1,kmc_lora\artifacts\dreambooth_single\phases\phase1.txt,240,5e-05,,
KMC_D-Medium_P2,ok,0,2026-03-18T01:51:38.363194,2026-03-18T02:13:32.816355,21.91,kmc_lora\results\dreambooth_single\KMC_D-Medium\phase2,kmc_lora\artifacts\dreambooth_single\phases\phase2.txt,210,0.0001,kmc_lora\results\dreambooth_single\KMC_D-Medium\phase1\final,
KMC_D-Medium_P3,FAIL,3221226505,2026-03-18T02:13:32.816355,2026-03-18T02:13:55.273770,0.37,kmc_lora\results\dreambooth_single\KMC_D-Medium\phase3,kmc_lora\artifacts\dreambooth_single\phases\phase3.txt,150,2e-05,kmc_lora\results\dreambooth_single\KMC_D-Medium\phase2\final,
Random_D-Low,ok,0,2026-03-18T02:13:55.273770,2026-03-18T02:36:38.360807,22.72,kmc_lora\results\dreambooth_single\Random_D-Low,kmc_lora\artifacts\dreambooth_single\splits\D-Low.txt,600,0.0001,,
KMC_D-Low_P1,ok,0,2026-03-18T02:36:38.361806,2026-03-18T02:49:52.486191,13.24,kmc_lora\results\dreambooth_single\KMC_D-Low\phase1,kmc_lora\artifacts\dreambooth_single\phases\phase1.txt,240,5e-05,,
