experiment,status,exit_code,start_time,end_time,duration_min,output_dir,image_list,steps,lr,lora_path,notes
Random_D-High,ok,0,2026-03-17T10:41:15.856126,2026-03-17T10:52:11.100180,10.92,kmc_lora\results\Random_D-High,kmc_lora\artifacts\splits\D-High.txt,1200,0.0001,,
Random_D-High,ok,0,2026-03-17T10:43:49.657180,2026-03-17T10:56:09.646811,12.33,kmc_lora\results\Random_D-High,kmc_lora\artifacts\splits\D-High.txt,1200,0.0001,,
KMC_D-High_P1,ok,0,2026-03-17T10:52:11.100180,2026-03-17T10:57:40.280631,5.49,kmc_lora\results\KMC_D-High\phase1,kmc_lora\artifacts\phases\phase1.txt,480,5e-05,,
KMC_D-High_P1,FAIL,1,2026-03-17T10:56:09.647811,2026-03-17T11:01:33.648543,5.40,kmc_lora\results\KMC_D-High\phase1,kmc_lora\artifacts\phases\phase1.txt,480,5e-05,,
KMC_D-High_P2,ok,0,2026-03-17T10:57:40.281631,2026-03-17T11:02:38.067316,4.96,kmc_lora\results\KMC_D-High\phase2,kmc_lora\artifacts\phases\phase2.txt,420,0.0001,kmc_lora\results\KMC_D-High\phase1\final,
KMC_D-High_P2,FAIL,1,2026-03-17T11:01:33.649543,2026-03-17T11:06:03.125678,4.49,kmc_lora\results\KMC_D-High\phase2,kmc_lora\artifacts\phases\phase2.txt,420,0.0001,kmc_lora\results\KMC_D-High\phase1\final,
KMC_D-High_P3,ok,0,2026-03-17T11:02:38.068316,2026-03-17T11:06:11.814365,3.56,kmc_lora\results\KMC_D-High\phase3,kmc_lora\artifacts\phases\phase3.txt,300,2e-05,kmc_lora\results\KMC_D-High\phase2\final,
KMC_D-High_P3,ok,0,2026-03-17T11:06:03.126678,2026-03-17T11:13:40.883870,7.63,kmc_lora\results\KMC_D-High\phase3,kmc_lora\artifacts\phases\phase3.txt,300,2e-05,kmc_lora\results\KMC_D-High\phase2\final,
Random_D-Medium,ok,0,2026-03-17T11:06:11.814872,2026-03-17T11:32:44.134286,26.54,kmc_lora\results\Random_D-Medium,kmc_lora\artifacts\splits\D-Medium.txt,1200,0.0001,,
Random_D-Medium,ok,0,2026-03-17T11:13:40.883870,2026-03-17T11:38:57.598920,25.28,kmc_lora\results\Random_D-Medium,kmc_lora\artifacts\splits\D-Medium.txt,1200,0.0001,,
KMC_D-Medium_P1,ok,0,2026-03-17T11:32:44.137285,2026-03-17T11:40:54.625823,8.17,kmc_lora\results\KMC_D-Medium\phase1,kmc_lora\artifacts\phases\phase1.txt,480,5e-05,,
KMC_D-Medium_P1,ok,0,2026-03-17T11:38:57.599919,2026-03-17T11:47:03.822567,8.10,kmc_lora\results\KMC_D-Medium\phase1,kmc_lora\artifacts\phases\phase1.txt,480,5e-05,,
KMC_D-Medium_P2,ok,0,2026-03-17T11:40:54.625823,2026-03-17T11:48:21.302651,7.44,kmc_lora\results\KMC_D-Medium\phase2,kmc_lora\artifacts\phases\phase2.txt,420,0.0001,kmc_lora\results\KMC_D-Medium\phase1\final,
