step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.197902,1.00e-04,3.1,8463
2,0,0.049524,1.00e-04,3.6,8482
3,0,0.114954,1.00e-04,4.0,8482
4,0,0.043906,1.00e-04,4.6,8482
5,0,0.207817,1.00e-04,5.1,8495
6,0,0.276438,1.00e-04,5.5,8508
7,0,0.072512,1.00e-04,5.9,8508
8,0,0.034700,1.00e-04,6.4,8508
9,0,0.050601,1.00e-04,6.9,8508
10,0,0.144394,1.00e-04,7.6,8508
11,0,0.085871,1.00e-04,8.3,8508
12,0,0.105843,1.00e-04,8.9,8508
13,0,0.014912,1.00e-04,9.3,8508
14,1,0.093167,1.00e-04,10.3,8508
15,1,0.123773,1.00e-04,10.9,8508
16,1,0.028940,1.00e-04,11.6,8508
17,1,0.009052,1.00e-04,12.3,8508
18,1,0.042101,1.00e-04,13.0,8508
19,1,0.233514,1.00e-04,13.7,8508
20,1,0.047985,1.00e-04,14.5,8508
21,1,0.008048,1.00e-04,15.3,8508
22,1,0.096178,1.00e-04,15.9,8508
23,1,0.070160,1.00e-04,16.7,8508
24,1,0.013850,1.00e-04,17.4,8508
25,1,0.029996,1.00e-04,18.0,8508
26,1,0.015826,1.00e-04,18.4,8508
27,2,0.024853,1.00e-04,19.2,8508
28,2,0.004349,1.00e-04,19.8,8508
29,2,0.084730,1.00e-04,20.6,8508
30,2,0.354508,1.00e-04,21.3,8508
31,2,0.170417,1.00e-04,22.0,8508
32,2,0.009921,1.00e-04,22.8,8508
33,2,0.091968,1.00e-04,23.5,8508
34,2,0.046782,1.00e-04,24.2,8508
35,2,0.051058,1.00e-04,24.9,8508
36,2,0.016862,1.00e-04,25.7,8508
37,2,0.063686,1.00e-04,26.4,8508
38,2,0.018755,1.00e-04,27.1,8508
39,2,0.005124,1.00e-04,27.5,8508
40,3,0.159102,1.00e-04,28.2,8508
41,3,0.102174,1.00e-04,28.8,8508
42,3,0.014746,1.00e-04,29.6,8508
43,3,0.144817,1.00e-04,30.4,8508
44,3,0.005258,1.00e-04,31.1,8508
45,3,0.026565,1.00e-04,31.8,8508
46,3,0.065614,1.00e-04,32.6,8508
47,3,0.021925,1.00e-04,33.2,8508
48,3,0.332838,1.00e-04,33.9,8508
49,3,0.099294,1.00e-04,34.7,8508
