step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.272717,2.00e-05,3.2,8463
2,0,0.033331,2.00e-05,3.7,8482
3,0,0.109498,2.00e-05,4.0,8482
4,0,0.039834,2.00e-05,4.4,8482
5,0,0.047644,2.00e-05,4.9,8482
6,1,0.020376,2.00e-05,5.4,8495
7,1,0.019982,2.00e-05,5.8,8508
8,1,0.044014,2.00e-05,6.3,8508
9,1,0.032213,2.00e-05,6.9,8508
10,1,0.009593,2.00e-05,7.2,8508
11,2,0.051660,2.00e-05,7.9,8508
12,2,0.045030,2.00e-05,8.7,8508
13,2,0.098888,2.00e-05,9.5,8508
14,2,0.016760,2.00e-05,10.2,8508
15,2,0.186495,2.00e-05,10.6,8508
16,3,0.044220,2.00e-05,11.4,8508
17,3,0.023158,2.00e-05,12.2,8508
18,3,0.100418,2.00e-05,12.9,8508
19,3,0.038884,2.00e-05,13.6,8508
20,3,0.004092,2.00e-05,13.9,8508
21,4,0.010655,2.00e-05,14.7,8508
22,4,0.030691,2.00e-05,15.4,8508
23,4,0.037880,2.00e-05,16.2,8508
24,4,0.025651,2.00e-05,16.9,8508
25,4,0.063131,2.00e-05,17.3,8508
26,5,0.023446,2.00e-05,18.1,8508
27,5,0.005751,2.00e-05,18.8,8508
28,5,0.206732,2.00e-05,19.6,8508
29,5,0.067752,2.00e-05,20.3,8508
30,5,0.154426,2.00e-05,20.7,8508
31,6,0.050059,2.00e-05,21.5,8508
32,6,0.039852,2.00e-05,22.2,8508
33,6,0.076464,2.00e-05,23.0,8508
34,6,0.038948,2.00e-05,23.7,8508
35,6,0.024455,2.00e-05,24.1,8508
36,7,0.050969,2.00e-05,24.9,8508
37,7,0.099527,2.00e-05,25.6,8508
38,7,0.061258,2.00e-05,26.4,8508
39,7,0.016926,2.00e-05,27.1,8508
40,7,0.018344,2.00e-05,27.5,8508
41,8,0.049923,2.00e-05,28.4,8508
42,8,0.075566,2.00e-05,29.1,8508
43,8,0.044248,2.00e-05,29.8,8508
44,8,0.063387,2.00e-05,30.4,8508
45,8,0.107333,2.00e-05,30.8,8508
46,9,0.085843,2.00e-05,31.7,8508
47,9,0.084505,2.00e-05,32.4,8508
48,9,0.076352,2.00e-05,33.1,8508
49,9,0.021562,2.00e-05,33.8,8508
50,9,0.054453,2.00e-05,34.2,8508
51,10,0.077412,2.00e-05,35.0,8508
52,10,0.022137,2.00e-05,35.8,8508
53,10,0.085274,2.00e-05,36.5,8508
54,10,0.015411,2.00e-05,37.1,8508
55,10,0.034791,2.00e-05,37.5,8508
56,11,0.194023,2.00e-05,38.4,8508
57,11,0.186052,2.00e-05,39.1,8508
58,11,0.012792,2.00e-05,39.7,8508
59,11,0.035413,2.00e-05,40.5,8508
60,11,0.025306,2.00e-05,40.8,8508
61,12,0.225198,2.00e-05,41.7,8508
62,12,0.137108,2.00e-05,42.5,8508
63,12,0.112153,2.00e-05,43.1,8508
64,12,0.042244,2.00e-05,43.8,8508
65,12,0.033523,2.00e-05,44.2,8508
66,13,0.076331,2.00e-05,45.0,8508
67,13,0.147168,2.00e-05,45.7,8508
68,13,0.011910,2.00e-05,46.5,8508
69,13,0.106509,2.00e-05,47.2,8508
70,13,0.131616,2.00e-05,47.5,8508
71,14,0.041471,2.00e-05,48.4,8508
72,14,0.126671,2.00e-05,49.2,8508
73,14,0.019425,2.00e-05,49.9,8508
74,14,0.008744,2.00e-05,50.6,8508
75,14,0.147955,2.00e-05,50.9,8508
