step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.267647,1.00e-04,3.0,8463
2,0,0.013319,1.00e-04,3.4,8482
3,0,0.104877,1.00e-04,3.8,8482
4,0,0.035608,1.00e-04,4.4,8482
5,0,0.263856,1.00e-04,4.8,8495
6,0,0.090583,1.00e-04,5.2,8508
7,0,0.258148,1.00e-04,5.7,8508
8,0,0.081594,1.00e-04,6.1,8508
9,0,0.027528,1.00e-04,6.6,8508
10,0,0.154352,1.00e-04,7.1,8508
11,0,0.059255,1.00e-04,7.8,8508
12,0,0.328102,1.00e-04,8.6,8508
13,0,0.035431,1.00e-04,9.3,8508
14,0,0.036024,1.00e-04,10.0,8508
15,0,0.024890,1.00e-04,10.7,8508
16,0,0.029569,1.00e-04,11.5,8508
17,0,0.055576,1.00e-04,12.6,8508
18,0,0.100839,1.00e-04,13.3,8508
19,0,0.018384,1.00e-04,14.0,8508
20,0,0.063609,1.00e-04,14.8,8508
21,0,0.005038,1.00e-04,15.5,8508
22,0,0.036998,1.00e-04,16.3,8508
23,0,0.064946,1.00e-04,17.0,8508
24,0,0.124436,1.00e-04,17.7,8508
25,0,0.090553,1.00e-04,18.4,8508
26,0,0.125221,1.00e-04,19.1,8508
27,0,0.026166,1.00e-04,19.8,8508
28,0,0.032255,1.00e-04,20.7,8508
29,0,0.251396,1.00e-04,21.5,8508
30,0,0.100611,1.00e-04,22.2,8508
31,0,0.029658,1.00e-04,22.9,8508
32,0,0.062288,1.00e-04,23.6,8508
33,0,0.038612,1.00e-04,24.2,8508
34,0,0.022874,1.00e-04,25.0,8508
35,0,0.083380,1.00e-04,25.6,8508
36,0,0.005641,1.00e-04,26.4,8508
37,0,0.003156,1.00e-04,27.1,8508
38,0,0.031793,1.00e-04,27.8,8508
39,0,0.090257,1.00e-04,28.5,8508
40,0,0.075745,1.00e-04,29.2,8508
41,0,0.079991,1.00e-04,29.9,8508
42,0,0.045480,1.00e-04,30.5,8508
43,0,0.113204,1.00e-04,31.3,8508
44,0,0.154597,1.00e-04,31.9,8508
45,0,0.019450,1.00e-04,32.6,8508
46,0,0.193954,1.00e-04,33.3,8508
47,0,0.068946,1.00e-04,34.0,8508
48,0,0.093539,1.00e-04,34.7,8508
49,0,0.077422,1.00e-04,35.6,8508
50,0,0.015283,1.00e-04,36.2,8508
51,0,0.014826,1.00e-04,36.9,8508
52,0,0.074969,1.00e-04,37.6,8508
53,0,0.003015,1.00e-04,38.3,8508
54,0,0.076653,1.00e-04,39.0,8508
55,0,0.096341,1.00e-04,39.7,8508
56,0,0.036166,1.00e-04,40.3,8508
57,0,0.080093,1.00e-04,41.0,8508
