step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.267647,1.00e-04,3.1,8463
2,0,0.013319,1.00e-04,3.5,8482
3,0,0.104877,1.00e-04,3.9,8482
4,0,0.035608,1.00e-04,4.5,8482
5,0,0.263857,1.00e-04,4.8,8495
6,0,0.090582,1.00e-04,5.3,8508
7,0,0.258146,1.00e-04,5.7,8508
8,0,0.081590,1.00e-04,6.2,8508
9,0,0.027529,1.00e-04,6.6,8508
10,0,0.154349,1.00e-04,7.3,8508
11,0,0.059257,1.00e-04,8.0,8508
12,0,0.328110,1.00e-04,8.7,8508
13,0,0.035426,1.00e-04,9.5,8508
14,0,0.036024,1.00e-04,10.1,8508
15,0,0.024889,1.00e-04,10.9,8508
16,0,0.029569,1.00e-04,11.6,8508
17,0,0.055580,1.00e-04,12.7,8508
18,0,0.100839,1.00e-04,13.5,8508
19,0,0.018385,1.00e-04,14.1,8508
20,0,0.063611,1.00e-04,15.0,8508
21,0,0.005037,1.00e-04,15.7,8508
22,0,0.036999,1.00e-04,16.5,8508
23,0,0.064946,1.00e-04,17.2,8508
24,0,0.124435,1.00e-04,17.9,8508
25,0,0.090553,1.00e-04,18.5,8508
26,0,0.125220,1.00e-04,19.3,8508
27,0,0.026166,1.00e-04,19.9,8508
28,0,0.032255,1.00e-04,20.9,8508
29,0,0.251394,1.00e-04,21.6,8508
30,0,0.100610,1.00e-04,22.4,8508
31,0,0.029659,1.00e-04,23.1,8508
32,0,0.062293,1.00e-04,23.8,8508
33,0,0.038609,1.00e-04,24.4,8508
34,0,0.022875,1.00e-04,25.2,8508
35,0,0.083381,1.00e-04,25.9,8508
36,0,0.005640,1.00e-04,26.6,8508
37,0,0.003156,1.00e-04,27.4,8508
38,0,0.031793,1.00e-04,28.0,8508
39,0,0.090253,1.00e-04,28.6,8508
40,0,0.075743,1.00e-04,29.3,8508
41,0,0.079991,1.00e-04,30.0,8508
42,0,0.045483,1.00e-04,30.6,8508
43,0,0.113203,1.00e-04,31.2,8508
44,0,0.154590,1.00e-04,31.8,8508
45,0,0.019450,1.00e-04,32.5,8508
46,0,0.193956,1.00e-04,33.2,8508
47,0,0.068949,1.00e-04,33.9,8508
48,0,0.093539,1.00e-04,34.6,8508
49,0,0.077420,1.00e-04,35.4,8508
50,0,0.015283,1.00e-04,36.1,8508
51,0,0.014826,1.00e-04,36.7,8508
52,0,0.074969,1.00e-04,37.5,8508
53,0,0.003015,1.00e-04,38.1,8508
54,0,0.076655,1.00e-04,38.8,8508
55,0,0.096340,1.00e-04,39.5,8508
56,0,0.036164,1.00e-04,40.2,8508
57,0,0.080093,1.00e-04,40.9,8508
58,0,0.113352,1.00e-04,41.6,8508
59,0,0.058613,1.00e-04,42.4,8508
60,0,0.067297,1.00e-04,43.1,8508
61,0,0.008212,1.00e-04,43.7,8508
62,0,0.016423,1.00e-04,44.4,8508
63,0,0.071756,1.00e-04,45.0,8508
64,0,0.167617,1.00e-04,45.9,8508
65,0,0.041711,1.00e-04,46.5,8508
66,0,0.065983,1.00e-04,47.3,8508
67,0,0.230009,1.00e-04,48.1,8508
68,0,0.093144,1.00e-04,48.9,8508
69,0,0.220094,1.00e-04,49.5,8508
70,0,0.077762,1.00e-04,50.3,8508
71,0,0.057796,1.00e-04,50.9,8508
72,0,0.035415,1.00e-04,51.6,8508
73,0,0.093242,1.00e-04,52.2,8508
74,0,0.023023,1.00e-04,52.9,8508
75,0,0.045548,1.00e-04,53.7,8508
76,0,0.013042,1.00e-04,54.3,8508
77,0,0.033396,1.00e-04,55.1,8508
78,0,0.035348,1.00e-04,55.7,8508
79,0,0.010792,1.00e-04,56.4,8508
80,0,0.004015,1.00e-04,57.1,8508
81,0,0.053483,1.00e-04,57.7,8508
82,0,0.102170,1.00e-04,58.4,8508
83,0,0.015168,1.00e-04,59.1,8508
84,0,0.155814,1.00e-04,59.8,8508
85,0,0.084685,1.00e-04,60.5,8508
86,0,0.004081,1.00e-04,61.3,8508
87,0,0.018633,1.00e-04,62.0,8508
88,0,0.128526,1.00e-04,62.6,8508
89,0,0.031345,1.00e-04,63.3,8508
90,0,0.059125,1.00e-04,64.1,8508
91,0,0.094806,1.00e-04,64.8,8508
92,0,0.045619,1.00e-04,65.6,8508
93,0,0.048629,1.00e-04,66.3,8508
94,0,0.032751,1.00e-04,67.1,8508
95,0,0.018101,1.00e-04,67.9,8508
96,0,0.079043,1.00e-04,68.7,8508
97,0,0.005721,1.00e-04,69.4,8508
98,0,0.072756,1.00e-04,70.1,8508
99,0,0.069904,1.00e-04,70.8,8508
100,0,0.084742,1.00e-04,71.5,8508
101,0,0.173921,1.00e-04,72.1,8508
102,0,0.016978,1.00e-04,72.9,8508
103,0,0.216667,1.00e-04,73.6,8508
104,0,0.162831,1.00e-04,74.4,8508
105,0,0.106277,1.00e-04,75.0,8508
106,0,0.007229,1.00e-04,75.7,8508
107,0,0.033709,1.00e-04,76.3,8508
108,0,0.202514,1.00e-04,77.0,8508
109,0,0.084899,1.00e-04,77.7,8508
110,0,0.066277,1.00e-04,78.5,8508
111,0,0.109253,1.00e-04,79.1,8508
112,0,0.023433,1.00e-04,79.8,8508
113,0,0.024098,1.00e-04,80.5,8508
114,0,0.031758,1.00e-04,81.2,8508
115,0,0.005537,1.00e-04,82.0,8508
116,0,0.014209,1.00e-04,82.7,8508
