step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.220175,2.00e-05,3.3,8463
2,0,0.061021,2.00e-05,4.2,8482
3,0,0.114848,2.00e-05,4.8,8482
4,0,0.071881,2.00e-05,5.2,8482
5,0,0.171978,2.00e-05,5.6,8495
6,0,0.154020,2.00e-05,6.1,8508
7,0,0.141364,2.00e-05,6.6,8508
8,0,0.070307,2.00e-05,7.2,8508
9,0,0.004844,2.00e-05,7.8,8508
10,0,0.343254,2.00e-05,8.5,8508
11,0,0.105240,2.00e-05,9.3,8508
12,0,0.129141,2.00e-05,10.0,8508
13,0,0.073735,2.00e-05,10.8,8508
14,0,0.031608,2.00e-05,11.6,8508
15,0,0.019619,2.00e-05,12.4,8508
16,0,0.103686,2.00e-05,13.1,8508
17,0,0.059048,2.00e-05,13.8,8508
18,0,0.055195,2.00e-05,14.4,8508
19,0,0.047228,2.00e-05,15.1,8508
20,0,0.036651,2.00e-05,15.8,8508
21,0,0.003887,2.00e-05,16.6,8508
22,0,0.030209,2.00e-05,17.3,8508
23,0,0.031151,2.00e-05,18.0,8508
24,0,0.092459,2.00e-05,18.7,8508
25,0,0.038304,2.00e-05,19.5,8508
26,0,0.194612,2.00e-05,20.1,8508
27,0,0.018610,2.00e-05,20.8,8508
28,0,0.025561,2.00e-05,21.5,8508
29,0,0.033518,2.00e-05,22.3,8508
30,0,0.045969,2.00e-05,23.0,8508
31,0,0.026701,2.00e-05,23.8,8508
32,0,0.089385,2.00e-05,24.6,8508
33,0,0.096949,2.00e-05,25.4,8508
34,0,0.033138,2.00e-05,26.2,8508
35,0,0.073702,2.00e-05,27.3,8508
36,0,0.008529,2.00e-05,28.0,8508
37,0,0.002031,2.00e-05,28.8,8508
38,0,0.054969,2.00e-05,29.5,8508
39,0,0.028337,2.00e-05,30.3,8508
40,0,0.104501,2.00e-05,31.0,8508
41,0,0.102862,2.00e-05,31.7,8508
42,0,0.027212,2.00e-05,32.3,8508
43,0,0.189121,2.00e-05,32.9,8508
44,0,0.062553,2.00e-05,33.6,8508
45,0,0.044185,2.00e-05,34.4,8508
46,0,0.100774,2.00e-05,35.0,8508
47,0,0.144478,2.00e-05,35.7,8508
48,0,0.105081,2.00e-05,36.5,8508
49,0,0.051391,2.00e-05,37.1,8508
50,0,0.025132,2.00e-05,37.9,8508
51,0,0.011458,2.00e-05,38.7,8508
52,0,0.051063,2.00e-05,39.4,8508
53,0,0.006539,2.00e-05,40.2,8508
54,0,0.017121,2.00e-05,40.9,8508
55,0,0.065475,2.00e-05,41.8,8508
56,0,0.100561,2.00e-05,42.5,8508
57,0,0.074450,2.00e-05,43.2,8508
58,0,0.118164,2.00e-05,44.1,8508
59,0,0.125614,2.00e-05,44.9,8508
60,0,0.099340,2.00e-05,45.8,8508
61,0,0.013152,2.00e-05,46.5,8508
62,0,0.031152,2.00e-05,47.2,8508
63,0,0.130574,2.00e-05,48.0,8508
64,0,0.113442,2.00e-05,48.8,8508
65,0,0.068637,2.00e-05,49.4,8508
66,0,0.031634,2.00e-05,50.2,8508
67,0,0.116605,2.00e-05,51.0,8508
68,0,0.092627,2.00e-05,51.7,8508
69,0,0.271301,2.00e-05,52.8,8508
70,0,0.026798,2.00e-05,53.6,8508
71,0,0.052397,2.00e-05,54.3,8508
72,0,0.108395,2.00e-05,55.1,8508
73,0,0.106590,2.00e-05,55.7,8508
74,0,0.042744,2.00e-05,56.5,8508
75,0,0.096404,2.00e-05,57.3,8508
