step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.278948,1.00e-04,3.0,8463
2,0,0.049755,1.00e-04,3.4,8482
3,0,0.073071,1.00e-04,3.8,8482
4,0,0.016208,1.00e-04,4.3,8482
5,0,0.206846,1.00e-04,4.7,8495
6,0,0.194888,1.00e-04,5.0,8508
7,0,0.224101,1.00e-04,5.4,8508
8,0,0.043549,1.00e-04,5.8,8508
9,0,0.012312,1.00e-04,6.1,8508
10,0,0.238539,1.00e-04,6.8,8508
11,0,0.199582,1.00e-04,7.4,8508
12,0,0.099915,1.00e-04,8.1,8508
13,0,0.049830,1.00e-04,8.7,8508
14,0,0.020343,1.00e-04,9.4,8508
15,0,0.043107,1.00e-04,10.1,8508
16,0,0.159210,1.00e-04,10.7,8508
17,0,0.079002,1.00e-04,11.3,8508
18,0,0.029435,1.00e-04,12.0,8508
19,0,0.048374,1.00e-04,12.7,8508
20,0,0.039100,1.00e-04,13.4,8508
21,0,0.005203,1.00e-04,14.0,8508
22,0,0.019079,1.00e-04,14.8,8508
23,0,0.044299,1.00e-04,15.4,8508
24,0,0.145950,1.00e-04,15.9,8508
25,0,0.050031,1.00e-04,16.5,8508
26,1,0.024760,1.00e-04,17.1,8508
27,1,0.029723,1.00e-04,17.7,8508
28,1,0.011602,1.00e-04,18.5,8508
29,1,0.279689,1.00e-04,19.2,8508
30,1,0.037660,1.00e-04,19.9,8508
31,1,0.044663,1.00e-04,20.5,8508
32,1,0.055088,1.00e-04,21.2,8508
33,1,0.097950,1.00e-04,21.8,8508
34,1,0.020713,1.00e-04,22.4,8508
35,1,0.031012,1.00e-04,23.1,8508
36,1,0.006513,1.00e-04,23.7,8508
37,1,0.002747,1.00e-04,24.3,8508
38,1,0.026115,1.00e-04,25.0,8508
39,1,0.043380,1.00e-04,25.6,8508
40,1,0.063870,1.00e-04,26.4,8508
41,1,0.127783,1.00e-04,27.0,8508
42,1,0.008303,1.00e-04,27.6,8508
43,1,0.126051,1.00e-04,28.3,8508
44,1,0.112292,1.00e-04,28.9,8508
45,1,0.023661,1.00e-04,29.6,8508
46,1,0.255515,1.00e-04,30.2,8508
47,1,0.077129,1.00e-04,30.9,8508
48,1,0.243004,1.00e-04,31.5,8508
49,1,0.067100,1.00e-04,32.1,8508
50,1,0.014537,1.00e-04,32.7,8508
51,2,0.015412,1.00e-04,33.3,8508
52,2,0.030972,1.00e-04,33.9,8508
53,2,0.003866,1.00e-04,34.5,8508
54,2,0.080101,1.00e-04,35.1,8508
55,2,0.021284,1.00e-04,35.7,8508
56,2,0.046646,1.00e-04,36.4,8508
57,2,0.072441,1.00e-04,37.0,8508
58,2,0.317238,1.00e-04,37.6,8508
59,2,0.073229,1.00e-04,38.3,8508
60,2,0.154462,1.00e-04,38.9,8508
61,2,0.010704,1.00e-04,39.6,8508
62,2,0.035482,1.00e-04,40.2,8508
63,2,0.083270,1.00e-04,40.9,8508
64,2,0.052202,1.00e-04,41.5,8508
65,2,0.036660,1.00e-04,42.2,8508
66,2,0.122971,1.00e-04,42.8,8508
67,2,0.157268,1.00e-04,43.6,8508
68,2,0.056939,1.00e-04,44.3,8508
69,2,0.369486,1.00e-04,45.0,8508
70,2,0.043277,1.00e-04,45.7,8508
71,2,0.080077,1.00e-04,46.3,8508
72,2,0.087488,1.00e-04,47.1,8508
73,2,0.142594,1.00e-04,47.7,8508
74,2,0.025701,1.00e-04,48.3,8508
75,2,0.020381,1.00e-04,48.9,8508
76,3,0.011762,1.00e-04,49.8,8508
77,3,0.098030,1.00e-04,50.4,8508
78,3,0.034264,1.00e-04,51.0,8508
79,3,0.029993,1.00e-04,51.7,8508
80,3,0.006174,1.00e-04,52.3,8508
81,3,0.060377,1.00e-04,52.8,8508
82,3,0.127661,1.00e-04,53.4,8508
83,3,0.022238,1.00e-04,54.0,8508
84,3,0.180320,1.00e-04,54.6,8508
85,3,0.027348,1.00e-04,55.3,8508
86,3,0.006858,1.00e-04,55.9,8508
87,3,0.008799,1.00e-04,56.5,8508
88,3,0.081759,1.00e-04,57.1,8508
89,3,0.030120,1.00e-04,57.8,8508
90,3,0.138894,1.00e-04,58.5,8508
91,3,0.097701,1.00e-04,59.3,8508
92,3,0.108552,1.00e-04,59.9,8508
93,3,0.053433,1.00e-04,60.5,8508
94,3,0.032809,1.00e-04,61.1,8508
95,3,0.011371,1.00e-04,61.9,8508
96,3,0.119564,1.00e-04,62.6,8508
97,3,0.003908,1.00e-04,63.2,8508
98,3,0.052428,1.00e-04,63.8,8508
99,3,0.030037,1.00e-04,64.4,8508
100,3,0.048906,1.00e-04,65.0,8508
101,4,0.201221,1.00e-04,65.8,8508
102,4,0.018267,1.00e-04,66.4,8508
103,4,0.088333,1.00e-04,67.0,8508
104,4,0.143002,1.00e-04,67.6,8508
105,4,0.139993,1.00e-04,68.2,8508
106,4,0.009129,1.00e-04,68.8,8508
107,4,0.082659,1.00e-04,69.5,8508
108,4,0.193983,1.00e-04,70.2,8508
109,4,0.046437,1.00e-04,70.8,8508
110,4,0.124032,1.00e-04,71.4,8508
111,4,0.056595,1.00e-04,72.0,8508
112,4,0.039280,1.00e-04,72.7,8508
113,4,0.058274,1.00e-04,73.3,8508
114,4,0.044621,1.00e-04,74.0,8508
115,4,0.011488,1.00e-04,74.6,8508
116,4,0.011633,1.00e-04,75.3,8508
117,4,0.099120,1.00e-04,75.9,8508
118,4,0.101967,1.00e-04,76.5,8508
119,4,0.028863,1.00e-04,77.2,8508
120,4,0.009616,1.00e-04,77.8,8508
121,4,0.041644,1.00e-04,78.4,8508
122,4,0.028398,1.00e-04,79.1,8508
123,4,0.350942,1.00e-04,79.8,8508
124,4,0.056394,1.00e-04,80.6,8508
125,4,0.095821,1.00e-04,81.1,8508
126,5,0.133391,1.00e-04,82.0,8508
127,5,0.119748,1.00e-04,82.5,8508
128,5,0.123873,1.00e-04,83.2,8508
129,5,0.021190,1.00e-04,83.8,8508
130,5,0.033403,1.00e-04,84.5,8508
131,5,0.102840,1.00e-04,85.1,8508
132,5,0.028127,1.00e-04,85.7,8508
133,5,0.049199,1.00e-04,86.4,8508
134,5,0.110371,1.00e-04,87.0,8508
135,5,0.022325,1.00e-04,87.7,8508
136,5,0.058886,1.00e-04,88.2,8508
137,5,0.027597,1.00e-04,89.0,8508
138,5,0.048590,1.00e-04,89.6,8508
139,5,0.018519,1.00e-04,90.2,8508
140,5,0.088168,1.00e-04,90.8,8508
141,5,0.022016,1.00e-04,91.4,8508
142,5,0.090099,1.00e-04,92.0,8508
143,5,0.034882,1.00e-04,92.6,8508
144,5,0.033151,1.00e-04,93.2,8508
145,5,0.017218,1.00e-04,94.0,8508
146,5,0.032379,1.00e-04,94.6,8508
147,5,0.026454,1.00e-04,95.3,8508
148,5,0.069016,1.00e-04,96.0,8508
149,5,0.044158,1.00e-04,96.7,8508
150,5,0.097526,1.00e-04,97.2,8508
151,6,0.159408,1.00e-04,98.0,8508
152,6,0.085008,1.00e-04,98.7,8508
153,6,0.013310,1.00e-04,99.4,8508
154,6,0.046795,1.00e-04,100.0,8508
155,6,0.064587,1.00e-04,100.6,8508
156,6,0.082394,1.00e-04,101.2,8508
157,6,0.061003,1.00e-04,101.9,8508
158,6,0.026709,1.00e-04,102.5,8508
159,6,0.261344,1.00e-04,103.2,8508
160,6,0.016691,1.00e-04,103.8,8508
161,6,0.007600,1.00e-04,104.4,8508
162,6,0.047538,1.00e-04,105.1,8508
163,6,0.388718,1.00e-04,105.8,8508
164,6,0.045616,1.00e-04,106.4,8508
165,6,0.009144,1.00e-04,107.0,8508
166,6,0.061402,1.00e-04,107.6,8508
167,6,0.052396,1.00e-04,108.2,8508
168,6,0.024018,1.00e-04,109.0,8508
169,6,0.079376,1.00e-04,109.6,8508
170,6,0.112108,1.00e-04,110.3,8508
171,6,0.023993,1.00e-04,110.9,8508
172,6,0.025143,1.00e-04,111.5,8508
173,6,0.119957,1.00e-04,112.1,8508
174,6,0.021279,1.00e-04,112.8,8508
175,6,0.108970,1.00e-04,113.3,8508
176,7,0.042570,1.00e-04,114.1,8508
177,7,0.025548,1.00e-04,114.7,8508
178,7,0.082825,1.00e-04,115.3,8508
179,7,0.013904,1.00e-04,116.0,8508
180,7,0.059571,1.00e-04,116.6,8508
181,7,0.129832,1.00e-04,117.2,8508
182,7,0.003852,1.00e-04,117.9,8508
183,7,0.016960,1.00e-04,118.5,8508
184,7,0.055484,1.00e-04,119.2,8508
185,7,0.067004,1.00e-04,119.9,8508
186,7,0.019196,1.00e-04,120.5,8508
187,7,0.088033,1.00e-04,121.1,8508
188,7,0.021390,1.00e-04,121.7,8508
189,7,0.018598,1.00e-04,122.4,8508
190,7,0.027868,1.00e-04,123.1,8508
191,7,0.172722,1.00e-04,123.7,8508
192,7,0.028193,1.00e-04,124.3,8508
193,7,0.015431,1.00e-04,124.9,8508
194,7,0.030983,1.00e-04,125.6,8508
195,7,0.002124,1.00e-04,126.3,8508
196,7,0.120070,1.00e-04,126.9,8508
197,7,0.082289,1.00e-04,127.8,8508
198,7,0.081823,1.00e-04,128.4,8508
199,7,0.020930,1.00e-04,129.0,8508
200,7,0.054551,1.00e-04,129.6,8508
201,8,0.061873,1.00e-04,130.4,8508
202,8,0.114321,1.00e-04,131.0,8508
203,8,0.018248,1.00e-04,131.6,8508
204,8,0.204808,1.00e-04,132.3,8508
205,8,0.521929,1.00e-04,132.9,8508
206,8,0.063699,1.00e-04,133.6,8508
207,8,0.086082,1.00e-04,134.3,8508
208,8,0.049626,1.00e-04,135.0,8508
209,8,0.016859,1.00e-04,135.6,8508
210,8,0.026148,1.00e-04,136.2,8508
211,8,0.027935,1.00e-04,137.0,8508
212,8,0.006028,1.00e-04,137.6,8508
213,8,0.053164,1.00e-04,138.3,8508
214,8,0.031881,1.00e-04,138.9,8508
215,8,0.021842,1.00e-04,139.5,8508
216,8,0.052518,1.00e-04,140.1,8508
217,8,0.039666,1.00e-04,140.7,8508
218,8,0.190854,1.00e-04,141.5,8508
219,8,0.026501,1.00e-04,142.1,8508
220,8,0.065625,1.00e-04,142.7,8508
221,8,0.020329,1.00e-04,143.4,8508
222,8,0.252686,1.00e-04,144.0,8508
223,8,0.072331,1.00e-04,144.6,8508
224,8,0.032144,1.00e-04,145.3,8508
225,8,0.060021,1.00e-04,145.8,8508
