step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.366548,2.00e-05,2.9,8463
2,0,0.016219,2.00e-05,3.4,8482
3,0,0.044763,2.00e-05,3.7,8482
4,0,0.027120,2.00e-05,4.2,8482
5,0,0.168706,2.00e-05,4.8,8495
6,0,0.244069,2.00e-05,5.3,8508
7,0,0.368554,2.00e-05,5.8,8508
8,0,0.076796,2.00e-05,6.1,8508
9,1,0.011674,2.00e-05,6.7,8508
10,1,0.272338,2.00e-05,7.2,8508
11,1,0.144924,2.00e-05,7.8,8508
12,1,0.178088,2.00e-05,8.5,8508
13,1,0.093008,2.00e-05,9.2,8508
14,1,0.026139,2.00e-05,9.8,8508
15,1,0.033440,2.00e-05,10.5,8508
16,1,0.076750,2.00e-05,11.1,8508
17,2,0.061756,2.00e-05,12.0,8508
18,2,0.098289,2.00e-05,12.7,8508
19,2,0.047226,2.00e-05,13.5,8508
20,2,0.033377,2.00e-05,14.1,8508
21,2,0.004273,2.00e-05,14.8,8508
22,2,0.033181,2.00e-05,15.4,8508
23,2,0.030863,2.00e-05,16.1,8508
24,2,0.086631,2.00e-05,16.6,8508
25,3,0.094465,2.00e-05,17.3,8508
26,3,0.057271,2.00e-05,18.1,8508
27,3,0.016788,2.00e-05,18.7,8508
28,3,0.020098,2.00e-05,19.4,8508
29,3,0.192251,2.00e-05,20.1,8508
30,3,0.048419,2.00e-05,20.8,8508
31,3,0.030185,2.00e-05,21.6,8508
32,3,0.139017,2.00e-05,22.1,8508
33,4,0.067922,2.00e-05,22.8,8508
34,4,0.022124,2.00e-05,23.6,8508
35,4,0.060543,2.00e-05,24.3,8508
36,4,0.005858,2.00e-05,25.0,8508
37,4,0.002773,2.00e-05,25.8,8508
38,4,0.028885,2.00e-05,26.5,8508
39,4,0.038417,2.00e-05,27.1,8508
40,4,0.090112,2.00e-05,27.6,8508
41,5,0.062037,2.00e-05,28.5,8508
42,5,0.035054,2.00e-05,29.2,8508
43,5,0.278427,2.00e-05,29.9,8508
44,5,0.123180,2.00e-05,30.6,8508
45,5,0.015211,2.00e-05,31.3,8508
46,5,0.128486,2.00e-05,31.9,8508
47,5,0.048869,2.00e-05,32.6,8508
48,5,0.071258,2.00e-05,33.2,8508
49,6,0.095740,2.00e-05,34.0,8508
50,6,0.023334,2.00e-05,34.8,8508
51,6,0.012846,2.00e-05,35.4,8508
52,6,0.087199,2.00e-05,36.0,8508
53,6,0.006317,2.00e-05,36.8,8508
54,6,0.075441,2.00e-05,37.5,8508
55,6,0.030656,2.00e-05,38.1,8508
56,6,0.038959,2.00e-05,38.6,8508
57,7,0.106415,2.00e-05,39.5,8508
58,7,0.321734,2.00e-05,40.1,8508
59,7,0.090950,2.00e-05,40.7,8508
60,7,0.114085,2.00e-05,41.5,8508
61,7,0.012803,2.00e-05,42.1,8508
62,7,0.023074,2.00e-05,42.9,8508
63,7,0.117966,2.00e-05,43.5,8508
64,7,0.113581,2.00e-05,44.0,8508
65,8,0.070223,2.00e-05,44.7,8508
66,8,0.045881,2.00e-05,45.4,8508
67,8,0.241674,2.00e-05,46.0,8508
68,8,0.045383,2.00e-05,46.7,8508
69,8,0.089204,2.00e-05,47.4,8508
70,8,0.073512,2.00e-05,48.2,8508
71,8,0.071187,2.00e-05,49.0,8508
72,8,0.129275,2.00e-05,49.5,8508
73,9,0.101197,2.00e-05,50.3,8508
74,9,0.022122,2.00e-05,50.9,8508
75,9,0.065398,2.00e-05,51.6,8508
