step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.440452,2.00e-05,3.1,8463
2,0,0.039428,2.00e-05,3.5,8482
3,0,0.063762,2.00e-05,4.1,8482
4,0,0.062028,2.00e-05,4.6,8482
5,0,0.196704,2.00e-05,5.0,8495
6,0,0.090743,2.00e-05,5.4,8508
7,0,0.190903,2.00e-05,5.9,8508
8,0,0.068472,2.00e-05,6.5,8508
9,0,0.028867,2.00e-05,7.4,8508
10,0,0.380440,2.00e-05,8.2,8508
11,0,0.143812,2.00e-05,9.4,8508
12,0,0.175688,2.00e-05,10.2,8508
13,0,0.098276,2.00e-05,11.0,8508
14,0,0.047619,2.00e-05,11.7,8508
15,0,0.024883,2.00e-05,12.3,8508
16,0,0.016246,2.00e-05,13.2,8508
17,0,0.060624,2.00e-05,14.0,8508
18,0,0.090293,2.00e-05,15.3,8508
19,0,0.077384,2.00e-05,15.9,8508
20,0,0.056486,2.00e-05,16.7,8508
21,0,0.006798,2.00e-05,17.3,8508
22,0,0.023384,2.00e-05,18.0,8508
23,0,0.020589,2.00e-05,18.8,8508
24,0,0.034761,2.00e-05,19.4,8508
25,0,0.080942,2.00e-05,20.2,8508
26,0,0.089044,2.00e-05,20.9,8508
27,0,0.014775,2.00e-05,21.7,8508
28,0,0.025463,2.00e-05,22.4,8508
29,0,0.072414,2.00e-05,23.1,8508
30,0,0.037243,2.00e-05,23.9,8508
31,0,0.036182,2.00e-05,24.7,8508
32,0,0.063078,2.00e-05,25.4,8508
33,0,0.074021,2.00e-05,26.3,8508
34,0,0.034165,2.00e-05,27.0,8508
35,0,0.039118,2.00e-05,27.6,8508
36,0,0.006921,2.00e-05,28.4,8508
37,0,0.002778,2.00e-05,29.2,8508
38,0,0.037191,2.00e-05,29.9,8508
39,0,0.024912,2.00e-05,30.7,8508
40,0,0.126964,2.00e-05,31.5,8508
41,0,0.092944,2.00e-05,32.2,8508
42,0,0.052271,2.00e-05,32.9,8508
43,0,0.164333,2.00e-05,33.7,8508
44,0,0.052571,2.00e-05,34.4,8508
45,0,0.021726,2.00e-05,35.1,8508
46,0,0.075112,2.00e-05,35.9,8508
47,0,0.094342,2.00e-05,36.6,8508
48,0,0.229225,2.00e-05,37.4,8508
49,0,0.100005,2.00e-05,38.1,8508
50,0,0.015441,2.00e-05,39.0,8508
51,0,0.024373,2.00e-05,39.8,8508
52,0,0.086571,2.00e-05,40.5,8508
53,0,0.004552,2.00e-05,41.2,8508
54,0,0.073570,2.00e-05,42.0,8508
55,0,0.042559,2.00e-05,42.7,8508
56,0,0.088256,2.00e-05,43.3,8508
57,0,0.149443,2.00e-05,44.0,8508
58,0,0.184327,2.00e-05,44.8,8508
59,0,0.056668,2.00e-05,45.4,8508
60,0,0.127403,2.00e-05,46.2,8508
61,0,0.013418,2.00e-05,46.9,8508
62,0,0.031461,2.00e-05,47.6,8508
63,0,0.043690,2.00e-05,48.3,8508
64,0,0.076081,2.00e-05,49.0,8508
65,0,0.020502,2.00e-05,49.8,8508
66,0,0.090771,2.00e-05,50.5,8508
67,0,0.224423,2.00e-05,51.4,8508
68,0,0.062838,2.00e-05,52.0,8508
69,0,0.061608,2.00e-05,52.8,8508
70,0,0.054718,2.00e-05,53.6,8508
71,0,0.067672,2.00e-05,54.4,8508
72,0,0.088838,2.00e-05,55.1,8508
73,0,0.142592,2.00e-05,56.1,8508
74,0,0.057771,2.00e-05,56.8,8508
75,0,0.078046,2.00e-05,58.0,8508
76,0,0.018387,2.00e-05,58.7,8508
77,0,0.054155,2.00e-05,59.4,8508
78,0,0.113605,2.00e-05,60.1,8508
79,0,0.055909,2.00e-05,60.9,8508
80,0,0.006314,2.00e-05,61.5,8508
81,0,0.052036,2.00e-05,62.3,8508
82,0,0.088319,2.00e-05,63.0,8508
83,0,0.031315,2.00e-05,63.8,8508
84,0,0.180391,2.00e-05,64.5,8508
85,0,0.041646,2.00e-05,65.2,8508
86,0,0.004808,2.00e-05,66.0,8508
87,0,0.016440,2.00e-05,66.6,8508
88,1,0.123964,2.00e-05,67.5,8508
89,1,0.083402,2.00e-05,68.3,8508
90,1,0.093034,2.00e-05,68.9,8508
91,1,0.062309,2.00e-05,69.7,8508
92,1,0.061068,2.00e-05,70.3,8508
93,1,0.061046,2.00e-05,71.1,8508
94,1,0.065772,2.00e-05,71.9,8508
95,1,0.012173,2.00e-05,72.7,8508
96,1,0.065318,2.00e-05,73.5,8508
97,1,0.003941,2.00e-05,74.2,8508
98,1,0.072503,2.00e-05,74.9,8508
99,1,0.071115,2.00e-05,75.5,8508
100,1,0.104309,2.00e-05,76.2,8508
101,1,0.096765,2.00e-05,77.0,8508
102,1,0.025542,2.00e-05,77.7,8508
103,1,0.184424,2.00e-05,78.6,8508
104,1,0.098317,2.00e-05,79.4,8508
105,1,0.108574,2.00e-05,80.1,8508
106,1,0.009454,2.00e-05,80.7,8508
107,1,0.094323,2.00e-05,81.6,8508
108,1,0.207135,2.00e-05,82.3,8508
109,1,0.084856,2.00e-05,83.2,8508
110,1,0.071470,2.00e-05,83.9,8508
111,1,0.139533,2.00e-05,84.6,8508
112,1,0.093797,2.00e-05,85.3,8508
113,1,0.045513,2.00e-05,86.1,8508
114,1,0.069060,2.00e-05,86.8,8508
115,1,0.008321,2.00e-05,87.4,8508
116,1,0.011374,2.00e-05,88.3,8508
117,1,0.104831,2.00e-05,89.1,8508
118,1,0.121075,2.00e-05,89.9,8508
119,1,0.076714,2.00e-05,90.5,8508
120,1,0.012480,2.00e-05,91.8,8508
121,1,0.118273,2.00e-05,92.4,8508
122,1,0.024127,2.00e-05,93.5,8508
123,1,0.191541,2.00e-05,94.2,8508
124,1,0.115847,2.00e-05,94.9,8508
125,1,0.037083,2.00e-05,95.7,8508
126,1,0.186305,2.00e-05,96.4,8508
127,1,0.039543,2.00e-05,97.0,8508
128,1,0.099611,2.00e-05,97.8,8508
129,1,0.035051,2.00e-05,98.5,8508
130,1,0.075151,2.00e-05,99.7,8508
131,1,0.105647,2.00e-05,100.4,8508
132,1,0.029987,2.00e-05,101.2,8508
133,1,0.059658,2.00e-05,101.9,8508
134,1,0.028720,2.00e-05,102.7,8508
135,1,0.021797,2.00e-05,103.4,8508
136,1,0.115710,2.00e-05,104.2,8508
137,1,0.072619,2.00e-05,105.0,8508
138,1,0.055200,2.00e-05,105.7,8508
139,1,0.081233,2.00e-05,106.4,8508
140,1,0.065266,2.00e-05,107.0,8508
