step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.324960,2.00e-05,3.1,8463
2,0,0.020716,2.00e-05,3.6,8482
3,0,0.052446,2.00e-05,4.0,8482
4,0,0.031365,2.00e-05,4.5,8482
5,0,0.217956,2.00e-05,5.0,8495
6,0,0.103295,2.00e-05,5.4,8508
7,0,0.149137,2.00e-05,5.8,8508
8,1,0.093787,2.00e-05,6.4,8508
9,1,0.040855,2.00e-05,6.8,8508
10,1,0.009393,2.00e-05,7.5,8508
11,1,0.038969,2.00e-05,8.3,8508
12,1,0.085267,2.00e-05,9.1,8508
13,1,0.020497,2.00e-05,9.7,8508
14,1,0.044972,2.00e-05,10.1,8508
15,2,0.115241,2.00e-05,10.9,8508
16,2,0.043354,2.00e-05,11.6,8508
17,2,0.032517,2.00e-05,12.3,8508
18,2,0.028262,2.00e-05,13.0,8508
19,2,0.126239,2.00e-05,13.8,8508
20,2,0.063306,2.00e-05,14.5,8508
21,2,0.018091,2.00e-05,14.9,8508
22,3,0.140404,2.00e-05,15.9,8508
23,3,0.223491,2.00e-05,16.6,8508
24,3,0.118954,2.00e-05,17.3,8508
25,3,0.031181,2.00e-05,18.0,8508
26,3,0.186946,2.00e-05,18.7,8508
27,3,0.155753,2.00e-05,19.3,8508
28,3,0.124958,2.00e-05,19.7,8508
29,4,0.183584,2.00e-05,20.6,8508
30,4,0.069832,2.00e-05,21.2,8508
31,4,0.014853,2.00e-05,22.0,8508
32,4,0.035899,2.00e-05,22.8,8508
33,4,0.082745,2.00e-05,23.4,8508
34,4,0.057256,2.00e-05,24.1,8508
35,4,0.052766,2.00e-05,24.5,8508
36,5,0.098148,2.00e-05,25.3,8508
37,5,0.113967,2.00e-05,26.0,8508
38,5,0.027696,2.00e-05,26.8,8508
39,5,0.038892,2.00e-05,27.4,8508
40,5,0.086925,2.00e-05,28.2,8508
41,5,0.018306,2.00e-05,28.9,8508
42,5,0.008208,2.00e-05,29.3,8508
43,6,0.067301,2.00e-05,30.0,8508
44,6,0.067858,2.00e-05,30.8,8508
45,6,0.066239,2.00e-05,31.6,8508
46,6,0.144277,2.00e-05,32.3,8508
47,6,0.044124,2.00e-05,33.0,8508
48,6,0.056558,2.00e-05,33.7,8508
49,6,0.071678,2.00e-05,34.0,8508
50,7,0.131854,2.00e-05,35.0,8508
51,7,0.119101,2.00e-05,35.6,8508
52,7,0.202359,2.00e-05,36.4,8508
53,7,0.091150,2.00e-05,37.2,8508
54,7,0.009312,2.00e-05,37.9,8508
55,7,0.029243,2.00e-05,38.5,8508
56,7,0.045545,2.00e-05,38.9,8508
57,8,0.025968,2.00e-05,39.6,8508
58,8,0.058464,2.00e-05,40.3,8508
59,8,0.105516,2.00e-05,41.0,8508
60,8,0.052766,2.00e-05,41.9,8508
61,8,0.084376,2.00e-05,42.6,8508
62,8,0.022519,2.00e-05,43.3,8508
63,8,0.050946,2.00e-05,43.7,8508
64,9,0.180845,2.00e-05,44.6,8508
65,9,0.043087,2.00e-05,45.4,8508
66,9,0.066548,2.00e-05,46.2,8508
67,9,0.085117,2.00e-05,46.9,8508
68,9,0.015272,2.00e-05,47.5,8508
69,9,0.040726,2.00e-05,48.2,8508
70,9,0.004464,2.00e-05,48.6,8508
71,10,0.043471,2.00e-05,49.3,8508
72,10,0.049709,2.00e-05,50.1,8508
73,10,0.017936,2.00e-05,50.9,8508
74,10,0.176318,2.00e-05,51.7,8508
75,10,0.034847,2.00e-05,52.4,8508
76,10,0.255960,2.00e-05,53.0,8508
77,10,0.081950,2.00e-05,53.4,8508
78,11,0.131707,2.00e-05,54.1,8508
79,11,0.043531,2.00e-05,54.8,8508
80,11,0.045475,2.00e-05,55.6,8508
81,11,0.073494,2.00e-05,56.4,8508
82,11,0.044953,2.00e-05,57.0,8508
83,11,0.100651,2.00e-05,57.8,8508
84,11,0.001900,2.00e-05,58.2,8508
85,12,0.070255,2.00e-05,59.0,8508
86,12,0.013143,2.00e-05,59.7,8508
87,12,0.019751,2.00e-05,60.4,8508
88,12,0.085433,2.00e-05,61.3,8508
89,12,0.164931,2.00e-05,61.9,8508
90,12,0.101396,2.00e-05,62.6,8508
91,12,0.099465,2.00e-05,62.9,8508
92,13,0.008518,2.00e-05,63.8,8508
93,13,0.074647,2.00e-05,64.6,8508
94,13,0.043921,2.00e-05,65.3,8508
95,13,0.084017,2.00e-05,66.1,8508
96,13,0.050825,2.00e-05,66.8,8508
97,13,0.128980,2.00e-05,67.4,8508
98,13,0.088867,2.00e-05,67.7,8508
99,14,0.118233,2.00e-05,68.4,8508
100,14,0.078391,2.00e-05,69.1,8508
101,14,0.118354,2.00e-05,69.9,8508
102,14,0.110394,2.00e-05,70.7,8508
103,14,0.081460,2.00e-05,71.4,8508
104,14,0.040623,2.00e-05,72.1,8508
105,14,0.012844,2.00e-05,72.5,8508
106,15,0.025091,2.00e-05,73.4,8508
107,15,0.455843,2.00e-05,74.1,8508
108,15,0.090958,2.00e-05,74.8,8508
109,15,0.036920,2.00e-05,75.6,8508
110,15,0.046018,2.00e-05,76.3,8508
111,15,0.054429,2.00e-05,76.9,8508
112,15,0.037885,2.00e-05,77.3,8508
113,16,0.025915,2.00e-05,78.2,8508
114,16,0.038982,2.00e-05,78.9,8508
115,16,0.023766,2.00e-05,79.6,8508
116,16,0.024255,2.00e-05,80.4,8508
117,16,0.011997,2.00e-05,81.1,8508
118,16,0.035580,2.00e-05,81.7,8508
119,16,0.248092,2.00e-05,82.0,8508
120,17,0.163269,2.00e-05,82.9,8508
121,17,0.090099,2.00e-05,83.7,8508
122,17,0.097510,2.00e-05,84.3,8508
123,17,0.069107,2.00e-05,85.1,8508
124,17,0.023237,2.00e-05,85.8,8508
125,17,0.051772,2.00e-05,86.5,8508
126,17,0.130759,2.00e-05,86.8,8508
127,18,0.002847,2.00e-05,87.7,8508
128,18,0.085383,2.00e-05,88.6,8508
129,18,0.061227,2.00e-05,89.3,8508
130,18,0.065614,2.00e-05,90.0,8508
131,18,0.023467,2.00e-05,90.7,8508
132,18,0.180995,2.00e-05,91.3,8508
133,18,0.015948,2.00e-05,91.6,8508
134,19,0.107270,2.00e-05,92.3,8508
135,19,0.004647,2.00e-05,93.1,8508
136,19,0.103373,2.00e-05,93.8,8508
137,19,0.007004,2.00e-05,94.7,8508
138,19,0.051294,2.00e-05,95.4,8508
139,19,0.007305,2.00e-05,96.0,8508
140,19,0.048454,2.00e-05,96.4,8508
141,20,0.091624,2.00e-05,97.2,8508
142,20,0.108099,2.00e-05,98.0,8508
143,20,0.018909,2.00e-05,98.8,8508
144,20,0.066815,2.00e-05,99.5,8508
145,20,0.121172,2.00e-05,100.2,8508
146,20,0.077917,2.00e-05,100.8,8508
147,20,0.170792,2.00e-05,101.2,8508
148,21,0.043509,2.00e-05,102.0,8508
149,21,0.150245,2.00e-05,102.8,8508
150,21,0.125257,2.00e-05,103.5,8508
151,21,0.049885,2.00e-05,104.3,8508
152,21,0.037547,2.00e-05,105.0,8508
153,21,0.081203,2.00e-05,105.6,8508
154,21,0.018962,2.00e-05,106.0,8508
155,22,0.093845,2.00e-05,106.9,8508
156,22,0.005298,2.00e-05,107.5,8508
157,22,0.122088,2.00e-05,108.2,8508
158,22,0.075324,2.00e-05,108.9,8508
159,22,0.004084,2.00e-05,109.7,8508
160,22,0.139859,2.00e-05,110.4,8508
161,22,0.009859,2.00e-05,110.8,8508
162,23,0.029326,2.00e-05,111.5,8508
163,23,0.128866,2.00e-05,112.3,8508
164,23,0.039884,2.00e-05,113.0,8508
165,23,0.073776,2.00e-05,113.8,8508
166,23,0.258719,2.00e-05,114.5,8508
167,23,0.078168,2.00e-05,115.2,8508
168,23,0.070571,2.00e-05,115.6,8508
169,24,0.007795,2.00e-05,116.5,8508
170,24,0.054637,2.00e-05,117.2,8508
171,24,0.198555,2.00e-05,118.0,8508
172,24,0.054176,2.00e-05,118.6,8508
173,24,0.014734,2.00e-05,119.3,8508
174,24,0.068060,2.00e-05,120.0,8508
175,24,0.008821,2.00e-05,120.4,8508
176,25,0.036301,2.00e-05,121.3,8508
177,25,0.105305,2.00e-05,122.1,8508
178,25,0.099796,2.00e-05,122.8,8508
179,25,0.044137,2.00e-05,123.5,8508
180,25,0.083162,2.00e-05,124.2,8508
181,25,0.120933,2.00e-05,124.9,8508
182,25,0.227555,2.00e-05,125.2,8508
183,26,0.145110,2.00e-05,126.0,8508
184,26,0.061769,2.00e-05,126.8,8508
185,26,0.040114,2.00e-05,127.5,8508
186,26,0.016726,2.00e-05,128.3,8508
187,26,0.061132,2.00e-05,129.0,8508
188,26,0.077665,2.00e-05,129.6,8508
189,26,0.107883,2.00e-05,130.0,8508
190,27,0.070630,2.00e-05,130.8,8508
191,27,0.093343,2.00e-05,131.5,8508
192,27,0.029396,2.00e-05,132.1,8508
193,27,0.104588,2.00e-05,132.9,8508
194,27,0.008995,2.00e-05,133.8,8508
195,27,0.049067,2.00e-05,134.4,8508
196,27,0.003287,2.00e-05,134.8,8508
197,28,0.041016,2.00e-05,135.6,8508
198,28,0.063100,2.00e-05,136.4,8508
199,28,0.017122,2.00e-05,137.1,8508
200,28,0.042889,2.00e-05,137.8,8508
201,28,0.049548,2.00e-05,138.6,8508
202,28,0.060517,2.00e-05,139.3,8508
203,28,0.205387,2.00e-05,139.7,8508
204,29,0.069995,2.00e-05,140.5,8508
205,29,0.084281,2.00e-05,141.2,8508
206,29,0.067996,2.00e-05,142.0,8508
207,29,0.058195,2.00e-05,142.7,8508
208,29,0.099282,2.00e-05,143.4,8508
209,29,0.038086,2.00e-05,144.0,8508
210,29,0.049579,2.00e-05,144.4,8508
211,30,0.114691,2.00e-05,145.2,8508
212,30,0.052491,2.00e-05,146.0,8508
213,30,0.045536,2.00e-05,146.8,8508
214,30,0.122677,2.00e-05,147.4,8508
215,30,0.051556,2.00e-05,148.1,8508
216,30,0.052605,2.00e-05,148.9,8508
217,30,0.067508,2.00e-05,149.2,8508
218,31,0.070535,2.00e-05,150.1,8508
219,31,0.123514,2.00e-05,150.8,8508
220,31,0.046802,2.00e-05,151.6,8508
221,31,0.090768,2.00e-05,152.3,8508
222,31,0.005142,2.00e-05,153.0,8508
223,31,0.250198,2.00e-05,153.6,8508
224,31,0.048754,2.00e-05,154.0,8508
225,32,0.068630,2.00e-05,154.8,8508
