experiment,status,time_sec,steps,lr,image_list
KMC_D-High_phase1,ok,237.2,480,5e-05,kmc_lora\artifacts\split_phases\D-High\phase1.txt
KMC_D-High_phase2,ok,199.1,420,0.0001,kmc_lora\artifacts\split_phases\D-High\phase2.txt
KMC_D-High_phase3,ok,151.8,300,2e-05,kmc_lora\artifacts\split_phases\D-High\phase3.txt
KMC_D-Medium_phase1,ok,235.3,480,5e-05,kmc_lora\artifacts\split_phases\D-Medium\phase1.txt
KMC_D-Medium_phase2,ok,198.4,420,0.0001,kmc_lora\artifacts\split_phases\D-Medium\phase2.txt
KMC_D-Medium_phase3,ok,151.9,300,2e-05,kmc_lora\artifacts\split_phases\D-Medium\phase3.txt
KMC_D-Low_phase1,ok,214.2,480,5e-05,kmc_lora\artifacts\split_phases\D-Low\phase1.txt
KMC_D-Low_phase2,ok,191.3,420,0.0001,kmc_lora\artifacts\split_phases\D-Low\phase2.txt
KMC_D-Low_phase3,ok,121.9,300,2e-05,kmc_lora\artifacts\split_phases\D-Low\phase3.txt
KMC_D-Sub-50_phase1,ok,237.5,480,5e-05,kmc_lora\artifacts\split_phases\D-Sub-50\phase1.txt
KMC_D-Sub-50_phase2,ok,193.6,420,0.0001,kmc_lora\artifacts\split_phases\D-Sub-50\phase2.txt
KMC_D-Sub-50_phase3,ok,138.9,300,2e-05,kmc_lora\artifacts\split_phases\D-Sub-50\phase3.txt
KMC_D-Sub-25_phase1,ok,246.1,480,5e-05,kmc_lora\artifacts\split_phases\D-Sub-25\phase1.txt
KMC_D-Sub-25_phase2,ok,196.2,420,0.0001,kmc_lora\artifacts\split_phases\D-Sub-25\phase2.txt
KMC_D-Sub-25_phase3,ok,138.2,300,2e-05,kmc_lora\artifacts\split_phases\D-Sub-25\phase3.txt
Ablation_NoPhase1_phase2,ok,198.9,420,0.0001,kmc_lora\artifacts\phases\phase2.txt
Ablation_NoPhase1_phase3,ok,151.9,300,2e-05,kmc_lora\artifacts\phases\phase3.txt
Ablation_NoPhase2_phase1,ok,236.4,480,5e-05,kmc_lora\artifacts\phases\phase1.txt
Ablation_NoPhase2_phase3,ok,151.2,300,2e-05,kmc_lora\artifacts\phases\phase3.txt
Ablation_NoPhase3_phase1,ok,235.8,480,5e-05,kmc_lora\artifacts\phases\phase1.txt
Ablation_NoPhase3_phase2,ok,197.4,420,0.0001,kmc_lora\artifacts\phases\phase2.txt
Ablation_Phase1Only_phase1,ok,236.3,480,5e-05,kmc_lora\artifacts\phases\phase1.txt
Ablation_Phase3Only_phase3,ok,151.2,300,2e-05,kmc_lora\artifacts\phases\phase3.txt
