dataset,strategy,split,seed,fid,clip_score
anime_student,Random_D-Medium,D-Medium,42,214.1512,0.3067
anime_student,Random_D-Medium,D-Medium,52,215.9845,0.2891
anime_student,Random_D-Medium,D-Medium,62,240.5798,0.3039
anime_student,HAC_D-Medium,D-Medium,42,244.3639,0.3063
anime_student,HAC_D-Medium,D-Medium,52,252.368,0.2994
anime_student,HAC_D-Medium,D-Medium,62,220.6637,0.3043
wikiart_mixed,Random_D-High,D-High,42,210.8615,0.1771
wikiart_mixed,Random_D-High,D-High,52,226.0063,0.1712
wikiart_mixed,Random_D-High,D-High,62,218.9473,0.1749
wikiart_mixed,HAC_D-High,D-High,42,216.4678,0.1749
wikiart_mixed,HAC_D-High,D-High,52,220.0527,0.1737
wikiart_mixed,HAC_D-High,D-High,62,217.4048,0.1725
dreambooth_mixed,Random_D-High,D-High,42,220.3825,0.169
dreambooth_mixed,Random_D-High,D-High,52,224.0872,0.1789
dreambooth_mixed,Random_D-High,D-High,62,221.8451,0.1689
dreambooth_mixed,HAC_D-High,D-High,42,226.299,0.17
dreambooth_mixed,HAC_D-High,D-High,52,230.9217,0.1708
dreambooth_mixed,HAC_D-High,D-High,62,231.2887,0.1656
dreambooth_single,Random_D-High,D-High,42,112.359,0.2758
dreambooth_single,Random_D-High,D-High,52,94.5001,0.2715
dreambooth_single,Random_D-High,D-High,62,119.829,0.2763
dreambooth_single,HAC_D-High,D-High,42,126.1999,0.2809
dreambooth_single,HAC_D-High,D-High,52,130.0101,0.2721
dreambooth_single,HAC_D-High,D-High,62,121.3524,0.2781
